DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,32,21,8,22,32,25,0,59,10,1014,36.375,32,17,25,116,113,113,0,6,11.6,météo favorable
2009-01-02,32,20,6,22,32,25,0,61,10,1013,23.25,32,18,25,113,113,113,0,7,11.6,météo idéale
2009-01-03,31,21,8,23,31,24,2,82,9.875,1013,40.125,33,21,24,113,116,113,0,7,10.2,météo favorable
2009-01-04,28,21,8,21,25,22,11.8,95,9.375,1014,54.125,30,21,22,119,116,116,0,6,10.2,météo correcte
2009-01-05,30,20,8,21,30,21,0.7,76,8.875,1014,14.375,30,21,21,113,113,113,0,5,11.6,météo idéale
2009-01-06,29,20,8,21,29,22,3.7,86,8.5,1013,54.625,30,20,22,116,119,116,0,6,10.2,météo correcte
2009-01-07,29,21,9,22,29,22,5.4,86,8.375,1014,41.375,30,21,22,116,116,116,0,5,11.6,météo favorable
2009-01-08,30,21,7,21,30,23,0.2,74,10,1014,22.25,31,20,23,113,113,113,0,5,11.6,météo idéale
2009-01-09,30,21,9,22,30,23,0,70,10,1015,30.25,30,19,23,113,116,113,0,5,11.6,météo favorable
2009-01-10,31,19,6,21,31,23,0.1,72,10,1015,14.875,31,19,23,113,113,116,0,6,11.6,météo idéale
2009-01-11,29,21,8,22,29,22,2,86,9.875,1015,43,30,20,22,113,116,116,0,6,10.2,météo favorable
2009-01-12,30,20,8,20,30,23,0,65,10,1015,16.75,30,19,23,113,113,113,0,6,11.6,météo idéale
2009-01-13,30,19,9,21,30,23,0,72,10,1015,13.75,30,19,23,113,113,113,0,6,11.6,météo idéale
2009-01-14,31,20,10,21,31,24,0,61,10,1016,7.75,30,19,24,113,113,113,0,6,11.6,météo idéale
2009-01-15,31,20,12,21,31,24,0,70,10,1016,19.125,32,19,24,113,116,113,0,6,11.6,météo favorable
2009-01-16,32,20,8,21,32,25,0,58,10,1015,19.25,32,17,25,113,113,113,0,6,11.6,météo idéale
2009-01-17,31,20,8,21,31,25,0.1,60,10,1016,27.125,32,18,25,116,113,113,0,7,11.6,météo idéale
2009-01-18,32,22,9,23,32,25,1.5,70,9.875,1016,32.125,33,20,25,113,113,116,0,7,11.6,météo favorable
2009-01-19,30,22,10,22,29,25,2.6,69,9.625,1015,39.5,31,20,25,119,116,113,0,6,11.6,météo favorable
2009-01-20,32,21,6,22,32,24,1.1,70,9.875,1015,26.625,34,19,24,116,113,113,0,7,11.6,météo idéale
