DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-9,-12,9,-11,-12,-12,8.9,99,1,1021,90.5,0,0,-17,338,338,338,7.6,1,3.5,météo très défavorable
2009-01-02,-5,-13,12,-13,-5,-10,0.1,98,1.375,1025,42.625,0,0,-16,260,143,260,0.1,1,8.7,météo très défavorable
2009-01-03,-4,-12,17,-12,-4,-8,0,98,8.75,1028,24.25,0,0,-16,116,113,113,0,1,8.7,météo très défavorable
2009-01-04,-2,-9,13,-9,-2,-5,0,97,5.75,1027,29.25,0,0,-12,113,143,260,0,1,8.7,météo très défavorable
2009-01-05,-0,-7,18,-5,-0,-2,0,97,7.75,1024,41.25,0,0,-9,116,116,116,0,1,8.7,météo très défavorable
2009-01-06,-0,-5,16,-5,-0,-3,0,100,5,1022,49.375,0,0,-9,116,260,260,0,1,5.2,météo très défavorable
2009-01-07,-0,-5,10,-5,-0,-1,0,100,1.25,1022,67.75,0,0,-7,260,260,119,0,1,3.5,météo très défavorable
2009-01-08,0,-5,9,-2,0,-2,0,100,0,1025,67.125,0,0,-4,260,248,260,0,1,5.2,météo très défavorable
2009-01-09,-1,-9,15,-7,-1,-6,0,97,4.25,1026,29.875,0,0,-10,116,143,143,0,1,8.7,météo très défavorable
2009-01-10,-4,-16,8,-12,-5,-12,0.1,95,6.375,1031,22.125,0,0,-15,143,113,143,0.1,1,8.7,météo très défavorable
2009-01-11,-3,-11,12,-10,-3,-11,0,96,6,1026,18.125,0,0,-13,143,113,143,0,1,8.7,météo très défavorable
2009-01-12,-3,-9,8,-8,-3,-8,0.3,96,7,1034,34.5,0,0,-10,329,116,323,0.3,1,8.7,météo très défavorable
2009-01-13,-1,-10,12,-9,-1,-4,0,95,5,1036,37.75,0,0,-10,143,116,143,0,1,8.7,météo très défavorable
2009-01-14,2,-6,15,-6,2,-2,0,93,9,1039,11.125,2,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,2,-4,12,-4,2,-1,0,93,10,1035,12,2,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,3,-4,12,-4,3,-1,0,88,10,1031,2.375,3,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,3,-4,18,-3,3,1,0.1,90,10,1025,28.875,3,0,-6,113,113,122,0,1,8.7,météo très défavorable
2009-01-18,2,-3,10,-0,2,-3,0,95,9,1024,41,2,0,-4,116,116,143,0,1,8.7,météo très défavorable
2009-01-19,1,-5,9,-5,1,-3,0,95,5.75,1025,25.625,1,0,-6,260,113,143,0,1,9.9,météo très défavorable
2009-01-20,1,-5,16,-5,1,-2,0,92,10,1022,15.5,1,0,-7,116,113,113,0,1,9.9,météo très défavorable
2009-01-21,1,-5,9,-5,1,-3,1.1,98,8.125,1028,41.5,1,0,-6,116,113,335,0.9,1,9.9,météo très défavorable
2009-01-22,1,-5,4,-5,1,-3,1,96,5.75,1033,38.5,1,0,-5,323,113,143,0.9,1,10,météo très défavorable
2009-01-23,-1,-6,9,-6,-1,-3,0.2,96,5.375,1031,48.25,0,0,-6,143,323,332,0.1,1,8.3,météo très défavorable
2009-01-24,1,-7,6,-7,1,-4,0,88,10,1028,9,1,0,-6,113,113,113,0,1,10,météo très défavorable
2009-01-25,2,-5,16,-4,2,-1,0,89,10,1018,28.5,2,0,-6,116,113,113,0,1,10,météo très défavorable
2009-01-26,4,-2,18,-2,3,1,0,92,10,1019,19.375,4,2,-5,116,113,113,0,1,10,météo très défavorable
2009-01-27,3,-0,14,-0,3,0,0.9,93,9.875,1019,68.75,3,1,-3,116,116,296,0,1,8.3,météo très défavorable
2009-01-28,4,-2,10,-2,3,-2,0.2,97,6.625,1021,23.25,4,2,-3,323,113,260,0,1,10.1,météo très défavorable
2009-01-29,4,-4,12,-4,4,0,0,90,10,1022,10,4,2,-6,113,113,113,0,1,10.1,météo très défavorable
2009-01-30,5,-1,13,0,5,2,0,87,9.875,1016,25.75,5,1,-3,113,113,113,0,1,10.1,météo très défavorable
2009-01-31,7,-0,12,0,7,2,0,77,10,1015,32.625,7,0,-1,116,113,116,0,1,10.1,météo très défavorable
2009-02-01,5,-1,8,-1,5,1,0,94,8,1017,28.625,6,1,-0,113,116,143,0,1,10.1,météo très défavorable
2009-02-02,3,-1,3,-1,3,-0,1.1,91,7.75,1023,50.125,3,0,0,263,263,116,0,1,10.2,météo très défavorable
2009-02-03,3,-3,5,-3,3,-2,0,84,10,1026,17.875,3,0,-2,113,113,113,0,1,10.6,météo très défavorable
2009-02-04,2,-4,5,-4,2,-3,0.8,96,9.375,1030,32.75,2,0,-3,335,113,113,0.7,1,10.6,météo très défavorable
2009-02-05,5,-4,16,-4,5,1,0,79,10,1028,13,5,0,-5,113,113,116,0,1,10.6,météo très défavorable
2009-02-06,7,-1,17,-1,6,2,0,78,10,1018,17.75,7,0,-2,113,113,113,0,1,10.6,météo très défavorable
2009-02-07,7,-0,13,-0,7,2,0,80,10,1017,14.5,7,0,-1,113,113,113,0,1,10.7,météo très défavorable
2009-02-08,7,-1,12,-1,6,2,0,75,10,1021,7.25,7,0,-2,113,113,113,0,1,10.7,météo très défavorable
2009-02-09,7,-0,12,-0,7,4,0.1,80,10,1021,20.5,7,1,1,113,113,116,0,1,10.7,météo très défavorable
2009-02-10,10,3,10,3,10,6,0.5,80,9.25,1016,33.875,10,3,2,113,113,176,0,1,10.7,météo très défavorable
2009-02-11,5,1,6,2,5,1,1.5,85,9.125,1008,46.75,5,2,-1,293,116,263,0,1,10.8,météo très défavorable
2009-02-12,7,-1,15,-1,6,3,0.2,76,9.375,1018,14,7,0,-2,113,113,113,0,1,10.8,météo très défavorable
2009-02-13,9,-1,13,-1,9,4,0,77,10,1021,10.125,9,2,1,113,113,113,0,1,10.8,météo très défavorable
2009-02-14,9,1,10,1,9,4,0,74,10,1018,5.25,9,2,2,113,113,113,0,1,10.8,météo très défavorable
2009-02-15,10,1,11,1,10,5,0,72,10,1017,7.625,10,1,3,113,113,113,0,1,10.9,météo très défavorable
2009-02-16,10,2,18,2,9,4,0,67,10,1016,4.75,10,0,1,113,113,113,0,1,10.9,météo très défavorable
2009-02-17,9,1,12,1,9,5,0.6,63,10,1015,15.625,9,0,4,113,386,113,0,1,10.9,météo très défavorable
2009-02-18,4,-3,10,-2,4,-1,0.1,64,9.875,1022,14.5,4,0,-2,179,113,113,0,1,10.9,météo très défavorable
2009-02-19,4,-5,3,-5,4,-3,0,74,10,1025,11.125,4,0,-3,113,113,113,0,1,10.9,météo très défavorable
2009-02-20,6,-4,5,-4,6,1,0,80,10,1020,32.375,6,0,-0,113,116,116,0,1,11,météo très défavorable
2009-02-21,7,-0,9,-0,7,3,0.3,81,9.875,1013,29.625,7,0,1,113,113,176,0,1,11,météo très défavorable
2009-02-22,3,-1,13,0,3,0,3.1,77,9.5,1010,43.875,3,0,-3,176,116,116,0,1,11,météo très défavorable
2009-02-23,5,-2,8,-2,4,-0,0,75,10,1020,29.5,5,0,-1,116,116,113,0,1,11,météo très défavorable
2009-02-24,7,-3,10,-3,7,0,0,82,10,1024,10.625,7,0,-2,113,113,113,0,1,11.1,météo très défavorable
2009-02-25,8,-2,8,-2,8,2,0.1,84,10,1022,20,8,0,1,113,113,113,0,1,11.1,météo très défavorable
2009-02-26,6,-0,6,-0,5,2,0.7,91,9.125,1019,50.25,6,1,1,263,200,353,0,1,11.1,météo très défavorable
2009-02-27,9,-1,9,-1,9,4,0.4,89,7.875,1018,36.625,9,2,1,143,116,116,0,1,11.1,météo très défavorable
2009-02-28,8,2,21,2,8,3,0.4,78,8.375,1005,40.875,8,1,-0,119,386,263,0,1,11.2,météo très défavorable
2009-03-01,6,-1,11,-1,5,2,1.3,81,9.75,1012,33.375,6,0,0,113,386,353,0,1,11.2,météo très défavorable
2009-03-02,3,-2,6,-1,2,-0,4.8,89,7.5,1014,55.625,3,0,-2,338,116,113,1.7,1,11.2,météo très défavorable
2009-03-03,5,-3,14,-3,5,-0,0.7,76,9.375,1018,35.375,5,0,-3,113,113,263,0,1,8.6,météo très défavorable
2009-03-04,4,-3,9,-3,4,-2,0.2,68,9.625,1021,21.375,4,0,-4,113,113,113,0.1,1,11.3,météo très défavorable
2009-03-05,4,-5,4,-5,4,-3,0,78,10,1023,7.375,4,0,-3,113,113,113,0,1,11.3,météo très défavorable
2009-03-06,7,-4,12,-4,6,1,0,80,10,1023,12.25,7,0,-2,113,113,113,0,1,11.3,météo très défavorable
2009-03-07,11,1,15,1,10,6,0,72,10,1021,11.5,11,2,3,113,113,113,0,1,11.3,météo très défavorable
2009-03-08,15,4,9,4,14,10,0,62,10,1021,20.125,15,4,9,113,113,113,0,1,11.4,météo correcte
2009-03-09,17,6,23,6,17,12,0,62,10,1014,17.25,17,5,10,116,113,116,0,1,11.4,météo correcte
