DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,0,12,4,7,6,0,62,10,1025,0,7,0,4,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,11,0,10,8,11,11,0,71,10,1026,44.625,11,7,10,113,116,122,0,3,7,météo très défavorable
2009-01-03,14,0,13,12,14,12,0.2,70,10,1023,42.875,14,8,12,116,116,113,0,3,8.7,météo très défavorable
2009-01-04,15,0,17,13,15,13,2.4,84,9.875,1020,34.125,15,11,13,119,116,113,0,4,8.7,météo très défavorable
2009-01-05,16,0,22,14,16,14,0.4,76,10,1018,10.25,16,10,13,113,113,113,0,4,8.7,météo très défavorable
2009-01-06,17,0,18,14,17,15,0,76,10,1017,11,17,11,14,113,113,113,0,4,8.7,météo très défavorable
2009-01-07,17,0,22,15,17,14,1.6,80,9.875,1019,25.75,17,12,13,113,113,113,0,5,8.7,météo très défavorable
2009-01-08,15,0,10,13,15,14,0.3,79,9.875,1022,27.25,15,11,13,116,113,113,0,3,8.7,météo très défavorable
2009-01-09,15,0,17,12,15,13,0,69,10,1024,6.125,16,9,13,113,113,113,0,4,8.7,météo très défavorable
2009-01-10,14,0,5,12,14,13,1.5,77,9.875,1024,41,14,10,13,113,116,116,0,4,7,météo très défavorable
2009-01-11,15,0,21,13,15,11,0,69,10,1026,11,15,10,11,113,113,113,0,4,8.7,météo très défavorable
2009-01-12,12,0,26,9,12,9,0,63,10,1029,4.875,12,5,7,113,113,113,0,3,8.7,météo très défavorable
2009-01-13,14,0,19,10,14,11,0,65,10,1030,17,14,6,10,113,116,116,0,3,8.7,météo très défavorable
2009-01-14,15,0,27,12,15,13,0,63,10,1029,24.25,15,7,11,116,116,116,0,4,8.7,météo très défavorable
2009-01-15,16,0,21,14,16,14,0,68,10,1026,11.5,16,9,13,113,113,113,0,4,8.7,météo très défavorable
