DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-8,-11,14,-11,-10,-8,0.5,95,6.125,1032,81.5,0,0,-16,116,122,260,0.5,1,2,météo très défavorable
2009-01-02,-9,-17,10,-10,-12,-17,0.2,96,2,1017,65.75,0,0,-17,260,143,260,0.2,1,3.9,météo très défavorable
2009-01-03,-11,-16,21,-14,-12,-12,0.4,96,7.75,1020,97,0,0,-20,122,122,143,0.3,1,2,météo très défavorable
2009-01-04,-11,-19,5,-16,-12,-14,0.5,95,3.5,1025,57.25,0,0,-14,260,143,143,0.4,1,2,météo très défavorable
2009-01-05,-12,-17,18,-16,-14,-16,0,92,10,1029,39.875,0,0,-23,116,116,113,0,1,3.9,météo très défavorable
2009-01-06,-7,-13,17,-11,-10,-7,1.9,97,7.375,1025,97.875,0,0,-17,122,122,122,1.7,1,2,météo très défavorable
2009-01-07,-13,-19,19,-16,-17,-17,0,97,10,1032,80.625,0,0,-27,122,122,116,0.1,1,2,météo très défavorable
2009-01-08,-16,-26,7,-23,-19,-18,0,91,8,1036,32.125,0,0,-24,113,116,116,0,1,5.8,météo très défavorable
2009-01-09,-13,-15,16,-15,-15,-14,0,92,10,1032,89.375,0,0,-23,119,122,122,0,1,2,météo très défavorable
2009-01-10,-10,-21,14,-13,-10,-18,0.4,97,4.875,1022,86.375,0,0,-17,122,122,260,0.3,1,2.1,météo très défavorable
2009-01-11,-6,-18,27,-15,-11,-8,1.1,97,4.625,1021,92.5,0,0,-21,122,122,122,0.7,1,2.1,météo très défavorable
2009-01-12,-6,-21,14,-9,-14,-19,1.2,96,5.75,1023,100,0,0,-21,122,122,143,1.1,1,2.1,météo très défavorable
2009-01-13,-18,-23,16,-23,-22,-21,0,95,8,1025,81.25,0,0,-31,122,122,119,0.1,1,2.1,météo très défavorable
2009-01-14,-8,-22,26,-18,-12,-8,1.6,97,6,1026,83.125,0,0,-22,119,122,119,1.3,1,2.1,météo très défavorable
2009-01-15,-5,-8,19,-8,-7,-6,0.4,98,7.875,1028,96.5,0,0,-13,122,122,122,0.3,1,2.1,météo très défavorable
2009-01-16,-6,-10,16,-9,-8,-7,0,93,9,1029,81.25,0,0,-13,143,122,116,0,1,2.1,météo très défavorable
2009-01-17,-4,-8,17,-6,-6,-8,0.2,95,8.375,1026,33.25,0,0,-13,116,116,260,0.1,1,5.8,météo très défavorable
2009-01-18,-4,-9,22,-5,-5,-6,0,97,8,1031,56.625,0,0,-12,119,119,116,0,1,2.1,météo très défavorable
2009-01-19,-3,-9,17,-9,-5,-3,0.7,96,7,1030,86.875,0,0,-11,119,122,143,0.6,1,2.1,météo très défavorable
2009-01-20,-2,-5,6,-4,-4,-5,1.1,97,1.625,1027,83.625,0,0,-7,143,260,143,1,1,4,météo très défavorable
2009-01-21,-6,-8,15,-8,-7,-6,0.1,97,8.75,1032,93.125,0,0,-14,119,122,122,0.1,1,3.2,météo très défavorable
2009-01-22,-7,-10,13,-8,-8,-8,0.3,97,4.5,1037,71.125,0,0,-13,119,260,143,0.3,1,3.3,météo très défavorable
