DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,12,18,12,23,18,0,54,10,1016,5.125,24,13,18,113,113,113,0,5,8.7,météo favorable
2009-01-02,23,10,17,10,22,18,0,55,10,1016,4.625,24,11,18,113,113,113,0,5,8.7,météo favorable
2009-01-03,22,10,17,10,19,16,0,56,10,1019,16.875,24,10,12,113,113,113,0,4,8.7,météo favorable
2009-01-04,23,9,16,9,21,17,0,58,10,1018,10,24,9,15,113,113,113,0,4,8.7,météo favorable
2009-01-05,23,10,10,10,22,17,0,66,9,1017,10.125,24,10,17,143,113,113,0,5,8.7,météo favorable
2009-01-06,23,10,8,10,22,17,0,57,10,1016,5.375,24,9,17,113,113,113,0,5,8.7,météo favorable
2009-01-07,23,10,17,10,22,17,0,64,10,1016,6,24,10,16,113,113,113,0,5,8.7,météo favorable
2009-01-08,24,10,6,10,22,18,0,59,10,1017,7.875,24,10,17,113,113,113,0,5,8.7,météo favorable
2009-01-09,24,10,14,10,22,18,0,51,10,1018,5.5,24,9,17,113,113,113,0,5,8.7,météo favorable
2009-01-10,23,11,17,11,22,17,0,61,10,1017,7.75,24,10,17,113,113,113,0,5,8.7,météo favorable
2009-01-11,22,9,10,9,21,18,0,63,10,1017,16.375,24,10,16,113,113,116,0,5,8.7,météo favorable
2009-01-12,23,10,9,10,21,16,0,45,10,1018,9.75,24,9,15,113,113,113,0,5,8.7,météo favorable
2009-01-13,23,10,6,10,21,17,0,47,10,1019,12,24,7,17,113,113,113,0,5,8.7,météo favorable
2009-01-14,19,9,15,9,17,14,0,68,10,1022,12.25,20,6,10,113,113,113,0,4,8.7,météo favorable
2009-01-15,18,6,24,6,16,12,0,56,10,1024,7.5,18,2,6,113,113,113,0,4,8.7,météo favorable
2009-01-16,20,6,14,6,17,15,0,47,10,1023,15.625,20,3,8,113,113,113,0,4,8.7,météo favorable
2009-01-17,23,8,9,8,20,16,0,45,10,1020,6.375,23,7,12,113,113,113,0,4,8.7,météo favorable
2009-01-18,17,10,12,10,17,15,3.8,86,9.625,1017,36.75,18,12,14,113,353,356,0,4,7.2,météo correcte
2009-01-19,20,12,9,12,19,16,3.1,66,9.625,1016,12.625,20,11,15,113,113,113,0,3,8.7,météo favorable
2009-01-20,21,9,8,9,19,16,0,59,10,1015,10,21,7,14,113,113,113,0,4,8.7,météo favorable
2009-01-21,19,10,6,10,19,17,0.5,61,9.375,1017,31.875,20,10,15,113,116,263,0,4,8.7,météo favorable
2009-01-22,20,12,10,12,17,18,1.2,80,9,1017,57.75,20,12,12,266,116,353,0,5,10.1,météo correcte
2009-01-23,20,12,7,12,20,18,0.4,76,8,1015,36.125,21,12,16,143,116,116,0,4,11.5,météo favorable
2009-01-24,22,10,20,10,20,18,0,63,10,1015,13,24,12,13,113,113,113,0,5,11.5,météo favorable
2009-01-25,22,13,14,13,21,19,1.2,64,9.875,1015,14.75,24,13,17,113,113,176,0,5,11.5,météo favorable
2009-01-26,22,12,8,12,22,20,0.5,65,9.875,1017,20.125,24,13,18,113,116,176,0,5,11.5,météo favorable
2009-01-27,23,13,6,13,22,20,0.1,59,10,1017,13.75,24,12,17,113,113,113,0,5,11.5,météo favorable
2009-01-28,24,12,10,12,22,19,0,54,10,1016,14,24,11,19,113,113,113,0,5,11.5,météo favorable
2009-01-29,24,12,12,12,23,20,0,54,10,1015,6.125,25,10,19,113,113,113,0,5,11.5,météo favorable
2009-01-30,24,13,19,13,23,19,0,55,10,1014,5.75,24,11,18,113,113,113,0,5,11.6,météo favorable
2009-01-31,24,12,17,12,22,20,0,60,10,1014,4.625,24,12,18,113,113,113,0,5,11.6,météo favorable
2009-02-01,24,12,12,12,23,20,0,58,10,1016,6.5,24,12,18,113,113,113,0,5,11.6,météo favorable
2009-02-02,23,13,19,13,21,19,0,37,10,1018,10.25,24,10,17,113,113,113,0,5,11.6,météo favorable
2009-02-03,24,11,11,11,22,21,0,41,10,1018,9.5,25,7,16,113,113,113,0,5,11.6,météo favorable
2009-02-04,24,12,9,12,22,20,0,35,10,1018,5.75,24,4,17,113,113,113,0,5,11.6,météo favorable
2009-02-05,25,12,10,12,23,20,0,42,10,1017,6.75,25,9,16,113,113,113,0,5,11.6,météo favorable
2009-02-06,24,14,28,14,24,20,0.2,52,10,1014,10.5,25,11,19,113,113,113,0,5,11.6,météo favorable
2009-02-07,23,12,21,12,23,20,0.2,50,10,1014,12.75,24,12,18,113,116,113,0,5,11.6,météo favorable
2009-02-08,26,12,6,12,24,21,0,53,10,1016,10.875,25,11,19,113,113,113,0,5,11.6,météo favorable
2009-02-09,27,14,16,14,25,22,0,38,10,1018,8.75,26,11,20,113,113,113,0,5,11.6,météo favorable
2009-02-10,27,14,24,14,26,22,0,49,10,1016,0.75,25,10,20,113,113,113,0,5,11.6,météo favorable
2009-02-11,25,13,18,13,24,21,0,46,10,1014,3.125,25,11,19,113,113,113,0,5,11.6,météo favorable
2009-02-12,24,13,23,13,22,20,0,33,10,1016,6.75,24,9,17,113,113,113,0,5,11.6,météo favorable
2009-02-13,26,12,12,12,24,21,0,39,10,1016,3.25,25,7,17,113,113,113,0,5,11.6,météo favorable
2009-02-14,27,13,12,13,26,22,0,43,10,1013,2.625,26,11,21,113,113,113,0,5,11.6,météo favorable
2009-02-15,28,14,9,14,27,23,0,50,10,1012,2.375,26,11,22,113,113,113,0,6,11.6,météo favorable
2009-02-16,28,16,9,16,27,23,0,36,10,1013,1.25,27,8,23,113,113,113,0,6,11.6,météo idéale
2009-02-17,27,14,8,14,26,23,0,42,10,1014,2.25,26,9,22,113,113,113,0,6,11.6,météo favorable
2009-02-18,26,14,5,14,24,22,0,38,10,1014,4.875,26,9,21,113,113,113,0,5,11.6,météo favorable
2009-02-19,25,12,18,12,23,21,0,27,10,1016,21.5,24,2,17,113,116,116,0,5,10.2,météo favorable
2009-02-20,26,12,12,12,24,22,0,38,10,1015,2.5,25,9,18,113,113,113,0,5,11.6,météo favorable
2009-02-21,25,13,22,13,25,21,0,54,10,1013,11.375,25,10,19,113,113,113,0,5,11.6,météo favorable
2009-02-22,26,12,18,12,25,21,0,44,10,1012,17,25,10,20,116,113,113,0,5,11.6,météo favorable
2009-02-23,27,12,17,12,26,22,0,39,10,1011,0,25,10,21,113,113,113,0,5,11.6,météo favorable
2009-02-24,27,14,23,14,26,22,0,41,10,1012,2.625,26,10,21,113,113,113,0,5,11.6,météo favorable
2009-02-25,27,13,21,13,27,22,0,37,10,1014,0.5,26,10,22,113,113,113,0,5,11.6,météo favorable
2009-02-26,28,13,29,13,28,23,0,34,10,1013,0,26,9,22,113,113,113,0,6,11.6,météo favorable
2009-02-27,27,14,31,14,27,23,0,45,10,1011,2.125,26,10,21,113,113,113,0,6,11.6,météo favorable
2009-02-28,26,15,30,15,26,22,0,58,10,1012,12.25,26,14,20,113,116,113,0,6,11.6,météo favorable
2009-03-01,20,14,23,14,18,19,0.3,75,9.375,1015,26.875,21,14,17,116,263,113,0,5,11.6,météo correcte
2009-03-02,24,7,9,7,21,19,0,31,10,1019,5,25,4,13,113,113,113,0,4,11.6,météo favorable
2009-03-03,25,11,18,11,24,20,0,52,10,1017,11.5,25,11,17,113,113,113,0,5,11.6,météo favorable
2009-03-04,20,12,14,12,20,19,0.4,69,9.875,1015,27.875,20,13,17,113,116,176,0,5,11.6,météo favorable
2009-03-05,26,13,11,13,23,22,0.3,49,9.875,1016,20.875,25,12,19,113,116,113,0,4,11.6,météo favorable
2009-03-06,28,14,15,14,26,23,0,32,10,1016,3.875,26,5,20,113,113,113,0,6,11.6,météo favorable
2009-03-07,28,13,13,13,26,23,0,26,10,1016,0.75,27,4,19,113,113,113,0,5,11.6,météo favorable
2009-03-08,29,15,13,15,27,25,0,28,10,1015,1.75,29,3,21,113,113,113,0,6,11.6,météo idéale
2009-03-09,30,15,12,15,28,24,0,23,10,1014,0,27,5,22,113,113,113,0,6,11.6,météo idéale
2009-03-10,28,15,17,15,27,23,0,25,10,1013,9.875,26,6,22,113,113,116,0,6,11.6,météo idéale
2009-03-11,28,14,18,14,27,24,0,25,10,1013,22.5,26,4,21,116,116,113,0,6,11.6,météo favorable
2009-03-12,29,14,22,14,27,24,0,19,10,1014,14.75,27,0,21,113,116,113,0,6,11.6,météo favorable
2009-03-13,28,14,14,14,27,24,0,27,10,1014,0.375,28,6,21,113,113,113,0,6,11.6,météo favorable
2009-03-14,29,13,17,13,27,24,0,36,10,1014,0.875,27,10,23,113,113,113,0,6,11.6,météo favorable
2009-03-15,28,14,17,14,27,24,0,40,10,1013,2.375,27,11,23,113,113,113,0,6,11.6,météo favorable
2009-03-16,28,13,17,13,27,23,0,34,10,1013,1.5,26,9,23,113,113,113,0,6,11.6,météo favorable
2009-03-17,28,13,18,13,27,24,0,38,10,1012,1.875,27,10,22,113,113,113,0,6,11.6,météo favorable
2009-03-18,29,14,22,14,28,24,0,43,10,1012,4.875,27,13,22,113,113,113,0,6,11.6,météo favorable
2009-03-19,30,15,15,15,27,25,0,44,10,1014,7.125,28,13,22,113,113,113,0,6,11.6,météo idéale
2009-03-20,31,16,16,16,29,26,0,34,10,1014,1.25,29,13,26,113,113,113,0,6,11.6,météo idéale
2009-03-21,31,15,23,15,30,26,0,31,10,1012,0.25,28,11,25,113,113,113,0,6,11.6,météo idéale
2009-03-22,31,15,15,15,29,26,0,30,10,1012,3.75,29,12,24,113,113,113,0,6,11.6,météo idéale
2009-03-23,30,15,20,15,29,25,0,33,10,1010,6.625,28,10,23,113,113,113,0,6,11.6,météo idéale
2009-03-24,30,15,27,15,30,25,0,38,10,1010,23.875,28,11,23,116,113,113,0,6,11.6,météo idéale
