DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-0,19,0,0,-0,0.9,77,9,1031,99.5,1,0,-5,122,122,122,0.8,1,1.3,météo très défavorable
2009-01-02,2,0,32,1,1,1,4.6,83,5.75,1031,100,2,1,-5,122,122,122,3.4,1,1.3,météo très défavorable
2009-01-03,4,-1,20,4,1,-0,1.5,77,8.875,1016,93.625,4,2,-4,122,122,119,1.2,1,1.3,météo très défavorable
2009-01-04,-2,-3,6,-2,-2,-3,0.2,59,9.875,1024,39.125,0,0,-5,113,113,116,0,1,5.2,météo très défavorable
2009-01-05,3,-1,43,-0,2,3,4.5,84,6.375,1025,96.875,4,1,-5,122,122,122,0.1,1,1.3,météo très défavorable
2009-01-06,4,-1,44,4,2,-0,7.7,81,7,1013,100,4,3,-7,122,122,122,0,1,1.4,météo très défavorable
2009-01-07,-1,-1,17,-1,-1,-1,1.2,72,8.75,1017,89.5,0,0,-6,122,122,116,0,1,1.4,météo très défavorable
2009-01-08,6,-1,53,5,6,6,9.8,95,9.25,1009,100,6,5,0,122,122,122,0,1,1.4,météo très défavorable
2009-01-09,7,5,41,6,7,6,3.6,94,8.75,1016,95.625,7,6,1,122,122,119,0,1,1.4,météo très défavorable
2009-01-10,7,4,78,6,6,7,1,76,9.875,1014,69.875,7,4,-4,119,116,122,0,1,5.8,météo très défavorable
2009-01-11,8,5,64,6,6,7,15.5,91,8.375,992,100,8,6,-1,122,122,122,0,1,1.5,météo très défavorable
2009-01-12,8,6,51,8,8,7,11.3,91,8.375,987,94,8,7,2,200,200,122,0,1,1.5,météo très défavorable
2009-01-13,6,2,55,6,6,4,3,87,7.625,993,93,6,4,-2,122,200,122,0,1,1.5,météo très défavorable
