DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,26,27,26,26,26,0.5,80,9,1015,48.625,29,23,26,116,116,119,0,7,8.7,météo favorable
2009-01-02,27,26,31,26,27,27,7.4,82,9.5,1015,57.25,30,23,27,116,116,116,0,6,8.7,météo correcte
2009-01-03,27,26,34,26,27,27,1,81,10,1015,34.375,30,24,27,116,116,113,0,7,8.7,météo favorable
2009-01-04,27,26,28,27,27,27,0.1,80,10,1015,13.25,30,23,27,113,113,113,0,7,8.7,météo idéale
2009-01-05,27,26,26,26,26,26,0.9,82,10,1015,22.25,30,23,27,113,116,116,0,7,8.7,météo favorable
2009-01-06,27,26,26,26,27,27,2.3,80,9.75,1015,31.125,30,23,27,116,113,116,0,7,8.7,météo favorable
2009-01-07,26,26,28,26,26,26,0,80,10,1015,12.5,29,23,26,113,113,113,0,7,8.7,météo idéale
2009-01-08,26,26,26,26,26,26,0.4,79,9.75,1015,21.25,29,23,26,116,113,113,0,7,8.7,météo idéale
2009-01-09,27,26,29,26,26,27,0.4,81,9.875,1016,26.375,30,23,26,113,116,116,0,7,8.7,météo favorable
2009-01-10,27,26,34,26,27,26,0.3,79,10,1017,14.875,29,23,26,113,113,113,0,7,8.7,météo idéale
2009-01-11,26,26,35,26,26,26,0.4,78,9.875,1017,21.5,29,22,26,113,113,116,0,7,8.7,météo idéale
2009-01-12,27,26,34,26,26,26,0.3,76,9.875,1017,17.5,29,22,26,116,113,113,0,7,8.7,météo idéale
2009-01-13,27,26,44,26,27,26,1,78,9.75,1018,20.25,29,22,26,116,113,113,0,7,8.7,météo idéale
2009-01-14,27,26,34,26,27,27,0,76,10,1018,11.375,29,22,26,113,113,113,0,7,8.7,météo idéale
2009-01-15,26,26,33,26,26,26,0.6,78,9.875,1017,19.375,28,22,26,113,113,116,0,7,8.7,météo idéale
2009-01-16,26,25,17,26,26,26,0.7,82,9.75,1015,27.875,29,23,26,116,113,113,0,7,8.7,météo idéale
2009-01-17,26,26,24,26,26,26,0.4,84,9.875,1017,31.875,30,23,26,116,116,116,0,7,8.7,météo favorable
2009-01-18,26,26,27,26,26,26,0.7,81,9.875,1017,29,29,23,26,116,113,116,0,7,8.7,météo idéale
2009-01-19,26,26,27,26,26,26,0.8,82,9.875,1016,45,29,23,26,116,116,119,0,7,8.7,météo favorable
2009-01-20,26,26,24,26,26,26,2.2,82,10,1017,38.75,30,23,26,116,116,113,0,7,8.7,météo favorable
2009-01-21,26,26,26,26,26,26,0.7,82,9.875,1016,39.5,29,23,26,116,116,116,0,7,8.7,météo favorable
2009-01-22,26,26,23,26,26,26,0.3,80,9.875,1017,27.625,29,23,26,116,113,113,0,7,8.7,météo idéale
2009-01-23,26,26,31,26,26,26,0.3,77,9.875,1016,25.125,29,23,26,116,113,116,0,7,11.6,météo idéale
2009-01-24,26,25,27,26,26,26,1.1,79,10,1015,35,29,23,26,116,116,116,0,7,11.6,météo favorable
2009-01-25,27,26,27,26,26,26,1.4,80,10,1015,27.5,29,23,27,116,113,113,0,7,11.6,météo idéale
2009-01-26,26,26,34,26,26,26,1.5,79,9.75,1016,35.125,29,23,26,116,116,113,0,7,11.6,météo favorable
2009-01-27,26,26,36,26,26,26,1,80,9.75,1016,34,29,22,26,116,116,116,0,7,11.6,météo favorable
2009-01-28,26,26,37,26,26,26,1.1,81,9.625,1016,36.5,28,22,26,116,116,116,0,7,11.6,météo favorable
2009-01-29,26,26,35,26,26,26,0,81,10,1016,32.875,29,23,26,116,113,113,0,7,11.6,météo favorable
2009-01-30,26,25,28,25,26,26,3.7,81,9.625,1016,41.375,29,23,26,122,113,113,0,7,11.6,météo favorable
2009-01-31,26,26,28,26,26,26,0,80,10,1016,21,29,22,26,116,113,113,0,7,11.6,météo idéale
2009-02-01,26,26,28,26,26,26,0,77,10,1016,16.25,28,22,26,113,113,116,0,7,11.6,météo idéale
2009-02-02,26,26,36,26,26,26,0,76,10,1015,10.375,29,22,26,113,113,113,0,7,11.6,météo idéale
2009-02-03,26,26,29,26,26,26,1.1,81,9.75,1016,25.125,29,22,26,113,116,116,0,7,11.6,météo favorable
2009-02-04,26,26,37,26,26,26,0.8,78,9.875,1018,27.5,29,22,26,119,116,113,0,7,11.6,météo favorable
2009-02-05,26,26,29,26,26,26,0,75,10,1018,3.125,28,21,26,113,113,113,0,7,11.6,météo idéale
2009-02-06,26,25,24,25,25,25,2.1,80,9.625,1017,35.25,28,22,25,116,116,116,0,7,11.6,météo favorable
2009-02-07,26,25,28,25,26,26,0,76,10,1018,10.375,28,21,26,116,113,113,0,7,11.6,météo idéale
2009-02-08,26,25,28,26,26,26,0.5,79,9.875,1017,27.625,28,22,26,113,116,116,0,7,11.6,météo favorable
2009-02-09,26,26,31,26,26,26,0,77,10,1016,6.625,29,22,26,113,113,113,0,7,11.6,météo idéale
2009-02-10,26,26,36,26,26,26,0,74,10,1017,37.375,29,22,26,116,116,116,0,7,11.6,météo favorable
2009-02-11,26,26,38,26,26,26,0,76,10,1018,47.375,29,21,26,119,116,113,0,7,11.6,météo favorable
2009-02-12,26,25,41,25,26,26,0.2,72,10,1018,25.375,28,21,26,119,113,113,0,7,11.6,météo idéale
2009-02-13,26,25,33,25,26,26,0,71,10,1016,6,28,21,26,113,113,116,0,7,11.6,météo idéale
2009-02-14,26,25,28,25,26,26,0,75,10,1015,20.25,28,21,26,116,113,113,0,7,11.6,météo idéale
2009-02-15,26,26,33,26,26,26,0.4,80,9.875,1015,29.125,29,22,26,113,116,116,0,7,11.6,météo favorable
2009-02-16,26,26,32,26,26,26,0.4,81,9.875,1014,32.125,29,23,26,116,116,113,0,6,11.6,météo favorable
2009-02-17,26,26,18,26,26,26,0.4,81,9.875,1015,25.25,29,23,26,113,113,116,0,7,11.6,météo idéale
2009-02-18,26,26,29,26,26,26,0.1,79,10,1016,19.125,29,23,26,116,113,113,0,7,11.6,météo idéale
2009-02-19,26,25,37,26,26,26,0.3,78,10,1016,14.125,28,22,26,113,113,113,0,7,11.6,météo idéale
2009-02-20,26,26,44,26,26,26,0,77,10,1015,23.25,29,22,26,113,113,116,0,7,11.6,météo idéale
2009-02-21,26,25,40,26,26,26,0,79,10,1017,28.625,29,22,25,113,119,116,0,7,10.2,météo correcte
2009-02-22,26,26,44,26,26,26,0,75,10,1018,12.125,28,22,26,113,113,113,0,7,11.6,météo idéale
2009-02-23,26,25,35,26,26,26,0,78,10,1018,26.875,29,22,26,116,113,116,0,7,11.6,météo idéale
2009-02-24,26,25,36,25,26,26,1.5,77,10,1016,44.5,28,22,26,119,116,113,0,6,11.6,météo favorable
2009-02-25,26,25,30,25,26,26,0.7,78,9.75,1015,37.375,28,22,26,116,113,113,0,7,11.6,météo favorable
