DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-0,0,14,-5,-1,-0,0.3,94,8.875,1030,47.125,0,0,-6,143,119,119,0,1,4.9,météo très défavorable
2009-01-02,1,0,17,-0,1,-2,0.3,93,7.875,1031,36.375,1,0,-5,143,113,113,0,1,7.9,météo très défavorable
2009-01-03,1,0,17,-3,0,0,0,71,10,1032,56.5,1,0,-6,116,119,119,0,1,3,météo très défavorable
2009-01-04,2,0,24,1,2,2,2.1,96,9.75,1023,93.875,2,2,-5,122,122,122,0,1,3,météo très défavorable
2009-01-05,1,0,28,-1,-2,-4,2.1,93,7.75,1027,47,1,1,-10,119,116,113,1.8,1,8,météo très défavorable
2009-01-06,-5,0,10,-8,-5,-9,0,77,10,1028,7.875,0,0,-13,113,113,113,0,1,8,météo très défavorable
2009-01-07,1,0,15,-5,0,-0,0.1,97,7.375,1025,66.375,1,0,-7,122,143,116,0.1,1,3,météo très défavorable
2009-01-08,-4,0,12,-6,-4,-6,0,92,9,1031,14,0,0,-9,113,113,116,0,1,8,météo très défavorable
2009-01-09,-4,0,9,-7,-4,-7,0,75,10,1031,3.875,0,0,-9,113,113,113,0,1,8,météo très défavorable
2009-01-10,-4,0,16,-5,-4,-6,0,81,10,1030,1.25,0,0,-10,113,113,113,0,1,8,météo très défavorable
2009-01-11,-0,0,26,-7,-1,-1,0,87,10,1029,18.5,0,0,-12,116,113,113,0,1,8.1,météo très défavorable
