DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,19,12,19,29,22,0,57,10,1016,9.75,31,18,24,113,113,113,0,1,8.7,météo idéale
2009-01-02,30,18,9,18,30,22,0,60,10,1014,6.5,34,18,25,113,113,113,0,1,8.7,météo idéale
2009-01-03,31,20,10,20,31,22,0,63,10,1014,14.25,33,20,26,113,113,113,0,1,8.7,météo idéale
2009-01-04,31,20,8,20,31,25,0,58,10,1015,17.125,35,19,28,113,113,113,0,1,8.7,météo favorable
2009-01-05,30,21,5,21,30,25,0,63,10,1016,17.125,33,20,27,113,113,113,0,1,8.7,météo idéale
2009-01-06,30,20,11,20,30,24,0,59,10,1014,12.5,33,20,27,113,113,113,0,1,8.7,météo idéale
2009-01-07,31,19,9,19,31,23,0,52,10,1013,10.25,33,20,28,113,113,113,0,1,8.7,météo idéale
2009-01-08,28,22,6,22,28,24,0.8,77,9.75,1014,31.125,30,19,23,116,113,113,0,1,8.7,météo favorable
2009-01-09,30,22,7,22,30,24,0.9,69,10,1015,36.375,33,20,26,116,116,116,0,1,8.7,météo favorable
2009-01-10,31,22,8,22,31,25,0,65,10,1015,18.5,33,19,26,113,113,116,0,1,8.7,météo idéale
2009-01-11,31,21,9,21,31,25,0,65,10,1016,24.375,33,18,25,113,113,116,0,1,8.7,météo idéale
2009-01-12,31,22,9,22,31,24,0.4,61,10,1015,30.875,34,20,26,113,116,116,0,1,8.7,météo favorable
2009-01-13,29,21,8,21,29,23,0.1,64,10,1016,36.5,31,19,26,116,113,116,0,1,8.7,météo favorable
2009-01-14,30,22,11,22,30,25,0,63,10,1016,23.75,32,18,25,116,113,113,0,1,8.7,météo idéale
2009-01-15,30,21,13,21,30,25,0,62,10,1017,19.25,32,18,25,113,113,116,0,1,8.7,météo idéale
2009-01-16,29,21,17,21,29,24,0,64,10,1018,24.75,30,17,25,116,113,113,0,1,8.7,météo idéale
2009-01-17,28,20,18,20,28,23,0,61,10,1019,18.625,29,16,23,113,116,113,0,1,8.7,météo favorable
2009-01-18,29,19,11,19,29,24,0,63,10,1020,17.375,31,17,24,113,116,113,0,1,8.7,météo favorable
2009-01-19,30,20,12,20,29,21,0,64,10,1018,21.5,32,19,22,116,113,113,0,1,8.7,météo idéale
2009-01-20,30,18,9,18,30,24,0,58,10,1018,15,32,18,24,113,113,113,0,1,8.7,météo idéale
2009-01-21,27,18,23,18,26,23,0,59,10,1020,1.125,28,15,22,113,113,113,0,1,8.7,météo idéale
2009-01-22,29,16,14,16,27,21,0,57,10,1019,1.375,33,14,21,113,113,113,0,1,8.7,météo idéale
2009-01-23,31,16,12,16,31,21,0,56,10,1019,2.375,36,16,22,113,113,113,0,1,8.7,météo favorable
2009-01-24,32,19,10,19,32,22,0,59,10,1017,9.875,34,19,24,113,113,113,0,1,8.7,météo idéale
2009-01-25,30,20,12,20,30,25,0,61,10,1016,18.75,32,17,24,113,113,113,0,1,8.7,météo idéale
2009-01-26,31,19,12,19,30,21,0,56,10,1017,5.25,33,18,24,113,113,113,0,1,8.7,météo idéale
2009-01-27,30,20,10,20,30,24,0,60,10,1017,12.125,32,19,25,113,113,113,0,1,8.7,météo idéale
2009-01-28,32,20,6,20,32,24,0.1,60,10,1016,12.625,35,19,27,116,113,113,0,1,8.7,météo favorable
2009-01-29,33,20,9,20,33,25,0,56,10,1015,11,35,19,27,113,113,113,0,1,8.7,météo favorable
2009-01-30,30,20,7,20,30,25,0,60,10,1016,32.75,32,20,26,116,116,113,0,1,8.7,météo favorable
2009-01-31,31,20,12,20,30,25,0,56,10,1017,15,33,17,25,113,113,113,0,1,8.7,météo idéale
2009-02-01,31,20,9,20,31,23,0,59,10,1016,15.5,34,18,26,113,113,113,0,1,8.7,météo idéale
2009-02-02,31,19,9,19,31,24,0,61,10,1014,33,33,20,27,116,116,113,0,1,8.7,météo favorable
2009-02-03,29,22,11,22,28,26,0,61,10,1016,20.875,30,19,26,113,116,113,0,1,8.7,météo favorable
2009-02-04,27,21,23,21,27,23,0,58,10,1019,14.5,28,17,24,113,113,116,0,1,8.7,météo idéale
2009-02-05,26,18,27,18,26,22,0,54,10,1021,2.875,26,13,21,113,113,113,0,1,8.7,météo idéale
2009-02-06,27,18,22,18,26,23,0,54,10,1020,7,27,12,21,113,113,113,0,1,8.7,météo idéale
2009-02-07,28,18,17,18,27,23,0,56,10,1019,8.5,29,15,21,113,113,113,0,1,8.7,météo idéale
2009-02-08,31,19,14,19,29,24,0,59,10,1018,10.25,33,17,23,113,113,113,0,1,11.6,météo idéale
2009-02-09,31,20,9,20,31,23,0,58,10,1017,11.375,33,19,25,113,113,113,0,1,11.6,météo idéale
2009-02-10,31,19,6,19,31,23,0,60,10,1015,16.875,33,19,25,116,113,113,0,1,11.6,météo idéale
2009-02-11,31,19,8,19,31,24,0,47,10,1015,13.25,32,17,27,113,113,113,0,1,11.6,météo idéale
2009-02-12,32,21,9,21,32,27,0,60,10,1015,15.75,34,19,26,113,113,113,0,1,11.6,météo idéale
2009-02-13,31,22,6,22,31,26,0.1,58,10,1015,19.375,34,19,28,113,113,113,0,1,11.6,météo idéale
2009-02-14,30,21,9,22,30,24,0.4,69,9.875,1014,31.875,33,20,26,116,116,113,0,1,11.6,météo favorable
2009-02-15,29,20,8,20,29,25,0.5,72,9.75,1015,32.5,32,20,25,116,116,116,0,1,11.6,météo favorable
2009-02-16,30,22,6,22,29,25,1.8,79,9.875,1016,30.5,32,21,24,116,113,113,0,1,11.6,météo favorable
2009-02-17,31,20,12,20,31,24,0,60,10,1017,7.75,33,18,24,113,113,113,0,1,11.6,météo idéale
2009-02-18,32,20,8,20,31,24,0,53,10,1015,12.75,34,18,26,113,113,113,0,1,11.6,météo idéale
2009-02-19,32,19,9,19,32,25,0,52,10,1014,8.25,36,18,29,113,113,113,0,1,11.6,météo favorable
2009-02-20,32,23,11,23,32,26,0,56,10,1014,29.5,34,18,27,113,113,116,0,1,11.6,météo idéale
2009-02-21,30,21,11,21,30,25,0,58,10,1015,15,32,18,25,113,113,113,0,1,11.6,météo idéale
2009-02-22,31,20,17,20,30,26,0,58,10,1017,11,31,16,25,113,113,113,0,1,11.6,météo idéale
2009-02-23,29,21,18,21,29,24,0,54,10,1017,12.75,29,16,25,113,113,113,0,1,11.6,météo idéale
2009-02-24,30,21,17,21,29,25,0,55,10,1016,9.125,31,16,25,113,113,113,0,1,11.6,météo idéale
2009-02-25,32,19,13,19,31,23,0,56,10,1016,11.125,34,18,24,113,113,113,0,1,11.6,météo idéale
2009-02-26,31,20,10,20,31,23,0,56,10,1016,7.25,33,17,25,113,113,113,0,1,11.6,météo idéale
2009-02-27,32,20,8,20,32,24,0,55,10,1014,12.125,34,20,27,113,113,113,0,1,11.6,météo idéale
2009-02-28,32,20,7,20,32,26,0,57,10,1013,22.5,35,19,27,116,113,113,0,1,11.6,météo favorable
2009-03-01,30,22,12,22,30,26,0,55,10,1015,11.625,31,19,26,113,113,113,0,1,11.6,météo idéale
2009-03-02,26,20,18,21,26,22,0,54,10,1018,10,26,15,23,113,113,113,0,1,11.6,météo idéale
2009-03-03,30,17,17,17,28,24,0,49,10,1019,3,32,15,21,113,113,113,0,1,11.6,météo idéale
2009-03-04,30,16,17,16,29,24,0,56,10,1018,1.375,31,16,22,113,113,113,0,1,11.6,météo idéale
2009-03-05,32,18,14,18,30,25,0,54,10,1018,2.5,34,15,23,113,113,113,0,1,11.6,météo idéale
2009-03-06,32,19,17,19,31,26,0,54,10,1018,4.5,34,17,25,113,113,113,0,1,11.6,météo idéale
2009-03-07,33,20,10,20,33,24,0,54,10,1016,3.875,35,18,27,113,113,113,0,1,11.6,météo favorable
2009-03-08,32,21,9,21,32,26,0,57,10,1015,15.625,34,19,26,113,113,113,0,1,11.6,météo idéale
2009-03-09,32,21,9,21,32,25,0,55,10,1015,11.5,34,18,26,113,113,113,0,1,11.6,météo idéale
2009-03-10,32,20,7,20,32,26,0,57,10,1015,12.375,34,18,27,113,113,113,0,1,11.6,météo idéale
2009-03-11,32,20,7,20,32,25,0,54,10,1015,14.875,34,18,28,113,113,113,0,1,11.6,météo idéale
2009-03-12,31,20,8,20,31,25,0.3,54,9.875,1016,24.25,33,19,27,116,113,116,0,1,11.6,météo idéale
2009-03-13,30,21,12,21,30,24,0.1,61,10,1015,39.125,31,18,25,116,116,116,0,1,11.6,météo favorable
2009-03-14,27,21,6,21,27,23,0,62,10,1015,37.25,29,18,25,116,116,113,0,1,11.6,météo favorable
2009-03-15,28,21,12,21,28,24,0.8,70,10,1016,45.625,29,19,24,116,116,116,0,1,10.2,météo favorable
2009-03-16,29,22,6,22,29,24,0.1,65,10,1017,34,31,18,25,116,116,113,0,1,11.6,météo favorable
2009-03-17,32,21,7,21,32,26,0,53,10,1016,21.75,34,18,28,113,113,113,0,1,11.6,météo idéale
2009-03-18,32,21,8,21,32,23,0,44,10,1015,13.75,37,17,29,113,113,113,0,1,11.6,météo favorable
2009-03-19,32,18,10,18,32,24,0,35,10,1014,7.25,32,16,27,113,113,113,0,1,11.6,météo idéale
2009-03-20,31,19,9,19,31,26,0,43,10,1015,17.625,32,16,27,113,113,116,0,1,11.6,météo idéale
2009-03-21,31,20,12,20,31,26,0,51,10,1016,22.75,33,16,25,113,113,116,0,1,12.1,météo idéale
2009-03-22,33,20,11,20,33,26,0,52,10,1015,29,35,16,26,113,113,116,0,1,12.5,météo favorable
2009-03-23,32,21,7,21,32,25,0,47,10,1014,33.875,34,17,27,116,113,116,0,1,12.5,météo favorable
2009-03-24,30,21,9,21,30,26,0,49,10,1014,21.5,32,20,29,116,113,113,0,1,12.5,météo idéale
2009-03-25,31,20,12,20,31,26,0,54,10,1014,15.25,32,20,28,116,113,113,0,1,12.5,météo idéale
2009-03-26,30,21,15,21,30,26,0,58,10,1013,12.375,32,20,28,113,113,113,0,1,12.5,météo idéale
2009-03-27,30,19,14,19,30,26,0,53,10,1012,21.375,31,20,28,113,116,116,0,1,12.5,météo favorable
2009-03-28,30,19,16,19,30,24,0,44,10,1012,4.25,31,20,30,113,113,113,0,1,12.5,météo idéale
2009-03-29,33,19,8,19,33,27,0,48,10,1014,14.75,37,20,30,113,113,116,0,1,12.5,météo favorable
2009-03-30,30,22,11,22,30,27,0,51,10,1014,28.375,32,20,29,116,113,113,0,1,12.5,météo idéale
2009-03-31,30,20,14,20,30,26,0.1,56,10,1013,25.125,32,21,29,116,116,116,0,1,12.6,météo favorable
2009-04-01,31,20,14,20,31,27,0,55,10,1013,28.125,33,22,30,116,116,116,0,1,12.6,météo favorable
2009-04-02,31,19,14,19,31,27,0,54,9,1012,6.25,33,22,30,143,113,113,0,1,12.6,météo idéale
2009-04-03,32,19,14,19,32,26,0,36,10,1012,1.625,36,21,32,113,113,113,0,1,12.6,météo favorable
2009-04-04,33,21,14,21,33,27,0,40,10,1012,5.25,36,20,33,113,113,113,0,1,12.6,météo favorable
2009-04-05,32,20,15,20,32,27,0,44,10,1012,8.375,36,21,31,113,113,113,0,1,12.6,météo favorable
2009-04-06,34,21,11,21,34,27,0,45,10,1013,8.625,42,21,33,113,113,113,0,1,12.6,météo correcte
2009-04-07,33,23,12,25,33,26,0,50,10,1017,10.25,37,19,29,113,113,113,0,1,12.6,météo favorable
2009-04-08,34,20,9,20,34,27,0,49,10,1018,7.25,37,18,27,113,113,113,0,1,12.6,météo favorable
2009-04-09,29,22,10,22,29,26,0.1,54,10,1015,35.75,31,21,29,119,116,113,0,1,12.6,météo favorable
2009-04-10,31,20,10,21,30,27,0.1,57,10,1014,24,34,21,28,116,116,113,0,1,12.6,météo favorable
2009-04-11,31,23,8,23,31,27,0,53,10,1015,24.5,33,21,30,116,113,113,0,1,12.6,météo idéale
2009-04-12,32,23,14,23,32,27,0,51,10,1014,14.25,34,21,30,113,113,113,0,1,12.7,météo idéale
2009-04-13,31,21,13,22,30,27,0.1,60,10,1013,29.375,33,21,27,116,116,113,0,1,12.7,météo favorable
2009-04-14,32,21,14,21,32,27,0,50,10,1014,14.25,34,21,30,113,113,113,0,1,12.7,météo idéale
2009-04-15,33,24,10,24,31,27,1.4,66,9.375,1013,44,36,22,28,353,116,113,0,1,12.7,météo favorable
2009-04-16,31,24,12,24,30,27,1,67,9.75,1014,33.125,34,22,28,116,116,113,0,1,12.7,météo favorable
2009-04-17,31,23,10,23,30,27,0.6,58,9.875,1013,28.625,34,22,30,116,116,113,0,1,12.7,météo favorable
2009-04-18,31,23,12,23,31,26,0,56,10,1013,28,33,22,29,119,113,116,0,1,12.7,météo idéale
2009-04-19,33,23,10,23,33,27,0.3,53,9.875,1013,21.375,36,21,30,116,113,113,0,1,12.7,météo favorable
2009-04-20,32,23,6,24,32,27,0,52,10,1013,18,34,20,29,116,113,113,0,1,12.7,météo idéale
2009-04-21,35,23,9,23,35,28,0,43,10,1015,6.75,37,20,31,113,113,113,0,1,12.7,météo favorable
2009-04-22,34,23,10,23,34,28,0,49,10,1016,24.5,36,18,28,113,113,116,0,1,12.7,météo favorable
2009-04-23,35,24,8,24,35,28,0.7,51,9.875,1016,29.625,38,21,29,113,113,116,0,1,12.7,météo favorable
2009-04-24,32,22,9,22,32,27,0.2,65,9.875,1014,38.75,33,20,27,116,113,116,0,1,12.7,météo favorable
2009-04-25,32,23,8,23,32,27,1.4,52,9.625,1015,24.875,34,21,30,113,116,113,0,1,12.7,météo favorable
2009-04-26,31,23,6,23,31,27,0.8,55,9.875,1014,29.5,35,22,30,116,113,113,0,1,12.7,météo favorable
2009-04-27,33,23,8,23,33,28,0.1,52,10,1014,22.125,36,21,31,113,113,116,0,1,12.8,météo favorable
2009-04-28,32,24,5,24,32,28,1,56,9.625,1014,31.5,36,21,30,113,113,113,0,1,12.8,météo favorable
2009-04-29,32,22,6,22,32,26,4.7,65,9.125,1015,31,36,22,28,116,116,200,0,1,12.8,météo favorable
2009-04-30,31,22,7,22,31,26,1.6,62,9.75,1015,38.75,35,21,28,116,113,116,0,1,12.8,météo favorable
2009-05-01,30,23,7,23,30,26,3.6,62,9.75,1015,41.625,34,23,29,116,116,113,0,1,12.8,météo favorable
2009-05-02,28,22,9,22,28,25,5.6,72,9.25,1016,31.125,32,23,28,116,116,116,0,1,12.8,météo favorable
2009-05-03,29,22,12,22,29,24,2.8,73,8.625,1014,21.375,32,22,28,113,116,113,0,1,12.8,météo favorable
2009-05-04,28,22,11,22,28,24,6.9,74,8.75,1014,31.75,32,23,28,116,113,356,0,1,12.8,météo favorable
2009-05-05,30,21,12,22,30,25,1.8,64,7.5,1013,27,33,23,29,113,113,113,0,1,12.8,météo idéale
2009-05-06,28,23,5,23,26,24,5,83,8.625,1014,42,31,23,25,116,119,353,0,1,11.9,météo correcte
2009-05-07,28,22,10,23,27,25,5.4,76,9.375,1013,45.375,32,23,27,116,116,116,0,1,12.8,météo favorable
2009-05-08,28,22,8,23,28,24,6.4,76,8.5,1012,34.125,33,24,28,116,116,143,0,1,12.8,météo favorable
2009-05-09,31,22,6,22,31,25,6.9,70,8.25,1013,26.125,35,23,28,113,116,200,0,1,12.8,météo favorable
2009-05-10,31,22,8,22,31,25,5.2,65,9.375,1013,34.25,35,23,29,116,116,200,0,1,12.8,météo favorable
2009-05-11,31,22,7,22,31,25,3.6,64,9.625,1012,27,36,23,30,116,113,113,0,1,12.8,météo favorable
2009-05-12,31,22,6,22,31,25,5.1,73,8.5,1012,29.625,36,24,29,116,116,113,0,1,12.8,météo favorable
2009-05-13,30,22,9,22,30,25,6.4,75,9.25,1012,24.875,34,24,29,113,113,200,0,1,12.8,météo favorable
2009-05-14,30,23,8,23,30,25,6.4,82,8.25,1013,46.25,33,24,26,116,116,200,0,1,12.9,météo favorable
2009-05-15,24,22,5,23,24,22,12.8,94,5,1013,56.625,27,23,24,143,143,143,0,1,9.3,météo correcte
2009-05-16,28,22,5,22,27,24,18.1,94,6.5,1012,52.125,32,23,23,143,116,116,0,1,11.9,météo très défavorable
2009-05-17,29,22,6,22,29,25,11.4,86,5.875,1011,46.5,35,26,27,143,200,143,0,1,11.9,météo correcte
2009-05-18,27,22,6,22,27,23,1.1,81,8.625,1013,32.375,30,23,25,113,116,113,0,1,12.9,météo favorable
2009-05-19,24,21,8,21,24,24,0.6,90,10,1013,49.125,28,23,24,116,116,116,0,1,10.6,météo favorable
2009-05-20,31,22,7,22,31,24,0.2,68,10,1012,24.875,35,23,27,116,113,113,0,1,12.9,météo favorable
2009-05-21,30,21,6,21,30,24,0.3,73,10,1013,30.875,33,22,27,113,116,113,0,1,12.9,météo favorable
2009-05-22,29,23,7,23,29,24,3.3,74,9.625,1012,34.75,34,24,29,116,116,116,0,1,12.9,météo favorable
2009-05-23,29,22,5,22,29,25,8.1,76,8.625,1014,36.125,35,25,27,116,113,143,0,1,12.9,météo correcte
2009-05-24,29,22,8,22,29,25,7.2,80,7,1014,38.5,34,25,28,143,113,200,0,1,12.9,météo favorable
2009-05-25,31,22,10,23,31,25,1,64,7.625,1013,24.375,36,24,30,113,113,200,0,1,12.9,météo favorable
2009-05-26,29,22,9,24,29,25,1.6,73,5.5,1012,26.25,35,25,30,143,113,143,0,1,12.9,météo favorable
2009-05-27,30,22,7,24,30,25,3.9,82,4.875,1012,50.625,36,25,29,143,113,248,0,1,12.9,météo favorable
