DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,15,9,18,26,17,0,95,5.5,1018,30.625,28,19,18,143,113,143,0,1,11,météo favorable
2009-01-02,25,13,6,16,25,17,0,98,3.75,1018,63,28,19,17,248,113,248,0,1,10.1,météo correcte
2009-01-03,27,17,8,17,27,20,0.1,98,4,1017,58.25,29,20,20,143,113,248,0,1,10.1,météo correcte
2009-01-04,25,18,8,20,25,21,3.6,99,6,1018,65.875,28,23,21,248,116,248,0,1,10.1,météo défavorable
2009-01-05,24,18,6,21,24,21,0.2,94,7.625,1018,51,26,22,21,248,116,143,0,1,11,météo favorable
2009-01-06,26,17,11,20,26,20,0.9,98,6.375,1017,48.125,28,21,20,143,113,248,0,1,10.1,météo favorable
2009-01-07,27,18,14,20,27,21,0.8,95,7.875,1017,28.25,29,22,22,143,113,143,0,1,11,météo idéale
2009-01-08,27,16,8,20,27,20,0.3,96,4.375,1017,37.375,29,21,20,143,113,143,0,1,11,météo favorable
2009-01-09,27,16,6,19,27,19,0,95,4.25,1019,41,30,21,19,143,113,143,0,1,11,météo favorable
2009-01-10,23,18,9,20,23,20,2,98,4.875,1020,73,26,21,20,248,113,248,0,1,10.1,météo défavorable
2009-01-11,26,17,9,20,26,19,0.1,98,5,1020,56.5,27,20,20,248,113,248,0,1,10.1,météo correcte
2009-01-12,27,18,9,21,27,20,0.4,92,5.125,1020,58.25,28,20,20,143,116,113,0,1,11,météo correcte
2009-01-13,26,17,10,19,26,19,0.1,97,5.25,1020,58.625,27,20,19,143,116,248,0,1,10.1,météo correcte
2009-01-14,27,16,8,19,27,20,0,96,5.5,1021,38.75,28,20,20,143,113,143,0,1,11.1,météo favorable
2009-01-15,25,17,10,19,25,18,0,96,4.25,1021,41.375,27,19,19,143,113,143,0,1,11.1,météo favorable
2009-01-16,21,18,8,19,21,20,3.2,99,3.75,1020,86.625,24,21,20,248,248,248,0,1,5.5,météo défavorable
2009-01-17,26,18,12,19,26,20,0.1,91,6.25,1019,53,27,19,21,248,113,113,0,1,11.1,météo favorable
2009-01-18,22,19,6,19,22,20,3.1,99,5.875,1019,74.75,25,22,20,119,143,248,0,1,7.1,météo défavorable
2009-01-19,27,19,8,20,27,21,1.4,96,4.125,1017,57.375,29,23,21,143,116,143,0,1,11.1,météo correcte
2009-01-20,28,18,11,20,28,20,0.3,98,5.125,1017,46.125,29,21,21,143,113,248,0,1,10.1,météo favorable
2009-01-21,29,18,8,19,29,22,0.4,87,7.375,1018,43.875,32,20,22,113,113,116,0,1,11.1,météo favorable
2009-01-22,24,19,9,20,24,20,3.7,99,5,1019,60.875,27,23,20,143,116,248,0,1,10.1,météo correcte
2009-01-23,24,18,13,20,24,20,4.9,100,6.5,1019,73.375,26,22,20,143,116,122,0,1,8.6,météo défavorable
2009-01-24,24,19,5,19,24,20,6.2,100,4.625,1018,89.625,27,23,20,248,119,248,0,1,5.6,météo défavorable
2009-01-25,25,17,10,19,25,20,2.7,98,3.375,1018,73.875,27,22,20,248,113,248,0,1,10.1,météo défavorable
2009-01-26,26,18,9,20,26,19,0.9,97,3.625,1020,71.5,28,20,19,248,116,248,0,1,10.1,météo défavorable
2009-01-27,26,18,13,20,26,19,1.4,98,3.5,1021,70.875,27,21,19,248,113,248,0,1,10.1,météo défavorable
2009-01-28,23,18,8,20,23,19,5.4,99,4.875,1019,80.125,25,22,20,143,116,248,0,1,7.1,météo défavorable
2009-01-29,25,18,13,20,25,19,0.2,97,4.875,1019,59,27,20,19,248,113,248,0,1,10.1,météo correcte
2009-01-30,28,18,5,19,28,19,0.2,99,4,1018,63.125,31,21,19,143,113,248,0,1,10.1,météo correcte
2009-01-31,28,18,10,19,28,20,0.1,84,6.5,1018,33.25,29,19,20,113,113,113,0,1,11.2,météo favorable
2009-02-01,23,18,7,19,23,19,2.4,99,4.25,1019,87,26,21,20,143,116,248,0,1,7.1,météo défavorable
2009-02-02,27,17,9,20,27,20,0.3,98,5.125,1018,63.125,28,21,20,143,116,248,0,1,10.1,météo correcte
2009-02-03,27,18,8,20,27,21,0.1,93,5.5,1018,57.625,29,21,21,143,113,119,0,1,10.1,météo correcte
2009-02-04,29,18,6,19,29,19,0,93,9,1020,10.375,32,21,20,113,113,113,0,1,11.2,météo idéale
2009-02-05,22,18,12,20,22,19,2.6,97,6.625,1021,83,25,19,19,116,119,143,0,1,5.6,météo défavorable
2009-02-06,19,18,11,18,19,18,2.5,99,5.625,1023,100,19,18,18,122,143,248,0,1,5.6,météo défavorable
2009-02-07,19,18,8,18,19,18,1.1,100,1.75,1023,98.875,19,19,19,248,248,248,0,1,5.6,météo défavorable
2009-02-08,22,18,9,18,22,18,5.3,100,4.875,1021,84,24,21,18,248,143,248,0,1,5.6,météo défavorable
2009-02-09,22,17,15,18,22,19,4.6,100,4.625,1019,88.375,25,20,19,248,116,248,0,1,7.1,météo défavorable
2009-02-10,22,19,15,19,22,19,9.7,99,5.875,1020,94.5,25,21,20,248,122,248,0,1,5.6,météo défavorable
2009-02-11,24,17,12,19,24,19,2.9,98,5.125,1022,72.5,26,20,19,248,116,143,0,1,10.1,météo défavorable
2009-02-12,26,16,9,18,26,17,0,98,5,1021,58.125,27,19,17,116,113,248,0,1,10.1,météo correcte
2009-02-13,26,17,10,19,26,19,0.3,97,4.25,1019,60.375,27,20,20,143,116,143,0,1,11.3,météo correcte
2009-02-14,26,15,9,18,26,18,0,95,4.25,1018,49.125,27,19,20,143,113,143,0,1,11.3,météo favorable
2009-02-15,28,16,6,18,28,18,0,93,6.25,1018,40.875,32,19,19,113,113,113,0,1,11.3,météo favorable
2009-02-16,27,15,6,18,27,21,0.1,82,7.5,1018,44.75,29,19,21,113,116,113,0,1,10.1,météo favorable
2009-02-17,24,16,12,18,24,19,2.2,98,6.625,1018,45.375,26,19,19,113,116,248,0,1,8.6,météo favorable
2009-02-18,23,15,13,17,23,17,0,91,8,1020,36.75,25,17,17,116,116,113,0,1,11.4,météo favorable
2009-02-19,26,14,7,16,26,17,0,96,5.75,1018,27.375,27,18,18,116,113,143,0,1,11.4,météo favorable
2009-02-20,26,16,11,19,26,20,0.3,96,4.125,1017,55.25,28,21,21,143,113,143,0,1,11.4,météo correcte
2009-02-21,27,17,11,20,27,18,0,97,5.5,1019,46.375,28,20,19,143,116,143,0,1,11.4,météo favorable
2009-02-22,26,17,11,20,26,18,0,97,6.25,1020,48.125,27,19,19,113,116,248,0,1,10.1,météo favorable
2009-02-23,27,17,10,20,27,19,0,91,6.25,1020,42.5,28,19,20,113,113,113,0,1,11.4,météo favorable
2009-02-24,28,16,9,19,28,18,0,98,6.25,1018,49,29,19,19,113,113,113,0,1,11.4,météo favorable
2009-02-25,25,18,5,20,25,18,0.1,99,5,1018,60.375,28,22,19,113,116,248,0,1,10.1,météo correcte
2009-02-26,24,17,10,19,24,19,0,99,5,1018,61.875,26,21,19,116,113,248,0,1,10.1,météo correcte
2009-02-27,24,17,9,19,24,19,3.1,98,4.75,1016,67.875,26,21,19,116,116,248,0,1,10.1,météo défavorable
2009-02-28,25,16,8,19,25,19,4.9,98,4.75,1016,45.5,27,21,20,143,113,356,0,1,11.6,météo favorable
2009-03-01,25,17,11,19,25,19,0.1,98,6.25,1016,58.5,27,21,19,116,113,248,0,1,10.2,météo correcte
