DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,0,11,23,27,22,0.4,68,9.375,1015,42,29,20,25,116,116,116,0,1,8.7,météo favorable
2009-01-02,26,0,12,21,26,20,0,65,10,1016,15,27,17,23,113,113,113,0,1,8.7,météo favorable
2009-01-03,25,0,10,19,25,21,0,62,10,1016,37,27,16,22,116,116,116,0,1,8.7,météo favorable
2009-01-04,28,0,4,20,28,22,0,72,10,1014,21.25,30,19,24,113,113,116,0,1,8.7,météo favorable
2009-01-05,28,0,6,20,28,22,0,66,10,1014,25.125,29,19,26,116,113,113,0,1,8.7,météo favorable
2009-01-06,29,0,4,21,29,23,0,66,10,1014,17.75,32,20,27,113,113,116,0,1,8.7,météo favorable
2009-01-07,29,0,5,23,26,23,0.7,81,9.875,1014,23.75,32,21,25,113,116,116,0,1,8.7,météo favorable
2009-01-08,28,0,8,24,28,24,0.1,72,10,1014,46.75,30,20,26,116,119,116,0,1,7.2,météo très défavorable
2009-01-09,26,0,8,23,26,22,0.2,72,9,1015,53.25,29,20,25,116,116,119,0,1,7.2,météo favorable
2009-01-10,25,0,12,21,25,20,0.3,72,9.375,1016,67.375,26,19,22,119,116,119,0,1,5.7,météo très défavorable
2009-01-11,27,0,8,20,27,21,0,70,10,1017,46.75,28,17,23,116,116,119,0,1,8.7,météo favorable
2009-01-12,24,0,9,20,24,20,0,73,10,1020,33,26,18,22,116,116,116,0,1,8.7,météo favorable
