DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,18,18,18,26,26,0,36,10,1018,1.125,28,4,19,113,113,113,0,6,10.9,météo idéale
2009-01-02,30,17,22,17,27,25,0,31,10,1018,1.5,28,3,19,113,113,113,0,6,11,météo idéale
2009-01-03,29,17,17,17,26,25,0,33,10,1019,3.625,27,2,18,113,113,113,0,6,11,météo idéale
2009-01-04,28,14,14,14,25,24,0,32,10,1018,0.75,26,0,17,113,113,113,0,6,11,météo favorable
2009-01-05,26,14,16,14,23,22,0,44,10,1018,2.625,24,4,16,113,113,113,0,5,11,météo favorable
2009-01-06,23,12,19,12,20,19,0,64,10,1018,0,23,7,12,113,113,113,0,5,11,météo favorable
2009-01-07,22,11,20,11,20,19,0,66,10,1018,0.375,23,7,12,113,113,113,0,5,11,météo favorable
2009-01-08,22,10,18,10,19,18,0,61,10,1018,4.625,23,5,10,113,113,113,0,4,11,météo favorable
2009-01-09,23,12,16,12,20,19,0,43,10,1020,51.5,23,1,13,122,116,116,0,5,11,météo favorable
2009-01-10,24,9,16,9,21,21,0,40,10,1019,17.625,24,8,15,113,113,113,0,4,11,météo favorable
2009-01-11,22,13,25,13,20,19,0,72,10,1018,0.375,23,12,13,113,113,113,0,5,11,météo favorable
2009-01-12,20,11,24,11,17,17,0,65,10,1019,5,20,5,9,113,113,113,0,4,11,météo favorable
2009-01-13,22,9,25,9,19,19,0,48,10,1021,1.75,22,1,9,113,113,113,0,4,11,météo favorable
2009-01-14,22,9,22,9,19,19,0,32,10,1021,19.75,22,0,9,113,116,113,0,4,11,météo favorable
2009-01-15,22,11,15,13,20,20,0,24,10,1019,26.75,22,0,13,116,113,122,0,5,10.1,météo favorable
2009-01-16,22,11,26,11,19,19,0,60,10,1019,0.5,23,6,11,113,113,113,0,5,11,météo favorable
2009-01-17,20,10,28,10,17,18,0,64,10,1022,0.25,20,5,9,113,113,113,0,4,11,météo favorable
2009-01-18,21,9,23,9,18,19,0,59,10,1023,0,23,5,9,113,113,113,0,4,11,météo favorable
2009-01-19,23,9,19,9,20,20,0,50,10,1023,0,23,3,10,113,113,113,0,5,11,météo favorable
2009-01-20,24,10,21,10,21,21,0,76,10,1021,0.875,24,9,11,113,113,113,0,5,11.1,météo favorable
2009-01-21,23,12,31,12,19,20,0,63,10,1022,0,22,10,11,113,113,113,0,5,11.1,météo favorable
2009-01-22,24,11,25,11,20,21,0,55,10,1023,7.5,23,4,11,113,113,113,0,5,11.1,météo favorable
2009-01-23,25,11,23,11,21,21,0,18,10,1024,1.625,24,0,11,113,113,113,0,5,11.1,météo favorable
2009-01-24,26,11,17,11,23,21,0,19,10,1023,0,24,0,12,113,113,113,0,5,11.1,météo favorable
2009-01-25,22,11,17,11,19,20,0,78,10,1020,23.875,24,10,13,113,119,113,0,5,8.6,météo correcte
2009-01-26,26,15,26,16,23,22,0,69,10,1018,13.875,25,11,16,116,113,113,0,5,11.1,météo idéale
2009-01-27,25,12,15,12,21,22,0,59,10,1018,0,24,6,13,113,113,113,0,5,11.1,météo favorable
2009-01-28,27,11,12,11,24,23,0,41,10,1018,0.625,25,2,14,113,113,113,0,5,11.1,météo favorable
2009-01-29,28,13,18,13,25,24,0,30,10,1017,0,26,0,15,113,113,113,0,5,11.1,météo favorable
2009-01-30,29,12,12,12,25,24,0,19,10,1017,0,27,0,14,113,113,113,0,5,11.1,météo favorable
2009-01-31,28,12,17,12,25,23,0,16,10,1017,0,26,0,16,113,113,113,0,5,11.1,météo favorable
2009-02-01,28,11,13,11,24,24,0,37,10,1016,0,26,0,14,113,113,113,0,5,11.1,météo favorable
2009-02-02,26,10,17,10,22,24,0,71,10,1015,0,25,10,13,113,113,113,0,5,11.2,météo favorable
2009-02-03,27,13,12,13,24,24,0,67,10,1015,0,26,11,16,113,113,113,0,5,11.2,météo favorable
2009-02-04,28,13,14,13,25,24,0,52,10,1016,7.5,26,7,16,113,113,113,0,5,11.2,météo favorable
2009-02-05,27,15,13,15,22,24,0,57,10,1016,27,26,7,16,122,113,113,0,5,11.2,météo idéale
2009-02-06,25,15,20,15,23,22,0,50,10,1017,19.5,24,6,16,113,113,122,0,5,10.1,météo idéale
2009-02-07,23,13,26,13,20,21,0,50,10,1020,6,23,5,13,113,113,113,0,5,11.2,météo favorable
2009-02-08,26,11,23,11,21,23,0,53,10,1020,0,25,4,11,113,113,113,0,5,11.2,météo favorable
2009-02-09,29,11,21,11,25,25,0,44,10,1020,0,27,3,13,113,113,113,0,5,11.2,météo favorable
2009-02-10,31,13,22,13,26,26,0,13,10,1019,0,28,0,16,113,113,113,0,6,11.2,météo favorable
2009-02-11,32,13,17,13,28,26,0,18,10,1017,0,30,0,16,113,113,113,0,6,11.3,météo favorable
2009-02-12,33,15,12,15,29,28,0,19,10,1015,1.375,31,0,19,113,113,113,0,6,11.3,météo idéale
2009-02-13,34,16,12,16,30,29,0,14,10,1011,4.25,32,0,20,113,113,113,0,6,11.3,météo idéale
2009-02-14,31,14,20,14,29,28,0,23,10,1010,6.5,29,1,20,113,113,113,0,6,11.3,météo favorable
2009-02-15,27,13,21,13,24,24,0,64,10,1012,0,25,9,15,113,113,113,0,5,11.3,météo favorable
2009-02-16,26,11,16,11,23,23,0,70,10,1012,0,25,9,13,113,113,113,0,5,11.3,météo favorable
2009-02-17,29,11,16,11,26,26,0,53,10,1014,4.625,27,6,16,113,113,113,0,5,11.3,météo favorable
2009-02-18,29,14,18,14,27,26,0,16,10,1015,2.5,27,0,17,113,113,113,0,6,11.3,météo favorable
2009-02-19,29,13,19,13,26,26,0,19,10,1015,0,27,0,16,113,113,113,0,5,11.3,météo favorable
2009-02-20,28,11,13,11,25,24,0,32,10,1015,0,26,0,15,113,113,113,0,5,11.3,météo favorable
2009-02-21,30,12,11,12,27,26,0,19,10,1017,0,28,0,17,113,113,113,0,5,11.4,météo favorable
2009-02-22,35,14,17,14,31,31,0,17,10,1016,8.25,33,1,19,113,113,113,0,6,11.4,météo favorable
2009-02-23,29,19,18,19,29,25,1.5,32,9.875,1014,27.875,27,8,23,113,116,116,0,6,11.4,météo favorable
