DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,20,11,20,25,19,1.5,83,8.125,1016,49.25,26,19,20,263,266,116,,,,météo correcte
2009-01-02,24,19,12,19,24,17,0.2,79,10,1017,19.5,25,16,19,113,113,116,,,,météo idéale
2009-01-03,23,17,11,17,23,18,0,79,10,1017,47.25,25,15,17,116,116,116,,,,météo favorable
2009-01-04,27,18,8,18,27,20,0,78,10,1015,30.625,28,17,18,113,116,119,,,,météo favorable
2009-01-05,26,18,10,18,26,19,0,74,10,1014,30.375,27,17,18,116,116,113,,,,météo favorable
2009-01-06,28,19,10,19,28,21,0,76,10,1014,18,29,18,19,113,113,113,,,,météo idéale
2009-01-07,27,21,8,21,25,21,1.4,85,9.75,1015,35.375,29,20,21,113,353,176,,,,météo correcte
2009-01-08,26,21,8,21,26,22,0.2,80,10,1015,52.5,27,19,21,116,119,116,,,,météo correcte
2009-01-09,24,21,7,21,24,22,1.9,84,6,1015,65.25,26,20,21,263,176,266,,,,météo défavorable
2009-01-10,22,19,10,19,22,18,1.6,84,7,1016,77.375,25,17,19,266,119,266,,,,météo défavorable
2009-01-11,24,17,10,17,24,18,0.5,78,9.375,1018,45.25,25,16,17,116,116,116,,,,météo favorable
2009-01-12,22,18,9,18,21,18,1.2,81,8.5,1020,41,25,16,18,116,263,176,,,,météo correcte
2009-01-13,24,18,11,18,24,17,0.1,78,10,1020,25.875,26,15,18,113,116,113,,,,météo favorable
2009-01-14,23,17,11,17,23,15,0.3,76,10,1021,10.5,25,13,17,113,113,113,,,,météo favorable
2009-01-15,23,15,12,15,23,16,0,74,10,1021,22.875,25,13,14,116,116,113,,,,météo favorable
2009-01-16,24,17,10,17,24,17,0,75,10,1020,25.125,25,14,17,113,116,113,,,,météo favorable
2009-01-17,26,17,9,17,26,19,0,74,10,1018,21.375,27,17,17,113,116,113,,,,météo favorable
2009-01-18,29,20,9,20,29,22,0.2,83,10,1016,25.375,30,19,20,113,116,116,,,,météo favorable
2009-01-19,29,21,8,21,29,22,0.5,76,10,1014,33.125,30,20,21,113,116,353,,,,météo favorable
2009-01-20,30,22,7,22,30,23,1.8,79,9.875,1014,45.875,32,21,22,113,176,353,,,,météo favorable
2009-01-21,29,22,5,22,27,22,1.4,80,9.75,1014,31.125,30,20,22,113,116,293,,,,météo favorable
2009-01-22,29,22,4,22,28,22,17.8,87,8.625,1012,42.375,31,22,22,353,356,356,,,,météo très défavorable
2009-01-23,28,23,4,23,28,22,21.8,90,7.75,1013,41.625,31,23,23,176,356,359,,,,météo très défavorable
2009-01-24,22,19,9,19,22,20,8,93,9,1016,55.75,24,20,19,353,293,176,,,,météo correcte
2009-01-25,25,19,10,19,25,19,0.4,83,10,1016,36.875,26,18,19,113,116,113,,,,météo favorable
2009-01-26,27,19,9,19,27,21,0.2,84,10,1015,30.625,29,19,19,116,116,116,,,,météo favorable
2009-01-27,29,20,6,20,29,22,0.2,81,10,1014,34.375,30,20,20,113,116,116,,,,météo favorable
2009-01-28,30,21,7,21,30,22,0.3,82,9.875,1013,28.25,31,20,21,116,113,176,,,,météo idéale
2009-01-29,29,22,5,22,29,22,0.6,77,9.75,1013,22.25,30,20,22,113,113,176,,,,météo idéale
2009-01-30,27,23,10,23,27,21,1.3,83,8.5,1012,21.875,28,20,23,113,176,176,,,,météo favorable
2009-01-31,29,22,6,22,29,22,1.2,86,7.75,1014,31.25,30,20,22,113,116,176,,,,météo favorable
2009-02-01,28,20,9,20,28,21,0.3,82,10,1016,23.75,29,19,20,113,116,116,,,,météo favorable
