DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-5,11,-5,2,-3,0,94,6.5,1029,29.75,2,0,-7,260,113,113,0,1,8.3,météo très défavorable
2009-01-02,-2,-4,17,-4,-2,-3,0,92,8,1026,66.875,0,0,-8,143,119,119,0,1,3.1,météo très défavorable
2009-01-03,-4,-11,14,-7,-4,-9,0,86,10,1026,20.5,0,0,-12,113,113,113,0,1,8.3,météo très défavorable
2009-01-04,-4,-10,4,-10,-4,-9,0,74,10,1025,25,0,0,-10,113,116,116,0,1,8.4,météo très défavorable
2009-01-05,-5,-8,11,-8,-5,-6,0,86,10,1021,69.25,0,0,-11,119,119,122,0,1,3.1,météo très défavorable
2009-01-06,-4,-7,18,-6,-4,-5,0.2,94,8.375,1019,89.75,0,0,-11,122,122,143,0.2,1,3.1,météo très défavorable
2009-01-07,-6,-9,18,-8,-6,-8,0,94,10,1023,43.5,0,0,-14,119,116,113,0,1,6.8,météo très défavorable
2009-01-08,-6,-10,20,-9,-6,-9,0,95,9,1029,7.625,0,0,-15,116,113,143,0,1,8.4,météo très défavorable
2009-01-09,-4,-14,7,-14,-4,-10,0,91,10,1030,0.5,0,0,-12,113,113,113,0,1,8.4,météo très défavorable
2009-01-10,-2,-10,6,-10,-2,-9,0,88,9,1031,0.875,0,0,-10,113,113,113,0,1,8.4,météo très défavorable
2009-01-11,-3,-13,8,-12,-3,-10,0,84,10,1034,0,0,0,-13,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,1,-11,8,-8,1,-6,0,87,10,1033,10.125,4,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,2,-5,7,-4,2,-4,0,82,10,1024,23.75,4,0,-6,113,113,116,0,1,8.7,météo très défavorable
2009-01-14,-1,-6,8,-6,-1,-1,1.8,98,5.75,1019,52.5,0,0,-5,113,143,260,1.5,1,5.1,météo très défavorable
2009-01-15,1,-5,14,-2,1,-4,0.1,97,3.875,1023,48.75,1,0,-6,260,116,143,0.1,1,8.7,météo très défavorable
2009-01-16,1,-7,8,-6,1,-4,0,87,7.75,1025,20.875,2,0,-5,113,113,113,0,1,6.9,météo très défavorable
2009-01-17,2,-4,14,-4,2,1,0,99,8.75,1024,41,3,2,-3,113,116,119,0,1,6.9,météo très défavorable
2009-01-18,3,-1,35,1,3,3,2.6,99,8.625,1019,81.875,3,3,-3,119,122,122,0,1,3.4,météo très défavorable
2009-01-19,6,1,23,1,5,6,4.4,95,9.25,1014,73.375,6,5,-2,116,119,122,0,1,5.2,météo très défavorable
2009-01-20,3,-1,8,1,3,-0,1.6,98,5.5,1003,70,3,3,-1,122,143,260,0,1,6.9,météo très défavorable
2009-01-21,3,-3,7,-1,3,-3,0.8,95,5.875,1013,53.375,4,3,-2,119,116,143,0.2,1,6.9,météo très défavorable
2009-01-22,2,-4,8,-4,2,0,0,82,9,1013,19.375,3,0,-1,113,113,116,0,1,8.7,météo très défavorable
2009-01-23,7,1,44,3,7,3,12.1,94,9.25,997,83,7,6,-2,122,122,122,0,1,3.4,météo très défavorable
2009-01-24,1,-2,22,-1,-0,1,1.7,97,6.5,998,60.75,1,1,-6,119,122,116,1.3,1,6.9,météo très défavorable
2009-01-25,3,-3,12,-0,3,-1,0,95,4.25,1003,29.25,3,1,-5,260,113,143,0,1,8.7,météo très défavorable
2009-01-26,3,-4,6,-3,3,-3,0,92,9,1005,30.5,3,0,-3,113,116,116,0,1,8.7,météo très défavorable
2009-01-27,2,-5,9,-5,2,-3,0,88,9,1017,14.375,3,0,-6,143,113,113,0,1,8.7,météo très défavorable
2009-01-28,1,-6,14,-6,1,-2,0,91,5.75,1018,31.25,1,0,-7,260,113,119,0,1,8.7,météo très défavorable
2009-01-29,1,-5,16,-4,1,-3,0,95,4.75,1020,51.875,1,0,-8,143,113,143,0,1,7,météo très défavorable
2009-01-30,2,-4,18,-3,1,-3,0,89,9,1021,33,2,0,-7,119,113,113,0,1,8.7,météo très défavorable
2009-01-31,-1,-6,18,-6,-1,-5,0,80,8,1018,13.25,0,0,-9,143,113,113,0,1,8.7,météo très défavorable
2009-02-01,-3,-7,15,-7,-4,-4,0,86,10,1011,56.625,0,0,-10,113,116,122,0,1,8.7,météo très défavorable
2009-02-02,4,-3,13,-3,2,1,0,78,10,1003,53.25,4,0,-3,116,116,116,0,1,7,météo très défavorable
2009-02-03,7,-2,14,-2,7,2,0,83,10,1000,21.375,7,2,-2,113,113,116,0,1,8.7,météo très défavorable
