DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-7,19,-1,-4,-7,1.8,94,10,1018,50,0,0,-13,326,113,113,,,,météo très défavorable
2009-01-02,-7,-10,9,-11,-8,-8,0,98,4.5,1018,16,0,0,-14,260,143,143,,,,météo très défavorable
2009-01-03,-6,-10,11,-7,-7,-10,1.4,99,3.25,1012,63.875,0,0,-15,326,143,260,,,,météo très défavorable
2009-01-04,-10,-12,9,-14,-10,-10,0.2,98,2,1013,47,0,0,-18,143,260,260,,,,météo très défavorable
2009-01-05,-8,-11,10,-13,-9,-9,0.6,99,1.5,1021,72,0,0,-16,143,260,260,,,,météo très défavorable
2009-01-06,-4,-7,34,-9,-5,-5,3,96,9,1021,90.375,0,0,-16,122,326,326,,,,météo très défavorable
2009-01-07,-4,-6,32,-4,-5,-6,14.1,98,4.125,1003,98,0,0,-12,227,332,332,,,,météo très défavorable
2009-01-08,-6,-13,18,-12,-11,-7,0.6,98,8,1017,34.125,0,0,-19,113,113,326,,,,météo très défavorable
2009-01-09,2,1,26,1,1,2,9,100,7.25,1010,100,2,2,-5,317,317,317,,,,météo très défavorable
2009-01-10,0,-5,14,-4,-4,-3,0.3,99,6.75,1025,54.125,0,0,-8,119,143,119,,,,météo très défavorable
2009-01-11,1,0,28,-1,1,1,1.6,98,5,1024,91.625,1,0,-6,266,266,122,,,,météo très défavorable
2009-01-12,3,0,34,-1,2,2,0.5,94,9.375,1018,52.5,3,1,-6,122,116,113,,,,météo très défavorable
2009-01-13,0,-1,26,-2,0,0,0.9,93,8.75,1012,42.875,0,0,-7,113,116,326,,,,météo très défavorable
2009-01-14,1,0,19,-1,1,1,1.4,99,8.5,1014,99.625,1,1,-5,122,122,122,,,,météo très défavorable
2009-01-15,0,0,10,-1,0,0,4.7,100,5.5,1014,99,0,0,-3,317,332,326,,,,météo très défavorable
2009-01-16,0,-3,20,-5,-1,-1,2,95,10,1027,95.75,0,0,-9,326,122,326,,,,météo très défavorable
2009-01-17,-4,-5,14,-6,-5,-5,1.4,96,9,1028,100,0,0,-11,122,122,143,,,,météo très défavorable
2009-01-18,-3,-4,12,-5,-3,-3,5.4,98,6.875,1023,100,0,0,-9,326,326,260,,,,météo très défavorable
2009-01-19,-3,-4,13,-4,-3,-3,1.9,97,7.75,1011,100,0,0,-8,326,143,122,,,,météo très défavorable
2009-01-20,-2,-4,18,-5,-3,-3,1.2,97,7.75,1010,99.625,0,0,-8,143,122,122,,,,météo très défavorable
2009-01-21,1,-1,13,-2,0,0,4.4,100,6.25,1015,99.625,1,1,-5,332,326,248,,,,météo très défavorable
2009-01-22,0,0,18,-1,0,0,12.4,100,6.25,1014,100,0,0,-5,326,332,332,,,,météo très défavorable
2009-01-23,0,-3,13,-5,-1,-1,2.9,98,5.75,1003,72,0,0,-7,326,143,260,,,,météo très défavorable
2009-01-24,1,0,19,0,0,0,3.2,100,3.875,1001,94,1,1,-5,284,266,317,,,,météo très défavorable
