DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,0,21,10,11,11,0.1,89,10,1024,53.5,11,9,8,116,116,119,0,1,8.7,météo très défavorable
2009-01-02,11,0,14,9,11,8,0,78,10,1020,28.5,11,6,7,116,116,113,0,1,8.7,météo très défavorable
2009-01-03,10,0,22,8,10,9,0.2,79,10,1017,33.375,10,6,6,116,113,116,0,1,8.7,météo très défavorable
2009-01-04,7,0,9,6,7,6,0,85,10,1018,29.375,8,4,4,113,116,113,0,1,8.7,météo très défavorable
2009-01-05,7,0,30,4,7,5,0,56,10,1015,20,7,1,0,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,6,0,17,4,6,6,2.6,84,9.875,1011,70,6,4,1,116,116,119,0,1,6.9,météo très défavorable
2009-01-07,5,0,25,5,4,4,10.3,95,7.875,1013,97.875,5,4,-1,122,143,200,0,1,3.4,météo très défavorable
2009-01-08,8,0,19,6,7,8,0.8,89,9.875,1022,68.875,8,6,3,119,116,116,0,1,6.9,météo très défavorable
2009-01-09,10,0,39,8,10,8,1.5,83,9.25,1023,54.75,10,6,4,116,116,122,0,1,6.9,météo très défavorable
2009-01-10,11,0,12,8,11,9,0.2,78,9.375,1026,34.75,11,6,7,119,113,113,0,1,8.7,météo très défavorable
2009-01-11,12,0,10,8,12,9,0,81,10,1028,17,12,7,8,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,12,0,6,8,12,9,0,76,10,1028,5,12,6,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,12,0,16,8,12,9,0,74,10,1022,5,12,5,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,10,0,41,7,10,8,0,72,10,1013,9.625,10,4,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,11,0,14,6,11,9,0,77,10,1020,7.625,11,5,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,11,0,17,8,11,9,0,83,10,1024,12.625,11,7,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,10,0,9,9,10,9,0,83,10,1025,39.875,10,7,8,116,122,113,0,1,5.2,météo très défavorable
2009-01-18,11,0,21,9,11,11,0,83,10,1022,34.5,11,8,8,116,116,116,0,1,7,météo très défavorable
