DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,7,5,11,10,10,41.3,98,7.125,1015,68.625,12,12,6,302,176,293,,,,météo très défavorable
2009-01-02,13,3,11,7,4,7,6.5,92,8.75,1015,35.375,13,12,1,176,116,263,,,,météo correcte
2009-01-03,13,3,9,11,4,9,11.3,92,9.375,1015,42.5,13,12,1,293,113,116,,,,météo correcte
2009-01-04,15,2,10,9,2,8,15.8,89,8.875,1015,25.375,15,11,0,176,113,113,,,,météo très défavorable
2009-01-05,14,5,7,12,6,10,23.7,92,8.5,1016,31.25,14,12,4,299,176,113,,,,météo très défavorable
2009-01-06,14,5,7,12,7,10,35.4,95,7.75,1015,55.75,14,13,5,299,176,263,,,,météo très défavorable
2009-01-07,14,12,6,10,13,13,37.1,97,7.25,1015,67.625,14,14,12,299,302,263,,,,météo très défavorable
2009-01-08,14,12,4,10,13,13,34.7,99,7.625,1015,77.25,14,13,12,302,293,296,,,,météo très défavorable
2009-01-09,13,7,9,11,9,12,14.2,96,9,1015,58.5,13,12,6,293,176,116,,,,météo défavorable
2009-01-10,14,6,10,11,6,14,21.5,97,8.5,1015,55.5,14,11,5,293,317,116,,,,météo très défavorable
2009-01-11,14,8,10,11,8,10,21.9,90,8.625,1016,55.625,14,11,7,302,293,119,,,,météo très défavorable
2009-01-12,14,4,10,11,4,13,10.7,94,8.875,1015,56.125,14,11,4,293,317,116,,,,météo correcte
2009-01-13,12,6,7,11,7,9,14.6,91,8.25,1016,49.875,12,11,5,176,263,293,,,,météo défavorable
2009-01-14,13,9,8,10,9,12,20.5,95,6.875,1017,62.375,13,11,8,293,263,116,,,,météo très défavorable
2009-01-15,16,2,8,10,2,11,9,92,9.375,1017,33.375,16,12,2,176,116,113,,,,météo correcte
2009-01-16,13,8,5,12,9,11,33,97,8.375,1018,58.625,13,12,8,299,293,299,,,,météo très défavorable
2009-01-17,13,12,2,11,13,13,37.5,98,7.25,1018,90.875,13,13,12,296,302,302,,,,météo très défavorable
2009-01-18,14,12,3,10,13,13,72.7,100,6,1019,94.25,14,14,12,302,308,302,,,,météo très défavorable
2009-01-19,14,12,4,10,13,13,10.1,100,8.5,1018,90.375,14,14,12,266,353,353,,,,météo défavorable
2009-01-20,14,12,4,11,13,13,19.9,100,8.5,1017,94,14,14,12,296,296,353,,,,météo très défavorable
2009-01-21,14,12,5,11,13,13,75.4,99,6,1017,99.875,14,13,12,308,302,302,,,,météo très défavorable
2009-01-22,12,5,3,11,9,9,43.6,99,6.5,1018,84.875,12,12,5,296,263,308,,,,météo très défavorable
2009-01-23,12,2,5,10,2,7,43.4,94,7.875,1017,50.5,12,11,1,305,113,116,,,,météo très défavorable
2009-01-24,16,2,8,6,2,6,25.5,88,8,1016,40.625,16,12,1,182,323,176,,,,météo très défavorable
2009-01-25,13,10,5,12,10,12,27.4,98,6.875,1015,72.25,13,12,10,299,302,266,,,,météo très défavorable
2009-01-26,14,12,7,11,13,13,33.8,100,7.25,1016,96,14,14,12,296,296,302,,,,météo très défavorable
2009-01-27,15,2,8,11,8,9,2.8,97,6.75,1016,52.125,15,12,1,248,143,113,,,,météo correcte
2009-01-28,15,11,6,12,11,14,34.1,95,7.875,1015,54.25,15,12,11,302,299,176,,,,météo très défavorable
2009-01-29,15,12,4,11,14,14,58.7,98,6.75,1016,66.375,15,14,12,308,299,296,,,,météo très défavorable
2009-01-30,12,1,7,10,1,7,12,97,7.75,1017,51.625,12,11,1,176,248,176,,,,météo très défavorable
2009-01-31,13,11,5,10,12,12,29.9,98,7.375,1018,88,13,13,12,296,299,302,,,,météo très défavorable
2009-02-01,13,8,4,10,9,13,22,95,6.875,1016,50.875,13,12,8,263,263,116,,,,météo très défavorable
2009-02-02,14,9,9,11,10,12,43.5,95,7.375,1015,66.5,14,12,8,302,299,116,,,,météo très défavorable
2009-02-03,13,6,8,11,8,12,33.4,95,8.125,1015,48.5,13,12,6,299,176,119,,,,météo très défavorable
2009-02-04,13,3,10,8,3,9,11.3,93,8.625,1016,38.5,13,12,1,176,116,116,,,,météo correcte
2009-02-05,14,8,10,10,9,10,32.4,97,7.875,1017,51.75,14,12,7,176,299,293,,,,météo très défavorable
2009-02-06,14,3,9,10,3,10,19.9,87,9.25,1016,35.875,14,12,2,299,323,116,,,,météo très défavorable
2009-02-07,14,6,10,11,7,12,19.7,92,8.5,1016,44.625,14,12,4,299,116,116,,,,météo très défavorable
2009-02-08,14,7,5,12,10,9,37.9,95,7.25,1016,71.875,14,12,7,305,293,266,,,,météo très défavorable
2009-02-09,13,3,5,9,3,9,12.6,96,7.375,1015,58,13,12,3,263,326,263,,,,météo correcte
2009-02-10,14,6,6,9,6,12,25,93,8.75,1014,45.875,14,12,6,176,317,116,,,,météo très défavorable
2009-02-11,13,6,5,11,6,9,50,97,7.25,1017,66.875,13,12,6,302,317,302,,,,météo très défavorable
2009-02-12,13,9,8,8,9,12,42.6,98,7.125,1016,67.625,13,12,9,302,302,176,,,,météo très défavorable
2009-02-13,13,9,4,11,9,13,41.6,96,7.5,1015,63.5,13,12,9,299,293,263,,,,météo très défavorable
2009-02-14,14,12,2,11,13,14,61.9,97,6.125,1014,85,14,14,12,308,302,296,,,,météo très défavorable
2009-02-15,14,11,2,10,13,13,30.4,98,7.75,1015,83.625,14,14,11,296,302,296,,,,météo très défavorable
2009-02-16,13,5,4,8,6,13,15.8,94,8.5,1015,77.625,13,12,5,296,317,119,,,,météo très défavorable
2009-02-17,13,11,2,10,12,12,53.4,99,6.25,1015,87.75,13,13,11,302,308,302,,,,météo très défavorable
2009-02-18,14,11,8,10,13,13,31.5,98,7.5,1015,78.375,14,13,11,296,302,299,,,,météo très défavorable
2009-02-19,13,6,5,11,8,10,41.2,97,7.5,1015,69.625,13,12,6,302,299,302,,,,météo très défavorable
2009-02-20,13,3,8,11,8,8,10.7,98,5.875,1014,68.25,13,12,2,266,248,263,,,,météo très défavorable
2009-02-21,13,7,5,11,10,10,22.8,96,7.625,1014,68.625,13,12,7,296,263,293,,,,météo très défavorable
2009-02-22,14,2,7,4,2,9,20.5,93,8.25,1015,37,14,12,2,182,329,116,,,,météo très défavorable
2009-02-23,14,12,6,10,13,13,38.2,98,6,1016,71.75,14,13,12,308,266,116,,,,météo très défavorable
2009-02-24,15,8,6,11,10,14,22.4,98,6.625,1015,62.75,15,12,8,302,263,176,,,,météo très défavorable
2009-02-25,18,3,7,12,10,11,10.4,96,8.5,1014,46.75,18,12,2,353,143,113,,,,météo correcte
2009-02-26,16,11,6,12,11,14,41.8,97,7.375,1014,57.5,16,12,11,302,299,176,,,,météo très défavorable
2009-02-27,14,11,6,12,11,14,46,99,6.5,1014,77.25,14,13,11,302,302,263,,,,météo très défavorable
2009-02-28,13,9,6,11,11,9,81.3,98,6.375,1015,84.25,13,13,9,308,299,296,,,,météo très défavorable
2009-03-01,13,2,10,10,2,8,20.9,93,7.5,1015,44.25,13,12,2,176,329,263,,,,météo très défavorable
2009-03-02,13,8,9,11,9,11,41,95,7.75,1015,61.875,13,12,8,299,293,293,,,,météo très défavorable
2009-03-03,14,12,6,11,14,14,62.9,99,6.375,1016,88.125,14,14,13,302,308,293,,,,météo très défavorable
2009-03-04,14,12,6,11,13,13,43.1,97,6.625,1016,83.625,14,13,12,302,293,266,,,,météo très défavorable
2009-03-05,12,2,10,9,2,6,8.4,93,8.5,1016,53,12,11,1,263,116,317,,,,météo très défavorable
2009-03-06,13,3,9,6,3,8,11.2,89,9.125,1016,40.25,13,11,1,176,116,119,,,,météo correcte
2009-03-07,15,7,12,11,9,13,52.8,96,7.625,1016,49,15,12,6,308,293,113,,,,météo très défavorable
2009-03-08,14,2,11,12,6,8,4.4,87,9.125,1015,37.25,14,12,0,353,113,116,,,,météo correcte
2009-03-09,16,8,8,12,10,13,6.3,94,7.75,1015,46.375,16,12,7,266,263,113,,,,météo correcte
2009-03-10,16,13,7,11,15,15,21.6,98,7.25,1014,72.375,16,16,13,302,296,266,,,,météo très défavorable
2009-03-11,15,12,5,11,14,14,39.4,100,6.125,1014,95.375,15,14,13,302,302,296,,,,météo très défavorable
2009-03-12,14,12,1,11,13,14,103.6,100,5.75,1015,100,14,14,12,302,308,302,,,,météo très défavorable
2009-03-13,14,11,3,10,13,13,10.6,100,6.5,1015,94.375,14,13,11,296,248,119,,,,météo défavorable
2009-03-14,13,12,5,10,13,13,51.2,100,6.375,1015,100,13,13,12,302,302,353,,,,météo très défavorable
2009-03-15,13,11,9,10,12,12,46.9,100,6.625,1016,94.875,13,13,11,296,266,296,,,,météo très défavorable
2009-03-16,13,5,7,11,6,13,18.8,93,8.875,1017,59.25,13,12,5,293,317,116,,,,météo très défavorable
2009-03-17,14,5,5,9,5,11,49.3,96,8.125,1016,52.375,14,12,5,293,317,113,,,,météo très défavorable
2009-03-18,13,9,7,11,10,12,46.8,95,7.125,1015,53.5,13,12,9,305,293,263,,,,météo très défavorable
2009-03-19,15,10,8,11,10,14,45.1,95,7.875,1015,50.25,15,12,10,299,293,176,,,,météo très défavorable
2009-03-20,15,12,4,10,14,14,42.8,97,7.125,1015,87.125,15,15,13,302,293,296,,,,météo très défavorable
2009-03-21,13,11,6,10,13,13,63.6,98,6.875,1015,83.125,13,13,11,302,299,293,,,,météo très défavorable
2009-03-22,13,7,3,11,7,13,13.5,97,6.375,1014,58.75,13,12,7,263,263,263,,,,météo défavorable
2009-03-23,13,9,7,10,10,13,52.4,97,7.25,1014,69.375,13,12,9,299,299,293,,,,météo très défavorable
2009-03-24,15,10,8,11,10,15,27.1,96,8.125,1014,67.5,15,12,10,296,293,116,,,,météo très défavorable
2009-03-25,15,12,6,10,14,14,72.5,97,7,1015,70.5,15,14,12,308,299,293,,,,météo très défavorable
2009-03-26,13,12,1,11,13,13,50.2,100,6.25,1014,95.5,13,13,12,302,302,302,,,,météo très défavorable
