DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,16,7,16,7,16,9,0,61,10,1026,7.375,16,7,9,113,113,113,0,4,8.7,météo correcte
2009-01-02,17,9,15,9,17,11,0.1,64,10,1022,41.625,17,8,11,116,116,116,0,4,8.7,météo correcte
2009-01-03,12,8,17,10,12,10,1.4,87,8,1016,69.875,12,9,9,122,119,116,0,4,3.7,météo défavorable
2009-01-04,11,6,13,6,11,9,1.7,84,6.125,1016,66.25,11,9,8,143,119,200,0,2,5.4,météo défavorable
2009-01-05,11,8,24,9,11,8,2,78,9.875,1016,61.125,11,9,7,119,116,116,0,2,8.7,météo défavorable
2009-01-06,12,5,10,5,12,8,0,68,10,1016,19.375,12,5,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-07,15,6,18,6,15,9,0,63,10,1014,34.5,15,6,8,113,116,119,0,3,8.7,météo correcte
2009-01-08,14,4,10,4,14,9,0,71,9,1017,22.875,14,7,10,113,113,113,0,3,8.7,météo correcte
2009-01-09,15,6,8,6,15,9,0.3,78,7,1019,23.875,15,7,10,143,113,116,0,2,8.7,météo correcte
2009-01-10,12,7,18,7,12,8,0.1,83,9,1023,51.5,12,7,7,116,119,116,0,3,5.4,météo défavorable
2009-01-11,13,6,14,7,13,10,0.3,88,6.75,1023,71.75,13,9,11,248,119,122,0,2,3.7,météo défavorable
2009-01-12,13,8,15,9,13,11,16.8,94,6.25,1020,80.625,13,11,9,143,122,122,0,3,5.4,météo très défavorable
2009-01-13,13,10,14,10,12,11,6.1,94,8.375,1008,84.125,13,11,9,116,119,122,0,3,3.7,météo défavorable
2009-01-14,12,7,28,9,12,8,3.8,81,9.625,1017,52.75,12,10,7,116,113,116,0,3,7,météo défavorable
2009-01-15,13,6,13,7,13,6,0,76,10,1020,41.25,13,6,9,119,116,116,0,3,8.7,météo correcte
2009-01-16,13,5,10,5,13,8,0,68,10,1024,1.25,13,6,8,113,113,113,0,3,8.7,météo correcte
2009-01-17,14,5,19,5,14,9,0,73,10,1024,9.125,14,7,8,113,113,113,0,3,8.7,météo correcte
2009-01-18,15,6,12,6,12,8,0,75,10,1023,14.625,15,7,8,116,113,113,0,3,8.7,météo correcte
2009-01-19,15,6,12,6,13,8,0,79,10,1024,11.625,15,8,9,113,116,113,0,3,8.7,météo correcte
2009-01-20,13,8,13,9,13,10,1.1,88,7.875,1011,48.5,13,10,10,113,122,143,0,4,5.4,météo correcte
2009-01-21,12,9,20,10,11,10,6.5,87,8.5,1006,89.875,12,10,8,119,122,122,0,3,3.8,météo défavorable
2009-01-22,11,9,45,9,11,9,0.7,73,8.375,1011,68.375,11,6,5,116,116,122,0,2,7.1,météo défavorable
2009-01-23,14,9,28,10,12,14,6.3,95,9.25,1008,100,14,13,8,122,122,122,0,3,3.8,météo défavorable
2009-01-24,15,11,46,13,15,12,0.5,77,10,1003,49,15,13,10,116,122,113,0,3,7.1,météo correcte
2009-01-25,14,8,40,10,14,8,0,71,10,1006,20.375,14,8,7,116,113,113,0,4,8.7,météo correcte
2009-01-26,13,7,27,9,13,8,0,74,10,1008,26.75,13,7,7,116,116,113,0,3,8.7,météo correcte
2009-01-27,10,5,34,5,10,8,0.6,79,10,1010,66.125,10,6,4,116,119,119,0,2,3.8,météo très défavorable
2009-01-28,12,7,39,8,12,9,0.9,73,10,1012,50.375,12,6,6,116,116,113,0,2,7.1,météo défavorable
2009-01-29,11,8,21,10,11,9,1.4,94,9.875,1016,61.5,12,9,8,119,119,116,0,3,5.4,météo défavorable
2009-01-30,14,4,16,7,14,7,0,77,8,1017,23.125,14,8,11,143,113,113,0,3,8.7,météo correcte
2009-01-31,18,5,15,6,17,10,0.1,79,8,1014,9.375,18,10,10,113,113,113,0,3,8.7,météo favorable
2009-02-01,13,8,24,8,13,8,5,76,8.625,1006,36,14,8,8,119,113,116,0,2,8.7,météo correcte
2009-02-02,18,9,21,10,17,13,0,58,10,1004,16,18,8,10,113,116,113,0,4,8.7,météo favorable
2009-02-03,14,9,21,10,14,11,0,84,9.875,1006,35.375,15,9,10,113,200,113,0,4,7.1,météo correcte
2009-02-04,16,8,18,8,16,9,0,65,10,1009,13.5,16,6,10,113,113,113,0,4,8.7,météo correcte
2009-02-05,20,9,21,10,19,14,0,51,10,1010,16.875,20,9,14,116,113,113,0,4,8.7,météo favorable
