DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,9,9,9,12,10,0,85,10,1030,35,13,6,8,116,119,113,,,,météo correcte
2009-01-02,15,7,10,7,15,11,0,85,10,1028,24,15,5,5,116,116,113,,,,météo correcte
2009-01-03,16,9,16,9,16,12,0,63,10,1023,23,16,4,6,113,113,113,,,,météo correcte
2009-01-04,19,10,14,10,19,12,0,59,10,1018,10,19,10,8,113,113,113,,,,météo favorable
2009-01-05,20,10,17,10,20,15,0,71,10,1015,6,20,10,9,113,113,113,,,,météo favorable
2009-01-06,17,14,21,14,17,14,2,76,10,1018,11,17,10,13,113,113,113,,,,météo correcte
2009-01-07,18,10,6,10,18,11,0,86,10,1021,2,18,9,10,113,113,113,,,,météo favorable
2009-01-08,19,10,19,10,19,16,0,62,10,1020,1,19,4,8,113,113,113,,,,météo favorable
2009-01-09,17,12,14,12,17,14,1,52,10,1021,24,17,7,10,116,113,293,,,,météo correcte
2009-01-10,22,14,14,14,22,14,0,66,10,1019,10,24,9,13,113,113,113,,,,météo favorable
2009-01-11,22,13,6,13,22,17,0,49,10,1019,32,23,6,13,116,113,116,,,,météo favorable
2009-01-12,23,15,22,15,23,20,0,71,10,1020,21,24,10,14,113,113,113,,,,météo favorable
2009-01-13,24,16,32,16,24,20,3,50,10,1019,43,24,8,16,176,116,116,,,,météo favorable
2009-01-14,19,15,14,15,19,13,0,63,10,1021,8,19,9,14,113,113,113,,,,météo favorable
2009-01-15,19,9,9,9,19,15,0,94,7,1021,46,19,9,9,143,113,113,,,,météo favorable
2009-01-16,18,13,18,13,18,14,0,79,10,1021,21,18,10,12,113,113,116,,,,météo favorable
2009-01-17,17,12,14,12,17,14,0,85,10,1026,10,17,10,12,116,113,113,,,,météo correcte
2009-01-18,20,10,8,10,20,15,0,89,10,1027,24,20,9,9,116,116,116,,,,météo favorable
2009-01-19,20,11,12,11,20,15,0,76,10,1024,20,20,9,10,113,113,119,,,,météo favorable
2009-01-20,19,16,19,16,19,18,0,57,9,1019,41,19,9,16,113,116,263,,,,météo favorable
2009-01-21,22,15,23,15,22,15,0,43,10,1009,2,23,4,13,113,113,113,,,,météo favorable
2009-01-22,22,14,22,14,22,15,0,47,10,1008,5,23,6,13,113,113,113,,,,météo favorable
2009-01-23,14,13,32,13,14,14,6,71,8,1010,90,14,9,11,356,353,266,,,,météo défavorable
2009-01-24,16,15,17,15,16,15,2,80,7,1008,88,16,12,14,296,266,266,,,,météo défavorable
2009-01-25,18,15,22,15,18,17,1,84,10,1011,30,18,13,14,116,353,176,,,,météo correcte
2009-01-26,19,12,15,12,19,16,0,76,10,1016,5,19,8,12,113,113,113,,,,météo favorable
2009-01-27,20,13,18,13,20,15,1,51,10,1013,49,20,9,12,122,113,119,,,,météo favorable
2009-01-28,16,12,25,12,16,14,2,59,10,1013,49,16,7,11,113,353,353,,,,météo correcte
2009-01-29,15,13,24,13,15,14,8,72,10,1013,76,15,10,12,353,353,353,,,,météo défavorable
2009-01-30,16,13,16,13,16,13,8,74,9,1015,43,16,10,12,356,116,113,,,,météo correcte
2009-01-31,16,11,17,11,16,13,0,81,10,1016,20,16,8,10,116,113,113,,,,météo correcte
2009-02-01,20,10,21,10,20,17,0,82,10,1016,6,20,8,9,113,113,113,,,,météo favorable
2009-02-02,22,13,15,13,22,18,0,48,10,1016,18,23,3,11,113,113,116,,,,météo favorable
2009-02-03,24,14,24,14,24,21,0,30,10,1015,10,23,0,12,113,113,113,,,,météo favorable
2009-02-04,22,14,11,14,22,14,0,39,10,1015,5,24,8,14,113,113,113,,,,météo favorable
2009-02-05,21,9,9,9,21,13,0,82,10,1017,3,23,8,10,113,113,113,,,,météo favorable
2009-02-06,24,14,19,14,24,14,0,43,10,1014,5,24,4,13,113,113,113,,,,météo favorable
2009-02-07,19,17,17,17,19,17,1,51,7,1011,69,19,7,17,116,266,266,,,,météo défavorable
2009-02-08,18,17,14,17,18,14,1,68,6,1010,70,18,11,17,266,266,113,,,,météo défavorable
2009-02-09,14,12,27,12,14,13,11,67,10,1017,69,14,8,9,176,353,353,,,,météo défavorable
2009-02-10,16,14,18,14,16,14,4,72,10,1021,46,16,11,12,353,113,113,,,,météo correcte
2009-02-11,21,11,18,11,21,14,0,80,10,1020,3,21,10,10,113,113,113,,,,météo favorable
2009-02-12,19,10,18,10,19,15,0,76,10,1014,13,19,9,10,116,113,113,,,,météo favorable
2009-02-13,17,11,22,11,17,12,0,61,10,1012,13,17,6,10,113,113,113,,,,météo correcte
2009-02-14,13,11,25,11,13,12,7,72,10,1014,77,13,8,9,353,353,353,,,,météo défavorable
2009-02-15,14,11,30,11,14,12,12,87,9,1018,70,14,11,9,353,356,353,,,,météo défavorable
2009-02-16,12,9,11,9,12,10,0,72,10,1022,51,12,5,8,119,119,113,,,,météo défavorable
2009-02-17,15,6,6,6,15,10,0,82,10,1024,24,15,4,6,113,113,116,,,,météo correcte
2009-02-18,19,8,11,8,19,12,0,60,10,1017,10,19,7,7,113,113,113,,,,météo favorable
2009-02-19,15,12,20,12,15,14,1,76,10,1017,29,15,10,11,116,353,113,,,,météo correcte
2009-02-20,15,12,21,12,15,13,1,67,10,1021,43,15,8,10,176,116,116,,,,météo correcte
2009-02-21,14,11,12,11,14,12,0,69,10,1023,52,14,7,10,116,119,116,,,,météo correcte
2009-02-22,14,9,10,9,14,10,1,71,9,1019,55,14,6,9,116,263,353,,,,météo correcte
2009-02-23,14,9,19,9,14,10,5,72,10,1014,42,14,7,8,116,353,176,,,,météo correcte
2009-02-24,16,9,20,9,14,13,13,88,8,1014,67,16,9,7,266,356,176,,,,météo défavorable
2009-02-25,15,12,26,12,15,14,4,76,9,1015,24,15,11,10,176,176,176,,,,météo correcte
2009-02-26,10,8,17,8,10,9,10,92,9,1019,50,10,9,7,263,299,176,,,,météo défavorable
2009-02-27,14,11,17,11,14,12,2,78,10,1021,76,14,8,9,119,119,353,,,,météo défavorable
2009-02-28,14,11,18,11,14,13,1,74,10,1023,65,14,9,9,353,122,113,,,,météo défavorable
2009-03-01,18,10,5,10,18,12,0,79,10,1025,16,18,7,10,113,113,113,,,,météo favorable
2009-03-02,22,11,12,11,22,14,3,68,10,1022,25,24,8,10,116,113,113,,,,météo favorable
2009-03-03,24,14,9,14,24,16,0,55,10,1018,16,25,9,13,113,116,116,,,,météo favorable
2009-03-04,26,12,10,12,26,23,0,61,10,1016,28,25,8,12,116,113,116,,,,météo favorable
2009-03-05,22,18,18,20,22,14,1,61,10,1005,19,24,10,18,116,113,113,,,,météo favorable
2009-03-06,23,16,22,16,23,16,0,50,10,1003,6,24,6,16,113,113,113,,,,météo favorable
2009-03-07,17,15,25,15,17,13,0,47,10,1007,13,17,7,14,113,113,113,,,,météo correcte
2009-03-08,14,12,18,12,14,13,15,78,9,1015,58,14,10,10,353,356,356,,,,météo défavorable
2009-03-09,17,14,14,14,17,14,0,75,10,1021,12,17,10,13,113,113,113,,,,météo correcte
2009-03-10,18,13,15,13,18,13,0,72,10,1021,20,18,9,12,113,116,116,,,,météo favorable
2009-03-11,19,11,12,11,19,12,0,83,8,1021,8,19,8,11,113,113,113,,,,météo favorable
2009-03-12,19,12,18,12,19,14,0,78,9,1018,8,19,9,11,113,113,113,,,,météo favorable
