DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,21,9,21,29,22,0,85,10,1017,7.75,31,21,21,113,113,113,,,,météo idéale
2009-01-02,28,20,10,20,28,24,0,88,10,1018,5,31,22,20,113,113,113,,,,météo idéale
2009-01-03,29,20,11,20,29,23,2.7,92,10,1017,36,32,23,20,116,116,353,,,,météo favorable
2009-01-04,29,22,6,22,29,24,7.2,94,9.125,1018,30.25,33,25,22,176,176,176,,,,météo favorable
2009-01-05,28,22,9,22,28,23,2.7,92,7.5,1018,25.5,34,25,22,113,176,176,,,,météo favorable
2009-01-06,29,22,9,22,29,24,5,94,9.625,1017,24.25,32,23,22,176,113,113,,,,météo favorable
2009-01-07,27,23,10,23,27,25,4,92,8.5,1017,28.625,31,25,23,116,176,176,,,,météo favorable
2009-01-08,28,22,10,22,28,24,1.2,93,9.75,1017,15.75,32,23,22,176,176,113,,,,météo favorable
2009-01-09,30,22,9,22,30,24,0,92,10,1019,8.375,32,22,22,113,113,113,,,,météo idéale
2009-01-10,27,23,13,23,27,25,3.3,94,9.25,1020,21.75,30,23,23,176,176,176,,,,météo favorable
2009-01-11,29,22,12,22,29,23,0,87,10,1019,8.375,32,23,22,113,113,113,,,,météo idéale
2009-01-12,28,22,13,22,28,24,1.9,93,9.75,1020,21.75,30,21,22,176,113,113,,,,météo idéale
2009-01-13,29,22,15,22,27,25,0.2,87,10,1020,9.125,32,23,22,113,113,113,,,,météo idéale
2009-01-14,28,22,10,22,28,24,0.1,88,10,1021,13,31,22,22,113,113,113,,,,météo idéale
2009-01-15,29,21,12,21,29,23,0.2,89,9.875,1020,7.75,33,23,21,113,113,113,,,,météo idéale
2009-01-16,25,23,15,23,25,24,3.2,93,9.625,1019,37.375,27,23,23,353,176,176,,,,météo favorable
2009-01-17,26,23,20,23,26,25,0,89,10,1019,35.125,29,22,23,116,116,116,,,,météo favorable
2009-01-18,25,22,12,22,25,24,17.6,95,8.5,1018,66.125,28,24,22,356,356,356,,,,météo très défavorable
2009-01-19,27,22,11,22,27,24,1.8,92,8.75,1017,24.25,31,24,22,116,176,176,,,,météo favorable
2009-01-20,28,22,11,22,28,24,0.1,93,8,1017,13.375,32,23,22,113,113,113,,,,météo idéale
2009-01-21,30,21,10,21,29,25,0.5,88,9.875,1017,20.125,34,24,21,113,113,113,,,,météo idéale
2009-01-22,27,22,13,22,27,24,2.8,91,9.5,1018,25.75,30,23,22,116,176,176,,,,météo favorable
2009-01-23,27,22,7,22,27,23,8.5,92,8,1018,39.125,30,24,22,116,176,356,,,,météo correcte
2009-01-24,26,22,12,22,26,24,12.8,94,9.125,1017,43.5,29,24,22,353,356,356,,,,météo correcte
