DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-18,-21,9,-20,-18,-18,0.1,99,2.125,1036,56.75,0,0,-27,260,260,116,0.1,1,5.8,météo très défavorable
2009-01-02,-13,-17,10,-13,-13,-15,0.1,99,1.875,1041,90.75,0,0,-20,122,260,260,0.1,1,1.6,météo très défavorable
2009-01-03,-12,-18,11,-16,-12,-13,0,99,0,1040,79.75,0,0,-19,260,260,260,0,1,1.6,météo très défavorable
2009-01-04,-17,-32,7,-19,-17,-32,0,100,0,1036,56.25,0,0,-30,260,260,260,0,1,1.6,météo très défavorable
2009-01-05,-19,-30,8,-25,-19,-23,0,99,0,1040,64.375,0,0,-28,260,260,260,0,1,1.6,météo très défavorable
2009-01-06,-23,-32,8,-32,-23,-25,0,99,0.5,1043,54.25,0,0,-34,260,260,143,0,1,5.8,météo très défavorable
2009-01-07,-23,-36,8,-36,-23,-26,0,95,3,1046,17.5,0,0,-33,260,113,260,0,1,5.8,météo très défavorable
2009-01-08,-25,-37,6,-30,-25,-37,0,100,0,1046,81.75,0,0,-40,260,260,260,0,1,1.6,météo très défavorable
2009-01-09,-25,-37,6,-34,-26,-26,0,98,0.25,1041,41.625,0,0,-35,260,260,143,0,1,5.8,météo très défavorable
2009-01-10,-20,-28,6,-22,-22,-27,0,100,0,1043,89.25,0,0,-34,260,260,260,0,1,1.7,météo très défavorable
2009-01-11,-15,-26,11,-20,-15,-15,0.2,99,1.875,1042,99.5,0,0,-24,260,260,260,0.2,1,1.8,météo très défavorable
2009-01-12,-17,-35,8,-22,-24,-35,0,100,0,1046,83,0,0,-36,260,260,260,0,1,2.6,météo très défavorable
2009-01-13,-20,-34,9,-28,-23,-22,0,99,0,1046,42.875,0,0,-33,260,260,260,0,1,6.7,météo très défavorable
2009-01-14,-13,-17,17,-13,-15,-16,0.4,98,4.625,1031,100,0,0,-24,260,122,122,0.4,1,2.8,météo très défavorable
2009-01-15,-13,-16,10,-16,-13,-13,0.3,99,2.5,1031,87.5,0,0,-20,260,260,260,0.2,1,2.8,météo très défavorable
2009-01-16,-15,-29,6,-20,-15,-26,0,100,0,1022,54.375,0,0,-28,260,260,260,0,1,7.6,météo très défavorable
2009-01-17,-18,-28,8,-20,-18,-25,0,100,0,1023,72.125,0,0,-31,260,260,260,0,1,2.9,météo très défavorable
2009-01-18,-22,-32,6,-27,-22,-31,0.2,100,3.75,1023,88.875,0,0,-31,260,260,260,0.3,1,2.9,météo très défavorable
2009-01-19,-25,-39,8,-39,-25,-27,0,100,0,1021,60.125,0,0,-39,260,260,260,0,1,6.8,météo très défavorable
2009-01-20,-26,-33,7,-31,-26,-31,0.1,99,1.25,1027,67.375,0,0,-36,260,260,260,0,1,2.9,météo très défavorable
2009-01-21,-30,-37,8,-34,-30,-37,0,100,0,1044,73.125,0,0,-45,260,260,260,0,1,2.9,météo très défavorable
2009-01-22,-31,-46,9,-46,-33,-33,0.2,99,3.125,1047,78.5,0,0,-45,260,260,122,0.2,1,4.8,météo très défavorable
2009-01-23,-26,-31,14,-30,-28,-26,1.2,98,1,1042,100,0,0,-40,260,260,260,1.1,1,2.9,météo très défavorable
2009-01-24,-24,-26,14,-25,-24,-25,1,98,4.625,1034,100,0,0,-34,260,122,122,0.8,1,3,météo très défavorable
2009-01-25,-24,-26,14,-26,-24,-24,0.8,98,5.875,1031,100,0,0,-35,122,122,260,0.6,1,3,météo très défavorable
2009-01-26,-25,-35,7,-35,-26,-29,0,97,2,1025,44.875,0,0,-38,260,260,143,0,1,8,météo très défavorable
2009-01-27,-18,-25,6,-24,-18,-18,0.4,98,3.625,1010,84,0,0,-26,260,260,260,0.4,1,3,météo très défavorable
2009-01-28,-18,-39,8,-24,-24,-39,0.1,100,4.375,1028,94.125,0,0,-42,260,260,260,0.2,1,3,météo très défavorable
