DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,8,11,8,12,9,0.1,92,10,1021,45.125,12,9,7,116,113,116,0,1,8.7,météo défavorable
2009-01-02,9,3,10,6,8,5,0,91,9,1020,33.5,9,5,4,143,116,116,0,1,8.7,météo très défavorable
2009-01-03,6,-1,12,-1,4,2,0,65,10,1020,0,7,0,-3,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,5,-1,4,-1,5,-1,0,59,10,1023,1.75,7,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,5,-1,9,-0,5,1,0.1,66,10,1021,33.75,6,0,-1,116,113,116,0,1,8.7,météo très défavorable
2009-01-06,2,-3,18,0,2,-2,0,71,10,1018,31.75,2,0,-4,116,113,113,0,1,8.7,météo très défavorable
2009-01-07,1,-4,19,-4,-1,-2,0,75,10,1023,20.25,1,0,-9,116,116,113,0,1,6.9,météo très défavorable
2009-01-08,1,-4,18,-4,-0,-3,0,68,10,1023,16.25,1,0,-9,113,116,113,0,1,8.7,météo très défavorable
2009-01-09,2,-3,11,-2,2,2,3.6,94,7.625,1024,42.375,2,2,-4,116,116,143,0,1,6.9,météo très défavorable
2009-01-10,7,2,11,2,7,2,0,85,10,1028,27.75,8,4,1,119,113,113,0,1,8.7,météo très défavorable
2009-01-11,9,0,9,0,8,4,0,86,9,1031,1.125,11,6,3,143,113,113,0,1,8.7,météo très défavorable
2009-01-12,8,2,12,2,6,4,0,82,9,1030,29.25,8,2,-0,113,116,116,0,1,6.9,météo très défavorable
2009-01-13,7,3,11,3,7,6,0.1,97,6.5,1020,75.125,7,7,3,116,122,248,0,1,3.4,météo très défavorable
2009-01-14,10,3,9,3,9,5,0,90,9,1021,12.75,10,7,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,10,5,19,5,8,6,0,86,10,1016,29.875,10,4,1,119,116,113,0,1,8.7,météo très défavorable
2009-01-16,9,5,10,5,8,8,0.1,94,7,1022,44.75,9,8,4,143,119,143,0,1,3.4,météo très défavorable
2009-01-17,12,5,15,6,12,9,0,89,10,1024,28,12,8,6,113,119,113,0,1,6.9,météo très défavorable
2009-01-18,12,7,28,9,11,10,1.6,88,8.625,1017,53.375,12,9,6,119,116,116,0,1,6.9,météo défavorable
2009-01-19,12,7,23,12,11,8,6.6,94,9.5,1008,77.625,12,10,8,119,116,122,0,1,6.9,météo défavorable
2009-01-20,7,4,16,5,6,5,3.1,94,9.25,1004,69,7,5,2,119,200,119,0,1,3.5,météo très défavorable
2009-01-21,8,5,14,5,8,6,1.6,88,9.875,1014,52.375,8,5,3,119,113,116,0,1,8.7,météo très défavorable
2009-01-22,11,6,27,6,9,11,0.3,95,9,1011,93.5,11,10,4,122,122,122,0,1,3.5,météo défavorable
2009-01-23,14,8,37,13,12,10,0,92,10,999,83.75,14,13,9,122,122,116,0,1,5.2,météo défavorable
2009-01-24,10,7,72,9,7,7,6.7,88,9.125,1007,78.5,10,8,2,122,122,116,0,1,3.5,météo défavorable
2009-01-25,7,6,25,6,7,6,0.1,92,10,1004,53.25,8,6,2,116,122,119,0,1,6.5,météo très défavorable
2009-01-26,11,6,15,6,11,7,0.3,88,9.875,1008,61.875,11,7,5,116,119,119,0,1,8.2,météo défavorable
2009-01-27,10,4,10,7,9,6,0,89,10,1018,40,10,6,5,116,113,113,0,1,9.8,météo très défavorable
2009-01-28,8,4,11,4,8,8,0.1,93,7,1018,62,8,7,2,143,119,143,0,1,6.6,météo très défavorable
2009-01-29,12,6,10,6,11,9,0,94,4.5,1015,45.25,13,9,6,143,113,113,0,1,9.8,météo défavorable
2009-01-30,14,6,17,6,12,10,0,86,10,1015,25,14,9,5,116,113,113,0,1,9.8,météo correcte
2009-01-31,13,7,14,7,13,10,0,90,9,1006,33.375,13,9,6,116,116,116,0,1,9.9,météo correcte
2009-02-01,10,8,19,8,10,10,0,90,7.5,1002,77.75,11,8,6,119,119,116,0,1,6.6,météo défavorable
2009-02-02,8,4,9,8,7,5,1.5,93,5,998,83.125,8,8,5,143,122,122,0,1,5,météo très défavorable
2009-02-03,7,0,14,0,6,4,0,77,10,1002,21.625,8,0,-1,113,116,113,0,1,9.9,météo très défavorable
2009-02-04,13,4,20,6,12,10,3.4,84,8.75,996,51.125,13,8,5,116,113,200,0,1,9.9,météo correcte
2009-02-05,13,8,21,8,13,10,1.1,83,8.875,993,39,13,6,6,116,113,113,0,1,10,météo correcte
2009-02-06,9,6,15,6,9,7,0.5,89,9.75,993,70.125,9,6,6,200,116,119,0,1,6.7,météo défavorable
2009-02-07,7,4,24,5,7,4,0,67,10,1005,62.875,7,4,2,122,116,113,0,1,8.3,météo très défavorable
2009-02-08,7,2,14,2,6,6,0,75,9,1012,51,7,6,3,113,116,119,0,1,8.3,météo très défavorable
2009-02-09,14,8,24,8,14,13,0.9,95,8.875,1012,68.5,14,10,7,143,119,116,0,1,10,météo défavorable
2009-02-10,12,7,26,9,10,7,0.4,76,9,1020,57.5,12,8,6,116,116,116,0,1,10,météo défavorable
2009-02-11,7,3,8,6,4,4,0,98,5.5,1022,73,7,5,3,122,248,143,0,1,8.3,météo très défavorable
2009-02-12,8,3,13,4,8,5,0,89,7,1027,45.375,8,5,3,143,122,113,0,1,8.3,météo très défavorable
2009-02-13,9,0,14,0,8,6,0,69,10,1027,36.375,9,6,3,113,116,119,0,1,10,météo très défavorable
2009-02-14,8,2,15,2,7,4,0,75,10,1027,16.125,8,6,-1,113,113,113,0,1,10.3,météo très défavorable
2009-02-15,8,-1,12,-1,6,3,0,61,10,1027,18.875,8,0,-3,116,116,113,0,1,10.3,météo très défavorable
2009-02-16,10,-1,12,-1,8,5,0,47,10,1028,16.5,10,2,-2,116,113,113,0,1,10.3,météo très défavorable
2009-02-17,11,2,14,2,11,7,0,87,7,1029,28,11,4,5,143,113,113,0,1,10.3,météo très défavorable
2009-02-18,10,6,10,7,10,9,0,83,9,1028,86.5,10,8,7,122,119,119,0,1,5.4,météo défavorable
2009-02-19,10,5,14,6,10,6,0,80,10,1028,19.75,10,7,5,113,113,113,0,1,10.8,météo très défavorable
2009-02-20,12,2,13,2,10,7,0,53,10,1029,10.375,12,4,2,113,113,113,0,1,10.8,météo très défavorable
2009-02-21,11,3,15,3,11,8,0,64,10,1034,23.75,12,4,3,113,116,113,0,1,10.9,météo très défavorable
2009-02-22,11,4,16,4,11,8,0,80,10,1034,30.125,11,6,7,113,113,119,0,1,10.1,météo très défavorable
2009-02-23,12,7,9,8,12,8,0.1,88,10,1030,51.5,12,7,8,119,119,113,0,1,10.1,météo défavorable
2009-02-24,12,7,16,8,12,9,0,72,10,1025,22.5,12,6,6,116,113,113,0,1,10.9,météo défavorable
2009-02-25,13,3,9,3,11,7,0,67,10,1028,0.375,15,3,4,113,113,113,0,1,11,météo correcte
2009-02-26,15,3,7,3,15,9,0,63,10,1028,5.25,17,5,10,113,113,113,0,1,11,météo correcte
2009-02-27,15,4,10,4,13,10,0,69,10,1026,7.625,15,6,6,113,113,113,0,1,11,météo correcte
2009-02-28,17,7,13,7,16,11,0,68,10,1016,13.625,17,7,9,113,113,113,0,1,11.1,météo correcte
2009-03-01,12,8,11,9,12,9,0,76,10,1015,67.875,13,7,10,122,119,119,0,1,7.1,météo défavorable
2009-03-02,12,6,15,6,12,7,0,78,10,1022,28.5,12,6,8,113,116,113,0,1,11.1,météo défavorable
2009-03-03,12,1,11,1,12,7,0,74,10,1022,2.5,14,5,9,113,113,113,0,1,11.2,météo très défavorable
2009-03-04,7,5,23,7,7,5,0.1,96,9.875,1004,76.5,7,6,3,122,119,113,0,1,7.1,météo très défavorable
2009-03-05,7,4,24,5,7,6,0.8,95,8.875,1000,84.125,7,5,-0,143,119,119,0,1,5.6,météo très défavorable
2009-03-06,10,4,18,4,10,6,0,70,10,1014,29.125,10,4,3,113,113,113,0,1,11.3,météo très défavorable
2009-03-07,12,6,17,7,11,9,0,92,9,1021,65.75,12,8,7,143,119,113,0,1,8.6,météo défavorable
2009-03-08,12,8,22,10,12,10,0.1,85,7,1021,76.5,12,9,9,143,122,122,0,1,5.7,météo défavorable
2009-03-09,12,7,15,7,12,8,0,68,10,1025,25.125,12,6,9,113,116,116,0,1,11.6,météo défavorable
2009-03-10,12,5,20,5,12,9,0.2,74,9,1025,33.5,12,9,7,113,113,122,0,1,10.2,météo très défavorable
2009-03-11,14,8,9,8,13,10,0.1,82,9,1028,38.25,14,9,10,143,116,113,0,1,11.6,météo correcte
2009-03-12,17,5,9,5,15,12,0,69,10,1028,9.5,18,8,9,113,113,113,0,1,11.6,météo correcte
2009-03-13,20,8,9,8,19,13,0,69,10,1024,2,24,11,13,113,113,113,0,1,11.6,météo favorable
2009-03-14,14,8,12,8,14,11,0,66,10,1027,32.25,14,8,13,116,116,116,0,1,11.6,météo correcte
2009-03-15,15,8,14,8,15,12,0,71,10,1030,22,15,8,10,113,113,113,0,1,11.6,météo correcte
2009-03-16,18,7,14,7,17,13,0,59,10,1029,6.125,18,9,10,113,113,113,0,1,11.6,météo favorable
2009-03-17,20,8,12,8,18,14,0,58,10,1027,1.75,20,8,11,113,113,113,0,1,11.6,météo favorable
2009-03-18,21,9,9,9,20,16,0,60,10,1025,2.75,24,10,14,113,113,113,0,1,11.6,météo favorable
2009-03-19,21,9,17,9,20,16,0,59,10,1020,1,21,7,15,113,113,113,0,1,11.6,météo favorable
2009-03-20,18,8,18,8,16,14,0,43,10,1024,11,18,1,9,113,116,113,0,1,11.6,météo favorable
2009-03-21,14,3,19,3,12,11,0,42,10,1027,7,14,0,4,113,113,113,0,1,11.6,météo correcte
