DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,8,4,12,4,7,6,1.5,88,4.375,1027,74.875,8,3,2,143,116,122,0,1,5.4,météo très défavorable
2009-01-02,11,3,11,3,11,7,0,91,8.75,1024,52,11,4,5,248,113,116,0,1,10,météo très défavorable
2009-01-03,11,5,16,5,10,7,0,83,6.75,1021,53.75,11,5,5,143,116,113,0,1,10.4,météo très défavorable
2009-01-04,7,5,19,6,7,5,2.1,85,8.75,1017,63.375,7,5,1,200,200,122,0,1,6.8,météo très défavorable
2009-01-05,7,5,16,5,7,5,0.2,82,10,1018,50.5,7,3,2,116,116,116,0,1,10.4,météo très défavorable
2009-01-06,7,3,14,3,7,6,0.2,80,9.875,1018,48.75,7,2,1,116,116,116,0,1,10.4,météo très défavorable
2009-01-07,5,2,10,3,4,3,5.8,91,8.875,1013,73,5,2,1,122,122,116,4.4,1,8.4,météo très défavorable
2009-01-08,7,1,9,1,7,3,0,89,6.5,1015,46.125,7,1,2,248,113,113,0,1,10,météo très défavorable
2009-01-09,4,0,9,0,3,1,0.5,93,9.875,1021,32.125,4,0,0,116,122,113,0,1,10,météo très défavorable
2009-01-10,6,-0,14,-0,6,3,0.1,79,9.375,1022,40.375,6,0,-0,113,116,119,0.1,1,10,météo très défavorable
2009-01-11,6,1,22,2,5,4,0.2,79,9.625,1021,58.5,6,0,-2,116,119,119,0.1,1,5.2,météo très défavorable
2009-01-12,4,1,31,1,4,3,0.4,88,7.75,1022,66.625,4,1,-3,119,119,116,0.2,1,8.4,météo très défavorable
2009-01-13,5,1,33,3,5,2,0.3,88,8.375,1022,43.875,5,1,-3,119,116,113,0.1,1,10.5,météo très défavorable
2009-01-14,6,0,15,1,5,4,0,92,9,1022,61.25,6,2,-2,143,116,116,0,1,10,météo très défavorable
2009-01-15,9,-1,14,-1,8,5,0,78,6.25,1023,33.375,9,1,2,260,113,113,0,1,10.5,météo très défavorable
2009-01-16,8,1,12,1,7,5,0,60,10,1021,42.125,8,0,2,116,119,119,0,1,6.9,météo très défavorable
