DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,-19,8,-3,-2,-16,0.8,96,5,1026,37.75,0,0,-20,119,143,143,0.7,1,8.7,météo très défavorable
2009-01-02,-2,-22,6,-22,-2,-11,0,99,2.75,1023,26.75,0,0,-15,260,260,260,0,1,6.9,météo très défavorable
2009-01-03,-5,-14,9,-13,-5,-9,0,99,1.75,1021,65,0,0,-13,260,260,260,0,1,3.4,météo très défavorable
2009-01-04,-3,-23,6,-23,-3,-19,0,99,2.25,1021,13.125,0,0,-19,143,143,260,0,1,8.7,météo très défavorable
2009-01-05,-7,-23,9,-19,-7,-13,0,98,4.5,1017,51.125,0,0,-17,119,143,143,0,1,6.9,météo très défavorable
2009-01-06,-8,-13,13,-11,-8,-10,2.4,99,5.125,1015,92.375,0,0,-15,122,122,260,2,1,3.4,météo très défavorable
2009-01-07,-7,-10,22,-9,-7,-7,5.7,99,5.75,1015,100,0,0,-16,122,122,122,4.8,1,3.4,météo très défavorable
2009-01-08,-5,-8,16,-7,-5,-7,0,99,2.5,1027,98.25,0,0,-13,260,122,122,0,1,3.4,météo très défavorable
2009-01-09,-4,-9,9,-8,-4,-7,0,99,2.75,1028,75.5,0,0,-12,119,260,260,0,1,3.4,météo très défavorable
2009-01-10,-1,-13,7,-12,-1,-10,0,98,4.5,1028,20,0,0,-14,143,260,113,0,1,8.7,météo très défavorable
2009-01-11,-0,-12,8,-12,-0,-12,0,99,4,1031,20.5,0,0,-15,113,260,260,0,1,8.7,météo très défavorable
2009-01-12,-1,-15,4,-11,-1,-15,0,99,3.25,1031,12.5,0,0,-18,113,143,260,0,1,8.7,météo très défavorable
2009-01-13,-1,-16,9,-13,-1,-13,0,99,2,1025,14.125,0,0,-15,143,260,260,0,1,8.7,météo très défavorable
2009-01-14,-2,-17,14,-17,-2,-7,0.1,99,3.375,1015,38.625,0,0,-12,260,260,260,0.1,1,6.9,météo très défavorable
2009-01-15,-3,-13,12,-13,-3,-13,0,99,0.5,1023,25,0,0,-17,260,143,260,0,1,8.7,météo très défavorable
2009-01-16,-1,-21,8,-21,-1,-16,0,100,0.25,1025,24.625,0,0,-16,260,260,260,0,1,6.9,météo très défavorable
2009-01-17,-1,-11,9,-6,-1,-2,0,99,4,1025,49.875,0,0,-7,116,260,260,0,1,3.4,météo très défavorable
2009-01-18,-3,-9,23,-7,-3,-3,2.5,99,8.375,1022,45.25,0,0,-10,113,116,119,2.1,1,6.9,météo très défavorable
2009-01-19,-1,-6,19,-3,-1,-1,1.6,99,6.375,1015,70.75,0,0,-7,116,122,122,1.4,1,3.4,météo très défavorable
2009-01-20,-1,-6,6,-3,-3,-5,4.3,99,2.375,1002,93.375,0,0,-8,260,260,260,3.7,1,3.5,météo très défavorable
2009-01-21,-5,-14,12,-12,-5,-10,0,99,1.25,1010,76.5,0,0,-14,260,260,260,0,1,5.2,météo très défavorable
