DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,-7,8,-4,-2,-7,2.4,96,5.125,1028,37.5,0,0,-10,260,113,113,2,1,8.3,météo très défavorable
2009-01-02,-3,-10,9,-7,-3,-8,0,95,7,1026,15.25,0,0,-13,113,116,143,0,1,8.4,météo très défavorable
2009-01-03,-4,-21,9,-11,-4,-21,0,98,8.75,1027,1.125,0,0,-24,113,113,260,0,1,8.4,météo très défavorable
2009-01-04,-5,-13,7,-13,-5,-12,0,96,9,1025,19.875,0,0,-16,113,113,116,0,1,8.4,météo très défavorable
2009-01-05,-7,-13,6,-12,-7,-10,0,97,7.75,1020,60.25,0,0,-14,116,116,260,0,1,6.8,météo très défavorable
2009-01-06,-4,-13,6,-13,-4,-10,0.7,99,4.5,1018,49.375,0,0,-12,260,143,260,0.4,1,8.4,météo très défavorable
2009-01-07,-3,-16,8,-11,-3,-12,0,100,3.25,1020,36.75,0,0,-14,143,143,260,0,1,8.4,météo très défavorable
2009-01-08,-2,-12,7,-12,-2,-7,0,96,2.5,1029,10.25,0,0,-9,143,113,143,0,1,8.4,météo très défavorable
2009-01-09,-2,-18,11,-8,-2,-18,0,99,7.75,1031,2.125,0,0,-17,143,113,260,0,1,8.5,météo très défavorable
2009-01-10,0,-10,11,-9,0,-10,0,96,8,1031,3.375,1,1,-11,113,143,113,0,1,8.5,météo très défavorable
2009-01-11,-1,-8,10,-8,-1,-6,0,94,10,1034,0,2,0,-10,113,113,113,0,1,8.5,météo très défavorable
2009-01-12,1,-6,13,-6,1,-4,0,100,4.75,1032,14.625,1,1,-8,143,248,143,0,1,6.9,météo très défavorable
2009-01-13,1,-5,15,-4,1,-5,0,98,7.75,1026,15.5,2,1,-8,113,248,113,0,1,6.9,météo très défavorable
2009-01-14,-1,-17,4,-9,-1,-17,0,99,5.25,1017,19.875,0,0,-17,113,113,260,0,1,8.5,météo très défavorable
2009-01-15,-0,-10,6,-10,-0,-5,0,98,1.75,1023,24.5,1,0,-6,143,260,143,0,1,8.6,météo très défavorable
2009-01-16,0,-6,10,-6,0,-5,0,96,5,1026,19.75,1,0,-10,143,143,116,0,1,8.7,météo très défavorable
2009-01-17,0,-5,11,-5,0,-2,0,96,2,1025,18.25,1,0,-6,143,143,143,0,1,8.7,météo très défavorable
2009-01-18,-1,-3,25,-2,-1,-1,3,97,9,1021,47,0,0,-7,113,119,116,2.6,1,5.2,météo très défavorable
2009-01-19,1,-4,27,-4,0,1,1.2,98,6.75,1015,35.5,1,0,-9,116,116,116,1,1,8.7,météo très défavorable
2009-01-20,-0,-3,11,-1,-1,-2,4.1,99,3.375,1001,68.75,0,0,-5,119,260,260,3.5,1,3.4,météo très défavorable
2009-01-21,-2,-6,8,-4,-2,-5,0.8,99,0.875,1011,77.375,0,0,-8,260,260,260,0.7,1,3.4,météo très défavorable
2009-01-22,-1,-9,16,-9,-1,-6,0,96,5.5,1012,27.625,0,0,-12,143,113,116,0,1,8.7,météo très défavorable
2009-01-23,-1,-5,33,-2,-1,-1,4.6,99,6.5,1001,49,0,0,-9,116,116,119,2.1,1,5.3,météo très défavorable
2009-01-24,-0,-6,13,-6,-1,-3,0.2,99,3.625,995,56,0,0,-9,116,143,260,0.1,1,8.7,météo très défavorable
2009-01-25,-1,-10,8,-10,-1,-4,0,96,2.25,1002,35.375,0,0,-7,260,143,143,0,1,8.7,météo très défavorable
2009-01-26,-0,-11,10,-5,-0,-8,0,97,4.75,1004,22.375,1,0,-10,143,113,143,0,1,8.7,météo très défavorable
2009-01-27,-3,-15,9,-15,-3,-7,0.3,99,2.625,1015,52.625,0,0,-9,260,143,260,0.2,1,3.6,météo très défavorable
2009-01-28,-3,-12,12,-12,-3,-5,0.1,97,2.875,1017,35.875,0,0,-10,143,143,143,0.1,1,8.7,météo très défavorable
2009-01-29,-0,-10,10,-9,-0,-8,0,99,1,1019,31,0,0,-9,143,260,260,0,1,7,météo très défavorable
2009-01-30,0,-17,8,-8,0,-11,0,99,2,1020,19.125,1,0,-13,143,143,260,0,1,8.7,météo très défavorable
2009-01-31,-0,-6,9,-6,-0,-4,0,93,9,1018,5.125,0,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,-3,-16,11,-8,-3,-6,0,92,7.625,1011,15.625,0,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-02-02,3,-3,17,-0,3,0,0,84,10,1006,23.875,4,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-02-03,5,-1,7,-0,5,0,0,91,10,1001,27.25,6,3,-1,116,113,113,0,1,8.7,météo très défavorable
2009-02-04,2,-4,10,-4,2,-1,0,98,3.75,1001,22.625,2,2,-4,143,143,143,0,1,7,météo très défavorable
2009-02-05,1,-1,20,0,1,-1,0.1,97,8,1002,23.875,1,1,-4,113,113,143,0,1,8.7,météo très défavorable
2009-02-06,1,-1,13,-0,1,-1,0.2,99,3.25,999,59.375,1,1,-4,143,248,143,0,1,5.4,météo très défavorable
2009-02-07,1,-2,10,-0,1,-1,6.3,100,1.625,991,83.125,1,1,-4,260,248,260,5.4,1,3.7,météo très défavorable
2009-02-08,-4,-6,13,-4,-4,-5,3.8,99,3,1010,96.75,0,0,-9,260,260,260,3.2,1,3.7,météo très défavorable
2009-02-09,-0,-18,14,-10,-0,-1,1.4,96,4.75,1013,41.125,0,0,-10,113,143,119,1.2,1,8.7,météo très défavorable
2009-02-10,0,-4,27,-1,0,-3,2.6,99,7.375,1009,55.875,0,0,-8,116,116,122,2,1,8.7,météo très défavorable
2009-02-11,-4,-7,16,-5,-4,-7,4.6,100,3.875,1017,87.125,0,0,-12,260,119,260,3.9,1,3.8,météo très défavorable
2009-02-12,-6,-10,14,-9,-6,-8,1.6,99,1.75,1021,72.125,0,0,-13,260,260,260,1.4,1,3.8,météo très défavorable
2009-02-13,-7,-15,13,-9,-7,-12,1.6,100,3.5,1021,73.75,0,0,-15,260,116,260,1.3,1,5.4,météo très défavorable
2009-02-14,-7,-22,12,-13,-7,-8,0.7,99,3.875,1027,56.875,0,0,-13,119,143,260,0.5,1,5.4,météo très défavorable
2009-02-15,-6,-20,8,-16,-6,-20,0,100,3,1030,27.5,0,0,-25,260,113,260,0,1,8.7,météo très défavorable
2009-02-16,-4,-12,9,-11,-4,-12,0.2,99,6.125,1028,45.125,0,0,-11,116,260,260,0.1,1,8.7,météo très défavorable
