DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,31,0,24,27,31,28,0,79,9.625,1009,27.25,36,24,27,200,113,116,0,1,13.4,météo favorable
2009-01-02,27,0,26,27,25,23,14.5,93,9.375,1010,60.25,31,24,24,116,116,308,0,1,9.6,météo très défavorable
2009-01-03,26,0,33,24,26,24,1.1,85,9.875,1014,59.375,28,21,24,293,119,119,0,1,10.8,météo très défavorable
2009-01-04,25,0,37,24,25,24,0,79,10,1013,87.875,27,20,24,119,122,122,0,1,8.4,météo très défavorable
2009-01-05,27,0,31,25,27,25,0.2,81,10,1012,64.25,29,21,25,119,116,116,0,1,12,météo très défavorable
2009-01-06,27,0,28,25,27,26,0,79,10,1011,62.625,30,22,25,119,119,116,0,1,10.8,météo très défavorable
2009-01-07,28,0,27,26,28,26,0.9,80,9.875,1010,64.25,30,22,26,119,116,176,0,1,12,météo très défavorable
2009-01-08,27,0,15,25,27,26,1,85,10,1009,48.125,30,23,25,353,116,119,0,1,12,météo favorable
2009-01-09,26,0,32,24,25,25,0.5,84,9.875,1010,53.625,29,22,24,176,116,116,0,1,13.4,météo favorable
2009-01-10,25,0,33,23,24,25,4.4,86,10,1011,88.625,27,21,24,353,353,353,0,1,8.3,météo très défavorable
2009-01-11,26,0,21,24,26,24,0,74,10,1012,18.875,27,19,24,113,113,113,0,1,13.3,météo favorable
2009-01-12,27,0,27,24,27,25,0,75,10,1015,28.875,29,21,24,113,116,113,0,1,13.3,météo favorable
2009-01-13,25,0,30,24,24,24,0,75,10,1015,53.75,27,20,24,116,116,116,0,1,13.3,météo favorable
2009-01-14,26,0,25,24,26,24,0,73,10,1016,24.625,27,19,24,116,113,113,0,1,13.3,météo favorable
2009-01-15,27,0,14,24,27,25,0,75,10,1016,32.25,28,19,24,119,116,113,0,1,12,météo favorable
