DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-3,29,-3,-0,0,0,65,10,1025,3.375,2,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,6,-2,23,-2,4,3,0,62,10,1028,0.375,6,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,7,-1,14,-1,5,5,0,51,10,1029,3.125,8,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,7,1,19,1,6,6,0,56,10,1026,16,7,0,-1,113,116,113,0,1,8.7,météo très défavorable
2009-01-05,8,1,25,1,6,5,0,63,10,1026,9,8,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-06,7,-0,16,-0,5,6,0,66,10,1028,30.5,7,0,-2,113,116,116,0,1,8.7,météo très défavorable
2009-01-07,8,1,19,1,6,6,0,56,10,1027,28.5,8,0,-2,116,113,113,0,1,8.7,météo très défavorable
2009-01-08,8,2,16,2,7,6,0,49,10,1027,13.375,8,0,0,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,6,0,33,0,5,3,0,57,10,1023,8,6,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,2,-2,35,-2,0,-0,0,73,10,1021,1.75,2,0,-9,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,4,-3,31,-3,2,3,0.1,66,10,1023,32.375,4,0,-5,113,326,116,0,1,5.4,météo très défavorable
2009-01-12,2,-3,35,-3,1,-0,0,70,10,1026,24.375,2,0,-9,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,2,-4,30,-4,-0,0,0,72,10,1029,1.875,2,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,3,-3,33,0,3,-0,0.1,73,9,1030,21.875,3,0,-7,113,227,113,0,1,5.4,météo très défavorable
2009-01-15,2,-6,21,-6,-0,0,0,57,10,1032,0,4,0,-11,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,6,-2,21,-2,4,4,0,64,10,1031,3.25,6,0,-6,116,113,113,0,1,8.7,météo très défavorable
2009-01-17,8,2,9,2,7,6,0,68,10,1029,14.25,9,3,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,13,8,36,9,12,11,0,86,10,1024,55.25,13,9,8,122,122,113,0,1,3.8,météo correcte
2009-01-19,6,3,15,3,5,4,0,63,10,1023,10.875,7,2,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-20,8,3,13,3,6,6,0,53,10,1024,28.625,8,0,0,116,113,113,0,1,8.7,météo très défavorable
2009-01-21,7,5,15,6,7,6,0.3,54,9,1023,46.75,7,0,4,113,266,113,0,1,5.4,météo très défavorable
2009-01-22,9,4,9,4,8,8,0,61,10,1019,19.375,10,2,4,116,116,113,0,1,8.7,météo très défavorable
2009-01-23,6,-4,34,3,0,-2,0,72,10,1024,36.25,6,3,-10,113,122,113,0,1,5.4,météo très défavorable
2009-01-24,1,-6,35,-6,0,-0,0,61,10,1026,20.25,1,0,-9,113,113,116,0,1,7.1,météo très défavorable
2009-01-25,4,-2,25,-1,2,3,0,64,10,1023,36.875,4,0,-6,116,116,113,0,1,7.1,météo très défavorable
2009-01-26,4,1,29,1,4,3,0,60,10,1026,13.125,4,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-27,4,-2,19,-2,2,2,0,67,10,1031,0,5,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-28,9,2,11,3,8,7,0,72,10,1029,1.875,11,3,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,8,6,23,7,8,7,2.6,90,9.75,1026,71.5,9,7,4,116,296,296,0,1,3.8,météo très défavorable
2009-01-30,10,9,44,10,10,10,0,90,10,1019,99.875,10,9,6,122,122,122,0,1,3.8,météo défavorable
2009-01-31,10,6,35,8,8,7,0,82,10,1026,84.125,10,8,2,119,119,119,0,1,3.9,météo défavorable
2009-02-01,9,4,19,4,8,7,0,79,10,1030,30.375,9,3,2,113,113,119,0,1,8.7,météo très défavorable
