DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,0,12,25,30,27,0.7,85,9.875,1012,37.375,34,24,25,113,116,116,0,6,11.6,météo favorable
2009-01-02,27,0,10,26,27,26,0,85,10,1013,57.25,30,23,26,116,116,119,0,7,8.9,météo très défavorable
2009-01-03,29,0,16,24,29,26,0.2,83,10,1012,41.25,32,23,24,116,116,116,0,6,11.6,météo favorable
2009-01-04,29,0,14,25,29,27,1.8,88,9.875,1011,27.25,33,25,25,113,116,113,0,7,11.6,météo favorable
2009-01-05,29,0,13,26,28,26,5.9,91,9.375,1012,42.25,34,25,26,116,113,119,0,7,10.2,météo favorable
2009-01-06,27,0,9,26,27,26,3.1,89,10,1010,61.375,32,25,26,116,116,119,0,7,8.9,météo très défavorable
2009-01-07,28,0,13,25,28,26,0,90,10,1010,61.75,32,24,25,122,116,113,0,6,10.2,météo très défavorable
2009-01-08,28,0,14,25,28,26,2.3,89,10,1012,42.25,32,24,25,116,116,116,0,6,11.6,météo favorable
2009-01-09,29,0,12,25,29,26,3.6,89,9.5,1013,67.75,32,24,25,119,116,116,0,6,10.2,météo très défavorable
2009-01-10,28,0,18,24,28,26,0,84,10,1013,32.5,31,22,25,116,116,113,0,6,11.6,météo favorable
2009-01-11,30,0,15,25,30,27,0.4,82,9.875,1014,22.625,34,23,25,116,113,116,0,6,11.6,météo favorable
2009-01-12,30,0,14,25,30,27,0.5,87,10,1012,20.25,34,24,25,113,113,113,0,7,11.6,météo favorable
2009-01-13,30,0,14,26,30,27,0.6,85,9.875,1012,33,34,24,26,116,116,116,0,7,11.6,météo favorable
2009-01-14,31,0,16,26,31,27,0.5,86,9.875,1011,18.625,36,24,26,113,116,113,0,7,11.6,météo favorable
2009-01-15,30,0,16,26,30,27,3.6,87,9.75,1010,24.375,35,25,26,113,113,116,0,7,11.6,météo favorable
2009-01-16,30,0,17,26,30,27,0.5,88,9.875,1010,46.25,35,24,26,116,116,116,0,6,11.6,météo favorable
2009-01-17,29,0,10,27,29,27,0.2,85,9.375,1011,36,33,24,26,116,116,113,0,6,11.6,météo favorable
2009-01-18,30,0,11,27,30,27,1.6,86,9.875,1012,30.375,34,25,27,116,113,116,0,7,11.6,météo favorable
2009-01-19,29,0,9,27,29,27,4.6,88,9.5,1012,57.75,34,25,27,119,116,122,0,6,10.2,météo très défavorable
2009-01-20,27,0,12,26,27,26,1,88,8.75,1012,63.5,31,24,26,119,119,119,0,7,7.5,météo très défavorable
2009-01-21,29,0,12,26,29,27,0.6,83,9.875,1012,36.625,34,24,26,116,116,113,0,7,11.6,météo favorable
2009-01-22,28,0,7,26,28,26,4.7,86,9.375,1013,44.875,33,24,26,119,116,116,0,7,11.6,météo favorable
2009-01-23,30,0,16,25,30,27,0,85,10,1012,18.625,34,24,25,113,113,113,0,7,11.6,météo favorable
2009-01-24,29,0,9,26,29,27,2.7,86,9.75,1012,39.625,34,25,26,116,200,200,0,7,11.6,météo très défavorable
2009-01-25,28,0,14,27,28,27,1.3,88,9.75,1012,34.625,33,24,27,200,113,113,0,7,11.6,météo favorable
2009-01-26,29,0,11,26,29,27,1.4,87,10,1012,42.875,34,24,26,116,116,116,0,7,11.6,météo favorable
2009-01-27,29,0,15,26,29,27,5.6,86,9.5,1012,44.25,34,25,26,116,116,116,0,7,11.6,météo favorable
2009-01-28,26,0,8,25,25,25,22.5,92,8.75,1011,83.375,30,24,25,122,119,119,0,6,6.1,météo très défavorable
2009-01-29,25,0,10,25,25,25,5.2,90,9.375,1012,78,28,23,25,119,122,122,0,7,6.1,météo très défavorable
2009-01-30,29,0,10,24,29,27,5.7,89,9.5,1012,38.875,34,24,24,116,119,116,0,6,10.2,météo très défavorable
2009-01-31,30,0,14,26,30,27,1.7,89,9.875,1011,35.375,35,25,26,119,116,113,0,7,11.6,météo favorable
2009-02-01,29,0,14,26,29,27,0.1,84,10,1010,41,34,24,26,116,116,116,0,7,11.6,météo favorable
