DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,0,6,14,14,14,0,82,10,1022,66.875,15,11,14,116,122,119,0,1,5.2,météo très défavorable
2009-01-02,13,0,21,13,13,13,0.1,86,10,1018,80.25,13,11,11,119,119,119,0,1,3.5,météo très défavorable
2009-01-03,13,0,16,13,12,12,0.1,79,10,1016,66.875,13,9,10,116,116,122,0,1,5.2,météo très défavorable
2009-01-04,12,0,39,12,11,10,0,77,10,1017,37.875,12,8,7,116,122,113,0,1,7,météo très défavorable
2009-01-05,12,0,21,11,11,11,0,69,10,1017,13.125,12,6,9,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,11,0,17,11,10,11,0.1,83,10,1013,63.375,11,8,8,119,122,119,0,1,5.2,météo très défavorable
2009-01-07,10,0,47,9,8,8,0.4,80,9,1014,88.5,10,7,3,119,119,122,0,1,3.5,météo très défavorable
2009-01-08,11,0,55,9,10,11,0.4,79,10,1018,81.75,11,7,6,119,122,122,0,1,3.5,météo très défavorable
2009-01-09,13,0,18,12,13,13,0,74,10,1018,32.25,13,8,11,116,113,116,0,1,8.7,météo très défavorable
2009-01-10,13,0,24,13,12,13,0.1,72,9.875,1024,27,13,9,10,116,113,113,0,1,8.7,météo très défavorable
2009-01-11,13,0,33,13,13,13,0,70,10,1027,15.25,13,8,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,14,0,33,14,14,13,0,75,10,1026,10.375,14,9,11,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,13,0,26,13,13,13,0,71,10,1021,6.25,13,8,11,113,113,116,0,1,8.7,météo très défavorable
2009-01-14,13,0,31,12,12,13,0,71,10,1017,28.125,13,7,10,116,116,113,0,1,7,météo très défavorable
2009-01-15,13,0,27,13,13,13,0,71,10,1018,6.125,13,8,11,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,13,0,13,12,13,13,0,69,10,1023,16.875,13,8,11,116,113,113,0,1,8.7,météo très défavorable
2009-01-17,13,0,6,12,12,13,0,65,10,1024,21.125,13,7,12,116,113,113,0,1,8.7,météo très défavorable
2009-01-18,14,0,31,12,13,14,0,79,10,1022,5.5,14,11,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-19,15,0,46,14,15,15,0,82,10,1019,18.5,15,12,12,113,116,116,0,1,8.7,météo très défavorable
2009-01-20,15,0,22,15,13,12,0,83,10,1004,35,15,13,10,116,113,113,0,1,8.7,météo très défavorable
2009-01-21,11,0,18,11,11,11,0.1,69,10,1013,31.125,11,6,9,116,119,113,0,1,5.3,météo très défavorable
2009-01-22,14,0,37,12,13,14,0,73,10,1014,29.25,15,11,9,113,116,116,0,1,8.7,météo très défavorable
2009-01-23,18,0,45,15,17,18,0,86,10,1005,53.125,18,13,15,116,116,113,0,1,5.3,météo favorable
2009-01-24,17,0,69,17,15,14,0,65,10,1002,18.75,17,12,10,113,113,116,0,1,8.7,météo très défavorable
2009-01-25,14,0,49,13,14,14,0.2,69,9.375,1005,13.5,14,8,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-26,13,0,51,11,11,13,0,69,10,1003,23.75,13,7,8,116,116,113,0,1,8.7,météo très défavorable
2009-01-27,13,0,40,12,12,13,0,68,10,1011,10.625,13,7,8,113,113,113,0,1,8.7,météo très défavorable
2009-01-28,13,0,18,13,13,13,0,68,10,1013,10.375,13,7,11,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,14,0,21,13,13,13,0,77,10,1016,42.5,14,9,11,116,116,116,0,1,10.4,météo très défavorable
2009-01-30,14,0,21,13,13,14,0,87,10,1016,17.25,14,12,12,113,113,116,0,1,10.5,météo très défavorable
2009-01-31,14,0,28,13,14,14,0.3,90,10,1011,70.75,14,12,11,119,122,116,0,1,6.8,météo très défavorable
2009-02-01,13,0,33,13,13,13,0.2,81,9.375,1001,37.75,13,10,10,113,116,116,0,1,10.5,météo très défavorable
2009-02-02,15,0,33,14,15,15,0.2,82,10,995,48.375,15,11,11,119,113,113,0,1,10,météo très défavorable
2009-02-03,15,0,35,13,12,11,0,85,9.875,1003,47,15,11,8,116,119,113,0,1,8.4,météo très défavorable
2009-02-04,14,0,37,13,14,14,0,80,10,1002,9,14,11,11,113,113,113,0,1,10.6,météo très défavorable
2009-02-05,15,0,30,14,15,14,0,83,10,1002,22.5,15,11,12,113,113,116,0,1,10.6,météo très défavorable
2009-02-06,14,0,40,14,13,13,0,79,10,998,41.625,14,10,10,113,122,113,0,1,8.5,météo très défavorable
2009-02-07,11,0,30,10,10,11,0.1,79,9.75,999,63.75,12,7,6,122,119,200,0,1,8.5,météo très défavorable
2009-02-08,13,0,29,10,11,12,0,53,9.875,1011,25.625,13,6,7,113,113,116,0,1,10.7,météo très défavorable
2009-02-09,15,0,28,14,14,15,0,83,10,1017,21.125,15,11,13,116,113,116,0,1,10.7,météo très défavorable
2009-02-10,15,0,58,15,15,15,0,79,10,1018,28.5,15,11,12,113,113,113,0,1,10.7,météo très défavorable
2009-02-11,13,0,39,13,13,12,0.1,75,10,1019,30.875,13,8,9,113,116,119,0,1,8.5,météo très défavorable
2009-02-12,12,0,46,11,10,12,0,63,10,1018,15.5,12,6,6,113,113,116,0,1,10.8,météo très défavorable
2009-02-13,11,0,50,10,9,10,0,66,10,1021,19.875,11,6,5,119,113,113,0,1,10.8,météo très défavorable
2009-02-14,12,0,43,12,11,11,0,71,10,1021,45.75,12,8,7,122,113,113,0,1,10.1,météo très défavorable
2009-02-15,10,0,22,10,10,10,0,66,10,1024,5.25,10,4,7,113,113,113,0,1,10.8,météo très défavorable
2009-02-16,11,0,23,9,9,10,0,64,10,1024,32.25,11,4,8,116,116,113,0,1,10.9,météo très défavorable
2009-02-17,12,0,32,11,11,12,0,71,10,1023,19.125,12,7,8,113,113,113,0,1,10.9,météo très défavorable
2009-02-18,13,0,25,13,13,13,0,75,10,1019,10.375,14,9,11,113,113,113,0,1,10.9,météo très défavorable
2009-02-19,13,0,29,12,12,12,0,72,10,1022,39.625,13,8,9,116,113,119,0,1,10.1,météo très défavorable
2009-02-20,12,0,17,11,12,11,0,70,10,1027,3.625,12,6,9,113,113,113,0,1,11,météo très défavorable
2009-02-21,13,0,33,11,12,12,0,68,10,1028,28.5,13,7,9,113,119,116,0,1,8.5,météo très défavorable
2009-02-22,13,0,31,12,12,12,0,74,10,1027,23.5,13,8,9,113,113,116,0,1,11,météo très défavorable
2009-02-23,13,0,37,13,12,13,0,72,10,1021,23.75,14,10,9,116,113,113,0,1,11,météo très défavorable
2009-02-24,13,0,45,12,12,13,0,72,10,1019,36,13,7,8,116,116,113,0,1,11.1,météo très défavorable
2009-02-25,13,0,25,12,12,13,0,71,10,1029,0.125,13,7,9,113,113,113,0,1,11.1,météo très défavorable
2009-02-26,13,0,17,12,12,13,0,69,10,1029,0,13,8,11,113,113,113,0,1,11.1,météo très défavorable
2009-02-27,14,0,21,13,13,14,0,76,10,1023,0,14,9,11,113,113,113,0,1,11.1,météo très défavorable
2009-02-28,14,0,23,13,14,14,0,78,10,1018,30.5,14,10,12,116,116,116,0,1,10.1,météo très défavorable
2009-03-01,14,0,19,14,14,13,0,83,10,1014,31.375,14,11,12,116,116,113,0,1,11.2,météo très défavorable
2009-03-02,14,0,19,13,14,13,0,83,10,1018,23.5,14,11,11,113,113,116,0,1,11.2,météo très défavorable
2009-03-03,13,0,35,13,12,12,0.3,81,9.375,1018,60.125,13,9,9,116,119,116,0,1,8.6,météo très défavorable
2009-03-04,13,0,45,12,13,13,0.3,87,9,1009,73,13,11,9,122,116,122,0,1,10.1,météo très défavorable
2009-03-05,12,0,57,11,12,11,0.1,67,9.75,992,40.5,12,7,7,113,113,200,0,1,11.3,météo très défavorable
2009-03-06,13,0,57,11,12,13,0,57,10,1004,28.375,13,4,8,119,113,113,0,1,11.3,météo très défavorable
2009-03-07,14,0,48,12,13,14,0,62,10,1014,3.5,14,7,9,113,113,113,0,1,11.3,météo très défavorable
2009-03-08,14,0,17,13,14,14,0,78,10,1020,0.75,14,10,12,113,113,113,0,1,11.4,météo très défavorable
2009-03-09,14,0,28,14,13,14,0,76,10,1024,29.75,14,10,11,113,116,116,0,1,11.4,météo très défavorable
2009-03-10,14,0,23,13,13,13,0,77,10,1025,14.125,14,9,11,116,113,113,0,1,11.4,météo très défavorable
2009-03-11,14,0,15,13,14,14,0,83,10,1023,11.375,14,11,12,113,113,113,0,1,11.4,météo très défavorable
2009-03-12,14,0,31,13,13,13,0,68,10,1026,5,14,9,10,113,113,113,0,1,11.5,météo très défavorable
2009-03-13,15,0,21,13,14,15,0,71,10,1025,4,15,9,12,113,113,113,0,1,11.5,météo très défavorable
2009-03-14,15,0,10,15,15,15,0,73,10,1022,0.125,15,10,14,113,113,113,0,1,11.6,météo très défavorable
2009-03-15,15,0,31,15,14,14,0,82,10,1024,6.25,15,11,12,113,113,113,0,1,11.6,météo très défavorable
2009-03-16,15,0,38,14,14,14,0,81,10,1024,2.5,15,11,12,113,113,113,0,1,11.6,météo très défavorable
2009-03-17,14,0,25,14,14,14,0,77,10,1028,3.25,14,11,13,113,113,113,0,1,11.6,météo très défavorable
2009-03-18,14,0,7,14,14,14,0,72,10,1027,1.625,14,10,14,113,113,113,0,1,11.6,météo très défavorable
2009-03-19,14,0,18,13,14,14,0,78,10,1022,7.125,14,11,12,113,113,113,0,1,11.6,météo très défavorable
2009-03-20,15,0,38,14,14,13,0,74,10,1020,0.5,15,11,10,113,113,113,0,1,11.6,météo très défavorable
2009-03-21,13,0,13,12,12,13,0,53,10,1022,5.375,13,5,11,113,113,113,0,1,11.6,météo très défavorable
2009-03-22,14,0,28,12,12,14,0,59,10,1025,0.625,14,8,10,113,113,113,0,1,11.6,météo très défavorable
2009-03-23,15,0,21,15,15,14,0,81,10,1024,0.375,15,12,13,113,113,113,0,1,11.6,météo très défavorable
2009-03-24,15,0,47,15,15,14,0,78,10,1018,7.75,15,11,11,113,113,113,0,1,11.6,météo très défavorable
2009-03-25,14,0,29,13,14,14,0,72,10,1018,29.875,14,9,11,122,116,113,0,1,10.3,météo très défavorable
2009-03-26,15,0,30,14,14,15,0,77,10,1018,5.125,15,11,13,113,113,113,0,1,11.6,météo très défavorable
2009-03-27,15,0,19,14,15,15,0,73,10,1016,5.5,15,10,14,113,113,113,0,1,11.6,météo très défavorable
2009-03-28,16,0,18,15,16,15,0.1,88,9.75,1007,37.625,16,13,14,116,200,116,0,1,11.6,météo très défavorable
2009-03-29,14,0,54,12,11,13,0,86,10,1009,87.5,14,12,7,122,122,119,0,1,6.4,météo très défavorable
2009-03-30,14,0,35,13,12,13,0.1,73,10,1013,65,14,9,8,122,122,119,0,1,7.7,météo très défavorable
2009-03-31,14,0,42,13,12,13,0.2,87,10,1012,73.75,14,11,9,122,122,119,0,1,6.4,météo très défavorable
2009-04-01,13,0,32,11,11,12,0.3,86,9,1010,84.875,13,10,8,122,122,119,0,1,6.4,météo très défavorable
2009-04-02,13,0,30,12,12,13,0.4,87,9,1015,71.75,14,10,10,122,122,116,0,1,9,météo très défavorable
2009-04-03,14,0,24,13,14,14,0.2,83,9.875,1019,31.125,14,11,12,116,113,113,0,1,11.6,météo très défavorable
2009-04-04,14,0,14,14,14,14,0,82,10,1022,12,14,11,13,113,113,113,0,1,11.6,météo très défavorable
2009-04-05,15,0,19,14,14,15,0,81,10,1023,8.125,15,11,13,113,113,113,0,1,11.6,météo très défavorable
