DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,4,14,5,11,10,0.3,94,8,1030,76.75,11,9,7,143,122,122,0,1,3.5,météo très défavorable
2009-01-02,13,8,14,9,13,9,0,89,8,1022,66.25,14,10,10,143,116,119,0,1,7,météo défavorable
2009-01-03,11,8,17,8,10,9,0,90,7.875,1015,85.125,11,9,8,143,200,116,0,1,3.5,météo défavorable
2009-01-04,10,7,11,7,10,8,3.1,89,9,1013,66.5,10,8,7,116,116,119,0,1,5.3,météo défavorable
2009-01-05,7,6,15,6,7,7,10.3,93,8.375,1012,88,7,6,5,200,122,119,0,1,3.7,météo très défavorable
2009-01-06,10,4,8,4,10,7,0,82,8,1015,33.125,10,6,6,113,113,119,0,1,8.7,météo très défavorable
2009-01-07,10,6,14,6,9,7,0.9,96,8.875,1016,64.25,10,8,5,122,122,113,0,1,5.4,météo défavorable
2009-01-08,14,5,11,5,14,8,0,80,8.875,1016,20.875,14,9,9,113,113,113,0,1,8.7,météo correcte
2009-01-09,12,7,13,7,12,9,0.8,94,8,1019,38.625,12,10,8,116,119,143,0,1,5.4,météo défavorable
2009-01-10,13,6,10,6,13,8,0.4,85,6,1020,17.125,13,9,11,143,113,113,0,1,8.7,météo correcte
2009-01-11,13,6,18,7,13,9,0.3,87,5.75,1022,55.75,13,9,10,248,116,119,0,1,8.7,météo correcte
2009-01-12,11,10,42,11,11,10,5.3,95,7.5,1020,96.75,11,11,6,200,122,122,0,1,3.7,météo défavorable
2009-01-13,13,10,37,13,12,11,11.9,97,9.25,1013,94.625,13,12,9,200,200,122,0,1,5.4,météo défavorable
2009-01-14,10,7,24,9,10,8,3.1,91,8.625,1017,71.875,10,10,6,122,119,116,0,1,5.4,météo défavorable
2009-01-15,10,4,9,4,9,8,7.5,96,7.5,1019,55.375,10,8,7,143,119,143,0,1,5.4,météo très défavorable
2009-01-16,11,5,13,6,11,6,0.5,84,8.875,1023,20.25,11,7,7,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,13,3,6,3,13,7,0,81,10,1026,3,15,9,11,113,113,113,0,1,8.7,météo correcte
2009-01-18,11,4,11,4,11,8,0,86,7.75,1026,38.375,12,9,8,113,116,143,0,1,7,météo très défavorable
2009-01-19,14,6,10,6,14,8,0,81,6.75,1022,26,14,9,10,143,113,116,0,1,8.7,météo correcte
2009-01-20,12,8,19,11,12,12,20.5,99,5.625,1014,100,12,12,10,248,122,122,0,1,3.8,météo très défavorable
2009-01-21,13,9,10,10,13,10,1.6,91,6.875,1004,70.125,14,11,11,143,119,143,0,1,5.4,météo défavorable
2009-01-22,10,7,20,8,10,7,7.3,98,6,1005,68.625,10,9,6,116,143,122,0,1,3.8,météo défavorable
2009-01-23,11,6,30,6,11,8,0.9,81,8.875,1002,63.5,11,10,5,122,113,143,0,1,8.7,météo défavorable
2009-01-24,13,9,38,12,12,11,0.5,94,9,999,76.5,13,12,8,122,122,113,0,1,3.8,météo défavorable
2009-01-25,8,7,53,7,8,8,0.4,88,8.875,1005,53.375,8,5,2,119,119,113,0,1,5.4,météo très défavorable
2009-01-26,13,6,20,6,13,8,4.2,77,8.375,1006,33.75,13,8,10,113,113,248,0,1,8.7,météo correcte
2009-01-27,8,5,26,5,8,6,1.3,90,10,1006,67.875,8,5,3,116,119,122,0,1,3.8,météo très défavorable
2009-01-28,8,5,28,6,8,7,0.7,88,8.875,1007,73.875,8,6,4,122,200,116,0,1,3.8,météo très défavorable
2009-01-29,8,5,15,5,8,6,0.8,92,10,1012,56.625,8,6,5,116,119,116,0,1,3.8,météo très défavorable
2009-01-30,10,3,13,4,10,7,0,86,8,1014,55.375,10,6,6,116,122,122,0,1,5.4,météo très défavorable
2009-01-31,12,4,13,4,12,6,0,81,6,1013,29.375,12,7,8,143,113,113,0,1,8.7,météo très défavorable
2009-02-01,10,7,23,10,10,9,9.4,97,7,1009,86.25,10,9,5,200,119,143,0,1,3.8,météo défavorable
2009-02-02,14,7,37,8,14,11,0.1,83,9,1009,37.5,15,10,8,116,113,113,0,1,8.7,météo correcte
2009-02-03,16,9,19,10,16,10,0,73,9.875,1005,32,16,9,12,116,116,113,0,1,8.7,météo correcte
2009-02-04,12,6,27,9,12,7,0.1,86,10,1012,48.875,12,8,7,119,116,113,0,1,7.1,météo défavorable
2009-02-05,15,4,17,4,15,9,0,72,10,1013,8,15,9,11,113,113,113,0,1,8.7,météo correcte
2009-02-06,15,8,22,10,15,8,0,80,8.875,1007,18.625,15,10,12,143,116,113,0,1,8.7,météo correcte
2009-02-07,14,6,26,8,14,7,0,79,10,1003,20.625,14,8,9,113,116,116,0,1,8.7,météo correcte
2009-02-08,7,4,33,4,7,5,1.2,86,8.875,1005,56.875,7,4,2,113,200,143,0,1,5.5,météo très défavorable
2009-02-09,9,5,27,5,9,6,0.4,85,9.875,1017,61,9,5,3,119,119,113,0,1,5.5,météo très défavorable
2009-02-10,14,4,24,4,14,8,0,85,9,1019,26.875,14,9,9,143,113,116,0,1,8.7,météo correcte
2009-02-11,11,4,38,9,11,4,1,75,9,1014,49.125,11,9,3,113,113,116,0,1,7.2,météo très défavorable
2009-02-12,6,2,34,3,6,3,0.7,84,9.75,1008,53.75,6,4,-0,113,200,116,0,1,5.6,météo très défavorable
2009-02-13,7,2,26,2,7,2,0.4,82,9.75,1008,47,7,2,0,113,200,116,0,1,7.2,météo très défavorable
2009-02-14,5,1,14,1,5,2,1,83,8.75,1012,74.125,5,1,1,122,122,119,0.2,1,4.1,météo très défavorable
2009-02-15,7,0,18,1,7,1,0,72,8,1020,27.75,7,1,2,143,116,113,0,1,8.7,météo très défavorable
