DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,17,13,35,13,17,15,27.4,82,7.75,1028,87.25,17,14,11,356,356,356,,,,météo très défavorable
2009-01-02,15,13,21,13,15,14,13.1,83,7.625,1020,70.875,15,11,12,176,122,302,,,,météo défavorable
2009-01-03,15,11,33,11,15,13,51.3,87,5.625,1013,100,15,12,8,359,308,296,,,,météo très défavorable
2009-01-04,10,9,25,9,10,9,1,78,9.875,1014,47.375,10,5,5,116,113,116,,,,météo défavorable
2009-01-05,13,8,23,8,13,12,0,69,10,1014,0.75,13,4,5,113,113,113,,,,météo correcte
2009-01-06,11,11,7,11,11,10,0.1,62,10,1015,28.125,11,4,10,113,113,116,,,,météo défavorable
2009-01-07,13,12,37,12,13,13,8.3,75,9.875,1015,74,13,9,9,353,353,353,,,,météo défavorable
2009-01-08,14,13,14,13,14,13,39.4,87,6.375,1020,70,14,11,11,359,359,356,,,,météo très défavorable
2009-01-09,14,12,27,12,14,13,0,81,10,1023,16,14,9,10,113,113,113,,,,météo correcte
2009-01-10,13,12,36,12,13,12,4.7,76,9.5,1023,55.625,13,8,8,293,116,176,,,,météo correcte
2009-01-11,13,12,27,12,13,12,0.2,80,10,1027,27.625,13,9,10,113,119,113,,,,météo correcte
2009-01-12,14,11,31,11,14,13,16.1,82,7.375,1026,61,14,10,8,302,299,116,,,,météo très défavorable
2009-01-13,19,13,39,13,19,16,28.5,80,7,1021,65,19,16,10,299,299,299,,,,météo très défavorable
2009-01-14,15,13,44,13,15,14,20.5,87,8.625,1013,94.25,15,13,10,302,296,302,,,,météo très défavorable
2009-01-15,14,13,19,13,13,13,7.4,76,9.25,1019,35.5,14,9,11,353,176,176,,,,météo correcte
2009-01-16,12,11,19,11,11,11,0.3,80,10,1024,20.125,12,8,9,116,113,113,,,,météo défavorable
2009-01-17,16,12,12,12,16,13,0,80,10,1026,3.625,16,10,10,113,113,113,,,,météo correcte
2009-01-18,16,13,20,13,16,14,1.9,77,9.75,1025,48,16,12,12,113,119,296,,,,météo correcte
2009-01-19,15,14,21,14,15,15,0.8,81,10,1018,46.5,15,12,14,113,116,119,,,,météo correcte
2009-01-20,18,14,31,14,18,16,7.2,85,8.625,1012,67.5,18,15,12,353,116,293,,,,météo défavorable
2009-01-21,15,13,19,13,15,14,33.9,88,7.625,1003,95.625,15,13,12,308,302,296,,,,météo très défavorable
2009-01-22,14,13,15,13,14,13,8.7,86,8.625,1004,64.875,14,11,13,356,353,263,,,,météo correcte
2009-01-23,13,11,27,11,13,12,2.9,75,8.75,1000,39,13,9,9,353,113,113,,,,météo correcte
2009-01-24,18,14,31,14,18,16,12.4,86,9,993,53.375,18,15,13,176,353,356,,,,météo correcte
2009-01-25,14,12,30,12,14,13,15,82,9.125,1000,78.625,14,10,9,296,356,353,,,,météo défavorable
2009-01-26,13,12,35,12,13,13,24.4,83,8.75,1004,68.625,13,10,10,113,353,305,,,,météo très défavorable
2009-01-27,13,11,26,11,13,12,39.9,81,6.5,1002,68.125,13,9,9,359,356,356,,,,météo très défavorable
2009-01-28,12,11,22,11,12,11,11.1,79,9,1005,46.5,12,8,8,356,176,116,,,,météo défavorable
2009-01-29,11,10,24,10,10,10,0.8,74,9.875,1012,29.375,11,5,7,113,113,119,,,,météo défavorable
2009-01-30,12,10,28,10,12,11,0.6,76,10,1014,50.25,12,7,7,119,116,113,,,,météo défavorable
2009-01-31,12,9,18,9,12,10,0.1,73,10,1013,37.5,12,6,6,113,116,119,,,,météo défavorable
2009-02-01,14,12,37,12,14,13,20.4,82,7.625,1010,73.5,14,11,9,266,389,356,,,,météo très défavorable
2009-02-02,17,13,43,13,17,15,1.5,81,9.75,1008,37,17,12,11,353,113,116,,,,météo correcte
2009-02-03,18,16,28,16,18,17,3.6,80,6,1003,65.25,18,15,16,293,263,263,,,,météo défavorable
2009-02-04,15,14,37,14,15,15,19.9,83,8,1009,55.75,15,11,11,359,356,116,,,,météo très défavorable
2009-02-05,14,13,26,13,14,14,0.3,82,10,1011,30,14,10,12,116,113,116,,,,météo correcte
2009-02-06,15,14,37,14,15,14,3.1,86,9.625,1006,42.25,15,12,11,353,353,176,,,,météo correcte
2009-02-07,17,13,34,13,17,15,20.9,84,8.5,1001,66.125,17,15,10,116,353,308,,,,météo très défavorable
2009-02-08,12,11,32,11,12,12,21.7,74,8.375,1002,71.875,12,7,8,356,356,353,,,,météo très défavorable
2009-02-09,10,9,22,10,9,9,0.6,69,9.875,1015,14.375,10,5,6,113,113,113,,,,météo défavorable
2009-02-10,16,13,30,13,16,14,1.3,86,8.875,1016,44.5,16,13,11,116,119,353,,,,météo correcte
2009-02-11,14,10,39,10,14,12,10.7,68,9.625,1009,32.875,14,6,7,176,386,176,,,,météo correcte
2009-02-12,9,8,33,8,9,8,2.7,72,9.75,1007,33.625,9,3,3,176,113,353,,,,météo défavorable
2009-02-13,8,6,35,6,8,7,1.2,68,9.875,1010,23.375,8,1,1,113,113,113,,,,météo très défavorable
2009-02-14,7,5,21,5,7,6,0,60,10,1013,15.875,7,0,1,113,113,116,,,,météo très défavorable
2009-02-15,6,6,31,6,6,6,0,67,10,1022,12.625,6,0,1,113,113,113,,,,météo très défavorable
2009-02-16,9,6,22,6,9,8,0,64,10,1023,14.125,9,0,2,113,113,113,,,,météo défavorable
2009-02-17,12,9,14,9,12,10,0.1,61,10,1022,42.5,12,5,7,119,113,113,,,,météo défavorable
2009-02-18,12,4,44,12,7,4,7.8,83,9.5,1013,52.375,12,8,-3,356,353,179,,,,météo très défavorable
2009-02-19,6,4,23,4,6,5,0,67,10,1019,5.75,6,0,0,113,113,113,,,,météo très défavorable
2009-02-20,8,6,25,6,7,6,0,67,10,1024,1.75,8,0,1,113,113,113,,,,météo très défavorable
