DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,19,0,12,14,19,15,0.1,83,10,1024,14.5,20,13,14,113,113,113,0,4,10,météo favorable
2009-01-02,16,0,15,14,16,16,0.6,89,10,1024,61.5,16,15,13,116,122,116,0,4,6.6,météo très défavorable
2009-01-03,17,0,21,14,16,15,1.5,85,9.75,1024,36.125,17,13,12,116,116,113,0,4,10,météo très défavorable
2009-01-04,17,0,9,12,17,13,0.5,84,9.875,1022,32,18,12,12,113,116,116,0,4,10,météo très défavorable
2009-01-05,16,0,8,12,16,12,0.3,94,8.875,1021,25.875,17,12,13,116,116,143,0,4,10,météo très défavorable
2009-01-06,14,0,9,11,14,12,1,85,8.875,1018,30.25,15,10,12,116,113,113,0,2,10,météo très défavorable
2009-01-07,13,0,12,9,13,9,1.6,81,9.75,1016,23.25,15,9,8,116,113,113,0,3,10,météo très défavorable
2009-01-08,13,0,15,11,13,11,1.4,82,9.875,1016,60.125,13,8,9,119,119,113,0,4,6.7,météo très défavorable
2009-01-09,14,0,9,6,13,11,0,74,10,1020,22.25,15,9,11,113,113,116,0,3,10.1,météo très défavorable
2009-01-10,12,0,13,10,12,10,0.7,79,9.875,1020,30,12,7,9,113,119,113,0,4,10,météo très défavorable
2009-01-11,13,0,20,7,12,11,0.6,73,10,1024,22,13,7,6,116,113,113,0,3,10.1,météo très défavorable
2009-01-12,15,0,13,9,14,12,0,71,10,1028,2.25,16,8,10,113,113,113,0,4,10.1,météo très défavorable
