DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,8,8,9,11,10,1.1,98,4.125,1021,100,12,10,8,248,122,248,0,1,3.6,météo défavorable
2009-01-02,11,9,8,9,11,10,2.6,97,3.625,1020,100,11,10,8,248,122,143,0,1,3.6,météo défavorable
2009-01-03,12,7,13,10,10,8,1,96,6.125,1017,77.375,12,10,6,122,122,143,0,1,5.3,météo défavorable
2009-01-04,12,4,8,6,11,5,0,92,7,1019,10,12,6,4,143,113,113,0,1,8.7,météo très défavorable
2009-01-05,8,1,9,5,7,6,0.3,92,9,1020,55.375,8,5,4,119,116,116,0,1,3.6,météo très défavorable
2009-01-06,9,1,14,3,8,3,0,84,10,1016,25.125,9,4,1,116,113,113,0,1,8.7,météo très défavorable
2009-01-07,6,-0,14,1,6,1,0,72,10,1018,27.75,6,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-01-08,6,-2,14,-2,5,-2,0,71,10,1020,2.875,6,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,5,-5,5,-5,4,-0,0,59,10,1021,15.5,5,0,-3,113,113,116,0,1,8.7,météo très défavorable
2009-01-10,6,-4,14,-4,5,2,0,75,10,1027,35.25,6,0,-4,113,116,116,0,1,7,météo très défavorable
2009-01-11,9,-2,14,-2,8,1,0,82,10,1031,2.5,9,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,10,-3,9,-3,7,2,0,85,10,1031,14.625,10,1,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,8,2,8,3,5,5,1.9,98,5.875,1025,73.25,8,6,2,122,143,143,0,1,3.7,météo très défavorable
2009-01-14,8,-1,9,-1,7,2,0.1,94,4.5,1024,45.375,8,4,1,260,116,116,0,1,7,météo très défavorable
2009-01-15,4,1,15,2,3,4,8.3,98,5.875,1018,90,4,4,-2,143,122,248,0,1,3.7,météo très défavorable
2009-01-16,10,2,8,3,8,3,0.9,91,7.875,1023,55.25,10,5,1,143,116,113,0,1,8.7,météo très défavorable
2009-01-17,12,1,7,2,11,5,0,88,9,1026,16.375,12,5,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,9,4,11,4,8,8,1.3,99,2.875,1025,89.375,9,9,4,248,143,248,0,1,3.7,météo très défavorable
2009-01-19,11,8,26,10,11,9,4.6,97,9.625,1020,92.375,11,11,6,122,122,119,0,1,3.7,météo défavorable
2009-01-20,6,0,20,3,6,2,0.3,92,7.875,1016,52.625,6,5,-1,143,116,116,0,1,5.4,météo très défavorable
2009-01-21,7,-1,13,-0,6,5,0,97,5,1022,49.25,7,5,-0,143,119,143,0,1,5.4,météo très défavorable
2009-01-22,12,6,24,8,11,12,3.9,98,8.75,1021,100,13,12,6,122,122,122,0,1,3.7,météo défavorable
2009-01-23,14,12,30,14,12,12,1.5,96,7.875,1014,100,14,13,9,122,122,122,0,1,3.7,météo défavorable
2009-01-24,12,6,27,7,11,7,0,88,10,1017,44.5,12,9,4,119,113,116,0,1,8.7,météo défavorable
2009-01-25,8,3,32,8,7,4,5.6,92,8.5,1012,82.125,9,8,1,122,116,116,0,1,5.4,météo très défavorable
2009-01-26,10,3,17,4,9,6,0,93,8.875,1021,60.125,10,5,1,143,116,119,0,1,8.7,météo très défavorable
2009-01-27,9,5,12,7,9,9,0.4,97,3.5,1024,94.75,9,9,6,248,122,143,0,1,3.8,météo très défavorable
2009-01-28,11,9,17,10,10,11,2.7,98,8.75,1023,100,11,11,8,122,122,122,0,1,3.8,météo défavorable
2009-01-29,12,11,14,11,11,11,2.1,98,4.625,1018,100,12,11,9,248,122,143,0,1,3.8,météo défavorable
2009-01-30,10,8,27,8,8,10,9.3,95,7.375,1015,96.5,10,9,5,119,122,122,0,1,3.8,météo défavorable
2009-01-31,9,5,20,5,9,6,0.4,91,9,1012,63.125,9,6,2,119,113,119,0,1,7.1,météo très défavorable
2009-02-01,9,5,13,6,9,8,14.1,98,6.375,999,99.875,9,8,5,122,122,248,0,1,3.8,météo très défavorable
2009-02-02,11,5,10,6,11,6,0.4,94,5.75,998,62.875,11,6,5,143,116,116,0,1,5.4,météo très défavorable
2009-02-03,8,5,18,6,7,8,2,97,7.5,1004,71,8,8,3,116,119,122,0,1,5.4,météo très défavorable
