DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,20,16,21,25,21,0,92,10,1015,37.5,27,20,21,116,113,116,0,1,11.6,météo favorable
2009-01-02,23,21,12,22,23,21,2.9,96,7.625,1013,74.125,26,22,22,119,116,143,0,1,7.3,météo défavorable
2009-01-03,24,22,13,23,23,22,3.2,95,8,1014,59.875,26,22,22,116,116,143,0,1,10.2,météo correcte
2009-01-04,28,22,18,22,28,22,2.2,92,10,1014,54.5,31,22,22,119,116,116,0,1,11.6,météo favorable
2009-01-05,26,22,18,22,26,22,0,92,10,1014,28.625,27,21,22,116,113,116,0,1,11.6,météo idéale
2009-01-06,25,22,20,22,25,22,1.9,95,9.875,1014,47,27,22,22,116,116,119,0,1,10.2,météo favorable
2009-01-07,26,21,21,22,26,22,1.7,87,9.875,1014,32.5,28,21,22,116,113,113,0,1,11.6,météo favorable
2009-01-08,24,21,18,22,23,22,0.3,92,9.875,1014,37.625,26,21,22,116,113,116,0,1,11.6,météo favorable
2009-01-09,26,21,19,22,26,21,0,87,10,1015,24.75,27,20,21,116,113,113,0,1,11.6,météo idéale
2009-01-10,24,21,15,22,24,22,2.3,94,10,1015,63,26,21,22,119,116,119,0,1,7.3,météo correcte
2009-01-11,25,21,21,22,25,22,0.2,91,10,1015,47,27,20,22,119,113,116,0,1,10.2,météo favorable
2009-01-12,26,21,22,22,26,21,0.1,88,10,1015,30.75,27,20,21,113,113,116,0,1,11.6,météo favorable
2009-01-13,26,21,22,22,26,22,0.2,89,9.375,1016,38.125,27,20,22,116,113,113,0,1,11.6,météo favorable
2009-01-14,26,21,24,22,26,22,0.1,89,10,1017,40.125,27,20,22,116,116,116,0,1,10.2,météo favorable
2009-01-15,25,21,27,22,25,21,0.8,87,9.875,1016,40.375,26,20,22,119,113,113,0,1,11.6,météo favorable
2009-01-16,26,20,12,21,26,21,0,95,9,1015,31.25,27,20,21,116,113,143,0,1,11.6,météo favorable
2009-01-17,26,19,11,21,26,22,1,96,6.875,1016,32.875,29,21,22,116,113,143,0,1,10.2,météo favorable
2009-01-18,25,21,15,22,25,22,2.9,93,8.75,1016,36.625,27,22,22,116,113,116,0,1,11.6,météo favorable
2009-01-19,25,21,15,22,25,22,0,93,10,1015,36,27,22,22,116,113,116,0,1,11.6,météo favorable
