DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,0,16,-1,2,2,0,95,10,1029,17.875,3,1,-4,113,113,113,,,,météo très défavorable
2009-01-02,3,-1,19,-1,2,2,0,95,10,1032,35,3,1,-5,116,116,116,,,,météo très défavorable
2009-01-03,1,-2,6,0,0,-2,0,92,10,1032,63.375,1,0,-3,119,116,116,,,,météo très défavorable
2009-01-04,2,0,3,-1,1,1,2,96,4.125,1027,76.5,2,1,-1,260,296,143,,,,météo très défavorable
2009-01-05,3,0,17,-1,3,0,0,95,8.625,1028,27.75,3,0,-5,116,116,113,,,,météo très défavorable
2009-01-06,0,-5,9,-4,-2,-3,0,92,10,1030,9.375,0,0,-8,113,113,113,,,,météo très défavorable
2009-01-07,2,-3,10,-4,0,0,0,98,4,1027,37.625,2,1,-8,143,116,260,,,,météo très défavorable
2009-01-08,2,-2,17,-1,0,0,0,94,8.375,1027,38.5,2,0,-6,116,113,113,,,,météo très défavorable
2009-01-09,4,0,21,-1,3,2,0,97,10,1025,35.875,4,2,-5,116,116,113,,,,météo très défavorable
2009-01-10,7,5,43,3,5,6,3.2,91,8.625,1021,85.5,7,6,-1,122,296,296,,,,météo très défavorable
2009-01-11,11,9,47,8,11,11,27,93,8.125,1009,97.75,11,10,5,296,302,302,,,,météo très défavorable
2009-01-12,10,6,27,7,8,6,9,94,7.875,1002,63.375,10,9,3,263,353,116,,,,météo défavorable
2009-01-13,5,2,12,3,4,2,1.1,97,4.625,1010,49.25,5,4,0,263,116,143,,,,météo très défavorable
2009-01-14,9,1,41,0,3,8,23.6,98,4.5,1010,77.5,9,9,-4,119,302,308,,,,météo très défavorable
2009-01-15,10,8,35,8,9,9,6.3,93,7.125,1001,86.5,10,8,4,302,176,266,,,,météo défavorable
2009-01-16,8,4,36,4,5,6,5.9,95,8.75,1003,51.125,8,7,-2,116,296,176,,,,météo très défavorable
2009-01-17,6,3,61,2,5,5,19.6,94,7,998,76.25,6,5,-2,176,296,305,,,,météo très défavorable
