DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,22,8,23,25,23,0,63,10,1017,2,32,22,27,113,113,113,0,6,11.5,météo idéale
2009-01-02,26,23,17,23,26,24,0,71,10,1017,8.25,29,20,25,113,113,113,0,6,11.4,météo idéale
2009-01-03,25,24,14,24,25,25,1,86,9.875,1016,36.875,28,23,25,116,116,113,0,6,11.5,météo favorable
2009-01-04,26,24,16,24,26,25,0,78,10,1017,12.25,29,23,26,113,113,113,0,6,11.5,météo idéale
2009-01-05,26,24,14,24,26,25,0,77,10,1017,13.125,29,22,26,113,113,113,0,6,11.5,météo idéale
2009-01-06,26,24,17,24,26,24,0.2,82,9.875,1016,30.75,28,22,26,116,113,116,0,6,11.5,météo favorable
2009-01-07,26,24,19,24,26,25,0.4,78,9.875,1017,33.125,28,22,25,116,113,113,0,6,11.5,météo favorable
2009-01-08,26,23,19,24,26,24,0.7,76,10,1017,18.75,28,22,26,116,113,113,0,6,11.5,météo idéale
2009-01-09,26,24,14,24,26,25,0.1,80,10,1018,19.25,29,23,26,113,113,116,0,6,11.5,météo idéale
2009-01-10,26,24,22,24,26,25,0.4,77,9.875,1020,16.125,28,22,26,116,113,113,0,6,11.5,météo idéale
2009-01-11,25,24,21,24,24,24,1.1,86,9.75,1019,41.375,27,22,25,119,116,116,0,6,11.5,météo favorable
2009-01-12,26,24,21,24,26,25,0,71,10,1019,12.375,28,21,26,113,113,113,0,6,11.5,météo idéale
2009-01-13,26,24,26,24,26,24,0.5,71,9.875,1020,14.75,28,21,26,113,113,113,0,6,11.5,météo idéale
2009-01-14,26,24,23,24,26,25,0.1,75,10,1020,19.875,28,21,26,116,113,113,0,6,11.5,météo idéale
2009-01-15,26,24,21,24,26,24,0.4,80,9.875,1020,33.625,28,21,25,113,113,116,0,6,11.5,météo favorable
2009-01-16,25,24,20,24,25,24,3.6,84,10,1018,59.75,28,22,25,119,116,116,0,5,11.5,météo correcte
2009-01-17,25,23,13,24,25,24,5.9,88,9.875,1017,49.125,27,23,25,116,116,113,0,5,10.1,météo favorable
2009-01-18,26,23,12,24,26,24,0,78,10,1018,9.625,31,23,26,113,113,113,0,6,11.5,météo idéale
2009-01-19,26,24,14,24,26,25,0.3,81,9.875,1017,20.25,30,23,26,116,113,113,0,6,11.5,météo idéale
2009-01-20,26,24,16,24,26,25,1.7,87,9.625,1017,22.75,29,24,25,113,116,113,0,6,11.5,météo favorable
2009-01-21,26,24,9,24,26,24,4.6,88,9.625,1017,51.75,29,24,25,119,113,113,0,5,11.5,météo favorable
2009-01-22,26,24,7,24,26,24,4.1,86,9.875,1018,51.625,30,24,26,119,116,116,0,6,11.5,météo favorable
2009-01-23,26,24,15,24,26,24,0,79,10,1018,21,29,22,26,113,113,113,0,5,11.6,météo idéale
2009-01-24,26,24,19,24,26,24,0,79,10,1017,17.75,28,22,26,113,113,113,0,6,11.6,météo idéale
2009-01-25,26,24,17,24,26,24,0,78,10,1017,14.125,28,22,25,113,116,113,0,6,11.6,météo favorable
2009-01-26,26,24,21,24,26,24,0.4,79,9.875,1019,20.375,29,22,26,113,113,116,0,6,11.6,météo idéale
2009-01-27,26,24,26,24,25,24,1.1,79,9.625,1019,36.375,27,21,25,116,116,116,0,6,10.1,météo favorable
2009-01-28,26,23,23,23,26,24,2.2,85,10,1019,36.625,28,21,24,119,113,113,0,6,11.6,météo favorable
2009-01-29,25,23,22,24,25,24,1.3,78,9.875,1018,22,27,21,25,116,113,113,0,6,11.6,météo idéale
2009-01-30,26,23,12,23,26,24,0.2,78,9.875,1017,23.25,29,23,26,116,113,113,0,6,11.6,météo idéale
2009-01-31,26,23,7,24,26,24,0.3,80,10,1017,12.625,31,23,27,113,113,113,0,6,11.6,météo idéale
2009-02-01,26,23,19,24,26,24,0,76,10,1018,10.5,30,22,25,113,113,113,0,1,11.6,météo idéale
2009-02-02,26,24,19,24,25,24,0.1,77,10,1017,14.5,28,21,25,113,113,113,0,1,11.6,météo idéale
2009-02-03,26,24,19,24,26,24,0,75,10,1017,6.625,30,22,26,113,113,113,0,1,11.6,météo idéale
2009-02-04,26,24,18,24,26,24,0.4,84,9.875,1019,23.625,29,22,25,113,113,116,0,1,11.6,météo idéale
2009-02-05,26,24,16,24,26,24,1.1,73,10,1019,19.25,28,22,26,113,113,113,0,1,11.6,météo idéale
2009-02-06,26,24,18,24,26,24,0.3,74,9.875,1020,21.875,28,21,25,113,113,116,0,1,11.6,météo idéale
2009-02-07,24,23,18,23,24,24,1.8,80,9.5,1020,31.625,26,20,24,116,116,116,0,1,11.6,météo favorable
2009-02-08,25,23,18,23,25,23,3,86,9.875,1019,40.25,27,21,24,116,116,116,0,1,11.6,météo favorable
2009-02-09,25,23,14,23,24,24,3.4,87,9.75,1018,41.375,27,22,23,116,113,116,0,1,11.6,météo favorable
2009-02-10,25,23,25,24,24,23,3.5,88,9.875,1019,52.875,27,22,23,116,116,119,0,1,10.2,météo favorable
2009-02-11,25,24,30,24,25,24,0.3,73,10,1021,32.625,27,20,25,116,113,116,0,1,11.6,météo favorable
2009-02-12,25,23,26,24,25,24,0,72,10,1020,23,27,20,25,113,113,116,0,1,11.6,météo idéale
2009-02-13,25,23,23,24,25,24,0.2,73,10,1018,35.25,27,20,24,119,113,113,0,1,11.6,météo favorable
2009-02-14,25,23,20,23,25,24,0,69,10,1017,4.125,27,19,25,113,113,113,0,1,11.6,météo idéale
2009-02-15,25,23,18,23,25,24,0,76,10,1018,27.875,27,20,25,116,116,113,0,1,11.6,météo favorable
2009-02-16,26,23,14,23,26,25,0,73,10,1016,22.75,30,21,26,113,113,116,0,1,11.6,météo idéale
2009-02-17,26,22,8,23,26,24,0,73,10,1016,6.75,30,22,27,113,113,113,0,1,11.6,météo idéale
2009-02-18,24,22,22,23,24,23,0.4,69,10,1018,37.625,26,20,24,116,116,113,0,1,11.6,météo favorable
2009-02-19,24,23,23,23,24,24,0.4,79,10,1018,60.25,26,21,24,116,119,119,0,1,5.9,météo correcte
2009-02-20,26,24,18,24,26,24,0,76,10,1017,16.75,28,21,26,116,113,113,0,1,11.6,météo idéale
2009-02-21,26,24,25,24,26,25,0,71,10,1019,16.625,28,20,26,113,113,116,0,1,11.6,météo idéale
2009-02-22,26,24,23,24,26,25,0.2,71,10,1021,13,28,20,26,116,113,113,0,1,11.6,météo idéale
2009-02-23,26,24,19,24,26,24,0,71,10,1020,3.875,28,21,26,113,113,113,0,1,11.6,météo idéale
2009-02-24,26,24,18,24,26,24,0.2,75,10,1018,17.25,28,20,25,116,113,113,0,1,11.6,météo idéale
2009-02-25,26,24,21,24,26,24,0,74,10,1018,8.125,28,21,26,113,113,113,0,1,11.6,météo idéale
2009-02-26,26,24,17,24,26,24,0.3,75,10,1017,11.125,28,21,25,113,113,113,0,1,11.6,météo idéale
2009-02-27,25,23,15,24,25,24,0.8,77,9.75,1015,24.25,27,21,25,113,113,116,0,1,11.6,météo idéale
2009-02-28,25,23,13,24,25,24,0.1,78,10,1016,17,28,22,26,113,113,113,0,1,11.6,météo idéale
2009-03-01,26,23,17,24,25,24,0.5,77,9.875,1016,20.625,28,21,25,116,113,113,0,1,11.6,météo idéale
2009-03-02,26,24,18,24,26,24,0.2,76,10,1017,15.75,28,21,26,116,113,113,0,1,11.6,météo idéale
2009-03-03,25,24,13,25,25,24,0,80,10,1017,26.75,28,22,25,116,113,113,0,1,11.6,météo idéale
2009-03-04,25,23,10,24,25,24,1.8,83,9.75,1017,40.125,28,22,25,116,119,116,0,1,8.8,météo correcte
2009-03-05,23,22,18,23,23,22,4.8,89,10,1019,64.75,26,21,23,119,119,119,0,1,6,météo correcte
2009-03-06,24,23,31,23,24,23,0.1,76,10,1020,54.75,26,20,23,119,113,116,0,1,8.8,météo favorable
2009-03-07,24,22,27,23,24,23,0,66,10,1020,11.75,26,17,23,113,113,113,0,1,11.6,météo idéale
2009-03-08,24,22,22,22,24,23,0,69,10,1019,28.375,26,18,23,119,116,113,0,1,11.6,météo favorable
2009-03-09,25,22,19,23,25,23,0,65,10,1019,16,27,18,24,116,113,113,0,1,11.6,météo idéale
2009-03-10,24,22,15,23,24,24,0,72,10,1018,64.75,26,19,24,119,116,116,0,1,10.2,météo correcte
2009-03-11,25,23,17,23,25,23,0,68,10,1018,30.5,27,19,24,119,113,113,0,1,11.6,météo favorable
2009-03-12,25,22,18,23,25,23,0,70,10,1018,45,26,19,24,116,113,119,0,1,10.2,météo favorable
2009-03-13,25,23,20,23,25,23,0.1,73,10,1018,43.125,26,19,24,116,116,119,0,1,10.2,météo favorable
2009-03-14,25,23,26,23,25,24,0.5,75,10,1019,22.125,26,19,23,116,113,113,0,1,11.6,météo idéale
2009-03-15,25,23,23,24,25,24,0.2,73,10,1020,23.5,27,20,25,116,113,116,0,1,11.6,météo idéale
2009-03-16,25,23,24,24,25,23,0.3,74,10,1021,30.5,27,20,25,116,113,116,0,1,11.6,météo favorable
2009-03-17,26,22,19,23,26,24,1,75,9.875,1016,32.5,27,20,25,116,113,113,0,1,11.6,météo favorable
2009-03-18,26,23,16,23,26,24,0,71,10,1016,5.875,28,20,25,113,113,113,0,1,11.6,météo idéale
2009-03-19,26,23,17,23,26,24,0,69,10,1016,3,28,21,25,113,113,113,0,1,11.6,météo idéale
2009-03-20,26,23,16,24,26,24,0,71,10,1015,6.375,28,21,25,113,113,113,0,1,11.6,météo idéale
2009-03-21,26,23,9,24,26,23,0.2,76,10,1016,16,29,21,26,113,113,113,0,1,11.6,météo idéale
2009-03-22,26,22,7,23,25,23,1.9,79,9.75,1015,32.625,29,21,25,116,113,113,0,1,11.6,météo favorable
2009-03-23,24,22,16,23,24,23,0.7,84,9.875,1015,33.75,27,21,24,113,119,116,0,1,10.2,météo correcte
2009-03-24,25,23,15,23,25,23,0,70,10,1016,24.5,27,19,24,113,113,113,0,1,11.6,météo idéale
2009-03-25,25,23,17,23,25,23,0.8,78,9.75,1016,32,28,21,24,113,113,116,0,1,11.6,météo favorable
2009-03-26,25,22,21,23,25,23,0.3,70,10,1017,45.25,27,19,24,116,116,116,0,1,11.6,météo favorable
2009-03-27,25,22,20,22,25,23,0,64,10,1018,3.875,27,20,24,113,113,113,0,1,11.6,météo idéale
2009-03-28,25,23,20,23,25,24,0,71,10,1019,36.375,27,19,24,119,113,116,0,1,11.6,météo favorable
2009-03-29,25,23,20,24,25,24,0,69,10,1018,24.375,27,19,25,116,113,113,0,1,11.6,météo idéale
2009-03-30,26,23,18,23,26,24,0.1,70,10,1017,32.625,28,20,25,116,113,113,0,1,11.6,météo favorable
2009-03-31,25,23,17,24,24,24,1.9,86,9.75,1017,47.125,27,21,24,116,119,116,0,1,8.8,météo correcte
2009-04-01,26,23,18,24,26,24,0.4,70,9.875,1018,8.75,29,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-02,26,23,17,24,26,24,0,69,10,1017,4,28,20,26,113,113,113,0,1,11.6,météo idéale
2009-04-03,26,23,14,24,26,24,0,71,10,1017,5.125,28,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-04,26,23,13,24,26,24,0,69,10,1017,7.25,30,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-05,26,23,14,24,24,24,0.3,78,9.875,1016,30.5,28,21,25,116,113,116,0,1,11.6,météo favorable
2009-04-06,26,23,18,24,26,25,0,71,10,1016,17.625,28,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-07,26,23,15,24,26,25,0,73,10,1017,5.625,29,22,26,113,113,113,0,1,11.6,météo idéale
2009-04-08,27,23,13,25,27,25,0,73,10,1018,9.25,30,22,27,113,113,113,0,1,11.6,météo idéale
2009-04-09,27,23,14,25,27,25,0,77,10,1018,11.125,32,23,26,113,113,113,0,1,11.6,météo idéale
2009-04-10,27,24,19,25,27,25,0,75,10,1020,15.5,29,22,26,113,113,113,0,1,11.6,météo idéale
2009-04-11,26,24,18,25,26,24,0,68,10,1019,3,28,20,26,113,113,113,0,1,11.6,météo idéale
2009-04-12,26,24,12,25,26,24,0.1,74,10,1017,9.25,31,23,27,113,113,113,0,1,11.6,météo idéale
2009-04-13,26,24,17,25,26,25,0,71,10,1018,9.25,29,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-14,27,24,19,25,27,25,0,71,10,1019,4.875,29,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-15,27,24,18,25,27,25,0,75,10,1019,14.25,29,21,26,113,113,113,0,1,11.6,météo idéale
2009-04-16,27,25,17,25,27,25,0.1,71,10,1018,5.5,30,22,27,113,113,113,0,1,11.6,météo idéale
2009-04-17,27,24,13,25,26,25,0.7,77,9.875,1016,17.125,30,23,27,113,113,113,0,1,11.6,météo idéale
2009-04-18,27,24,15,24,27,25,1.9,76,9.875,1015,39.25,30,23,27,116,113,116,0,1,11.6,météo favorable
2009-04-19,27,24,14,24,26,25,0.4,78,9.875,1016,37.25,30,23,26,116,116,116,0,1,11.6,météo favorable
2009-04-20,27,24,18,25,27,25,0.2,75,10,1018,23.25,30,22,26,116,113,116,0,1,11.6,météo idéale
2009-04-21,27,24,21,25,26,26,1.4,83,9.875,1019,42.125,30,23,26,116,116,113,0,1,11.6,météo favorable
2009-04-22,27,25,19,26,27,25,0.1,74,10,1020,13.625,30,23,27,113,113,113,0,1,11.6,météo idéale
2009-04-23,26,24,18,25,26,25,0,71,10,1019,17.125,28,22,26,116,113,113,0,1,11.6,météo idéale
2009-04-24,27,24,19,25,26,25,0.2,76,10,1019,12.875,29,22,25,113,113,113,0,1,11.6,météo idéale
2009-04-25,26,24,21,25,26,24,1.5,77,9.625,1019,26.375,28,21,26,116,113,116,0,1,11.6,météo idéale
2009-04-26,26,24,22,24,26,25,0.7,77,9.75,1019,23.25,28,21,25,116,113,113,0,1,11.6,météo idéale
2009-04-27,27,24,23,25,27,25,0,71,10,1019,18,29,21,26,113,113,116,0,1,12.5,météo idéale
2009-04-28,26,24,22,25,26,24,2.6,79,9.625,1018,39.75,28,21,25,116,116,116,0,1,12.9,météo favorable
2009-04-29,26,24,20,24,26,25,2.2,79,9.625,1018,32,28,21,25,116,113,113,0,1,12.9,météo favorable
2009-04-30,26,24,16,24,26,24,1.1,78,9.75,1018,23.375,29,21,25,116,113,113,0,1,12.9,météo idéale
2009-05-01,27,24,19,25,27,24,0.5,76,9.75,1018,24.875,29,22,26,113,116,116,0,1,12.9,météo favorable
2009-05-02,26,24,20,25,25,25,0.4,79,9.875,1017,28.625,28,21,25,116,116,113,0,1,12.9,météo favorable
2009-05-03,27,23,13,24,27,25,0,71,10,1016,7.375,31,22,27,113,113,113,0,1,12.9,météo idéale
2009-05-04,26,24,11,25,26,25,1.8,82,9.625,1016,24.125,30,23,26,116,113,176,0,1,12.9,météo idéale
2009-05-05,27,24,22,25,26,24,7.3,86,9.25,1017,38,30,23,25,113,116,119,0,1,12.9,météo favorable
2009-05-06,25,24,21,25,25,24,22.4,87,8.375,1018,58.75,28,23,25,116,116,359,0,1,12.9,météo très défavorable
2009-05-07,25,24,22,25,25,25,7,87,9.25,1018,47.75,27,23,25,116,122,116,0,1,12.9,météo correcte
2009-05-08,26,24,19,25,26,25,0.6,85,9.75,1017,45.875,29,23,26,116,113,116,0,1,12.9,météo favorable
2009-05-09,26,24,17,25,26,25,3.1,87,9.5,1018,34.875,29,23,25,116,116,116,0,1,12.9,météo favorable
2009-05-10,26,25,18,25,26,25,3.9,86,9.5,1017,33.25,29,23,25,116,116,113,0,1,13,météo favorable
2009-05-11,25,24,18,24,24,24,1.6,85,9.875,1016,39.375,27,22,24,116,116,116,0,1,13,météo favorable
2009-05-12,25,24,19,25,25,24,3.8,88,9.875,1015,46.25,27,23,25,116,116,116,0,1,13,météo favorable
2009-05-13,25,24,21,24,25,25,9.8,88,9.375,1016,56.75,28,23,25,119,116,116,0,1,10.7,météo correcte
2009-05-14,26,24,21,25,25,24,3,88,9.875,1016,42.75,28,22,24,113,116,119,0,1,13,météo favorable
2009-05-15,25,24,20,24,25,24,4,87,9.625,1016,52.5,27,22,25,119,116,116,0,1,11.9,météo favorable
2009-05-16,26,24,21,25,25,25,1.9,84,9.875,1016,30.625,28,22,25,116,113,116,0,1,13,météo favorable
2009-05-17,26,24,20,25,26,24,1,84,9.75,1014,29.625,28,22,25,116,113,116,0,1,13,météo idéale
2009-05-18,25,24,18,25,25,25,7.3,88,9.5,1015,48.25,28,23,25,116,119,116,0,1,13,météo correcte
2009-05-19,27,25,15,26,27,26,2.8,87,10,1015,22.25,31,25,26,116,113,116,0,1,13,météo idéale
2009-05-20,27,25,14,26,27,26,2.6,87,9.625,1015,30.875,31,24,27,116,113,116,0,1,13,météo favorable
2009-05-21,27,25,16,26,27,25,1.7,89,9.625,1014,57,31,25,26,119,119,116,0,1,10.7,météo correcte
2009-05-22,27,25,10,26,27,25,1.5,89,9.875,1015,70.25,32,25,26,119,119,119,0,1,8.1,météo défavorable
2009-05-23,27,25,14,26,27,26,1,88,9.875,1016,49,33,25,27,119,113,116,0,1,13,météo favorable
2009-05-24,27,25,13,26,27,26,0.7,84,9.625,1017,22.875,32,24,27,113,200,113,0,1,13.1,météo correcte
2009-05-25,27,25,15,26,27,26,0.1,81,10,1016,29.75,31,24,27,116,116,116,0,1,13.1,météo favorable
2009-05-26,26,25,17,26,26,26,1.2,85,9.875,1017,57.125,30,24,26,116,119,119,0,1,10.7,météo correcte
2009-05-27,28,26,14,27,27,26,1.8,86,9.875,1016,37.5,33,25,27,116,116,116,0,1,13.1,météo favorable
2009-05-28,28,26,14,27,28,26,0.1,80,10,1017,41.25,33,24,28,116,116,116,0,1,13.1,météo favorable
2009-05-29,28,26,16,26,28,26,0.1,80,10,1018,35.625,32,24,28,116,113,113,0,1,13.1,météo favorable
2009-05-30,27,25,14,26,26,26,0.6,83,9.875,1017,14.5,31,24,27,113,113,113,0,1,13.1,météo idéale
2009-05-31,27,25,14,26,27,26,0,72,10,1017,6.75,31,24,27,113,113,113,0,1,13.1,météo idéale
2009-06-01,27,24,13,26,27,26,0.1,76,10,1017,10,32,24,27,113,113,113,0,1,13.1,météo idéale
2009-06-02,26,25,18,26,26,25,2.9,86,9.75,1016,38.75,30,24,26,116,116,116,0,1,13.1,météo favorable
2009-06-03,26,25,17,25,26,26,6.8,87,9.625,1016,48.375,29,24,26,116,116,116,0,1,13.1,météo favorable
2009-06-04,27,25,19,26,27,26,2,84,9.75,1016,30.25,30,23,26,116,113,113,0,1,13.1,météo favorable
2009-06-05,27,25,18,26,27,26,5.2,80,9.375,1017,32.625,30,23,26,116,116,116,0,1,13.1,météo favorable
2009-06-06,27,25,20,25,27,26,2,80,9.75,1018,26.625,31,23,27,116,113,113,0,1,13.1,météo idéale
2009-06-07,27,25,17,26,26,26,0.1,84,10,1016,22.75,30,23,26,113,113,116,0,1,13.1,météo idéale
2009-06-08,27,25,12,27,27,26,1.3,84,9.875,1016,47.5,33,25,28,116,116,116,0,1,13.5,météo favorable
2009-06-09,28,26,12,26,28,26,0.8,84,9.75,1016,49.125,32,25,27,116,200,116,0,1,13.5,météo correcte
2009-06-10,27,26,14,26,27,27,1.4,82,9.875,1016,48.5,32,24,27,116,116,116,0,1,13.3,météo favorable
2009-06-11,27,25,19,26,27,26,0.5,84,10,1017,42.125,32,24,27,116,113,119,0,1,12.1,météo favorable
2009-06-12,27,25,14,26,27,26,2.2,82,9.75,1017,32,31,24,27,116,116,116,0,1,13.5,météo favorable
2009-06-13,28,26,14,27,28,27,0.4,82,9.875,1017,21,34,25,28,116,113,113,0,1,13.5,météo idéale
2009-06-14,28,26,13,27,27,26,1,83,9.875,1017,27.875,32,25,27,116,113,116,0,1,13.5,météo idéale
2009-06-15,27,26,15,26,27,26,0.3,78,9.875,1017,29.375,31,23,27,113,116,116,0,1,13.5,météo favorable
2009-06-16,27,26,14,26,26,26,5.2,85,9.625,1017,45.625,32,24,27,116,116,113,0,1,13.5,météo favorable
2009-06-17,28,26,13,27,28,26,1.5,83,9.875,1017,35.375,33,25,28,116,200,116,0,1,13.5,météo correcte
2009-06-18,27,26,15,26,27,26,1.9,81,9.75,1015,17.125,31,24,27,113,113,113,0,1,13.5,météo idéale
2009-06-19,28,26,14,26,28,26,1.2,80,9.75,1015,24,32,24,27,113,113,113,0,1,13.5,météo idéale
2009-06-20,28,25,15,26,27,26,1.3,81,9.875,1015,29.75,32,24,28,116,113,113,0,1,13.5,météo idéale
2009-06-21,28,26,13,27,28,26,0.1,76,10,1014,10.875,34,24,28,113,113,113,0,1,13.5,météo idéale
2009-06-22,28,25,13,26,28,27,0.8,78,10,1014,23.75,32,24,28,113,116,113,0,1,13.5,météo favorable
2009-06-23,28,26,17,27,28,27,2.1,82,9.75,1016,14.125,33,25,27,113,113,113,0,1,13.5,météo idéale
2009-06-24,28,26,18,27,28,27,3.4,84,9.625,1017,29.25,33,25,28,200,200,116,0,1,13.5,météo correcte
2009-06-25,29,26,15,27,29,27,0.2,82,9.875,1017,15.375,35,25,28,113,113,113,0,1,13.5,météo favorable
2009-06-26,28,26,14,27,28,27,1,84,9.875,1018,15.125,34,25,28,113,113,113,0,1,13.5,météo idéale
2009-06-27,29,26,14,27,29,27,0.1,79,10,1018,8.125,35,25,28,113,113,113,0,1,13.5,météo favorable
2009-06-28,29,26,13,27,29,27,0,74,10,1017,8,34,25,29,113,113,113,0,1,13.5,météo idéale
2009-06-29,28,26,12,27,28,26,0.2,76,9.875,1016,13,34,24,28,113,113,113,0,1,13.5,météo idéale
2009-06-30,28,26,15,27,28,27,1,82,9.75,1016,28.375,32,24,27,113,116,116,0,1,13.5,météo favorable
2009-07-01,29,26,18,27,29,27,0.2,76,9.875,1017,11.625,34,24,28,113,113,113,0,1,13.5,météo idéale
2009-07-02,29,27,14,27,29,27,0.5,76,9.875,1018,14,34,24,29,113,113,113,0,1,13.5,météo idéale
2009-07-03,28,27,18,27,28,27,0.2,81,10,1018,7.5,34,25,28,113,113,113,0,1,13.5,météo idéale
2009-07-04,29,27,15,28,29,27,0.2,78,9.875,1017,15.375,36,25,29,113,113,113,0,1,13.5,météo favorable
2009-07-05,28,26,23,27,27,26,3.7,86,9.625,1017,43.5,32,25,27,116,200,200,0,1,13.3,météo correcte
2009-07-06,29,26,15,26,29,27,1.6,80,9.875,1018,35.75,35,25,28,119,113,113,0,1,13.3,météo favorable
2009-07-07,29,27,17,27,29,27,0,78,10,1017,17.625,34,25,29,116,113,113,0,1,13.5,météo idéale
2009-07-08,28,26,18,27,28,27,2.1,80,9.875,1016,36.125,34,24,28,116,113,113,0,1,13.5,météo favorable
2009-07-09,28,26,14,27,28,27,2.4,85,9.875,1018,29.875,34,25,27,116,113,113,0,1,13.5,météo idéale
2009-07-10,28,26,18,27,28,27,0.5,80,9.625,1018,26.75,33,24,28,116,113,200,0,1,13.5,météo idéale
2009-07-11,29,26,16,27,29,27,0.1,78,10,1018,15.625,34,25,28,113,113,113,0,1,13.5,météo idéale
2009-07-12,28,26,16,27,28,27,0.6,81,9.875,1018,19.25,33,25,28,113,113,113,0,1,13.5,météo idéale
2009-07-13,28,26,17,26,27,27,4.9,85,9.25,1017,27.875,32,24,26,116,116,113,0,1,13.5,météo favorable
2009-07-14,29,27,18,27,29,27,0.4,80,10,1019,18.625,34,25,29,113,113,116,0,1,13.5,météo idéale
2009-07-15,29,27,21,28,29,27,0,78,10,1019,30.25,34,25,29,116,116,113,0,1,13.5,météo favorable
2009-07-16,29,27,18,28,29,27,0,76,10,1018,31.25,35,24,29,116,113,116,0,1,13.5,météo favorable
2009-07-17,29,26,19,27,29,27,0.3,76,9.875,1018,38.25,34,24,29,119,113,113,0,1,13.3,météo favorable
2009-07-18,29,26,18,27,29,26,1.2,78,10,1018,35.75,34,25,28,113,113,119,0,1,13.3,météo favorable
2009-07-19,28,26,23,26,28,26,3.1,78,10,1017,50.5,32,24,28,119,116,116,0,1,13.3,météo favorable
2009-07-20,27,26,22,27,27,27,2,85,9.875,1016,35.25,32,24,27,116,116,116,0,1,13.4,météo favorable
