DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,-11,9,-7,-3,-11,0.1,93,8.125,1027,29.25,0,0,-16,260,113,113,0.1,1,8.4,météo très défavorable
2009-01-02,-3,-14,9,-14,-3,-12,0,95,9,1025,16.125,0,0,-17,116,113,113,0,1,8.5,météo très défavorable
2009-01-03,-4,-23,10,-8,-4,-23,0,100,6.75,1023,8.875,0,0,-27,113,113,260,0,1,8.7,météo très défavorable
2009-01-04,-4,-21,8,-15,-4,-21,0,99,7.75,1023,11,0,0,-20,113,113,260,0,1,8.7,météo très défavorable
2009-01-05,-8,-21,6,-20,-8,-13,0,95,9,1020,40.25,0,0,-17,113,116,143,0,1,8.7,météo très défavorable
2009-01-06,-7,-12,7,-11,-7,-12,0,98,4.75,1017,47.5,0,0,-15,113,143,260,0,1,5.1,météo très défavorable
2009-01-07,-5,-10,15,-8,-6,-6,0.2,96,6.625,1017,59,0,0,-12,122,116,116,0.2,1,6.9,météo très défavorable
2009-01-08,-4,-9,12,-7,-4,-8,0,97,3.25,1028,33,0,0,-13,260,143,143,0,1,8.7,météo très défavorable
2009-01-09,-3,-9,12,-9,-3,-7,0,95,7,1029,16.375,0,0,-12,113,143,113,0,1,8.7,météo très défavorable
2009-01-10,-1,-16,9,-8,-1,-16,0,99,5.5,1029,8.25,0,0,-18,113,260,260,0,1,8.7,météo très défavorable
2009-01-11,-0,-18,6,-15,-0,-16,0,98,5.75,1032,1.75,2,1,-19,113,260,143,0,1,8.7,météo très défavorable
2009-01-12,1,-9,12,-7,1,-9,0,98,8,1032,5.625,2,1,-11,113,113,143,0,1,8.7,météo très défavorable
2009-01-13,-0,-14,15,-6,-1,-13,0,98,6.75,1026,6.375,0,0,-16,113,260,143,0,1,8.7,météo très défavorable
2009-01-14,-2,-19,12,-13,-2,-5,0.2,99,4,1017,43,0,0,-10,113,260,260,0.2,1,6.9,météo très défavorable
2009-01-15,-1,-11,9,-11,-1,-7,0,96,3.5,1023,27.625,0,0,-11,143,143,113,0,1,8.7,météo très défavorable
2009-01-16,-0,-11,8,-11,-0,-10,0,97,7,1025,8.125,0,0,-13,113,143,143,0,1,8.7,météo très défavorable
2009-01-17,-0,-7,13,-6,-0,-1,0,99,5.5,1025,33.625,0,0,-5,113,119,260,0,1,5.2,météo très défavorable
2009-01-18,-2,-4,27,-3,-2,-2,1.2,99,9,1022,59.625,0,0,-9,116,122,122,1,1,3.4,météo très défavorable
2009-01-19,-0,-6,26,-2,0,0,1,100,8.375,1015,68.25,0,0,-6,119,119,122,0,1,5.2,météo très défavorable
2009-01-20,-1,-8,11,-4,-3,-5,0.3,99,1.75,1002,83,0,0,-9,260,260,260,0.2,1,5.2,météo très défavorable
2009-01-21,-4,-12,11,-12,-4,-9,0,99,0.5,1012,47.375,0,0,-13,260,143,260,0,1,6.9,météo très défavorable
2009-01-22,-2,-16,12,-14,-2,-4,0,94,8.75,1012,25.5,0,0,-11,113,113,116,0,1,8.7,météo très défavorable
2009-01-23,-0,-5,36,-1,0,-2,3.1,100,9.25,1001,81.5,0,0,-9,122,122,200,0,1,3.5,météo très défavorable
2009-01-24,-2,-7,13,-3,-3,-4,0.7,99,3.375,996,64,0,0,-8,260,260,260,0.6,1,7,météo très défavorable
2009-01-25,-1,-9,11,-9,-1,-5,0.1,95,5.375,1001,38.5,0,0,-10,143,143,143,0.1,1,8.7,météo très défavorable
2009-01-26,-3,-7,9,-5,-3,-4,0.3,98,2.25,1004,64.625,0,0,-6,143,260,260,0.3,1,7,météo très défavorable
2009-01-27,-4,-10,15,-7,-4,-8,0.2,98,5.875,1014,64.375,0,0,-13,143,116,260,0.1,1,7,météo très défavorable
2009-01-28,-3,-17,9,-14,-3,-17,0,98,3.75,1015,15.5,0,0,-20,143,143,260,0,1,8.7,météo très défavorable
2009-01-29,-1,-17,5,-15,-1,-15,0,100,5.25,1016,11.125,0,0,-17,113,260,260,0,1,8.7,météo très défavorable
2009-01-30,-0,-13,10,-10,-1,-13,0,99,5.25,1019,5.625,0,0,-15,113,260,260,0,1,8.7,météo très défavorable
2009-01-31,-0,-6,8,-6,-2,-6,0,63,10,1016,3.625,1,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,-4,-10,20,-8,-6,-8,0,95,9,1010,43.125,0,0,-16,116,143,119,0,1,5.4,météo très défavorable
2009-02-02,-3,-7,25,-5,-3,-3,0.2,84,9.625,1005,45.5,0,0,-11,116,116,116,0.2,1,8.7,météo très défavorable
2009-02-03,2,-2,12,-2,2,-2,0.2,96,7.375,1001,47.5,2,0,-4,116,116,143,0,1,7,météo très défavorable
2009-02-04,-0,-7,9,-2,-1,-7,0.1,100,1.5,1001,49.5,0,0,-7,143,260,260,0,1,5.4,météo très défavorable
2009-02-05,-1,-6,20,-6,-1,-2,0,98,5.5,1002,44,0,0,-9,143,260,260,0,1,7,météo très défavorable
2009-02-06,-2,-3,14,-3,-3,-2,0.2,98,2.625,998,58,0,0,-7,143,260,260,0.2,1,8.7,météo très défavorable
2009-02-07,-3,-8,13,-3,-4,-6,1,99,2.75,994,98.25,0,0,-12,260,260,122,0.8,1,3.8,météo très défavorable
2009-02-08,-4,-11,18,-8,-4,-8,0.2,100,3.125,1010,99.125,0,0,-14,260,260,260,0.2,1,3.8,météo très défavorable
2009-02-09,-0,-19,21,-12,-1,-1,0,97,7.75,1013,42.375,0,0,-8,116,116,116,0,1,7.1,météo très défavorable
2009-02-10,-1,-8,27,-1,-3,-6,3.6,99,7.5,1012,79.75,0,0,-12,200,200,200,1,1,3.8,météo très défavorable
2009-02-11,-7,-16,22,-9,-7,-11,0,98,7.375,1019,70,0,0,-19,260,116,116,0,1,5.4,météo très défavorable
2009-02-12,-8,-23,24,-19,-8,-11,0.1,99,5.875,1022,65.75,0,0,-19,260,122,119,0.1,1,3.8,météo très défavorable
2009-02-13,-9,-18,14,-15,-9,-18,0,99,6.5,1022,44.5,0,0,-23,260,116,260,0,1,8.7,météo très défavorable
2009-02-14,-8,-19,19,-19,-8,-12,0,98,6.75,1027,38.625,0,0,-18,143,116,143,0,1,7.1,météo très défavorable
