DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,0,19,-1,4,-1,0,85,10,1027,6.875,4,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,2,0,19,-2,2,-2,0,87,10,1026,9.125,2,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,1,0,25,-3,1,-2,0,82,10,1025,10.25,1,0,-8,116,113,113,0,1,8.7,météo très défavorable
2009-01-04,-0,0,10,-5,-1,-5,0,67,10,1025,25.625,0,0,-8,113,116,116,0,1,8.7,météo très défavorable
2009-01-05,-1,0,12,-6,-1,-2,2.4,95,7,1021,59.25,0,0,-7,113,119,143,2,1,5.1,météo très défavorable
2009-01-06,-2,0,20,-4,-2,-5,0.2,91,9.625,1022,90.625,0,0,-11,119,122,122,0.2,1,3.3,météo très défavorable
2009-01-07,-4,0,19,-6,-4,-6,0.1,83,10,1025,31.5,0,0,-14,116,113,113,0,1,8.7,météo très défavorable
2009-01-08,-1,0,24,-4,-1,-5,0,92,10,1026,23.875,0,0,-10,119,113,113,0,1,8.7,météo très défavorable
2009-01-09,-0,0,12,-8,-1,-4,0,91,10,1027,0,0,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,1,0,13,-5,1,-3,0,82,10,1030,3.625,1,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,4,0,12,-3,4,-0,0,71,10,1032,2.25,4,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,3,0,19,-2,2,1,0,90,10,1030,19.625,3,1,-5,116,113,113,0,1,8.7,météo très défavorable
2009-01-13,3,0,15,-0,3,2,1,98,9.875,1020,71.25,4,3,-4,116,122,122,0,1,3.3,météo très défavorable
2009-01-14,5,0,10,-0,5,0,0.1,97,3,1018,69.375,5,4,-2,260,116,143,0,1,6.9,météo très défavorable
2009-01-15,5,0,19,-0,5,2,0,82,10,1018,31.875,5,0,-4,116,113,116,0,1,8.7,météo très défavorable
2009-01-16,5,0,14,0,4,4,0.5,97,8,1021,61.5,5,4,-2,116,122,143,0,1,5.1,météo très défavorable
2009-01-17,9,0,25,6,7,9,0.8,95,8.125,1021,83.25,9,8,1,116,119,119,0,1,3.4,météo très défavorable
2009-01-18,8,0,40,8,8,6,7.8,92,9.375,1013,64.875,8,7,3,200,113,119,0,1,6.9,météo très défavorable
2009-01-19,10,0,40,9,9,6,2.1,88,9.875,1006,81.375,10,8,2,122,119,116,0,1,3.4,météo très défavorable
2009-01-20,6,0,19,2,5,4,0,93,10,1001,56.875,6,3,-2,116,122,116,0,1,3.4,météo très défavorable
2009-01-21,5,0,11,2,4,1,0.3,96,6,1011,69.5,5,2,-2,143,116,116,0,1,6.9,météo très défavorable
2009-01-22,8,0,41,4,6,8,0.7,96,9,1008,99.125,8,8,-1,122,122,122,0,1,3.4,météo très défavorable
2009-01-23,12,0,48,12,10,5,0.3,88,9.875,994,64.75,12,11,2,122,116,113,0,1,6.9,météo très défavorable
2009-01-24,5,0,33,2,2,3,0,99,10,1003,75.125,5,4,-4,122,122,116,0,1,5.2,météo très défavorable
2009-01-25,6,0,29,3,6,5,1.4,99,9.875,1002,77.875,6,4,-1,122,119,122,0,1,3.4,météo très défavorable
2009-01-26,8,0,11,1,6,3,0,95,4.25,1006,63.625,8,5,-0,248,116,113,0,1,8.7,météo très défavorable
2009-01-27,7,0,8,-0,6,-0,0,93,6,1017,20,7,3,-1,143,113,113,0,1,8.7,météo très défavorable
2009-01-28,5,0,12,0,5,3,0,92,7,1017,47.875,5,2,-1,143,119,116,0,1,7,météo très défavorable
2009-01-29,5,0,16,-2,4,1,0,80,10,1018,6.25,5,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,6,0,21,-1,5,2,0,71,10,1018,31.5,6,0,-4,113,113,116,0,1,8.7,météo très défavorable
2009-01-31,7,0,21,1,6,4,0,79,10,1010,87,7,3,-2,119,122,122,0,1,3.5,météo très défavorable
2009-02-01,3,0,25,-0,2,-0,0,77,10,1006,46.75,3,0,-7,116,113,119,0,1,8.7,météo très défavorable
2009-02-02,2,0,14,1,2,-1,4.8,99,7.75,997,91.375,2,2,-5,122,248,119,0,1,3.5,météo très défavorable
2009-02-03,3,0,7,-3,2,-2,0,83,8,1003,18,3,0,-4,113,113,113,0,1,9.8,météo très défavorable
2009-02-04,10,0,19,-1,5,5,0.7,89,8.375,1000,55.125,10,6,-5,122,122,116,0,1,8.3,météo très défavorable
2009-02-05,10,0,27,5,10,7,0.9,93,9.75,993,69,10,7,3,122,116,200,0,1,8.3,météo très défavorable
2009-02-06,9,0,21,5,9,6,0,93,9.875,992,73.375,9,6,2,119,122,116,0,1,6.6,météo très défavorable
2009-02-07,5,0,31,3,2,1,0.7,89,9,1001,79.5,5,4,-4,122,122,116,0.6,1,6.6,météo très défavorable
2009-02-08,4,0,15,1,4,1,0,92,10,1009,62,4,1,-2,116,113,122,0,1,8.3,météo très défavorable
2009-02-09,10,0,38,4,5,10,2.9,98,7,1009,92.5,10,9,0,248,122,119,0,1,5,météo très défavorable
2009-02-10,10,0,38,6,6,4,0.5,85,9,1016,69.875,10,8,-0,122,122,113,0,1,10,météo très défavorable
2009-02-11,7,0,11,1,5,4,0,94,8.75,1021,68.875,7,3,-0,248,119,116,0,1,6.7,météo très défavorable
2009-02-12,5,0,22,2,5,2,0,77,10,1026,45.5,5,1,-2,119,119,113,0,1,10,météo très défavorable
2009-02-13,5,0,20,1,3,3,2.2,100,9.25,1027,92.75,5,5,-4,122,122,122,0.1,1,5.1,météo très défavorable
2009-02-14,4,0,15,-1,4,0,0,90,10,1030,31.875,4,0,-3,116,116,113,0,1,10.2,météo très défavorable
2009-02-15,5,0,11,-2,4,-0,0,77,9,1031,31.125,5,0,-3,116,116,116,0,1,10.2,météo très défavorable
2009-02-16,7,0,13,-0,7,5,0,96,8,1029,69.125,7,4,-0,119,119,143,0,1,5.3,météo très défavorable
2009-02-17,7,0,19,3,7,6,0.2,94,7.75,1028,92,8,5,0,248,119,122,0,1,5.3,météo très défavorable
2009-02-18,9,0,16,7,9,7,0,90,10,1025,74.375,9,6,4,116,122,119,0,1,6.9,météo très défavorable
2009-02-19,7,0,13,3,7,2,0,74,10,1030,37.75,7,3,1,119,113,113,0,1,10.7,météo très défavorable
2009-02-20,9,0,9,-0,8,3,0,83,10,1032,20.875,9,1,1,116,113,113,0,1,10.8,météo très défavorable
2009-02-21,8,0,12,1,8,4,0,93,9,1033,39.5,8,4,2,143,119,113,0,1,6.9,météo très défavorable
2009-02-22,8,0,17,1,8,7,0.1,91,8,1034,74.375,9,6,0,119,122,122,0,1,5.4,météo très défavorable
2009-02-23,9,0,17,6,9,7,0,86,9,1027,82.625,9,7,5,116,122,122,0,1,5.4,météo très défavorable
2009-02-24,9,0,15,6,8,5,0.2,89,9.375,1028,65.125,9,5,3,122,119,113,0,1,7,météo très défavorable
2009-02-25,9,0,11,-0,8,3,0,85,8,1030,5.625,9,2,1,143,113,113,0,1,10.9,météo très défavorable
2009-02-26,10,0,13,1,10,5,0,85,9,1029,17.75,11,4,2,113,113,113,0,1,11,météo très défavorable
2009-02-27,11,0,9,0,9,5,0,86,7,1026,16.625,11,4,3,143,113,113,0,1,11,météo très défavorable
