DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,1,21,0,5,2,0,83,10,1027,10.875,6,1,-5,113,113,113,,,,météo très défavorable
2009-01-02,4,3,27,1,4,2,0,78,10,1026,6.875,4,0,-1,113,113,113,,,,météo très défavorable
2009-01-03,4,2,23,0,4,2,0,90,10,1026,6.5,4,1,-3,113,113,113,,,,météo très défavorable
2009-01-04,4,-3,8,-4,4,-3,0,68,10,1027,19.375,4,0,-6,113,116,113,,,,météo très défavorable
2009-01-05,5,4,23,4,5,3,4,93,9.5,1021,84.625,5,4,0,296,296,368,,,,météo très défavorable
2009-01-06,2,1,25,-1,2,1,0.3,82,10,1024,44.625,2,0,-4,122,113,113,,,,météo très défavorable
2009-01-07,3,0,19,-2,3,2,0.1,75,10,1027,37.875,3,1,-4,113,116,119,,,,météo très défavorable
2009-01-08,6,5,23,5,6,1,0.8,90,7.75,1028,47.375,6,4,1,263,263,113,,,,météo très défavorable
2009-01-09,3,-3,9,-4,2,-1,0,78,10,1028,0.875,3,0,-6,113,113,113,,,,météo très défavorable
2009-01-10,5,0,9,-2,5,1,0,70,10,1029,5.5,5,0,-1,113,113,116,,,,météo très défavorable
2009-01-11,10,2,32,0,8,7,0,80,10,1029,13.375,10,6,-4,113,116,113,,,,météo très défavorable
2009-01-12,11,10,43,7,11,9,2.2,82,7.875,1024,54.5,11,8,5,113,116,296,,,,météo défavorable
2009-01-13,10,9,21,7,10,9,4.4,93,9.5,1015,40.875,10,8,7,293,113,113,,,,météo défavorable
2009-01-14,7,6,23,5,7,6,0.8,87,9.375,1017,38.125,7,5,3,113,116,116,,,,météo très défavorable
2009-01-15,7,6,33,5,7,6,0,89,10,1014,43,7,5,2,119,113,116,,,,météo très défavorable
2009-01-16,10,7,25,6,10,8,0.8,94,8.75,1016,56.5,10,7,3,263,116,116,,,,météo défavorable
2009-01-17,11,10,27,9,11,10,3.9,86,9.75,1016,51.375,11,8,7,296,113,122,,,,météo défavorable
2009-01-18,11,10,39,8,11,9,14.2,81,8.375,1006,57.5,11,7,6,389,176,116,,,,météo défavorable
2009-01-19,14,5,41,14,6,3,15.8,86,6.75,999,70.75,14,12,-1,302,302,176,,,,météo très défavorable
2009-01-20,7,5,17,4,7,5,0.4,89,9.875,998,45.5,7,4,2,200,116,116,,,,météo très défavorable
2009-01-21,6,5,22,4,6,5,4.3,84,9.125,1007,48,6,4,1,116,116,293,,,,météo très défavorable
2009-01-22,11,10,35,9,11,10,18.6,91,5.5,998,95.25,11,10,7,308,296,266,,,,météo très défavorable
2009-01-23,13,9,50,12,10,5,7,79,7.875,991,54.5,13,11,5,302,176,113,,,,météo correcte
2009-01-24,6,5,24,4,6,5,13.3,92,7.75,999,56.75,6,4,1,320,176,116,,,,météo très défavorable
2009-01-25,9,8,26,6,9,8,25.8,92,7.375,993,75.625,9,8,4,308,302,176,,,,météo très défavorable
2009-01-26,8,6,17,5,8,6,1.6,91,10,1008,38.75,8,5,3,113,119,353,,,,météo très défavorable
