DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,5,7,2,7,6,3.1,80,4.25,1033,79.75,7,3,4,263,266,266,,,,météo très défavorable
2009-01-02,5,4,8,4,5,5,3,88,7.375,1032,100,5,3,2,317,266,317,,,,météo très défavorable
2009-01-03,5,4,4,3,5,4,1.4,88,8.75,1027,85.875,5,3,4,326,119,317,,,,météo très défavorable
2009-01-04,6,5,9,3,6,5,0.6,83,6.5,1023,78.75,6,3,3,143,119,119,,,,météo très défavorable
2009-01-05,9,4,15,2,7,5,1.8,76,8.125,1029,64,9,0,0,332,266,116,,,,météo très défavorable
2009-01-06,9,5,11,1,9,5,0.1,62,10,1031,35.75,9,0,2,116,116,116,,,,météo très défavorable
2009-01-07,8,5,4,1,8,5,0.2,62,9.375,1031,34,8,1,5,113,116,116,,,,météo très défavorable
2009-01-08,10,5,7,-1,10,5,0,65,10,1037,17.875,10,1,4,116,116,113,,,,météo très défavorable
2009-01-09,15,9,8,2,15,7,0,47,10,1036,5.875,15,1,8,113,113,113,,,,météo correcte
2009-01-10,11,7,4,1,11,5,0,59,10,1032,11.5,11,3,7,113,113,113,,,,météo défavorable
2009-01-11,11,5,10,2,11,7,0.1,83,9,1032,17.375,11,3,4,113,113,113,,,,météo très défavorable
2009-01-12,11,7,17,3,11,5,0,26,10,1038,12.5,11,0,4,113,113,113,,,,météo défavorable
2009-01-13,10,6,5,-1,10,3,0,51,10,1036,7.375,10,1,5,113,113,113,,,,météo défavorable
2009-01-14,12,6,6,0,12,6,0,77,9,1034,16.625,12,3,5,113,113,113,,,,météo défavorable
2009-01-15,8,6,10,4,8,6,0.8,91,4.5,1031,57.375,8,6,5,263,263,143,,,,météo très défavorable
2009-01-16,11,6,6,3,10,6,0.6,87,5.5,1026,55.875,11,6,5,143,113,143,,,,météo défavorable
2009-01-17,9,6,7,3,9,5,1.2,89,7.125,1024,47.625,9,5,5,116,263,263,,,,météo défavorable
2009-01-18,13,6,7,3,12,9,0.3,83,9,1025,44.875,13,4,5,116,116,119,,,,météo correcte
2009-01-19,7,6,8,5,7,6,1.9,95,4,1018,88.75,7,6,5,266,266,266,,,,météo très défavorable
2009-01-20,12,7,11,4,10,8,1,85,6.75,1030,60.75,12,5,5,143,263,116,,,,météo défavorable
2009-01-21,12,7,12,5,10,11,0.5,71,8.375,1029,42.75,12,7,5,119,263,113,,,,météo défavorable
2009-01-22,10,6,18,3,10,6,0,69,10,1024,5.625,10,3,3,113,113,113,,,,météo défavorable
2009-01-23,5,3,20,2,5,4,0,33,10,1034,33.5,5,0,-1,113,116,116,,,,météo très défavorable
2009-01-24,6,-1,9,-1,6,1,0,52,10,1034,31.5,6,0,-2,119,116,113,,,,météo très défavorable
