DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,4,14,0,15,20,0,74,10,1022,8.25,20,6,2,113,113,113,,,,météo favorable
2009-01-02,19,8,22,4,15,19,0,85,10,1018,28.75,19,10,4,119,116,113,,,,météo favorable
2009-01-03,21,8,23,4,17,20,0,68,10,1019,14.5,24,11,5,113,113,113,,,,météo favorable
2009-01-04,19,14,35,12,18,18,0.5,77,9,1010,36.75,19,10,12,119,113,113,,,,météo favorable
2009-01-05,16,9,34,6,14,15,0.1,74,10,1007,33.375,16,4,5,116,113,113,,,,météo correcte
2009-01-06,13,7,24,6,11,13,0.2,74,10,1012,61.625,13,5,4,119,119,119,,,,météo correcte
2009-01-07,18,7,21,5,12,18,0,83,10,1016,47.125,18,7,4,116,116,113,,,,météo favorable
2009-01-08,20,8,17,5,15,20,0,82,10,1019,29,20,9,6,116,113,113,,,,météo favorable
2009-01-09,22,9,21,5,18,22,0,89,8,1017,47.625,25,11,7,143,113,113,,,,météo favorable
2009-01-10,20,13,20,13,14,20,0.9,79,8.375,1018,52,20,11,11,122,263,113,,,,météo correcte
2009-01-11,22,7,14,4,19,22,0,70,10,1023,8.875,23,6,7,113,113,113,,,,météo favorable
2009-01-12,20,9,20,6,19,20,0,69,10,1015,18.125,20,7,8,113,113,113,,,,météo favorable
2009-01-13,19,10,27,7,16,18,0,84,10,1009,42.875,19,10,8,119,116,116,,,,météo favorable
2009-01-14,15,12,32,12,13,14,4.5,85,8.5,1013,54.75,15,10,10,266,176,176,,,,météo correcte
2009-01-15,10,6,43,5,9,10,0.6,85,9,1015,68.875,10,5,2,122,119,116,,,,météo défavorable
2009-01-16,12,7,28,8,9,12,1,73,8.125,1009,42.375,12,6,3,263,116,113,,,,météo défavorable
2009-01-17,12,5,20,3,10,12,0,73,10,1019,39.25,12,4,2,113,116,116,,,,météo très défavorable
2009-01-18,16,8,24,5,12,16,0.2,82,10,1020,45.125,16,10,5,116,116,113,,,,météo correcte
2009-01-19,22,13,24,11,19,21,0.1,90,10,1018,53.875,25,14,11,119,113,116,,,,météo favorable
2009-01-20,21,15,33,13,19,17,1.4,83,5.75,1015,68.25,21,12,13,266,113,119,,,,météo défavorable
2009-01-21,15,10,26,7,15,15,0.4,81,8,1015,54.875,15,11,8,143,119,119,,,,météo correcte
2009-01-22,18,14,34,14,18,18,0.6,77,8,1010,66,18,13,12,116,116,116,,,,météo défavorable
2009-01-23,16,14,27,13,15,14,12.5,88,6.625,1007,66.5,16,12,12,296,266,299,,,,météo défavorable
2009-01-24,13,9,26,8,10,13,1.7,83,9,1010,47.75,13,10,7,116,353,116,,,,météo correcte
2009-01-25,14,8,27,5,12,14,0,82,10,1014,53.375,14,7,4,116,116,119,,,,météo correcte
2009-01-26,18,11,26,10,13,17,0.8,86,8,1016,70,18,10,8,122,119,116,,,,météo défavorable
2009-01-27,17,9,20,8,14,17,0.1,75,10,1021,37.5,17,9,7,116,113,116,,,,météo correcte
2009-01-28,20,12,27,11,16,16,0.4,84,9.375,1017,54.25,20,10,10,119,113,116,,,,météo favorable
2009-01-29,16,13,31,12,14,16,1.2,88,7.375,1008,70.75,16,11,11,119,119,116,,,,météo défavorable
2009-01-30,16,8,19,7,11,16,0.4,78,9.875,1020,28.25,16,8,6,116,116,113,,,,météo correcte
2009-01-31,18,6,13,4,13,18,0,71,10,1024,16.125,18,4,4,113,113,113,,,,météo favorable
2009-02-01,17,7,15,4,14,17,0,77,10,1015,21.625,17,6,4,113,113,116,,,,météo correcte
2009-02-02,16,7,11,5,15,15,0,73,10,1012,43.875,16,6,6,116,116,116,,,,météo correcte
2009-02-03,17,10,23,8,15,16,1.8,84,8,1012,50.625,17,8,8,143,116,176,,,,météo correcte
2009-02-04,17,7,13,4,15,17,1.1,88,6.375,1013,71.125,17,10,6,248,119,116,,,,météo défavorable
2009-02-05,17,10,13,9,12,17,17.5,94,8.5,1013,69.625,17,11,8,296,302,353,,,,météo très défavorable
2009-02-06,14,9,18,8,11,14,0,81,10,1018,57.625,14,8,7,116,119,116,,,,météo correcte
2009-02-07,15,5,21,3,11,14,0,84,9,1020,29.75,15,6,2,143,113,116,,,,météo correcte
2009-02-08,16,9,25,7,14,15,0.3,86,9.375,1016,60.5,16,11,7,119,116,116,,,,météo correcte
2009-02-09,18,12,26,12,15,18,1.3,91,7.25,1012,57.375,18,12,10,122,266,113,,,,météo correcte
2009-02-10,12,6,26,4,10,12,0.3,85,10,1008,42.375,12,5,2,119,116,116,,,,météo défavorable
2009-02-11,13,7,30,5,11,13,0.6,83,8.375,1012,68.625,13,9,4,119,119,119,,,,météo défavorable
2009-02-12,18,13,45,12,16,17,1.5,90,6,1007,64,18,12,11,266,116,113,,,,météo correcte
2009-02-13,16,10,37,8,14,15,0.2,77,9,1003,45.75,16,11,6,116,116,119,,,,météo correcte
2009-02-14,16,14,28,12,15,15,3.8,83,5.875,1002,88.5,16,13,12,119,119,266,,,,météo défavorable
2009-02-15,15,14,26,14,15,13,13.6,91,8.875,1000,84.375,15,13,12,296,353,293,,,,météo défavorable
2009-02-16,12,8,36,7,10,12,1.4,87,7.375,998,75.25,12,8,4,119,263,122,,,,météo défavorable
2009-02-17,14,11,35,10,12,13,27.1,91,7,996,74,14,12,8,302,302,293,,,,météo très défavorable
2009-02-18,15,9,23,9,11,13,1.5,90,8.25,1006,57,15,8,7,122,353,116,,,,météo correcte
2009-02-19,12,7,22,7,9,10,0.4,82,9,1012,38.375,12,6,5,116,116,116,,,,météo défavorable
2009-02-20,12,6,21,4,9,11,0.2,84,10,1013,66.875,12,7,2,119,119,119,,,,météo défavorable
2009-02-21,15,10,25,9,13,14,0.4,90,10,1012,73,15,10,7,119,119,116,,,,météo défavorable
2009-02-22,15,11,21,10,14,14,1.2,91,6.375,1015,78.375,15,11,10,122,266,119,,,,météo défavorable
2009-02-23,19,9,17,10,14,19,0.7,82,8.375,1018,37.5,19,11,7,116,113,113,,,,météo favorable
2009-02-24,19,7,22,6,15,18,0,82,10,1018,13.625,19,10,4,116,113,113,,,,météo favorable
2009-02-25,18,13,21,11,17,16,0.9,92,8,1015,81.75,18,14,11,119,119,122,,,,météo défavorable
2009-02-26,20,11,10,12,17,20,0.7,85,8.375,1019,47.75,20,12,11,116,119,113,,,,météo correcte
2009-02-27,17,11,29,8,15,17,0.4,89,9,1014,53.125,17,13,8,116,119,119,,,,météo correcte
2009-02-28,15,9,24,10,12,13,0.4,77,10,1005,34.25,15,12,6,113,116,116,,,,météo correcte
2009-03-01,13,7,16,5,11,13,0.6,84,9.875,1014,36.75,13,5,5,116,353,113,,,,météo correcte
2009-03-02,13,0,12,-3,10,13,0,72,10,1020,12,13,2,-1,113,113,113,,,,météo très défavorable
2009-03-03,12,0,15,-2,10,11,0,86,10,1017,25,12,3,-1,113,116,116,,,,météo très défavorable
2009-03-04,13,7,28,6,10,13,0.8,91,8.875,1013,59.625,13,8,4,119,122,113,,,,météo correcte
2009-03-05,10,4,19,4,8,9,0.1,84,10,1016,37,10,4,0,113,116,116,,,,météo très défavorable
2009-03-06,13,5,20,4,11,12,0,89,10,1015,50,13,7,2,116,119,116,,,,météo correcte
2009-03-07,15,11,25,9,15,14,1,90,8,1013,82,15,11,8,119,122,122,,,,météo défavorable
2009-03-08,19,13,19,13,17,17,2.2,94,7.875,1017,83.875,19,15,12,122,119,119,,,,météo défavorable
2009-03-09,24,15,17,14,18,24,0.5,92,9,1018,50.125,25,15,14,119,116,113,,,,météo favorable
2009-03-10,21,17,24,16,20,18,3.6,92,7.875,1012,77.25,21,16,17,263,119,296,,,,météo défavorable
