DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,0,16,20,28,23,0,75,10,1013,20.75,30,20,23,116,116,113,0,1,11.6,météo favorable
2009-01-02,29,0,12,20,29,23,0,81,10,1012,16.375,31,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-03,28,0,12,20,28,23,0.3,80,9.875,1012,12.375,30,21,23,113,113,113,0,1,11.6,météo favorable
2009-01-04,29,0,10,21,29,24,0.5,87,9.875,1013,14.5,33,22,24,113,113,113,0,1,11.6,météo favorable
2009-01-05,28,0,10,22,28,23,1.5,92,9.875,1013,20.375,31,22,23,113,116,113,0,1,11.6,météo favorable
2009-01-06,29,0,8,21,29,23,1.1,92,9.75,1012,19.25,32,23,23,113,113,113,0,1,11.6,météo favorable
2009-01-07,23,0,13,21,22,22,1.8,91,9.375,1013,45.75,25,21,21,116,119,116,0,1,8.7,météo très défavorable
2009-01-08,28,0,9,20,28,22,0.9,92,9.875,1012,19.375,32,22,22,113,113,113,0,1,11.6,météo favorable
2009-01-09,28,0,17,20,28,23,0,78,10,1014,14.875,30,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-10,28,0,15,21,28,23,0,78,10,1013,9.25,30,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-11,28,0,12,20,28,23,0.3,86,9.875,1013,25,31,22,23,113,113,116,0,1,11.6,météo favorable
2009-01-12,28,0,11,20,28,23,0,85,10,1013,13.125,31,21,23,113,113,113,0,1,11.6,météo favorable
2009-01-13,29,0,9,20,29,23,0.5,85,9.875,1014,25.75,32,22,24,116,116,116,0,1,11.6,météo favorable
2009-01-14,29,0,10,21,29,23,0.2,86,9.875,1014,25.25,31,21,23,113,113,113,0,1,11.6,météo favorable
2009-01-15,28,0,13,21,28,23,0,82,10,1014,21.5,30,21,23,113,116,113,0,1,11.6,météo favorable
2009-01-16,27,0,14,20,27,23,0,74,10,1016,22.125,29,20,23,113,116,113,0,1,11.6,météo favorable
2009-01-17,27,0,13,20,27,23,0.1,76,10,1016,30.375,29,19,23,116,116,116,0,1,11.6,météo favorable
2009-01-18,27,0,8,20,27,23,0.5,88,10,1017,30.875,30,21,23,113,119,116,0,1,8.8,météo très défavorable
2009-01-19,28,0,8,20,28,22,1.1,90,9.875,1016,23.75,31,21,22,113,116,116,0,1,11.6,météo favorable
2009-01-20,28,0,11,20,28,23,0.2,81,9.875,1016,27.625,31,21,23,113,116,116,0,1,11.6,météo favorable
2009-01-21,26,0,15,22,24,23,0.5,87,9.25,1016,33.75,28,20,22,116,116,116,0,1,11.6,météo favorable
2009-01-22,27,0,14,21,27,23,0,79,10,1016,20.25,29,20,23,113,116,113,0,1,11.6,météo favorable
2009-01-23,29,0,12,20,29,23,0,82,10,1016,12,31,20,23,113,113,113,0,1,11.6,météo favorable
2009-01-24,28,0,17,20,28,24,0.4,80,9.875,1015,18.25,30,21,24,113,116,113,0,1,11.6,météo favorable
2009-01-25,28,0,14,21,28,23,0,80,10,1013,31.25,31,20,23,119,113,113,0,1,11.6,météo favorable
2009-01-26,28,0,13,21,28,23,0,76,10,1014,17.75,30,20,23,116,113,113,0,1,11.6,météo favorable
2009-01-27,29,0,14,20,29,23,0.1,82,10,1014,14.75,31,21,24,113,113,116,0,1,11.6,météo favorable
2009-01-28,29,0,12,21,29,24,0,78,10,1013,18.75,32,21,24,113,113,113,0,1,11.6,météo favorable
2009-01-29,30,0,10,21,30,24,0.5,83,9.875,1013,13.75,32,21,24,113,113,113,0,1,11.6,météo favorable
2009-01-30,29,0,9,20,29,24,0,80,10,1014,20,30,20,24,113,113,116,0,1,11.6,météo favorable
2009-01-31,27,0,12,20,27,23,0.5,84,9.875,1015,23.875,29,21,23,113,116,116,0,1,11.6,météo favorable
2009-02-01,29,0,15,20,29,23,0,70,10,1014,8.375,30,19,23,113,113,113,0,1,11.6,météo favorable
2009-02-02,29,0,11,20,29,23,1.1,86,9.875,1012,20.625,32,21,24,113,116,116,0,1,11.6,météo favorable
2009-02-03,30,0,12,21,30,24,0.1,81,10,1012,21.875,32,21,24,113,113,116,0,1,11.6,météo favorable
2009-02-04,25,0,22,22,25,23,1.1,83,9.875,1014,26.5,27,22,23,116,116,113,0,1,11.6,météo favorable
2009-02-05,27,0,25,22,27,23,0.3,79,9.875,1014,22,28,20,23,113,116,116,0,1,11.6,météo favorable
2009-02-06,27,0,25,22,27,23,0.3,79,10,1015,16.125,28,20,23,113,113,113,0,1,11.6,météo favorable
2009-02-07,28,0,21,22,28,24,0.2,75,10,1014,16.25,30,20,24,116,113,113,0,1,11.6,météo favorable
2009-02-08,28,0,22,21,28,24,0,76,10,1014,13.25,30,20,24,113,113,113,0,1,11.6,météo favorable
2009-02-09,29,0,17,21,29,24,0,74,10,1014,7.375,30,19,24,113,113,113,0,1,11.6,météo favorable
2009-02-10,29,0,14,20,29,24,0,77,10,1013,7.125,31,20,24,113,113,113,0,1,11.6,météo favorable
2009-02-11,30,0,13,20,30,24,0.7,80,9.875,1013,16.625,32,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-12,28,0,17,22,28,24,0,79,10,1013,14.125,30,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-13,30,0,15,23,30,24,0,73,10,1013,9.75,32,20,24,113,113,113,0,1,11.6,météo favorable
2009-02-14,29,0,10,21,29,24,0.7,77,9.875,1012,19.25,31,21,24,113,119,113,0,1,10.2,météo très défavorable
2009-02-15,30,0,8,20,30,23,1,85,9.875,1013,29.75,33,21,23,113,116,116,0,1,10.2,météo favorable
2009-02-16,30,0,13,19,30,23,0,67,10,1014,6.25,30,19,23,113,113,113,0,1,11.6,météo favorable
2009-02-17,29,0,21,19,29,23,0,67,10,1014,5.375,30,17,23,113,113,113,0,1,11.6,météo favorable
2009-02-18,29,0,14,19,29,22,0,69,10,1013,1.5,30,17,23,113,113,113,0,1,11.6,météo favorable
2009-02-19,30,0,10,20,30,24,1.6,85,10,1012,23.875,32,21,24,113,113,116,0,1,11.6,météo favorable
2009-02-20,29,0,13,21,29,24,1,81,10,1011,30.125,32,21,24,116,122,113,0,1,10.2,météo très défavorable
2009-02-21,29,0,18,21,29,24,0,74,10,1012,21.75,30,19,24,116,113,113,0,1,11.6,météo favorable
2009-02-22,30,0,9,21,30,24,0.1,78,10,1013,19.625,32,20,24,113,113,116,0,1,10.2,météo favorable
2009-02-23,28,0,15,21,28,24,0,73,10,1015,17.375,30,20,24,116,113,113,0,1,11.6,météo favorable
2009-02-24,29,0,15,20,29,24,0,67,10,1014,8.375,30,19,24,113,113,113,0,1,11.6,météo favorable
2009-02-25,30,0,17,20,30,25,0,70,10,1013,6,31,19,25,113,113,113,0,1,11.6,météo favorable
2009-02-26,30,0,15,21,30,24,0,71,10,1013,13,32,20,24,113,113,113,0,1,11.6,météo favorable
2009-02-27,30,0,13,21,30,25,0.5,74,9.875,1012,19.125,32,20,25,113,116,113,0,1,11.6,météo favorable
2009-02-28,30,0,14,21,30,25,0,72,10,1011,12,32,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-01,30,0,16,21,30,24,0,78,10,1012,17.75,32,20,24,113,113,116,0,1,11.6,météo favorable
2009-03-02,28,0,17,22,28,24,0,70,10,1014,24.625,30,19,24,113,113,116,0,1,11.6,météo favorable
2009-03-03,29,0,21,22,29,23,0,73,10,1014,22.625,31,19,23,116,113,113,0,1,11.6,météo favorable
2009-03-04,28,0,19,22,28,24,0.1,79,10,1014,29.25,30,20,24,113,116,116,0,1,11.6,météo favorable
2009-03-05,30,0,20,22,30,25,0,72,10,1013,12.5,32,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-06,29,0,22,23,29,24,0,75,10,1014,19.75,31,20,24,113,116,113,0,1,11.6,météo favorable
2009-03-07,30,0,18,22,30,25,0,71,10,1013,12.125,32,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-08,29,0,16,22,29,25,0,76,10,1012,17.25,31,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-09,29,0,14,22,29,25,0,74,10,1013,12.875,31,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-10,30,0,22,22,30,25,0,65,10,1012,8.875,32,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-11,30,0,13,20,30,24,0,67,10,1012,6.75,31,18,24,113,113,113,0,1,11.6,météo favorable
2009-03-12,30,0,14,20,30,24,0,70,10,1014,8.875,31,19,24,113,113,113,0,1,11.6,météo favorable
2009-03-13,30,0,12,20,30,25,0,66,10,1013,11.625,32,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-14,31,0,11,21,31,25,0,70,10,1014,16.75,33,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-15,31,0,10,21,31,25,0,67,10,1014,10.25,33,18,25,113,113,113,0,1,11.6,météo favorable
2009-03-16,31,0,10,21,31,24,0,70,10,1015,7.75,34,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-17,30,0,15,21,30,24,0,69,10,1013,9.5,31,18,24,113,113,113,0,1,11.6,météo favorable
2009-03-18,31,0,10,20,31,24,0,68,10,1013,8.625,32,18,24,113,113,113,0,1,11.6,météo favorable
2009-03-19,32,0,10,21,32,25,0,70,10,1012,14.375,34,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-20,31,0,9,21,31,25,0,71,10,1012,16.25,32,19,25,113,113,116,0,1,11.6,météo favorable
2009-03-21,29,0,15,21,28,25,0,64,10,1013,15.625,30,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-22,30,0,17,21,30,25,0,65,10,1012,13,32,18,25,113,113,113,0,1,11.6,météo favorable
2009-03-23,31,0,12,21,31,24,0,72,10,1012,23.375,32,19,25,113,116,116,0,1,11.6,météo favorable
2009-03-24,32,0,10,21,32,25,0,71,10,1012,11.5,34,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-25,31,0,9,21,31,24,0,81,10,1012,19.5,33,21,24,113,116,116,0,1,11.6,météo favorable
2009-03-26,32,0,10,21,32,25,0,70,10,1013,12.375,34,19,25,113,113,113,0,1,11.6,météo favorable
2009-03-27,29,0,10,21,29,24,2.4,88,10,1013,35.125,32,22,24,113,116,119,0,1,8.8,météo favorable
2009-03-28,25,0,10,23,25,23,6.7,91,9.5,1013,52.375,28,22,23,116,116,116,0,1,11.6,météo favorable
2009-03-29,30,0,9,23,30,24,2.5,86,8.75,1013,40.125,33,22,24,116,113,116,0,1,11.6,météo favorable
2009-03-30,31,0,8,21,31,24,0.2,87,9.875,1013,17.875,34,22,24,113,113,116,0,1,11.6,météo favorable
2009-03-31,30,0,8,21,30,24,1.5,84,10,1014,31.5,32,21,24,113,116,116,0,1,8.8,météo favorable
2009-04-01,31,0,13,21,31,24,0.5,87,9.875,1014,24.375,32,22,24,113,113,119,0,1,10.2,météo favorable
2009-04-02,31,0,13,21,31,24,0.7,83,9.75,1013,25.875,33,22,24,113,113,116,0,1,11.6,météo favorable
2009-04-03,29,0,9,22,29,23,0.9,85,9.875,1013,46.75,31,21,24,116,116,113,0,1,7.4,météo favorable
2009-04-04,33,0,7,21,33,24,0,76,10,1013,12.125,36,20,25,113,113,116,0,1,11.6,météo favorable
