DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,6,6,5,9,9,0.2,60,9.375,1033,46.375,11,0,5,116,116,116,,,,météo défavorable
2009-01-02,11,5,6,5,8,10,0,54,10,1033,46.875,11,1,4,116,116,116,,,,météo très défavorable
2009-01-03,11,7,5,6,10,10,0.7,71,8.75,1029,55.25,11,2,7,263,119,116,,,,météo défavorable
2009-01-04,11,5,7,5,8,10,0.2,78,10,1025,41.75,11,3,5,116,119,116,,,,météo très défavorable
2009-01-05,7,6,7,6,7,7,2.3,83,4.625,1027,95.625,7,5,5,266,266,122,,,,météo très défavorable
2009-01-06,8,6,5,5,7,7,2,88,5.375,1030,97.625,8,4,5,122,122,122,,,,météo très défavorable
2009-01-07,10,6,3,5,9,9,0.2,81,10,1033,66.125,10,3,6,116,119,119,,,,météo défavorable
2009-01-08,12,5,7,4,9,10,0,71,10,1036,14.25,12,2,4,113,113,113,,,,météo très défavorable
2009-01-09,15,5,8,3,11,12,0,88,7.625,1037,18.25,15,3,3,143,113,113,,,,météo correcte
2009-01-10,15,6,7,4,12,13,0,58,10,1033,5.5,15,0,5,113,113,113,,,,météo correcte
2009-01-11,14,6,9,5,11,13,0,57,10,1028,22.125,14,0,5,113,113,113,,,,météo correcte
2009-01-12,10,8,6,7,9,9,2.1,78,5.75,1037,84.25,10,6,8,122,266,266,,,,météo défavorable
2009-01-13,13,5,8,4,11,11,0,60,10,1037,25.625,13,4,4,116,113,113,,,,météo correcte
2009-01-14,11,6,3,6,9,10,0,56,10,1035,35.125,11,1,6,116,116,116,,,,météo défavorable
2009-01-15,16,6,8,5,12,14,0,58,10,1034,17.125,16,1,5,113,113,113,,,,météo correcte
2009-01-16,15,7,8,6,12,13,0,60,10,1028,24.75,15,2,7,116,116,113,,,,météo correcte
2009-01-17,15,7,9,6,11,12,0,66,10,1025,34.75,15,3,7,116,116,116,,,,météo correcte
2009-01-18,12,7,7,6,9,12,0,70,10,1025,39.625,12,3,6,116,116,116,,,,météo défavorable
2009-01-19,14,9,11,8,12,12,0.1,60,9.75,1022,48.125,14,4,9,116,116,116,,,,météo correcte
2009-01-20,11,9,7,8,10,10,2.5,78,5.125,1026,84.25,11,7,8,122,266,266,,,,météo défavorable
2009-01-21,13,8,6,7,11,13,0,83,10,1028,52.625,13,6,7,116,119,116,,,,météo correcte
2009-01-22,15,7,15,5,12,13,0.1,73,9.625,1019,9.25,15,3,5,113,113,113,,,,météo correcte
2009-01-23,10,7,5,6,9,9,4.8,73,5,1034,93.875,10,5,7,296,263,266,,,,météo défavorable
2009-01-24,8,5,8,4,7,8,4,86,6.875,1035,70.125,8,3,4,266,296,113,,,,météo très défavorable
2009-01-25,9,4,7,2,7,8,0,63,10,1028,49.75,9,0,2,116,119,116,,,,météo très défavorable
