DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,4,11,6,7,4,0.1,85,10,1025,22.75,7,4,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,7,4,13,4,7,4,0,76,10,1021,15.75,7,2,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,5,1,24,1,5,1,0,78,10,1019,5.875,5,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,7,1,12,1,7,4,0,77,10,1018,2.625,9,2,0,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,5,2,8,2,5,2,0,83,10,1015,26.25,5,2,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,3,0,23,2,3,1,2.5,88,8.25,1013,56.75,3,0,-4,116,116,119,0,1,5.2,météo très défavorable
2009-01-07,2,-0,39,2,2,2,6.4,88,8.625,1013,55.5,2,0,-7,119,116,116,3.6,1,6.9,météo très défavorable
2009-01-08,6,0,21,0,6,4,0.5,81,9.375,1024,42.875,6,2,-1,113,116,119,0,1,6.9,météo très défavorable
2009-01-09,6,2,28,4,6,5,0.4,74,9.875,1026,30,6,1,-1,113,113,116,0,1,8.7,météo très défavorable
2009-01-10,8,3,17,4,8,4,0,71,10,1026,14.625,8,3,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,9,4,15,5,9,6,0,75,10,1029,7.25,10,5,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,9,4,17,5,9,6,0,71,10,1029,4.375,9,4,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,8,4,21,4,8,5,0,70,10,1024,2.75,9,3,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,8,4,8,5,8,4,0,77,10,1012,10.25,9,4,3,113,116,113,0,1,8.7,météo très défavorable
2009-01-15,7,3,21,3,7,4,0.1,74,10,1021,15.625,7,3,1,116,113,113,0,1,8.7,météo très défavorable
2009-01-16,8,4,12,4,8,4,0,81,10,1025,15,9,4,3,113,113,116,0,1,8.7,météo très défavorable
2009-01-17,8,4,21,5,8,7,0,87,10,1025,29.25,8,5,4,113,116,113,0,1,7,météo très défavorable
2009-01-18,8,5,37,5,8,7,0.1,87,10,1023,23.75,8,5,2,113,116,113,0,1,8.7,météo très défavorable
2009-01-19,9,6,22,8,8,8,4.6,94,9.5,1014,67.625,9,8,5,116,119,122,0,1,5.3,météo défavorable
2009-01-20,9,6,15,9,8,7,0,91,10,1000,38.25,10,8,6,119,113,113,0,1,8.7,météo défavorable
2009-01-21,8,4,15,4,8,5,0,71,10,1007,24.125,9,2,2,116,113,113,0,1,8.7,météo très défavorable
2009-01-22,8,3,9,5,8,3,0,75,10,1007,10.125,8,1,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-23,9,5,34,5,6,9,0,91,10,1003,59.25,9,6,2,122,122,113,0,1,3.7,météo très défavorable
2009-01-24,6,3,18,5,6,4,2.2,84,8.875,992,47.5,6,3,1,122,116,116,0,1,7,météo très défavorable
2009-01-25,9,5,8,6,9,6,0,81,10,998,23.625,9,4,6,116,113,113,0,1,8.7,météo très défavorable
2009-01-26,6,3,39,6,4,5,10.7,92,9.25,998,64.25,6,4,-2,122,119,122,0,1,5.4,météo très défavorable
2009-01-27,8,4,13,5,8,5,0,74,10,1006,20.5,8,3,4,116,113,113,0,1,8.7,météo très défavorable
2009-01-28,8,3,9,4,8,3,0,75,10,1010,6.375,10,2,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,10,5,14,6,10,7,0,80,10,1014,7,10,3,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,9,5,10,5,9,5,0,80,10,1018,7.375,10,3,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,6,4,22,4,6,6,0.3,84,9.375,1015,40.875,6,4,2,113,119,119,0,1,5.4,météo très défavorable
2009-02-01,5,2,29,4,5,4,1,80,8.375,1008,74.5,5,2,-1,122,116,119,0,1,5.4,météo très défavorable
2009-02-02,4,2,42,2,4,4,7.4,87,9.5,1004,61.625,4,2,-4,119,116,119,0,1,5.4,météo très défavorable
2009-02-03,9,5,21,5,9,7,0,80,10,1002,44.625,9,4,3,116,116,116,0,1,7,météo très défavorable
2009-02-04,9,6,22,7,9,8,1.4,92,9.25,1002,59.625,9,7,4,119,116,122,0,1,7.1,météo défavorable
2009-02-05,9,7,14,7,9,9,5.2,93,9.5,1004,39.5,9,8,6,113,116,116,0,1,7.1,météo défavorable
2009-02-06,9,7,22,9,9,9,15.8,92,8.375,1000,72.375,9,8,6,200,200,119,0,1,3.8,météo défavorable
2009-02-07,7,5,13,6,6,6,1.4,85,9.25,991,41.5,7,5,3,116,116,113,0,1,7.1,météo très défavorable
2009-02-08,9,4,9,5,8,7,0,77,10,1003,23.5,9,3,5,116,113,113,0,1,8.7,météo très défavorable
2009-02-09,9,4,14,4,9,7,0,77,10,1011,10.875,10,4,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-10,11,5,35,8,11,8,0,74,10,1011,12.125,11,7,3,116,113,113,0,1,8.7,météo très défavorable
