DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,36,0,25,29,36,29,0,62,10,1007,7.125,39,21,29,113,113,113,0,1,13.7,météo favorable
2009-01-02,38,0,28,30,38,31,0,48,10,1007,3.625,40,20,31,113,113,113,0,1,13.7,météo très défavorable
2009-01-03,40,0,25,34,40,31,0,47,10,1007,1,41,19,31,113,113,113,0,1,13.7,météo très défavorable
2009-01-04,40,0,28,32,40,32,0,46,10,1006,0,42,19,32,113,113,113,0,1,13.7,météo très défavorable
2009-01-05,40,0,28,33,40,33,0,40,10,1004,0.25,42,18,33,113,113,113,0,1,13.7,météo très défavorable
2009-01-06,36,0,22,30,36,29,0,65,10,1006,0,39,22,29,113,113,113,0,1,13.7,météo favorable
2009-01-07,33,0,20,26,33,27,0,71,10,1008,6.375,38,22,28,113,113,113,0,1,13.7,météo favorable
2009-01-08,36,0,30,29,36,29,0,61,10,1008,3.375,41,21,29,113,113,113,0,1,13.7,météo très défavorable
2009-01-09,40,0,28,32,40,31,0,55,10,1007,0.875,42,21,31,113,113,113,0,1,13.7,météo très défavorable
2009-01-10,40,0,24,31,40,33,0,45,10,1005,0.25,43,20,33,113,113,113,0,1,13.7,météo très défavorable
2009-01-11,38,0,29,31,38,29,0,59,10,1005,0,42,21,29,113,113,113,0,1,13.7,météo très défavorable
2009-01-12,37,0,42,27,37,31,0,44,10,1007,6.875,38,20,31,113,113,113,0,1,13.7,météo favorable
2009-01-13,38,0,44,28,38,29,0,50,10,1009,0,38,18,29,113,113,113,0,1,13.7,météo favorable
2009-01-14,37,0,41,27,37,29,0,54,10,1008,0,38,19,29,113,113,113,0,1,13.6,météo favorable
2009-01-15,36,0,19,29,36,29,0.2,62,9.875,1010,6.75,38,22,29,113,113,113,0,1,13.6,météo favorable
2009-01-16,39,0,32,31,39,32,0,51,10,1010,15,42,22,32,113,113,113,0,1,13.6,météo très défavorable
2009-01-17,43,0,25,33,43,34,0,38,10,1007,4.875,44,20,34,113,113,113,0,1,13.6,météo très défavorable
2009-01-18,42,0,28,36,42,33,0,47,10,1005,0,43,20,33,113,113,113,0,1,13.6,météo très défavorable
2009-01-19,39,0,32,32,39,31,0,51,10,1005,0.75,41,20,31,113,113,113,0,1,13.6,météo très défavorable
2009-01-20,38,0,22,30,38,31,0,51,10,1006,1.375,40,20,31,113,113,113,0,1,13.6,météo très défavorable
2009-01-21,36,0,22,31,36,30,0,55,10,1007,7.375,41,21,30,113,113,113,0,1,13.6,météo très défavorable
2009-01-22,39,0,34,30,39,32,0,39,10,1007,5.625,41,19,32,113,113,113,0,1,13.6,météo très défavorable
2009-01-23,39,0,26,30,39,31,0,55,10,1005,2.125,41,21,31,113,113,113,0,1,13.6,météo très défavorable
2009-01-24,36,0,22,32,36,30,0,59,10,1006,16.75,40,21,30,113,116,116,0,1,13.6,météo très défavorable
2009-01-25,39,0,17,32,39,31,0.1,51,10,1005,13.125,41,20,31,113,113,116,0,1,13.6,météo très défavorable
2009-01-26,35,0,19,31,33,30,1.5,62,9.875,1005,39.375,39,23,30,116,116,113,0,1,13.2,météo favorable
