DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-2,10,-3,1,1,0,94,5.625,1029,18.375,4,0,-6,143,113,113,,,,météo très défavorable
2009-01-02,1,-2,17,-4,0,0,0,96,6.375,1027,17.25,1,0,-7,143,116,113,,,,météo très défavorable
2009-01-03,0,-5,18,-4,-2,-2,0,84,10,1026,5.5,0,0,-10,116,113,113,,,,météo très défavorable
2009-01-04,-1,-6,7,-7,-4,-3,0,76,10,1026,24.5,0,0,-10,113,113,116,,,,météo très défavorable
2009-01-05,-1,-7,9,-7,-4,-3,0,73,10,1021,56.5,0,0,-10,113,122,119,,,,météo très défavorable
2009-01-06,-4,-5,18,-6,-4,-4,0.1,94,10,1021,65.5,0,0,-11,119,116,119,,,,météo très défavorable
2009-01-07,-5,-9,18,-8,-7,-6,0.2,95,10,1024,25.875,0,0,-15,116,113,113,,,,météo très défavorable
2009-01-08,-3,-7,22,-6,-4,-5,0,94,10,1027,17.25,0,0,-13,116,113,113,,,,météo très défavorable
2009-01-09,-1,-7,6,-8,-4,-3,0,84,10,1028,8.625,0,0,-11,113,113,113,,,,météo très défavorable
2009-01-10,1,-6,6,-7,-2,-1,0,77,10,1029,3.75,1,0,-8,113,113,113,,,,météo très défavorable
2009-01-11,3,-3,12,-4,0,0,0,62,10,1033,0.625,3,0,-7,113,113,113,,,,météo très défavorable
2009-01-12,4,-2,19,-3,1,3,0,53,10,1031,18,4,0,-7,113,113,113,,,,météo très défavorable
2009-01-13,5,0,14,0,3,3,0,75,10,1022,50.75,5,0,-4,113,119,122,,,,météo très défavorable
2009-01-14,5,2,12,1,4,4,0.9,97,6,1018,75.625,5,3,-1,266,119,119,,,,météo très défavorable
2009-01-15,5,-1,15,-1,2,3,0,90,7.375,1019,16.25,5,0,-5,143,113,113,,,,météo très défavorable
2009-01-16,6,0,18,-1,3,5,0,93,10,1022,25.75,6,2,-4,116,113,113,,,,météo très défavorable
2009-01-17,8,4,23,4,6,7,0.9,95,8.625,1022,69,8,5,1,119,119,119,,,,météo très défavorable
2009-01-18,7,5,43,4,7,7,12.2,94,8.375,1017,57.625,7,6,0,113,389,176,,,,météo très défavorable
2009-01-19,9,6,42,5,8,8,15.6,93,8.75,1011,84.875,9,7,0,296,296,296,,,,météo défavorable
