DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,10,9,10,13,11,0.6,93,8,1022,71.375,14,10,11,143,116,116,0,1,9.8,météo défavorable
2009-01-02,13,10,6,10,12,11,4.4,97,6.5,1021,91.125,13,12,10,143,122,122,0,1,4.9,météo défavorable
2009-01-03,13,8,15,11,12,8,1.8,95,4.375,1018,71,13,11,9,248,116,143,0,1,8.2,météo défavorable
2009-01-04,11,6,12,8,11,8,0.1,92,9,1019,57.625,11,8,7,119,119,113,0,1,6.6,météo défavorable
2009-01-05,11,3,7,3,10,7,0,85,10,1019,27.875,12,6,5,113,113,116,0,1,9.8,météo très défavorable
2009-01-06,8,5,13,6,7,6,0,86,10,1015,69,9,5,3,119,119,116,0,1,6.6,météo très défavorable
2009-01-07,7,1,17,2,7,2,0,66,10,1016,13.625,7,0,-2,113,113,113,0,1,9.8,météo très défavorable
2009-01-08,7,-2,19,-2,5,1,0,52,10,1017,6.25,7,0,-5,113,113,113,0,1,9.8,météo très défavorable
2009-01-09,6,-2,10,-1,6,-0,0,61,10,1021,8,7,0,-2,113,113,113,0,1,9.8,météo très défavorable
2009-01-10,7,-3,12,-2,6,1,0,56,10,1023,11.5,7,0,-3,113,113,113,0,1,9.8,météo très défavorable
2009-01-11,11,-1,19,-0,9,5,0,85,10,1029,11.75,11,3,-2,113,113,113,0,1,9.9,météo très défavorable
2009-01-12,12,1,13,1,10,3,0,83,10,1030,14.75,12,2,-0,113,113,113,0,1,9.9,météo très défavorable
2009-01-13,5,-0,11,-0,5,5,0,83,10,1026,51.375,5,3,1,113,119,122,0,1,6.6,météo très défavorable
2009-01-14,10,1,9,2,7,3,0,92,9,1023,30.625,10,4,1,116,113,113,0,1,9.9,météo très défavorable
2009-01-15,11,0,7,0,10,5,0,87,10,1020,23,11,5,4,113,116,113,0,1,9.9,météo très défavorable
2009-01-16,11,4,14,4,10,7,0,76,10,1022,59.75,11,3,2,116,116,119,0,1,8.3,météo très défavorable
2009-01-17,13,4,8,4,11,5,0.1,82,10,1024,18,14,5,5,113,113,113,0,1,9.9,météo correcte
2009-01-18,13,1,13,1,12,8,0,79,10,1026,19,13,5,6,113,113,116,0,1,10,météo très défavorable
2009-01-19,12,6,19,8,12,11,0.5,98,6,1024,87.5,12,11,7,143,119,122,0,1,5,météo défavorable
2009-01-20,9,2,26,7,9,5,0,82,10,1013,40.25,9,8,1,116,113,113,0,1,10,météo très défavorable
2009-01-21,10,-1,23,-1,8,4,0,78,10,1023,9.125,10,0,-2,113,113,116,0,1,10,météo très défavorable
2009-01-22,12,1,26,2,6,11,0.1,98,8,1024,72.75,12,12,0,143,122,122,0,1,5,météo très défavorable
2009-01-23,15,12,28,13,14,13,0,96,10,1017,90.375,15,13,11,122,122,122,0,1,6.7,météo défavorable
2009-01-24,13,7,26,10,11,9,2,83,9.875,1017,40.25,13,11,5,113,116,116,0,1,10,météo correcte
2009-01-25,10,5,33,6,10,7,1.4,95,7.75,1015,58.75,10,9,3,248,122,116,0,1,6.7,météo très défavorable
2009-01-26,10,3,23,4,8,6,0,89,10,1020,47,10,4,0,119,116,113,0,1,10,météo très défavorable
2009-01-27,10,3,15,4,9,9,0,90,7.75,1024,75,10,6,3,248,122,122,0,1,5.1,météo très défavorable
2009-01-28,11,8,14,8,11,10,0.6,91,8,1025,89.875,11,9,7,119,119,122,0,1,5.1,météo défavorable
2009-01-29,16,8,12,10,14,10,0.3,95,5.5,1021,59.125,16,11,9,248,116,113,0,1,10,météo correcte
2009-01-30,17,6,22,7,16,12,0,84,7,1017,19.25,17,8,9,143,113,113,0,1,10.2,météo correcte
2009-01-31,10,5,24,6,9,7,2.7,91,8.75,1013,60,10,8,2,122,116,113,0,1,10,météo très défavorable
2009-02-01,9,5,26,6,8,9,6.9,95,9.375,1007,84.75,9,8,3,122,119,200,0,1,5.1,météo très défavorable
2009-02-02,10,7,17,7,10,8,0.7,91,9,998,75.125,10,7,6,143,119,119,0,1,5.1,météo défavorable
2009-02-03,9,4,19,5,9,8,2.3,94,6.875,1006,81.75,9,9,3,122,119,122,0,1,5.1,météo très défavorable
2009-02-04,10,5,33,5,9,8,1.8,95,9,1005,60.375,10,9,3,116,122,116,0,1,6.7,météo très défavorable
2009-02-05,10,7,23,8,10,9,5.9,92,9.375,1002,83.75,10,8,5,122,119,119,0,1,5.1,météo défavorable
2009-02-06,8,3,35,5,7,5,0.6,90,9.875,1007,48.625,8,6,1,116,116,113,0,1,10,météo très défavorable
2009-02-07,10,2,24,2,8,6,0,86,10,1013,34.75,10,2,-0,116,116,113,0,1,10.3,météo très défavorable
2009-02-08,12,1,22,1,10,10,0,87,10,1023,49.5,12,8,-0,116,113,122,0,1,8.4,météo très défavorable
2009-02-09,13,9,11,9,12,10,0.1,92,6.75,1024,67.875,13,9,9,248,119,113,0,1,6.8,météo défavorable
2009-02-10,14,7,18,9,13,10,0.3,96,6.5,1027,61.25,14,9,8,248,116,113,0,1,10,météo correcte
2009-02-11,15,3,14,3,14,10,0,72,10,1028,0,16,5,8,113,113,113,0,1,10.4,météo correcte
2009-02-12,17,6,18,6,15,11,0,67,10,1024,0,17,5,6,113,113,113,0,1,10.4,météo correcte
2009-02-13,17,6,19,6,15,10,0,72,10,1020,0.75,17,6,6,113,113,113,0,1,10.5,météo correcte
2009-02-14,17,5,9,5,15,9,0,79,10,1019,31,17,6,8,113,116,116,0,1,10.5,météo correcte
2009-02-15,16,6,11,6,15,8,0,77,10,1020,36.125,17,5,8,116,116,113,0,1,10,météo correcte
2009-02-16,15,4,13,4,13,7,0,81,10,1022,8.5,15,5,5,113,113,116,0,1,10.5,météo correcte
2009-02-17,14,4,9,4,13,7,0,77,10,1024,7.375,15,4,6,113,113,113,0,1,10.9,météo correcte
2009-02-18,17,2,9,2,15,10,0,72,10,1024,2.375,18,5,9,113,113,113,0,1,11,météo correcte
2009-02-19,17,2,4,2,15,8,0,80,10,1020,4.875,18,6,9,113,113,113,0,1,11,météo correcte
2009-02-20,16,3,14,3,14,11,0,81,10,1024,13.75,16,7,9,113,113,116,0,1,11,météo correcte
2009-02-21,16,5,9,5,15,10,0,79,8,1028,28.125,16,7,8,143,113,113,0,1,11,météo correcte
2009-02-22,17,5,11,5,15,8,0,79,10,1029,3.125,19,7,7,113,113,113,0,1,11.1,météo correcte
2009-02-23,19,3,10,3,17,9,0,76,10,1025,0.375,20,7,11,113,113,113,0,1,11.5,météo favorable
2009-02-24,20,6,5,6,18,10,0,78,10,1017,3,24,9,13,113,113,113,0,1,11.5,météo favorable
2009-02-25,18,6,9,6,16,10,0,81,10,1024,2.875,18,8,11,113,113,113,0,1,11.5,météo favorable
2009-02-26,18,6,20,6,15,11,0,64,10,1026,15.75,19,6,7,113,113,113,0,1,11.6,météo favorable
2009-02-27,19,7,9,7,17,12,0.3,62,9.375,1022,31,20,7,9,119,113,116,0,1,11.6,météo favorable
2009-02-28,15,7,13,7,14,11,1,85,8.375,1016,55,15,9,10,143,116,116,0,1,11.6,météo correcte
2009-03-01,15,8,19,9,14,10,2.8,91,7.625,1017,63.5,15,10,10,248,116,116,0,1,10.2,météo correcte
2009-03-02,9,7,14,7,9,8,3.7,93,6.375,1018,86.25,9,8,7,248,122,122,0,1,5.8,météo défavorable
2009-03-03,8,7,7,7,8,7,7.1,96,5.25,1015,85.75,9,8,7,248,122,143,0,1,5.8,météo très défavorable
2009-03-04,10,5,33,6,8,10,0,96,7.75,1013,84.25,10,9,4,119,122,122,0,1,5.8,météo très défavorable
