DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,24,7,24,29,28,4.4,97,7.5,1012,70.375,36,27,24,353,119,386,0,6,10.7,météo défavorable
2009-01-02,31,24,14,24,31,30,1,98,7.125,1009,41.5,39,27,24,176,113,386,0,6,13.1,météo favorable
2009-01-03,24,20,15,23,22,20,2.1,98,4.875,1011,91.625,27,24,20,248,122,248,0,5,8.2,météo défavorable
2009-01-04,27,18,17,18,26,25,0,94,7,1013,35,27,19,18,143,113,113,0,5,13.1,météo favorable
2009-01-05,29,15,7,15,27,27,0,94,10,1013,0.625,29,18,15,113,113,113,0,6,13.1,météo idéale
2009-01-06,33,15,6,16,32,29,0,78,10,1011,0,34,19,16,113,113,113,0,6,13.1,météo idéale
2009-01-07,34,17,5,17,33,31,0,76,10,1012,1.375,36,20,17,113,113,113,0,7,13.1,météo favorable
2009-01-08,36,17,5,17,33,32,0,87,10,1012,3.875,36,19,17,113,113,113,0,7,13.1,météo favorable
2009-01-09,37,18,9,21,33,34,0,64,10,1014,5.75,39,21,21,113,113,113,0,7,13.1,météo favorable
2009-01-10,35,24,8,25,35,31,0,62,10,1014,29.125,40,23,25,113,113,116,0,7,13.1,météo correcte
2009-01-11,32,23,8,23,32,30,1.6,97,8,1013,27.25,39,26,23,143,386,386,0,7,13.1,météo correcte
2009-01-12,32,24,10,24,31,32,0,95,7.875,1012,30.125,38,24,24,143,116,113,0,7,13.1,météo favorable
2009-01-13,35,23,10,23,33,34,0,90,10,1012,18.75,41,24,23,113,113,113,0,7,13.1,météo correcte
2009-01-14,36,24,7,24,34,35,0.2,89,9.625,1011,26,43,24,24,116,200,113,0,6,13.1,météo correcte
2009-01-15,37,24,14,24,35,35,0,79,9.875,1010,17.375,40,23,24,113,116,113,0,8,13.1,météo correcte
2009-01-16,32,24,13,24,31,27,3.5,92,9.75,1010,44,35,24,24,176,176,353,0,7,13.1,météo favorable
2009-01-17,32,23,15,23,31,29,2.4,97,7.875,1010,33,36,26,23,143,116,386,0,7,13.1,météo favorable
2009-01-18,27,24,15,24,27,26,2.1,92,9.875,1011,63.375,32,25,24,119,116,353,0,6,10.7,météo correcte
2009-01-19,23,20,17,23,20,21,15.2,98,5.125,1013,88.125,26,22,20,308,122,143,0,6,8.2,météo défavorable
2009-01-20,28,18,14,18,26,27,0,93,9,1015,34.875,29,19,18,119,116,113,0,5,13.1,météo favorable
2009-01-21,30,17,10,17,27,28,0,98,8.75,1014,18.875,31,20,17,248,113,113,0,6,13,météo idéale
2009-01-22,33,19,8,19,30,30,0,93,10,1014,17.375,36,22,19,113,116,113,0,7,13,météo favorable
2009-01-23,34,21,8,21,34,29,2.5,98,6.125,1012,48.25,39,26,21,248,113,356,0,7,12,météo favorable
2009-01-24,31,23,5,23,31,29,4.2,99,7.125,1010,41.375,38,27,23,176,113,176,0,6,13,météo favorable
2009-01-25,31,22,4,22,30,29,6.9,99,4.5,1008,52.5,41,28,22,248,356,356,0,6,13,météo correcte
2009-01-26,31,23,6,23,31,28,4.9,99,5.75,1009,61.625,40,27,23,353,116,356,0,6,13,météo correcte
2009-01-27,29,23,5,23,29,28,4,99,6,1011,61.625,36,27,23,176,353,176,0,6,13,météo correcte
2009-01-28,29,23,5,23,28,29,7.3,98,6,1009,60.25,39,28,23,176,356,353,0,6,13,météo correcte
2009-01-29,29,24,4,24,28,27,4.1,98,4.625,1010,75.25,36,27,24,248,353,356,0,6,13,météo défavorable
2009-01-30,29,23,6,23,28,29,0.7,98,6.125,1012,50.875,35,26,23,176,200,113,0,6,13,météo correcte
2009-01-31,31,23,7,23,31,29,3.2,98,5.25,1011,41.75,41,28,23,248,176,176,0,6,13,météo correcte
2009-02-01,29,23,6,23,27,29,1.2,99,3.75,1011,79.5,36,26,23,248,266,386,0,6,10.7,météo défavorable
2009-02-02,29,24,10,24,26,28,0,98,5,1011,52.375,33,25,24,248,200,113,0,6,12.9,météo correcte
2009-02-03,31,22,10,22,31,29,0.3,97,7.75,1012,37.5,36,26,22,248,116,386,0,7,12.9,météo favorable
2009-02-04,30,25,9,25,30,29,0.1,94,5.25,1013,63.25,37,27,25,143,200,116,0,6,11.9,météo correcte
2009-02-05,30,24,9,24,30,29,2.1,99,4.75,1012,65.375,37,27,24,248,113,176,0,6,12.9,météo défavorable
