DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-3,10,-2,0,-0,0,97,4.25,1033,60,0,0,-6,113,248,260,0,2,4.7,météo très défavorable
2009-01-02,1,-3,10,1,1,-3,0.2,93,9.875,1036,41.875,1,0,-3,119,116,113,0,1,7,météo très défavorable
2009-01-03,-1,-3,16,-3,-1,-2,0,93,10,1034,30.75,0,0,-7,113,116,119,0,2,7,météo très défavorable
2009-01-04,1,-1,14,-1,1,1,1.6,95,5.25,1024,84.25,2,1,-4,143,119,143,0,1,4.7,météo très défavorable
2009-01-05,-0,-3,8,-2,-0,-3,0,92,10,1030,16.375,0,0,-5,116,113,113,0,2,7.1,météo très défavorable
2009-01-06,1,-3,29,-2,1,1,0.8,91,9,1029,50.75,1,1,-7,116,116,119,0,2,7.1,météo très défavorable
2009-01-07,2,-1,8,-0,2,1,0,97,0.5,1024,72,2,1,-2,260,143,248,0,1,7.1,météo très défavorable
2009-01-08,3,2,22,2,3,2,0.4,97,10,1024,72.375,3,2,-3,119,119,119,0,1,2.7,météo très défavorable
2009-01-09,3,0,22,1,2,3,0.2,96,10,1024,64,3,2,-5,116,119,119,0,1,4.8,météo très défavorable
2009-01-10,6,1,48,2,4,4,3.6,95,8.625,1020,88.125,6,5,-4,119,122,122,0,1,2.8,météo très défavorable
2009-01-11,9,6,58,7,8,9,11,93,8.125,1005,98.875,9,8,3,122,122,122,0,2,2.9,météo défavorable
2009-01-12,8,4,38,7,6,4,2.3,93,9.875,999,80.625,8,7,-0,122,119,116,0,2,2.9,météo très défavorable
