DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,7,1,8,3,7,6,0.1,93,4,1024,89,8,6,3,248,119,248,0,1,3.5,météo très défavorable
2009-01-02,9,3,9,5,8,4,0,94,4.25,1021,67.25,9,5,4,248,116,116,0,1,7,météo très défavorable
2009-01-03,5,-0,11,3,4,4,1.3,99,2.875,1018,94.375,5,4,2,122,248,143,0,1,3.5,météo très défavorable
2009-01-04,6,1,9,3,6,1,2.6,93,9.75,1020,44.875,6,3,1,116,116,116,0,1,8.7,météo très défavorable
2009-01-05,4,-2,10,-2,4,-2,0,78,7,1021,27.125,4,0,-1,116,116,143,0,1,8.7,météo très défavorable
2009-01-06,3,-3,14,-2,3,-1,0,76,10,1016,38,3,0,-2,116,113,116,0,1,8.7,météo très défavorable
2009-01-07,-0,-6,25,-4,-1,-4,0,62,10,1019,5.75,0,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,0,-7,10,-7,-1,-4,0.1,71,9.625,1021,15.625,0,0,-10,113,113,116,0.1,1,9.7,météo très défavorable
2009-01-09,2,-3,11,-3,2,-1,3.1,85,5.875,1021,67,2,0,-5,119,116,260,2.7,1,9.7,météo très défavorable
2009-01-10,3,-5,10,-5,1,-3,0.2,81,7.375,1027,42,3,0,-3,143,113,113,0.1,1,9.7,météo très défavorable
2009-01-11,4,-5,10,-5,3,-4,0,84,8,1032,10.5,5,1,-6,113,113,143,0,1,9.7,météo très défavorable
2009-01-12,5,-4,5,-4,5,-4,0,78,9,1032,13.625,5,1,-2,113,113,113,0,1,9.7,météo très défavorable
2009-01-13,3,-5,15,-3,3,-2,0,84,8,1027,63.5,3,0,-3,116,116,143,0,1,8.2,météo très défavorable
2009-01-14,3,-4,13,-3,3,-3,0,85,10,1024,25.25,4,0,-5,116,113,113,0,1,9.8,météo très défavorable
2009-01-15,5,-4,6,-4,5,-2,0,70,10,1021,22.75,5,0,0,113,113,116,0,1,9.8,météo très défavorable
2009-01-16,6,-3,9,-2,5,1,0,70,9,1024,23.25,6,0,-2,113,113,113,0,1,9.8,météo très défavorable
2009-01-17,8,-2,6,-2,8,2,0,75,6.75,1025,20.25,8,0,0,143,113,113,0,1,9.8,météo très défavorable
2009-01-18,7,-2,12,-2,6,1,0,68,10,1026,32.125,7,1,-2,116,113,116,0,1,9.8,météo très défavorable
2009-01-19,7,2,25,5,6,7,0.9,98,6.75,1023,98.5,7,7,2,122,122,122,0,1,4.9,météo très défavorable
2009-01-20,5,-2,25,2,2,-1,2.5,93,9,1011,58.375,5,4,-4,116,200,200,2.1,1,8.3,météo très défavorable
2009-01-21,3,-3,18,-3,3,-1,0,85,8,1020,36.25,3,0,-6,143,116,116,0,1,9.9,météo très défavorable
2009-01-22,7,-2,28,-0,2,5,3.8,99,7.25,1020,90.75,7,7,-4,122,122,122,0.8,1,5,météo très défavorable
