DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,0,14,2,4,0,0.1,95,8,1027,62.25,4,2,-3,122,119,143,0,1,4.8,météo très défavorable
2009-01-02,1,0,21,0,1,-1,0.3,82,8,1031,36.5,1,0,-5,113,113,113,0.2,1,7.7,météo très défavorable
2009-01-03,5,0,35,1,3,4,1.6,92,9.875,1030,80.875,5,4,-3,119,122,122,0,1,2.9,météo très défavorable
2009-01-04,4,0,21,3,3,1,2.8,95,8.75,1016,79.5,4,4,-4,122,143,116,0,1,4.8,météo très défavorable
2009-01-05,-1,0,30,-3,-1,-3,0,86,10,1029,17.5,0,0,-10,113,113,113,0,1,7.8,météo très défavorable
2009-01-06,-0,0,27,-4,-0,-1,0,76,10,1029,17,0,0,-8,116,113,113,0,1,7.8,météo très défavorable
2009-01-07,3,0,24,2,2,0,0.8,81,9.25,1025,63.375,3,1,-4,122,119,113,0.1,1,4.9,météo très défavorable
2009-01-08,1,0,27,-2,0,-0,0,87,10,1029,32,1,0,-7,113,116,116,0,1,7.8,météo très défavorable
2009-01-09,3,0,23,2,3,2,0.2,93,10,1029,86.75,3,2,-2,122,119,119,0,1,2.9,météo très défavorable
2009-01-10,3,0,21,2,3,0,0,92,10,1030,40.75,3,2,-5,122,113,113,0,1,7.9,météo très défavorable
2009-01-11,3,0,37,-3,1,2,0,82,10,1027,11.375,3,0,-9,113,113,113,0,1,7.9,météo très défavorable
2009-01-12,5,0,43,3,5,4,0.5,73,9,1021,55.25,5,1,-3,116,119,116,0,1,4.9,météo très défavorable
2009-01-13,5,0,36,4,5,4,0.2,95,10,1011,97.625,5,4,-1,122,119,122,0,1,3,météo très défavorable
2009-01-14,4,0,14,3,4,4,0.1,97,7,1016,89.875,4,4,0,122,143,143,0,1,3,météo très défavorable
2009-01-15,4,0,11,3,4,2,0,94,9,1024,52.375,4,3,-1,119,119,116,0,1,4.9,météo très défavorable
2009-01-16,2,0,31,1,2,1,0,91,10,1025,77.25,2,0,-5,116,122,122,0,1,3,météo très défavorable
2009-01-17,5,0,27,0,3,4,0.4,95,9.875,1020,72.875,5,4,-4,122,122,122,0,1,3,météo très défavorable
2009-01-18,4,0,38,4,4,4,4.2,98,9.75,1009,71.75,5,4,-2,116,122,122,0,1,3,météo très défavorable
2009-01-19,6,0,47,2,3,4,1.1,96,9.875,999,71.875,6,5,-4,119,116,122,0,1,4.9,météo très défavorable
2009-01-20,5,0,32,4,4,4,0.2,90,9,1001,71.125,5,4,-3,116,119,122,0,1,4.9,météo très défavorable
2009-01-21,4,0,17,1,4,2,0,92,10,1008,36.875,4,1,-3,113,113,116,0,1,8.2,météo très défavorable
2009-01-22,4,0,42,2,3,4,3.2,88,8.625,1007,60,4,2,-5,113,113,122,0,1,6.8,météo très défavorable
2009-01-23,4,0,43,3,2,1,1.4,94,6.75,988,98,4,3,-5,119,122,122,0,1,3.1,météo très défavorable
2009-01-24,5,0,27,4,5,5,0,92,10,993,90.875,5,4,-1,122,122,122,0,1,3.1,météo très défavorable
2009-01-25,4,0,20,2,3,2,0,94,10,1001,48.25,4,2,-3,119,116,116,0,1,6.8,météo très défavorable
2009-01-26,2,0,20,-0,1,-1,0,90,10,1011,21.375,2,0,-6,116,113,113,0,1,8.3,météo très défavorable
2009-01-27,1,0,12,-2,0,-2,0,86,10,1019,6.5,1,0,-5,113,113,113,0,1,8.4,météo très défavorable
2009-01-28,1,0,17,-3,-0,-2,0,89,10,1023,25.5,1,0,-7,116,113,116,0,1,8.4,météo très défavorable
2009-01-29,0,0,22,-3,0,-1,0,85,10,1027,41.5,1,0,-8,119,116,116,0,1,8.7,météo très défavorable
2009-01-30,0,0,23,-3,0,-1,0,85,10,1028,6,0,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,3,0,24,0,3,1,0,86,10,1027,70.5,3,0,-4,119,116,122,0,1,5.1,météo très défavorable
2009-02-01,1,0,37,-1,-1,-0,0.1,78,9.375,1023,85.625,1,0,-9,122,119,122,0.1,1,5.1,météo très défavorable
2009-02-02,2,0,45,0,1,1,0.1,86,7.75,1015,99.125,2,0,-7,122,122,122,0,1,3.4,météo très défavorable
2009-02-03,2,0,28,1,2,2,0,95,9,1005,98,2,1,-4,122,122,143,0,1,3.4,météo très défavorable
2009-02-04,2,0,14,1,2,2,0.6,96,5.75,999,100,3,2,-2,143,122,143,0,1,3.4,météo très défavorable
2009-02-05,4,0,23,0,3,4,0.1,93,7,997,85.625,5,4,-3,143,119,122,0,1,5.2,météo très défavorable
2009-02-06,7,0,19,4,6,5,0.2,95,9,993,58.625,7,5,1,119,116,116,0,1,6.9,météo très défavorable
2009-02-07,4,0,19,1,4,3,0,94,7,991,65.25,4,3,0,143,122,119,0,1,3.4,météo très défavorable
2009-02-08,4,0,26,1,4,2,0.2,86,9.875,1003,31.75,4,1,-4,116,116,113,0,1,8.7,météo très défavorable
2009-02-09,2,0,23,-0,2,2,0.8,93,9,1004,69.5,2,1,-4,116,122,122,0.6,1,3.6,météo très défavorable
2009-02-10,2,0,35,0,1,1,1.8,96,6.25,997,95.375,2,1,-6,122,122,122,0,1,3.6,météo très défavorable
2009-02-11,3,0,26,2,3,0,0,83,10,1012,37.75,3,1,-3,116,113,113,0,1,8.7,météo très défavorable
2009-02-12,3,0,24,-0,2,1,0,83,10,1018,9.375,3,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-02-13,3,0,25,1,3,0,1.4,92,8.625,1020,55.75,3,1,-6,122,116,116,1.2,1,5.4,météo très défavorable
2009-02-14,1,0,19,-2,0,-0,0,87,10,1027,10.375,1,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-02-15,3,0,27,1,2,2,0.4,97,9,1027,86.25,3,3,-4,122,122,122,0,1,3.7,météo très défavorable
2009-02-16,4,0,14,3,4,3,1,98,6.375,1018,87.25,4,3,0,143,119,248,0,1,3.7,météo très défavorable
2009-02-17,2,0,27,-0,1,-1,0.6,86,9,1029,70,2,1,-7,122,122,116,0.5,1,5.4,météo très défavorable
2009-02-18,2,0,9,-3,1,-0,0,82,10,1030,49.125,2,0,-3,116,119,119,0,1,5.4,météo très défavorable
2009-02-19,3,0,28,0,1,3,1.2,97,9.875,1026,75.25,4,3,-5,116,122,122,0,1,5.4,météo très défavorable
2009-02-20,4,0,18,4,4,2,0,97,10,1028,89.125,4,3,-1,122,116,122,0,1,5.4,météo très défavorable
2009-02-21,4,0,17,2,4,3,0.7,96,5.375,1029,74,4,3,-1,143,116,122,0,1,8.7,météo très défavorable
2009-02-22,6,0,35,5,6,5,0.1,95,10,1021,92.375,6,5,0,122,119,122,0,1,3.8,météo très défavorable
2009-02-23,6,0,34,4,6,4,1.1,91,8.875,1018,69.5,6,4,-1,122,119,113,0,1,5.5,météo très défavorable
2009-02-24,5,0,15,-0,4,2,0,92,8,1026,29.25,5,2,-2,116,113,116,0,1,8.7,météo très défavorable
2009-02-25,5,0,30,4,4,5,1,94,8,1027,99.625,5,4,-1,122,122,122,0,1,3.9,météo très défavorable
2009-02-26,6,0,42,5,6,5,0.2,93,9,1017,97,6,4,-0,122,122,122,0,1,3.9,météo très défavorable
2009-02-27,6,0,23,4,6,4,0,95,9,1014,42.5,6,4,1,116,116,119,0,1,8.7,météo très défavorable
2009-02-28,6,0,14,4,6,5,0.8,96,3,1015,85,7,5,3,143,143,143,0,1,5.4,météo très défavorable
2009-03-01,8,0,12,5,7,7,0.1,93,8,1013,72.75,8,7,4,143,116,122,0,1,7,météo très défavorable
2009-03-02,6,0,22,6,6,4,1,94,9.875,1015,74,6,5,0,122,119,116,0,1,8.5,météo très défavorable
2009-03-03,7,0,23,2,7,6,0.1,89,10,1015,61.875,7,3,0,119,119,119,0,1,7,météo très défavorable
2009-03-04,9,0,37,3,8,7,0,77,10,1002,24.625,9,4,0,113,113,116,0,1,11,météo très défavorable
2009-03-05,6,0,21,3,6,5,0.3,92,9,992,89.125,6,5,1,122,122,122,0,1,5.5,météo très défavorable
2009-03-06,5,0,22,4,4,4,0.8,91,9,1001,100,5,4,0,122,122,122,0,1,5.6,météo très défavorable
2009-03-07,6,0,15,3,5,3,0,89,10,1010,60.875,6,3,1,122,116,113,0,1,10.1,météo très défavorable
2009-03-08,6,0,34,6,6,4,3.5,94,8.625,1007,49.75,6,5,1,122,116,113,0,1,10.1,météo très défavorable
2009-03-09,6,0,33,3,6,5,5.7,95,9,1005,92.75,6,4,-2,122,122,119,0,1,5.8,météo très défavorable
2009-03-10,6,0,22,4,6,4,1.2,95,9.25,1008,52.5,6,4,0,116,116,119,0,1,8.7,météo très défavorable
2009-03-11,7,0,27,3,7,4,0,91,10,1021,27,7,3,0,116,113,113,0,1,11.6,météo très défavorable
2009-03-12,6,0,26,4,5,6,1.4,96,9.875,1021,83.375,6,6,-0,122,122,119,0,1,5.9,météo très défavorable
2009-03-13,8,0,21,4,8,5,0,93,10,1020,45.625,8,5,3,113,116,122,0,1,10.2,météo très défavorable
2009-03-14,9,0,22,4,8,7,0.2,94,9.375,1019,74.375,9,6,4,116,122,122,0,1,7.3,météo très défavorable
2009-03-15,8,0,19,5,7,6,2,96,8.75,1028,79,8,6,2,122,116,116,0,1,10.2,météo très défavorable
2009-03-16,8,0,16,5,7,6,0.1,91,8,1032,83.25,8,5,3,122,122,116,0,1,7.4,météo très défavorable
2009-03-17,8,0,39,6,8,6,0,77,10,1035,25,8,5,1,116,113,113,0,1,11.6,météo très défavorable
2009-03-18,8,0,23,4,8,5,0,87,10,1035,32.375,8,3,1,113,116,113,0,1,11.6,météo très défavorable
2009-03-19,8,0,19,3,8,5,0,79,9,1032,23.375,8,3,2,116,113,113,0,1,11.6,météo très défavorable
2009-03-20,7,0,7,1,7,3,0,83,10,1035,27,7,1,1,116,116,116,0,1,11.6,météo très défavorable
2009-03-21,7,0,23,2,7,5,0,91,10,1031,21.375,7,4,1,116,113,113,0,1,11.6,météo très défavorable
2009-03-22,7,0,38,6,7,7,1.1,91,9.875,1022,93.625,7,5,1,119,119,122,0,1,6.1,météo très défavorable
2009-03-23,6,0,47,6,5,4,5.7,97,9.375,1014,88,6,5,-2,122,122,116,0,1,7.5,météo très défavorable
2009-03-24,4,0,32,3,3,2,0,75,10,1009,25.875,4,2,-2,113,116,113,0,1,10.2,météo très défavorable
2009-03-25,3,0,32,2,1,2,3.6,97,8.25,1007,91.125,3,2,-5,122,122,122,0.1,1,6.2,météo très défavorable
2009-03-26,6,0,27,4,6,5,3.4,97,6.75,1002,97.75,6,6,1,143,122,122,0,1,6.2,météo très défavorable
2009-03-27,7,0,30,5,7,5,0.5,88,10,995,50.125,7,5,1,116,113,116,0,1,10.3,météo très défavorable
2009-03-28,6,0,21,5,6,4,6.1,99,6.75,998,99.25,6,5,1,122,122,248,0,1,6.2,météo très défavorable
2009-03-29,8,0,16,4,8,5,0.6,90,9.875,1014,31.75,8,4,2,116,113,113,0,1,11.6,météo très défavorable
2009-03-30,8,0,18,3,8,5,0,86,10,1022,7.875,8,3,3,113,113,113,0,1,11.6,météo très défavorable
2009-03-31,10,0,17,4,9,7,0,89,10,1024,40.625,10,6,4,116,119,116,0,1,7.6,météo très défavorable
2009-04-01,11,0,15,5,10,8,0,89,10,1025,22.5,11,7,6,116,116,113,0,1,13.4,météo très défavorable
2009-04-02,13,0,20,5,12,10,0,84,10,1026,25.625,13,8,7,119,113,113,0,1,13.3,météo très défavorable
2009-04-03,16,0,16,6,14,12,0,84,10,1021,0,16,9,9,113,113,113,0,1,13.5,météo très défavorable
2009-04-04,12,0,20,9,12,8,0,89,10,1020,17,12,9,5,113,113,113,0,1,13.6,météo très défavorable
2009-04-05,10,0,15,7,10,7,0,89,10,1025,20,10,6,6,116,113,113,0,1,13.6,météo très défavorable
2009-04-06,14,0,16,6,12,12,0,80,10,1023,13.75,14,8,8,113,116,113,0,1,13.7,météo très défavorable
2009-04-07,17,0,24,10,17,9,0.5,92,9,1011,29.75,17,11,6,116,113,116,0,1,13.7,météo très défavorable
2009-04-08,14,0,27,8,14,9,1,93,8.875,1012,53.875,14,8,7,113,116,122,0,1,12.1,météo très défavorable
2009-04-09,14,0,12,7,13,10,0,82,10,1017,22.25,14,7,9,116,116,113,0,1,13.8,météo très défavorable
2009-04-10,18,0,25,10,17,15,0,74,10,1015,12.875,18,11,12,116,113,113,0,1,13.8,météo favorable
