DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,25,16,17,29,25,0,75,6.5,1013,28,30,21,25,248,113,113,,,,météo idéale
2009-01-02,30,25,16,18,29,26,0,75,7,1014,2.375,31,20,25,143,113,113,,,,météo idéale
2009-01-03,31,25,12,18,29,26,0,71,6.5,1015,33.125,31,20,25,248,113,113,,,,météo favorable
2009-01-04,29,26,14,20,28,26,0.2,77,6.5,1014,44.625,31,21,26,248,116,113,,,,météo favorable
2009-01-05,30,26,14,20,30,27,0,73,6.5,1012,48.625,32,21,26,248,113,116,,,,météo favorable
2009-01-06,25,22,10,21,24,25,8.7,94,7.75,1012,56.5,28,24,22,353,356,293,,,,météo correcte
2009-01-07,30,26,14,23,30,27,1.5,83,8.125,1014,33,32,23,26,263,113,176,,,,météo favorable
2009-01-08,29,24,17,21,29,24,4,85,7.375,1015,58.625,31,22,24,248,176,353,,,,météo correcte
2009-01-09,27,24,17,23,26,27,38,95,7.875,1014,79.25,32,26,24,356,356,356,,,,météo très défavorable
2009-01-10,26,23,15,22,24,25,18.7,94,5.875,1015,68.5,29,24,23,356,356,356,,,,météo très défavorable
2009-01-11,27,25,16,21,27,25,0.6,87,5.25,1015,48,29,23,25,248,113,113,,,,météo favorable
2009-01-12,28,24,21,21,28,24,1.9,80,7.25,1015,50.125,29,21,24,248,113,176,,,,météo favorable
2009-01-13,26,22,17,21,25,26,10.3,96,9.25,1016,52,28,23,22,353,356,176,,,,météo correcte
2009-01-14,26,22,18,21,25,26,10,94,6.875,1016,65.375,29,24,22,353,356,176,,,,météo défavorable
2009-01-15,30,25,17,21,29,26,0,85,6.5,1016,32.5,32,22,25,248,113,113,,,,météo favorable
2009-01-16,29,25,21,21,29,26,0,78,7.5,1016,34,30,21,25,248,113,113,,,,météo favorable
2009-01-17,28,24,18,21,28,24,0.6,81,6.75,1015,27.125,29,20,24,143,113,176,,,,météo idéale
2009-01-18,30,25,16,20,29,26,0,78,6.5,1014,35.375,31,21,25,248,113,113,,,,météo favorable
2009-01-19,29,25,18,20,29,26,0.2,77,6.5,1013,32.125,30,21,25,248,113,113,,,,météo favorable
2009-01-20,30,25,18,20,29,26,0,76,6.5,1014,31.5,32,21,25,248,113,113,,,,météo favorable
2009-01-21,30,25,17,20,29,26,0,80,6.5,1013,34,31,21,25,248,113,113,,,,météo favorable
2009-01-22,29,24,15,18,28,26,0,81,6.5,1013,40.25,30,21,24,248,116,113,,,,météo favorable
2009-01-23,30,24,15,19,29,27,0,78,6.5,1012,31.125,31,20,24,248,113,113,,,,météo favorable
2009-01-24,30,25,18,19,30,26,0,75,6.5,1012,31,31,20,25,248,113,113,,,,météo favorable
2009-01-25,27,22,14,20,24,25,4.2,96,4.875,1013,82.125,30,22,22,248,263,353,,,,météo défavorable
2009-01-26,30,24,14,22,29,27,9.3,92,8.25,1012,40.375,34,23,24,353,176,356,,,,météo correcte
2009-01-27,29,26,12,21,29,26,8.7,87,4.375,1013,53.25,32,23,26,248,176,356,,,,météo correcte
2009-01-28,31,27,13,21,31,27,7.4,82,6.75,1013,31.5,33,23,27,143,113,356,,,,météo favorable
2009-01-29,32,26,17,21,30,27,0.3,86,7.625,1013,19.625,32,23,26,248,113,113,,,,météo idéale
2009-01-30,31,25,15,18,30,27,0,76,6.75,1013,19.625,31,20,25,143,113,113,,,,météo idéale
2009-01-31,31,25,17,19,30,27,0,76,6.5,1013,29.125,32,21,25,248,113,113,,,,météo idéale
2009-02-01,32,25,14,18,30,28,0,76,6.5,1014,28,33,21,25,248,113,113,,,,météo idéale
2009-02-02,32,25,16,17,30,28,0,75,6.5,1015,25,31,20,25,248,113,113,,,,météo idéale
2009-02-03,32,25,18,17,30,28,0,68,7,1014,0,31,19,25,143,113,113,,,,météo idéale
2009-02-04,32,25,17,18,30,28,0,76,6.75,1015,16,32,21,25,248,113,113,,,,météo idéale
2009-02-05,32,25,16,18,30,28,0,73,6.5,1015,25.25,31,20,25,248,113,113,,,,météo idéale
2009-02-06,31,25,18,17,30,27,0,77,7.5,1014,28.25,31,21,25,248,113,113,,,,météo idéale
2009-02-07,31,25,19,17,29,27,0,68,7,1013,11.125,30,18,25,143,113,113,,,,météo idéale
2009-02-08,31,25,18,18,30,27,0,69,7,1014,8.125,31,19,25,143,113,113,,,,météo idéale
2009-02-09,32,25,17,17,31,28,0,74,7.5,1014,28.5,32,20,25,248,113,113,,,,météo idéale
2009-02-10,32,25,13,17,31,27,0,73,7.5,1014,40.25,32,20,25,248,113,116,,,,météo favorable
2009-02-11,34,26,8,18,33,27,0,64,9,1013,16.125,34,20,26,143,113,116,,,,météo idéale
2009-02-12,34,27,9,19,33,29,0,67,8,1013,6.5,33,21,27,143,113,113,,,,météo idéale
2009-02-13,34,27,13,18,33,29,0,63,8,1012,4,32,19,27,143,113,113,,,,météo idéale
2009-02-14,33,26,16,17,32,29,0,56,10,1012,1.75,32,19,26,113,113,113,,,,météo idéale
2009-02-15,33,26,14,19,32,29,0,69,8,1011,7.125,33,20,26,143,113,113,,,,météo idéale
2009-02-16,33,26,15,20,32,28,0,68,7.75,1012,19.625,33,20,26,248,113,113,,,,météo idéale
2009-02-17,32,26,20,19,31,28,0,70,6.75,1012,16.625,32,20,26,248,113,113,,,,météo idéale
2009-02-18,31,26,20,18,30,28,0,68,6.75,1012,20.875,32,20,26,248,113,113,,,,météo idéale
2009-02-19,27,25,13,18,26,26,1.7,77,6,1011,66.75,29,22,25,248,353,176,,,,météo défavorable
2009-02-20,33,23,22,21,31,29,0.2,93,6.75,1013,40.5,34,22,23,248,116,113,,,,météo favorable
2009-02-21,30,26,18,22,29,28,5.4,83,8.375,1012,33.125,33,23,26,176,176,176,,,,météo favorable
2009-02-22,30,27,20,22,29,28,4.9,77,6.125,1011,43.25,33,23,27,248,176,176,,,,météo favorable
2009-02-23,33,28,15,22,33,29,2.3,69,7.625,1012,22,35,23,28,143,116,176,,,,météo favorable
2009-02-24,34,28,12,22,34,30,0.2,71,7.75,1012,25.375,36,23,28,143,113,113,,,,météo favorable
2009-02-25,36,29,12,21,35,32,0,64,8,1012,5.5,37,22,29,143,113,113,,,,météo favorable
2009-02-26,37,29,17,21,35,32,0,65,8,1011,0.25,35,21,29,143,113,113,,,,météo favorable
2009-02-27,36,29,10,20,35,32,0,59,9,1012,2.375,36,20,29,143,113,113,,,,météo favorable
2009-02-28,36,29,17,19,34,32,0,54,10,1012,3.625,35,20,29,113,113,113,,,,météo favorable
2009-03-01,37,29,15,19,35,33,0,48,10,1011,0,35,18,29,113,113,113,,,,météo favorable
2009-03-02,37,28,18,19,36,32,0,52,10,1011,0.125,35,18,28,113,113,113,,,,météo favorable
2009-03-03,36,27,13,19,35,32,0,51,10,1013,0.25,35,17,27,113,113,113,,,,météo favorable
2009-03-04,37,28,12,19,35,32,0,51,10,1012,0.375,35,18,28,113,113,113,,,,météo favorable
2009-03-05,37,29,14,20,35,33,0,53,10,1011,0,35,19,29,113,113,113,,,,météo favorable
2009-03-06,37,28,10,18,36,33,0,40,10,1012,9.375,35,18,28,113,113,113,,,,météo favorable
2009-03-07,37,29,18,20,35,33,0,54,10,1012,5.875,35,20,29,113,113,113,,,,météo favorable
2009-03-08,34,26,9,20,34,26,10.2,83,6.875,1011,39.5,35,23,26,143,116,356,,,,météo correcte
2009-03-09,30,24,14,23,30,24,28.2,96,7.875,1011,53.625,33,24,24,293,353,359,,,,météo très défavorable
2009-03-10,30,26,13,22,29,26,16.1,84,6.625,1013,42.5,33,24,26,143,353,359,,,,météo très défavorable
2009-03-11,31,27,15,22,31,28,13.4,80,8.625,1013,25.75,35,24,27,176,176,356,,,,météo défavorable
2009-03-12,32,27,14,23,32,29,4.5,82,8.875,1012,33.375,35,24,27,176,176,356,,,,météo favorable
2009-03-13,31,27,14,22,31,27,11.2,79,7.875,1014,22.25,34,23,27,176,176,356,,,,météo correcte
2009-03-14,30,27,15,23,30,28,7.5,83,8.125,1013,25.5,33,24,27,176,176,356,,,,météo favorable
2009-03-15,33,28,16,22,33,28,5.4,69,7,1013,40.625,35,23,28,248,113,176,,,,météo favorable
2009-03-16,33,27,15,22,33,30,0.2,77,6.5,1012,31,34,23,27,248,113,113,,,,météo favorable
2009-03-17,35,28,12,21,34,30,0,61,8,1011,6.125,35,21,28,143,113,113,,,,météo favorable
2009-03-18,33,28,15,22,33,31,0.1,63,9,1011,10.75,35,21,28,143,116,113,,,,météo favorable
2009-03-19,34,30,13,22,34,31,0.2,61,8,1011,11,36,22,30,143,116,113,,,,météo favorable
2009-03-20,35,29,9,22,35,29,0.7,61,7.75,1012,17.625,36,22,29,143,113,176,,,,météo favorable
2009-03-21,36,30,12,22,36,32,0,61,9,1011,2.375,36,22,30,143,113,113,,,,météo favorable
2009-03-22,35,29,15,22,34,32,0,62,8,1011,6.5,35,22,29,143,113,113,,,,météo favorable
2009-03-23,36,30,13,21,34,31,0.1,58,8,1013,7.25,36,22,30,143,113,113,,,,météo favorable
