DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,0,17,14,14,13,0,62,10,1025,82.25,15,7,13,119,122,119,0,1,3.9,météo très défavorable
2009-01-02,16,0,9,12,16,14,0.4,70,9.875,1025,50.875,16,9,14,116,116,116,0,1,8.7,météo très défavorable
2009-01-03,17,0,7,14,17,12,0,75,10,1024,27.75,18,9,13,116,113,113,0,1,8.7,météo très défavorable
2009-01-04,18,0,13,13,18,14,0,61,10,1021,13.125,18,10,14,116,113,113,0,1,8.7,météo favorable
2009-01-05,18,0,10,13,18,14,0,58,10,1021,0,21,8,15,113,113,113,0,1,8.7,météo favorable
2009-01-06,20,0,13,13,20,16,0,39,10,1017,0.25,20,8,16,113,113,113,0,1,8.7,météo favorable
2009-01-07,20,0,17,14,20,17,0,69,10,1021,3.75,20,12,17,113,113,113,0,1,8.7,météo favorable
2009-01-08,17,0,13,15,17,15,0,68,10,1024,13.625,17,10,14,113,116,113,0,1,8.7,météo très défavorable
2009-01-09,18,0,15,15,18,15,0,71,10,1026,8.5,18,10,15,113,113,116,0,1,8.7,météo favorable
2009-01-10,19,0,9,15,19,16,0,68,10,1024,10.375,20,11,16,113,113,113,0,1,8.7,météo favorable
2009-01-11,20,0,14,16,20,17,0,72,10,1023,21.875,20,12,16,116,116,113,0,1,8.7,météo favorable
2009-01-12,18,0,28,17,17,14,0,66,10,1027,17,18,12,12,116,113,113,0,1,8.7,météo favorable
2009-01-13,17,0,25,15,17,15,0,59,10,1028,8.125,17,9,15,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,21,0,23,17,21,17,0,42,10,1025,19.125,21,7,17,116,113,113,0,1,8.7,météo favorable
2009-01-15,23,0,14,17,23,18,0,44,10,1023,10.5,24,7,18,113,113,116,0,1,8.7,météo favorable
2009-01-16,23,0,17,19,23,18,0,52,10,1021,17.375,24,10,18,113,116,113,0,1,8.7,météo favorable
2009-01-17,19,0,18,16,19,17,0.1,75,10,1020,20.625,19,13,17,113,113,116,0,1,8.7,météo favorable
2009-01-18,18,0,17,16,18,14,0,71,10,1023,8.25,18,12,13,113,113,113,0,1,8.7,météo favorable
2009-01-19,17,0,12,14,17,14,0,77,10,1022,34.5,17,11,14,113,116,116,0,1,7.1,météo très défavorable
2009-01-20,19,0,13,14,19,16,0,70,10,1020,21.75,19,12,16,116,113,113,0,1,8.7,météo favorable
2009-01-21,20,0,19,16,20,17,0,67,10,1018,14.375,20,13,17,113,113,116,0,1,8.7,météo favorable
2009-01-22,22,0,18,17,22,19,0,55,10,1017,4,24,12,19,113,113,113,0,1,8.7,météo favorable
2009-01-23,20,0,24,18,20,18,0.2,55,9,1012,47.75,20,10,18,122,113,116,0,1,7.1,météo favorable
2009-01-24,19,0,22,13,19,15,0,50,10,1013,14.5,19,6,15,116,113,113,0,1,8.7,météo favorable
2009-01-25,20,0,18,13,20,18,0,42,10,1013,9.75,20,6,18,113,113,113,0,1,8.7,météo favorable
2009-01-26,21,0,17,16,21,16,0,78,10,1019,10.125,24,13,16,113,113,113,0,1,8.7,météo favorable
2009-01-27,20,0,18,14,20,17,0,72,10,1021,19.875,20,12,17,116,113,113,0,1,8.7,météo favorable
2009-01-28,23,0,15,16,23,19,0,45,10,1015,9.5,25,11,19,113,113,113,0,1,8.7,météo favorable
2009-01-29,19,0,26,15,19,15,0,58,10,1014,1.75,19,11,13,113,113,113,0,1,8.7,météo favorable
2009-01-30,18,0,25,12,18,16,0,37,10,1013,12.25,18,3,16,113,113,113,0,1,8.7,météo favorable
2009-01-31,18,0,23,13,18,15,0.7,73,9.875,1016,34,18,10,13,116,119,113,0,1,5.6,météo très défavorable
2009-02-01,19,0,16,13,19,14,0,73,10,1022,5.875,19,11,14,113,113,113,0,1,8.7,météo favorable
2009-02-02,20,0,12,13,20,15,0,60,10,1024,4.125,21,12,15,113,113,113,0,1,8.7,météo favorable
2009-02-03,20,0,21,16,20,17,0,68,10,1025,7.125,20,12,17,113,113,113,0,1,8.7,météo favorable
2009-02-04,22,0,14,18,22,18,0,56,10,1021,12.75,24,11,18,113,113,113,0,1,8.7,météo favorable
2009-02-05,24,0,15,17,24,17,0,71,10,1014,0,24,13,17,113,113,113,0,1,8.7,météo favorable
2009-02-06,19,0,12,16,19,15,0,73,10,1017,0,20,14,16,113,113,113,0,1,8.7,météo favorable
2009-02-07,21,0,13,13,21,16,0,64,10,1017,12.5,24,12,17,116,113,113,0,1,8.7,météo favorable
2009-02-08,22,0,16,16,22,21,0,53,10,1016,37.25,24,10,19,113,113,116,0,1,7.2,météo favorable
2009-02-09,22,0,21,20,22,17,0,68,10,1013,20.5,24,12,18,116,113,113,0,1,8.7,météo favorable
2009-02-10,16,0,40,15,14,14,0,74,10,1017,41.375,16,10,11,113,122,116,0,1,5.6,météo très défavorable
2009-02-11,19,0,14,15,19,14,0,74,10,1018,28.875,19,10,15,116,116,113,0,1,7.2,météo favorable
2009-02-12,21,0,12,14,21,17,0,55,10,1017,15.5,24,8,17,113,116,113,0,1,8.7,météo favorable
2009-02-13,21,0,15,16,21,16,0,62,10,1013,13.125,24,11,16,113,113,116,0,1,8.7,météo favorable
2009-02-14,23,0,21,15,23,16,0,70,10,1012,4.125,24,11,16,113,113,113,0,1,8.7,météo favorable
2009-02-15,18,0,30,14,18,14,0,56,10,1016,0.875,18,10,12,113,113,113,0,1,8.7,météo favorable
2009-02-16,17,0,30,13,17,14,0,66,10,1019,7.875,17,8,12,113,113,113,0,1,8.7,météo très défavorable
2009-02-17,16,0,14,13,16,14,0,60,10,1022,32.5,17,8,14,113,116,116,0,1,8.7,météo très défavorable
2009-02-18,18,0,15,12,18,16,0,54,10,1021,18.875,19,8,16,113,113,116,0,1,8.7,météo favorable
2009-02-19,24,0,27,17,24,18,0,67,10,1013,17.875,24,12,18,116,113,113,0,1,8.7,météo favorable
2009-02-20,18,0,31,15,18,15,0.4,62,9.875,1014,32.375,18,11,15,116,116,113,0,1,7.2,météo favorable
2009-02-21,16,0,31,14,16,15,0.5,66,9.875,1016,36.25,16,8,13,116,116,113,0,1,8.7,météo très défavorable
2009-02-22,13,0,22,12,13,13,0.6,78,9.375,1015,48.625,13,9,11,116,116,116,0,1,8.7,météo très défavorable
2009-02-23,18,0,21,12,18,15,0.6,66,9.875,1013,28.625,18,9,15,113,116,119,0,1,8.7,météo favorable
2009-02-24,18,0,19,12,18,14,0,59,10,1016,14.5,18,9,13,113,113,113,0,1,8.7,météo favorable
2009-02-25,20,0,12,13,20,14,0,62,10,1017,5.75,21,9,14,113,113,113,0,1,8.7,météo favorable
2009-02-26,20,0,24,15,20,15,0,68,10,1012,18.75,20,9,15,113,113,116,0,1,8.7,météo favorable
2009-02-27,13,0,31,11,13,13,3.9,87,9.625,1013,54.75,14,10,10,119,116,119,0,1,7.2,météo très défavorable
2009-02-28,12,0,32,11,12,12,10.3,90,8.125,1013,89.25,12,10,9,200,122,119,0,1,4.2,météo très défavorable
2009-03-01,16,0,30,13,16,13,6.5,66,9.625,1022,43.75,16,9,11,122,119,113,0,1,5.7,météo très défavorable
2009-03-02,17,0,14,13,17,15,0,68,10,1023,44.875,17,9,14,119,122,116,0,1,4.3,météo très défavorable
2009-03-03,19,0,10,13,19,14,0,69,10,1021,5,20,9,15,113,113,113,0,1,8.7,météo favorable
2009-03-04,22,0,15,15,22,18,0,55,10,1020,5.375,24,10,18,113,113,113,0,1,8.7,météo favorable
2009-03-05,23,0,13,18,23,20,0,43,10,1016,21.375,25,10,20,116,116,113,0,1,8.7,météo favorable
2009-03-06,27,0,17,19,27,21,0,36,10,1009,1.125,26,8,23,113,113,113,0,1,8.7,météo favorable
2009-03-07,29,0,19,23,29,21,0,54,10,1006,38.625,28,12,21,116,116,116,0,1,7.2,météo favorable
2009-03-08,21,0,22,17,21,16,0,57,10,1012,21,21,12,17,116,113,113,0,1,8.7,météo favorable
2009-03-09,18,0,31,14,18,15,0,72,10,1018,6.25,18,10,14,113,113,113,0,1,8.7,météo favorable
2009-03-10,19,0,13,15,19,13,0,80,10,1020,5.5,20,12,14,113,113,113,0,1,8.7,météo favorable
2009-03-11,19,0,13,15,19,15,0,77,10,1019,22,21,12,16,116,113,113,0,1,7.2,météo favorable
2009-03-12,18,0,13,15,18,12,0,83,10,1017,6.375,19,14,13,113,113,113,0,1,8.7,météo favorable
2009-03-13,20,0,26,14,20,16,0,67,10,1016,5.875,24,11,16,113,113,113,0,1,11.6,météo favorable
2009-03-14,17,0,23,15,17,15,0,70,10,1019,42,17,10,15,116,119,116,0,1,7.4,météo très défavorable
2009-03-15,17,0,15,15,17,15,0.2,73,10,1020,24.375,17,11,14,116,113,113,0,1,10.2,météo très défavorable
2009-03-16,16,0,15,14,16,13,0,60,10,1020,0,16,6,12,113,113,113,0,1,11.6,météo très défavorable
2009-03-17,17,0,20,15,16,14,0,63,10,1020,19.375,17,7,13,113,113,116,0,1,12,météo très défavorable
2009-03-18,17,0,15,15,17,13,0,66,10,1018,9.25,17,8,14,113,113,113,0,1,12.4,météo très défavorable
2009-03-19,20,0,9,14,20,16,0.5,63,9.375,1017,19.625,21,10,17,113,116,113,0,1,12.5,météo favorable
2009-03-20,17,0,23,16,16,14,0.2,74,9.375,1016,45,17,12,13,122,116,113,0,1,12.5,météo très défavorable
2009-03-21,18,0,14,14,18,13,0,72,10,1017,1.125,18,9,13,113,113,113,0,1,12.5,météo favorable
2009-03-22,21,0,8,14,21,16,0,58,10,1016,5.5,24,10,16,113,113,113,0,1,12.5,météo favorable
2009-03-23,20,0,30,18,17,14,4.7,87,9.75,1011,33.125,20,12,11,113,116,113,0,1,12.5,météo favorable
2009-03-24,17,0,23,14,17,14,0,64,10,1017,50,17,8,14,119,116,113,0,1,11.8,météo très défavorable
2009-03-25,18,0,13,14,18,13,0,72,10,1018,1.5,20,11,16,113,113,113,0,1,12.6,météo favorable
2009-03-26,21,0,10,15,21,16,0,65,10,1016,2.375,25,11,18,113,113,113,0,1,12.6,météo favorable
2009-03-27,19,0,38,15,18,15,0,66,10,1015,13.5,19,10,15,113,116,113,0,1,12.6,météo favorable
2009-03-28,17,0,27,15,17,14,0,67,10,1018,2.375,17,8,13,113,113,113,0,1,12.6,météo très défavorable
2009-03-29,18,0,16,16,18,15,0,64,10,1022,1.125,18,9,14,113,113,113,0,1,12.6,météo favorable
2009-03-30,18,0,14,16,18,14,0,73,10,1020,4.25,18,10,14,113,113,113,0,1,12.7,météo favorable
2009-03-31,20,0,13,15,20,16,0,70,10,1016,6.5,24,12,16,113,113,113,0,1,12.7,météo favorable
2009-04-01,19,0,19,16,19,16,0,70,10,1013,29.375,19,12,16,116,116,113,0,1,12.7,météo favorable
2009-04-02,20,0,18,17,20,16,0,73,10,1013,13.5,21,12,17,113,113,113,0,1,12.7,météo favorable
2009-04-03,22,0,17,17,22,17,0,79,10,1014,12,24,14,17,113,116,113,0,1,12.7,météo favorable
2009-04-04,22,0,15,18,22,17,0,77,10,1015,9.375,25,14,17,113,113,113,0,1,12.8,météo favorable
2009-04-05,24,0,26,18,24,20,0,60,10,1014,15.25,25,15,20,116,113,113,0,1,12.8,météo favorable
2009-04-06,21,0,21,19,21,16,0,71,10,1019,3.25,21,14,16,113,113,113,0,1,12.8,météo favorable
2009-04-07,21,0,15,17,21,17,0,72,10,1018,3.875,25,13,17,113,113,113,0,1,12.8,météo favorable
2009-04-08,19,0,28,16,19,16,0,70,10,1016,12.125,19,14,16,113,113,113,0,1,12.8,météo favorable
2009-04-09,19,0,16,17,19,15,0,78,10,1016,13.625,20,13,15,113,113,113,0,1,12.9,météo favorable
2009-04-10,19,0,16,16,19,16,0,77,10,1015,2,19,12,16,113,113,113,0,1,12.9,météo favorable
2009-04-11,21,0,24,17,21,17,0.3,64,9.875,1014,16.125,21,12,17,116,113,113,0,1,12.9,météo favorable
2009-04-12,23,0,25,20,23,19,0,66,10,1012,3.5,25,13,19,113,113,113,0,1,12.9,météo favorable
2009-04-13,24,0,23,20,24,20,0,51,10,1013,3,25,13,20,113,113,113,0,1,12.9,météo favorable
2009-04-14,29,0,33,24,29,20,0,57,10,1011,16,28,13,20,113,113,113,0,1,12.9,météo favorable
2009-04-15,21,0,21,18,21,17,0,71,10,1013,2.375,24,12,17,113,113,113,0,1,13,météo favorable
2009-04-16,21,0,26,18,21,17,0,71,10,1013,6.375,24,13,17,113,113,113,0,1,13,météo favorable
2009-04-17,21,0,16,18,21,17,0,69,10,1015,0,24,12,18,113,113,113,0,1,13,météo favorable
