DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-12,-17,7,-12,-16,-15,0.3,96,5.75,1041,97.75,0,0,-20,122,143,143,0.3,1,3.2,météo très défavorable
2009-01-02,-12,-20,6,-12,-19,-20,0,93,9,1044,70.875,0,0,-24,122,116,116,0,1,6.9,météo très défavorable
2009-01-03,-12,-22,9,-12,-21,-19,0,90,10,1043,11.75,0,0,-25,113,113,113,0,1,8.6,météo très défavorable
2009-01-04,-13,-20,15,-13,-18,-18,0,91,10,1042,2.75,0,0,-27,113,113,113,0,1,8.6,météo très défavorable
2009-01-05,-14,-21,10,-14,-19,-19,0,91,10,1044,4.375,0,0,-26,113,113,113,0,1,8.6,météo très défavorable
2009-01-06,-13,-22,14,-13,-19,-22,0,94,8,1042,13.875,0,0,-27,113,113,143,0,1,8.6,météo très défavorable
2009-01-07,-14,-21,11,-14,-18,-20,0.1,97,3.875,1046,65.25,0,0,-27,116,116,143,0.1,1,5.1,météo très défavorable
2009-01-08,-14,-21,18,-14,-19,-19,0,92,10,1046,4.625,0,0,-29,113,113,113,0,1,8.6,météo très défavorable
2009-01-09,-14,-21,5,-14,-18,-20,0,99,3.75,1044,44.5,0,0,-21,116,260,260,0,1,5.1,météo très défavorable
2009-01-10,-13,-20,10,-13,-20,-20,0,95,7,1047,33.5,0,0,-26,116,143,113,0,1,8.7,météo très défavorable
2009-01-11,-13,-20,17,-13,-17,-19,0,91,10,1047,11.625,0,0,-26,113,116,113,0,1,8.7,météo très défavorable
2009-01-12,-13,-20,6,-13,-18,-19,0,90,10,1043,38.5,0,0,-23,116,116,116,0,1,6.9,météo très défavorable
2009-01-13,-11,-19,18,-11,-15,-16,0,89,10,1045,17.125,0,0,-24,113,116,113,0,1,8.7,météo très défavorable
2009-01-14,-10,-18,5,-10,-18,-18,0,95,9,1038,39.25,0,0,-22,119,143,113,0,1,8.7,météo très défavorable
2009-01-15,-9,-17,13,-9,-13,-15,0,90,10,1033,32,0,0,-21,113,113,122,0,1,6.9,météo très défavorable
2009-01-16,-11,-19,12,-11,-13,-17,0.1,97,5.125,1025,60.25,0,0,-19,116,260,143,0.1,1,3.3,météo très défavorable
2009-01-17,-10,-18,10,-10,-16,-15,0.1,91,7.625,1026,67,0,0,-23,122,116,122,0.1,1,8.7,météo très défavorable
2009-01-18,-11,-16,22,-11,-13,-12,0.1,89,8.625,1026,47.625,0,0,-22,116,116,119,0.1,1,8.7,météo très défavorable
2009-01-19,-9,-16,17,-9,-13,-15,0.1,94,8.75,1024,52.625,0,0,-22,119,113,116,0,1,6.9,météo très défavorable
2009-01-20,-9,-20,31,-9,-13,-18,0.4,93,8.75,1030,72.75,0,0,-28,119,119,116,0,1,3.3,météo très défavorable
2009-01-21,-20,-26,19,-20,-24,-25,0.1,91,10,1049,74.25,0,0,-33,119,116,122,0,1,6.9,météo très défavorable
2009-01-22,-23,-26,13,-23,-25,-25,0,88,10,1054,68.625,0,0,-35,119,116,122,0,1,8.7,météo très défavorable
2009-01-23,-17,-24,14,-17,-20,-22,0.1,92,9,1050,83.75,0,0,-29,119,116,119,0.1,1,5.1,météo très défavorable
2009-01-24,-15,-25,10,-15,-21,-23,0,94,10,1039,16.75,0,0,-30,113,113,113,0,1,8.7,météo très défavorable
2009-01-25,-15,-25,13,-15,-20,-21,0,93,10,1035,19.75,0,0,-29,113,116,113,0,1,8.7,météo très défavorable
2009-01-26,-12,-21,22,-12,-14,-12,0,91,10,1025,36.25,0,0,-24,116,116,116,0,1,8.7,météo très défavorable
2009-01-27,-8,-14,5,-8,-12,-12,1.9,98,1.5,1022,81.625,0,0,-15,143,260,143,1.6,1,3.4,météo très défavorable
2009-01-28,-12,-18,16,-12,-16,-18,0,90,10,1028,20.5,0,0,-26,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,-11,-19,12,-11,-18,-17,0,91,10,1029,14.75,0,0,-25,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,-8,-17,14,-8,-13,-16,0,91,10,1027,44.125,0,0,-21,116,116,116,0,1,8.7,météo très défavorable
2009-01-31,-6,-17,8,-6,-12,-12,0,89,10,1031,62.75,0,0,-16,116,122,122,0,1,5.2,météo très défavorable
2009-02-01,-13,-18,15,-13,-18,-18,0.2,94,9.625,1040,32.5,0,0,-27,116,113,113,0.2,1,8.7,météo très défavorable
