DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,13,11,14,14,13,0.1,80,10,1021,66.875,15,11,13,113,122,122,0,1,5.2,météo défavorable
2009-01-02,13,12,17,13,13,12,1.6,87,7.875,1019,65,13,11,11,116,116,119,0,1,7,météo défavorable
2009-01-03,13,12,11,12,13,13,2.2,80,9.875,1016,63.75,13,10,12,116,119,119,0,1,5.2,météo correcte
2009-01-04,12,10,36,12,11,11,1,78,9.875,1017,51.625,12,10,7,116,116,113,0,1,8.7,météo défavorable
2009-01-05,11,10,17,11,11,10,0,68,10,1017,16.5,11,5,9,113,116,116,0,1,8.7,météo défavorable
2009-01-06,11,9,20,10,10,10,0.1,74,10,1013,37.125,11,6,7,116,113,116,0,1,7,météo défavorable
2009-01-07,9,6,21,8,6,6,6.6,85,9.5,1014,88.375,9,6,4,122,122,119,0,1,3.5,météo défavorable
2009-01-08,10,6,10,7,9,9,8.8,86,9.25,1017,79.75,10,8,7,119,122,122,0,1,5.2,météo défavorable
2009-01-09,12,11,21,11,12,12,1.4,74,9.875,1018,42.5,13,8,10,113,113,119,0,1,8.7,météo défavorable
2009-01-10,12,11,21,11,12,12,1.1,67,9.875,1024,19.25,13,8,9,113,113,116,0,1,8.7,météo défavorable
2009-01-11,13,12,32,12,13,12,0,72,10,1028,15.625,13,8,10,116,113,113,0,1,8.7,météo correcte
2009-01-12,14,12,28,13,14,13,0.1,74,10,1027,17.5,14,9,11,116,116,113,0,1,8.7,météo correcte
2009-01-13,13,11,21,12,13,12,0,65,10,1021,16.5,13,7,10,113,116,113,0,1,8.7,météo correcte
2009-01-14,12,11,25,11,12,12,1.3,77,8.875,1018,42.25,12,8,9,119,116,113,0,1,7,météo défavorable
2009-01-15,13,12,27,13,12,13,0,70,10,1018,5.25,13,8,10,113,113,113,0,1,8.7,météo correcte
2009-01-16,13,11,12,11,13,12,0,75,10,1022,27.75,13,8,11,113,113,119,0,1,8.7,météo correcte
2009-01-17,13,11,7,11,13,12,0,69,10,1024,20.125,13,8,12,113,113,113,0,1,8.7,météo correcte
2009-01-18,14,11,30,12,13,14,0,78,10,1023,10.25,14,10,10,113,113,113,0,1,8.7,météo correcte
2009-01-19,15,14,46,14,15,15,0,81,10,1019,15,15,11,12,113,113,113,0,1,8.7,météo correcte
2009-01-20,15,12,31,14,12,12,0.6,70,9,1004,23.875,15,12,9,113,113,113,0,1,8.7,météo correcte
2009-01-21,11,10,36,11,10,11,0.1,70,10,1014,12.5,11,6,7,113,113,113,0,1,8.7,météo défavorable
2009-01-22,15,11,41,11,12,15,0.2,75,10,1014,41.875,15,11,9,116,116,119,0,1,8.7,météo correcte
2009-01-23,18,14,50,16,18,18,3,86,9.75,1005,41.875,18,13,15,119,116,113,0,1,8.7,météo favorable
2009-01-24,16,13,57,16,15,14,0,65,10,1005,12.5,16,11,12,113,113,113,0,1,10,météo correcte
2009-01-25,14,13,47,14,13,14,2.4,68,10,1006,15.625,14,9,10,113,113,116,0,1,10,météo correcte
2009-01-26,12,11,50,11,11,12,0,64,9.75,1004,24.625,12,7,7,113,113,200,0,1,10,météo défavorable
2009-01-27,13,12,40,12,12,13,0,67,10,1012,8.625,13,8,9,113,113,113,0,1,10,météo correcte
2009-01-28,14,13,27,13,13,13,0,72,10,1014,15.75,14,10,10,113,113,113,0,1,10,météo correcte
2009-01-29,14,13,4,14,14,13,0,83,10,1016,19.5,15,12,14,113,113,113,0,1,10.1,météo correcte
2009-01-30,14,13,17,13,14,14,0,83,10,1016,21.25,14,12,12,113,113,116,0,1,10.5,météo correcte
2009-01-31,14,12,14,13,14,12,1.7,88,10,1011,41.625,14,12,12,116,116,116,0,1,10.5,météo correcte
2009-02-01,12,11,31,12,12,12,3.4,75,9.5,1001,53.125,13,9,10,119,113,122,0,1,10,météo défavorable
2009-02-02,14,12,31,13,14,14,7.1,84,9.5,994,48.25,14,11,11,116,113,116,0,1,10,météo correcte
