DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-4,6,-2,0,-1,4.6,98,6.875,1030,61.5,0,0,-3,116,119,260,0,2,3.3,météo très défavorable
2009-01-02,-1,-6,11,-4,-1,-5,0,79,9,1026,13.125,0,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,-3,-8,11,-8,-3,-6,0,92,4.75,1027,58,0,0,-9,143,119,143,0,1,3.4,météo très défavorable
2009-01-04,-5,-11,5,-10,-5,-9,0,96,4.5,1022,18.125,0,0,-9,143,113,143,0,1,8.7,météo très défavorable
2009-01-05,-1,-10,7,-9,-1,-7,0,95,7,1019,10.75,0,0,-8,113,113,143,0,2,8.7,météo très défavorable
2009-01-06,-5,-11,8,-11,-5,-9,0,95,5,1023,32.125,0,0,-11,116,113,143,0,1,6.9,météo très défavorable
2009-01-07,0,-11,5,-10,0,-5,0,94,6,1022,19.625,1,0,-6,113,113,143,0,1,8.7,météo très défavorable
2009-01-08,-3,-9,7,-7,-3,-7,4,97,3.125,1034,73,0,0,-8,260,143,143,3.5,1,3.4,météo très défavorable
2009-01-09,-3,-11,8,-11,-3,-8,0,98,4.25,1035,17.125,0,0,-10,113,113,260,0,1,8.7,météo très défavorable
2009-01-10,-5,-10,8,-10,-5,-8,0,98,2,1035,36.25,0,0,-10,260,143,260,0,1,5.2,météo très défavorable
2009-01-11,-3,-11,12,-10,-3,-9,0,99,6.5,1038,18.875,0,0,-11,113,143,116,0,2,8.7,météo très défavorable
2009-01-12,-3,-12,8,-11,-3,-6,0,99,3.75,1038,27,0,0,-10,113,143,143,0,1,5.2,météo très défavorable
2009-01-13,-2,-10,10,-9,-2,-3,1.2,97,7.25,1032,51.375,0,0,-7,113,116,260,0,1,8.7,météo très défavorable
2009-01-14,0,-3,9,0,0,-1,6.9,99,2.25,1019,97.5,0,0,-4,260,260,260,0,1,3.4,météo très défavorable
2009-01-15,1,-4,6,-2,1,-3,0.3,100,2,1023,75.5,1,1,-2,260,248,260,0,1,3.4,météo très défavorable
2009-01-16,1,-5,9,-5,1,-5,0,97,1.75,1028,22.375,2,1,-4,143,143,260,0,1,8.7,météo très défavorable
2009-01-17,2,-7,7,-6,2,-5,0,97,3.75,1028,14.875,2,0,-4,143,113,143,0,1,8.7,météo très défavorable
2009-01-18,5,-3,17,0,5,2,0,96,7,1025,22.75,5,3,-1,143,113,116,0,2,8.7,météo très défavorable
2009-01-19,7,3,13,3,7,3,0.5,98,6.75,1015,50,7,6,2,248,113,116,0,2,6.9,météo très défavorable
2009-01-20,10,4,12,5,10,5,0,89,6,1009,58.25,10,8,5,143,116,143,0,2,7,météo très défavorable
2009-01-21,9,5,10,7,9,8,2.9,96,2.75,1005,77.375,9,9,7,248,143,143,0,2,7,météo très défavorable
2009-01-22,8,1,9,5,3,2,1.1,95,2.875,1008,87.75,8,7,1,248,122,143,0,1,3.5,météo très défavorable
2009-01-23,5,-1,8,-1,5,3,0.7,90,6.875,1002,50.625,5,3,3,119,116,143,0,1,8.7,météo très défavorable
2009-01-24,5,2,9,2,5,3,4.7,94,5.5,992,68.75,5,3,1,143,116,248,0,1,7,météo très défavorable
2009-01-25,3,0,8,1,1,0,8.4,100,2,1002,100,3,3,-2,248,248,248,4.4,1,3.5,météo très défavorable
2009-01-26,8,0,7,0,8,4,0,90,4.75,1006,39.125,8,4,4,143,113,143,0,1,8.7,météo très défavorable
2009-01-27,5,2,13,4,5,2,4.2,98,5.5,1005,69.75,6,5,1,116,119,248,0,1,5.2,météo très défavorable
2009-01-28,2,0,16,2,2,0,2.2,94,3.25,1009,99.75,3,2,-3,248,122,122,1.7,1,3.5,météo très défavorable
2009-01-29,0,0,17,0,0,0,2.2,96,6,1017,100,0,0,-5,122,122,143,1.8,1,3.5,météo très défavorable
2009-01-30,0,-1,9,0,0,-1,2.5,97,1.5,1020,100,1,0,-3,260,143,260,2.1,1,3.5,météo très défavorable
2009-01-31,0,-2,12,-1,0,-1,0.5,92,4.375,1019,96.25,0,0,-3,143,122,143,0.5,1,3.6,météo très défavorable
2009-02-01,4,-2,11,-1,4,1,0.1,97,3.875,1015,72.625,4,2,-1,143,116,248,0.1,1,7,météo très défavorable
2009-02-02,7,0,11,0,7,4,1.2,94,4.375,1016,61.5,8,5,2,260,116,248,0,1,8.7,météo très défavorable
2009-02-03,7,6,11,6,7,6,1,92,6.375,1011,86.25,7,6,4,143,122,122,0,2,3.6,météo très défavorable
2009-02-04,12,6,7,6,12,6,0.7,85,7.375,1005,44.5,12,8,9,143,116,143,0,2,8.7,météo défavorable
2009-02-05,13,5,15,5,13,8,0,78,10,1008,11,13,7,8,113,113,113,0,3,8.7,météo correcte
2009-02-06,13,6,13,6,13,8,0,75,10,1007,13.5,13,7,9,113,113,113,0,3,8.7,météo correcte
2009-02-07,10,6,13,7,10,8,0,77,9.875,1000,48.375,10,7,8,113,122,116,0,3,7.1,météo défavorable
2009-02-08,11,4,13,7,11,6,2,76,8.625,999,50.25,11,6,7,116,113,200,0,2,8.7,météo très défavorable
2009-02-09,2,-1,17,1,1,-1,0.9,82,8,1015,77.375,2,0,-4,122,122,113,0.8,1,3.9,météo très défavorable
2009-02-10,8,-1,14,0,8,5,0,69,10,1015,23.75,8,3,2,113,116,113,0,2,8.7,météo très défavorable
2009-02-11,6,0,18,3,2,1,4.1,98,6.125,1006,60,6,4,-3,143,122,248,2.6,2,4,météo très défavorable
2009-02-12,0,-2,18,-2,-1,-1,1.8,89,7,1010,93.625,0,0,-7,122,122,122,1.5,1,4,météo très défavorable
2009-02-13,-1,-3,19,-3,-2,-2,0.8,71,7.75,1012,98.625,0,0,-8,122,122,122,0.6,1,4,météo très défavorable
2009-02-14,-1,-4,15,-4,-1,-2,2.1,83,6,1017,100,0,0,-8,122,122,122,1.8,1,4,météo très défavorable
2009-02-15,-2,-4,18,-3,-2,-4,3.2,94,4.75,1025,100,0,0,-9,143,122,122,2.7,1,4,météo très défavorable
2009-02-16,0,-10,7,-10,0,-4,0,82,8,1026,32.875,0,0,-6,143,116,116,0,2,8.7,météo très défavorable
2009-02-17,5,-3,16,-3,5,1,2.3,87,8,1020,57.875,5,2,-2,116,116,122,1.5,2,7.1,météo très défavorable
2009-02-18,-4,-6,17,-6,-4,-5,6.6,96,4,1018,100,0,0,-11,143,143,122,5.6,1,4,météo très défavorable
2009-02-19,-3,-6,17,-5,-3,-5,1.6,94,6,1025,94.375,0,0,-10,122,122,119,1.3,1,4.1,météo très défavorable
2009-02-20,-2,-9,10,-8,-2,-9,0.2,94,5.75,1028,64.625,0,0,-8,260,119,143,0.1,1,5.6,météo très défavorable
2009-02-21,2,-10,5,-10,2,-4,0,97,4.5,1027,61.625,2,1,-1,116,143,260,0,2,5.6,météo très défavorable
2009-02-22,-1,-6,5,-6,-1,-5,0,93,4.25,1026,54,0,0,-3,260,119,143,0,1,5.6,météo très défavorable
2009-02-23,2,-7,8,-6,2,-5,0,98,6.5,1021,58.125,3,2,-3,116,143,260,0,2,7.2,météo très défavorable
2009-02-24,4,-5,9,-5,4,-1,0,95,5.5,1023,46.125,4,2,0,143,113,260,0,1,8.7,météo très défavorable
2009-02-25,2,-4,6,-3,2,-4,0,93,4,1029,61.5,2,1,-2,260,122,260,0,1,4.1,météo très défavorable
