DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,6,13,8,11,7,0,86,10,1024,44.375,11,7,7,116,119,113,0,2,5.2,météo défavorable
2009-01-02,10,5,9,5,10,6,0,76,10,1021,16.375,10,5,6,116,113,113,0,3,8.7,météo très défavorable
2009-01-03,9,5,13,5,9,6,0.1,72,10,1018,24.75,9,3,4,113,113,116,0,3,8.7,météo très défavorable
2009-01-04,8,2,5,3,8,5,0.1,80,10,1018,32.625,9,4,4,116,113,113,0,2,8.7,météo très défavorable
2009-01-05,8,1,11,1,8,2,0,68,9,1015,21.75,8,2,3,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,7,2,29,3,7,5,3.2,87,9.625,1012,80.125,7,3,2,116,119,122,0,1,3.4,météo très défavorable
2009-01-07,4,2,21,4,4,4,12.4,97,9.125,1013,99.25,4,3,-2,122,122,122,0,1,3.4,météo très défavorable
2009-01-08,8,3,13,3,8,6,0.7,88,9.25,1023,45.625,8,5,2,113,116,119,0,2,6.9,météo très défavorable
2009-01-09,9,4,27,6,9,7,0.3,76,9.375,1024,39.125,9,4,2,116,113,119,0,3,8.7,météo très défavorable
2009-01-10,11,3,9,3,11,6,0,79,10,1026,21.25,11,6,6,116,113,113,0,3,8.7,météo très défavorable
2009-01-11,12,4,8,4,12,6,0,75,10,1028,12.625,13,7,9,113,113,113,0,3,8.7,météo très défavorable
2009-01-12,12,4,8,4,12,6,0,73,10,1029,4.875,13,7,8,113,113,113,0,3,8.7,météo très défavorable
2009-01-13,12,5,14,5,12,6,0,70,10,1023,3.375,13,6,5,113,113,113,0,3,8.7,météo très défavorable
2009-01-14,11,3,8,3,11,5,0,70,10,1012,8,11,5,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-15,11,3,14,5,11,5,0.1,68,10,1020,14,11,3,5,116,113,113,0,3,8.7,météo très défavorable
2009-01-16,11,3,11,5,11,4,0,73,10,1024,14.75,11,5,5,113,116,113,0,3,8.7,météo très défavorable
2009-01-17,9,3,10,3,9,6,0,85,10,1025,29.625,9,6,7,116,122,113,0,3,7,météo très défavorable
2009-01-18,9,3,14,3,9,8,0,90,10,1022,46,9,6,6,116,122,113,0,3,3.5,météo très défavorable
2009-01-19,10,6,11,7,8,9,0,96,8,1015,75.625,10,9,7,122,122,122,0,3,5.2,météo défavorable
2009-01-20,11,5,17,9,11,7,0,87,8.75,1001,36.5,11,9,9,119,113,113,0,2,8.7,météo très défavorable
2009-01-21,10,4,23,4,10,6,0,59,10,1008,17,10,1,2,113,116,113,0,3,8.7,météo très défavorable
2009-01-22,9,2,9,2,9,5,0,62,10,1008,20.125,9,0,4,113,113,116,0,3,8.7,météo très défavorable
2009-01-23,9,4,18,5,7,9,0.2,96,7.375,1003,60.375,10,8,4,122,143,113,0,3,3.7,météo très défavorable
2009-01-24,8,5,21,6,8,6,0.4,90,9,992,59,8,6,4,122,116,116,0,3,5.3,météo très défavorable
2009-01-25,10,4,6,4,10,6,0,66,10,997,7.5,10,3,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-26,7,5,39,7,7,6,6.7,91,8.875,999,67.75,7,5,2,122,122,116,0,3,5.4,météo très défavorable
2009-01-27,10,4,10,4,10,6,0,74,10,1007,32,10,4,6,116,113,116,0,3,8.7,météo très défavorable
2009-01-28,10,2,10,2,10,5,0,62,10,1010,2.5,10,2,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-29,10,2,12,3,10,4,0,71,10,1014,1.5,10,4,8,113,113,113,0,3,8.7,météo très défavorable
2009-01-30,10,3,13,5,10,4,0,73,10,1017,3.75,10,4,7,113,113,113,0,3,8.7,météo très défavorable
2009-01-31,10,3,22,4,10,7,0.4,81,9,1015,44.75,10,5,5,113,116,119,0,3,7,météo très défavorable
2009-02-01,9,6,31,7,9,7,0.7,71,8.375,1006,77.75,9,4,3,122,116,122,0,2,7,météo défavorable
2009-02-02,7,5,41,5,7,7,14.1,91,8.75,1002,99.125,7,5,0,122,122,122,0,2,3.7,météo très défavorable
2009-02-03,10,7,18,7,10,9,0.9,81,8.75,1000,69.25,10,6,5,122,116,116,0,2,8.7,météo défavorable
2009-02-04,9,8,9,8,8,9,3.3,91,7.75,1001,73.625,9,8,7,116,119,143,0,2,5.4,météo défavorable
2009-02-05,10,7,17,7,9,10,6.8,95,9.125,1003,63.875,10,9,7,113,119,200,0,3,3.8,météo défavorable
2009-02-06,10,8,18,9,10,9,11,94,8.875,999,88.5,10,9,7,200,200,119,0,2,3.8,météo défavorable
2009-02-07,9,4,21,6,9,5,0,86,8.875,992,31.75,9,6,6,143,113,113,0,3,8.7,météo très défavorable
2009-02-08,9,2,19,2,9,5,0,61,10,1005,8.875,9,1,3,113,113,113,0,3,8.7,météo très défavorable
2009-02-09,12,3,20,4,12,8,0,62,10,1012,13.125,12,5,5,113,113,113,0,3,8.7,météo très défavorable
2009-02-10,12,6,32,8,12,8,0,68,9,1012,22.75,12,7,7,113,113,113,0,3,8.7,météo défavorable
2009-02-11,8,3,38,4,8,5,0,48,10,1012,4.25,8,0,0,113,113,113,0,3,8.7,météo très défavorable
