DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-2,-4,13,-3,-3,-4,0,55,10,1030,19.75,0,0,-7,113,113,113,0,1,5.8,météo très défavorable
2009-01-02,-6,-7,15,-7,-6,-6,0,87,10,1030,29.625,0,0,-12,113,116,116,0,1,5.8,météo très défavorable
2009-01-03,-0,-7,17,-1,-0,-7,0,94,7.75,1019,30.75,0,0,-8,113,113,260,0,1,5.8,météo très défavorable
2009-01-04,-7,-10,14,-7,-9,-10,0,93,7.75,1023,22.875,0,0,-17,143,113,113,0,1,5.8,météo très défavorable
2009-01-05,-6,-9,9,-8,-6,-6,0,79,10,1027,9.625,0,0,-10,113,113,113,0,1,5.8,météo très défavorable
2009-01-06,1,-5,24,-3,-0,-1,0,90,10,1019,23,1,0,-6,113,119,113,0,1,3.7,météo très défavorable
2009-01-07,-4,-9,16,-5,-5,-7,0,86,10,1021,18.375,0,0,-13,113,113,116,0,1,5.8,météo très défavorable
2009-01-08,3,-7,24,-2,2,3,0,99,10,1021,53.25,3,2,-3,119,122,113,0,1,3.7,météo très défavorable
2009-01-09,3,1,14,3,3,2,0,93,10,1020,22,3,2,-1,116,116,113,0,1,5.8,météo très défavorable
2009-01-10,2,0,33,0,2,2,0,94,10,1021,25.25,2,1,-5,113,113,119,0,1,5.8,météo très défavorable
2009-01-11,5,2,43,3,4,5,0,96,10,1013,98.375,5,4,-2,122,122,122,0,1,1.6,météo très défavorable
2009-01-12,6,4,50,5,6,6,0,93,10,1001,88.875,6,5,-0,122,122,116,0,1,1.6,météo très défavorable
2009-01-13,5,2,27,4,5,3,0,87,10,1003,18.75,5,4,0,113,113,113,0,1,5.8,météo très défavorable
2009-01-14,2,-1,9,1,2,-1,0,76,10,1016,11.5,2,0,-3,113,113,116,0,1,5.8,météo très défavorable
2009-01-15,-0,-4,13,-1,-1,-3,0,42,10,1029,38.75,0,0,-7,119,116,113,0,1,5.8,météo très défavorable
