DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,0,41,23,23,24,0,78,10,1017,7.75,25,20,24,113,113,113,0,1,11.1,météo favorable
2009-01-02,23,0,37,23,23,23,0,78,10,1016,8.75,25,19,23,113,113,113,0,1,11.1,météo favorable
2009-01-03,23,0,31,23,23,23,0,76,10,1016,4.25,25,19,23,113,113,113,0,1,11.1,météo favorable
2009-01-04,24,0,19,23,24,24,0,75,10,1016,2.25,26,19,24,113,113,113,0,1,11.1,météo favorable
2009-01-05,24,0,21,24,24,24,0,74,10,1016,1.875,26,19,24,113,113,113,0,1,11.1,météo favorable
2009-01-06,23,0,39,23,23,22,0,79,10,1016,2.125,25,18,22,113,113,113,0,1,11.1,météo favorable
2009-01-07,22,0,37,21,21,21,0,76,10,1017,8.5,24,17,21,113,113,113,0,1,11.1,météo favorable
2009-01-08,22,0,40,22,21,21,0,68,10,1017,22.25,24,16,21,113,119,113,0,1,10.1,météo très défavorable
2009-01-09,22,0,35,21,22,22,0,72,10,1019,21.875,24,17,22,116,113,113,0,1,11.1,météo favorable
2009-01-10,22,0,35,22,22,22,0,73,10,1020,16,25,17,22,113,113,113,0,1,11.1,météo favorable
2009-01-11,22,0,35,22,22,22,0,77,10,1018,41.875,25,18,22,113,119,116,0,1,10.1,météo très défavorable
2009-01-12,22,0,43,22,22,22,0,74,10,1018,17.625,24,17,22,113,113,113,0,1,11.1,météo favorable
2009-01-13,21,0,37,21,21,21,0,72,10,1018,24.25,24,17,21,113,113,113,0,1,11.1,météo favorable
2009-01-14,22,0,39,22,22,22,0,69,10,1018,11.5,25,16,22,113,113,113,0,1,11.1,météo favorable
2009-01-15,22,0,43,21,22,22,0,71,10,1019,20.25,25,16,22,113,113,113,0,1,10.1,météo favorable
2009-01-16,21,0,46,21,21,21,0,76,10,1020,17.375,21,17,21,113,116,116,0,1,11.2,météo favorable
2009-01-17,21,0,48,21,21,21,0,76,10,1021,13,21,16,21,113,113,113,0,1,11.2,météo favorable
2009-01-18,21,0,49,20,21,21,0,75,10,1022,20.5,21,16,21,116,113,113,0,1,11.2,météo favorable
2009-01-19,21,0,43,21,21,21,0,74,10,1022,2.875,21,16,21,113,113,113,0,1,11.2,météo favorable
2009-01-20,21,0,39,21,21,21,0,78,10,1021,20.75,24,17,21,113,116,113,0,1,11.2,météo favorable
2009-01-21,21,0,41,21,21,21,0,79,10,1020,20.625,21,17,21,113,116,113,0,1,10.1,météo favorable
2009-01-22,21,0,46,21,21,20,0,73,10,1021,0,21,15,20,113,113,113,0,1,11.2,météo favorable
2009-01-23,21,0,41,21,21,21,0,68,10,1019,0,24,15,21,113,113,113,0,1,11.2,météo favorable
2009-01-24,22,0,39,21,22,21,0,65,10,1019,0.5,25,15,21,113,113,113,0,1,11.2,météo favorable
2009-01-25,21,0,43,21,21,21,0,75,10,1018,0,24,17,21,113,113,113,0,1,11.2,météo favorable
2009-01-26,21,0,37,20,21,21,0,80,10,1019,9,21,17,20,113,113,113,0,1,11.2,météo favorable
