DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,14,11,24,11,14,12,0.6,93,9.75,1019,42.375,14,12,10,116,200,116,0,1,5.2,météo correcte
2009-01-02,12,10,14,10,12,11,1.2,91,9.875,1018,58.5,12,10,10,116,116,122,0,1,5.2,météo défavorable
2009-01-03,11,8,26,11,11,10,5,93,6.625,1019,77.375,12,11,7,143,122,116,0,1,5.2,météo défavorable
2009-01-04,9,5,19,5,8,6,0,89,10,1022,27.75,9,6,3,113,116,116,0,1,8.7,météo très défavorable
2009-01-05,8,5,16,6,8,7,0,83,10,1022,70.75,8,5,4,119,119,116,0,1,3.4,météo très défavorable
2009-01-06,7,5,25,5,7,5,1.1,84,9,1020,71.125,7,4,2,116,119,122,0,1,3.4,météo très défavorable
2009-01-07,6,4,28,5,5,4,0.7,83,9,1023,89.625,6,3,-1,122,122,119,0,1,3.4,météo très défavorable
2009-01-08,7,2,24,3,7,5,0,82,10,1024,18.375,7,2,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-09,6,2,8,3,6,2,0,85,10,1022,41.125,7,3,-0,119,116,113,0,1,8.7,météo très défavorable
2009-01-10,10,1,15,4,9,7,0,83,10,1027,17.875,10,5,4,113,116,113,0,1,8.7,météo très défavorable
2009-01-11,10,4,22,4,9,7,0,65,10,1030,5.375,10,2,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,10,6,40,7,10,8,2.6,90,8.875,1028,48,10,7,4,113,116,122,0,1,6.9,météo défavorable
2009-01-13,11,6,15,9,11,8,6.1,83,9.25,1023,45.875,11,8,6,116,116,113,0,1,8.7,météo défavorable
2009-01-14,11,6,36,6,10,9,0,82,10,1023,46.375,11,7,5,113,119,122,0,1,5.2,météo défavorable
2009-01-15,9,8,14,8,9,9,4,94,8.75,1017,67.25,10,8,7,119,143,116,0,1,5.2,météo défavorable
2009-01-16,11,6,27,6,11,9,0,85,10,1021,16.75,11,8,5,113,113,113,0,1,8.7,météo défavorable
2009-01-17,12,8,35,8,11,11,0.4,90,9,1023,56,12,9,8,116,116,119,0,1,7,météo défavorable
2009-01-18,13,11,41,12,13,12,9.2,88,9.375,1019,63,13,12,9,119,113,116,0,1,7,météo correcte
2009-01-19,13,6,41,11,9,8,8.9,87,9.375,1008,71.125,13,12,3,116,122,116,0,1,7,météo défavorable
2009-01-20,6,5,28,5,6,6,4.7,84,9.75,1012,63.875,6,4,1,200,200,116,0,1,9.3,météo très défavorable
2009-01-21,10,6,33,6,8,9,3.2,92,8.75,1017,73.75,10,9,4,116,122,122,0,1,4.9,météo défavorable
2009-01-22,15,11,44,13,13,14,11.4,96,8.375,1009,99.125,15,14,10,122,122,200,0,1,4.9,météo défavorable
2009-01-23,14,12,55,13,13,14,26.5,96,8.375,1004,94.625,14,13,10,122,122,122,0,1,4.9,météo très défavorable
2009-01-24,11,9,43,9,11,10,2,79,9.875,1012,55.625,11,7,6,116,116,116,0,1,9.8,météo défavorable
2009-01-25,10,6,36,8,7,6,16.3,88,8.75,1003,85.625,11,9,2,122,200,122,0,1,4.9,météo très défavorable
2009-01-26,10,7,28,8,9,10,3.7,89,9.875,1018,72.875,10,9,5,119,116,119,0,1,8.3,météo défavorable
2009-01-27,12,10,31,10,11,11,7.9,96,8.375,1020,94.75,12,12,7,122,122,122,0,1,4.9,météo défavorable
2009-01-28,13,11,13,12,11,12,5.5,96,6.5,1018,97.75,13,12,10,122,143,122,0,1,4.9,météo défavorable
2009-01-29,13,12,36,13,13,13,4.9,95,8.5,1012,98.875,13,12,10,122,122,122,0,1,4.9,météo défavorable
2009-01-30,12,9,35,12,12,10,8.5,95,8.5,1007,92.75,12,10,8,122,122,122,0,1,5,météo défavorable
2009-01-31,9,7,29,8,9,8,4.1,83,8.625,1007,59.125,9,8,4,119,113,122,0,1,9.9,météo défavorable
2009-02-01,10,7,30,8,8,8,4.8,91,9.75,991,66.25,10,7,4,119,119,119,0,1,6.6,météo défavorable
2009-02-02,9,6,27,9,7,6,0.3,89,9,1001,94.5,9,8,2,122,122,122,0,1,5,météo défavorable
2009-02-03,9,5,41,5,8,7,2.8,90,9.875,1002,89.5,9,8,2,119,122,119,0,1,5,météo très défavorable
2009-02-04,9,8,41,8,8,8,2.7,88,10,990,71.25,9,7,4,119,122,119,0,1,5,météo défavorable
2009-02-05,8,6,31,7,8,7,6.4,92,9.5,996,79.5,8,7,3,113,200,122,0,1,6.7,météo très défavorable
2009-02-06,7,5,29,5,7,6,0.9,80,10,1005,52.25,7,3,2,119,119,116,0,1,8.3,météo très défavorable
2009-02-07,8,5,18,5,8,7,0.5,83,9.75,1014,45.375,8,4,4,119,116,116,0,1,10.1,météo très défavorable
2009-02-08,12,7,32,7,11,12,8,97,8.875,1014,87.75,12,11,8,122,122,122,0,1,5.1,météo défavorable
2009-02-09,13,10,59,12,13,11,9.8,89,8.375,1014,91.375,13,11,7,122,122,122,0,1,5.1,météo défavorable
2009-02-10,11,8,29,8,11,9,1.7,79,10,1030,34.625,11,7,6,116,113,116,0,1,10.2,météo défavorable
2009-02-11,11,9,21,9,11,10,0,88,10,1031,45,11,8,8,116,116,113,0,1,10,météo défavorable
2009-02-12,12,8,20,9,12,10,0,90,9,1030,33.125,12,9,8,143,116,113,0,1,10.2,météo défavorable
2009-02-13,14,7,20,7,13,10,0,81,10,1024,5.25,14,7,8,113,113,113,0,1,10.7,météo correcte
2009-02-14,13,7,23,7,13,10,0,85,10,1021,7.25,13,8,7,113,113,113,0,1,10.7,météo correcte
2009-02-15,12,7,26,7,11,9,0,78,10,1022,7.375,12,6,6,113,113,113,0,1,10.7,météo défavorable
2009-02-16,13,7,23,7,13,9,0,75,10,1024,11.25,13,6,6,113,113,113,0,1,10.8,météo correcte
2009-02-17,14,6,21,6,13,11,0,79,10,1026,17.75,14,7,8,116,113,113,0,1,10.8,météo correcte
2009-02-18,13,7,21,7,13,9,0,82,10,1026,8,13,7,7,113,113,113,0,1,10.8,météo correcte
2009-02-19,12,6,27,6,11,10,0,83,10,1024,12.125,12,7,7,113,113,113,0,1,10.8,météo défavorable
2009-02-20,12,7,35,7,12,9,0,72,10,1025,2.75,12,6,5,113,113,113,0,1,10.9,météo défavorable
2009-02-21,15,7,20,7,14,11,0,75,10,1033,5.875,15,7,9,113,113,113,0,1,10.9,météo correcte
2009-02-22,13,7,27,7,12,10,0,80,10,1034,4.125,13,7,7,113,113,113,0,1,10.9,météo correcte
2009-02-23,14,7,35,7,13,11,0,79,10,1030,1.875,14,7,8,113,113,113,0,1,11,météo correcte
2009-02-24,15,8,20,8,15,12,0,81,10,1020,1.75,16,9,10,113,113,113,0,1,11,météo correcte
2009-02-25,15,8,16,9,15,12,0,83,10,1024,0,15,9,10,113,113,113,0,1,11,météo correcte
2009-02-26,16,10,19,10,16,13,0,83,10,1025,1.625,18,13,11,113,113,113,0,1,11,météo correcte
2009-02-27,17,10,11,10,17,13,0,81,10,1022,2.375,20,12,12,113,113,113,0,1,11.1,météo correcte
2009-02-28,13,9,14,9,13,10,0,88,10,1014,44.25,13,9,8,116,113,119,0,1,10.1,météo correcte
2009-03-01,10,8,23,9,10,9,1.8,90,10,1018,72.125,10,8,7,122,122,116,0,1,8.6,météo défavorable
2009-03-02,11,7,26,7,11,9,0,73,10,1024,14,11,6,5,116,113,113,0,1,11.2,météo défavorable
2009-03-03,11,4,20,4,11,9,0.8,90,9.875,1024,46.625,11,8,6,113,116,122,0,1,10.1,météo très défavorable
2009-03-04,10,7,42,9,7,7,9.1,89,9.375,1006,99.375,10,9,2,122,122,122,0,1,5.6,météo défavorable
2009-03-05,10,8,37,8,10,9,3.7,85,9,1014,85.25,10,8,5,122,116,122,0,1,8.6,météo défavorable
2009-03-06,12,9,28,10,11,12,5.1,96,8.375,1021,100,12,11,9,122,122,122,0,1,5.6,météo défavorable
2009-03-07,13,11,10,11,12,12,0.7,97,4.5,1024,86.625,13,12,10,122,248,143,0,1,5.9,météo défavorable
2009-03-08,11,7,18,10,11,10,0.4,95,6.875,1025,47.125,11,10,7,116,143,113,0,1,8.7,météo défavorable
2009-03-09,13,6,20,6,12,10,0,77,10,1026,14.875,13,7,8,113,116,113,0,1,11.6,météo correcte
2009-03-10,13,5,13,5,13,10,0,79,10,1026,7,13,7,9,113,113,113,0,1,11.6,météo correcte
2009-03-11,16,7,23,7,15,13,0,81,10,1025,16.5,16,10,11,119,113,113,0,1,11.6,météo correcte
2009-03-12,18,9,6,9,18,14,0,82,10,1023,3.75,21,13,16,113,113,113,0,1,11.6,météo favorable
2009-03-13,17,9,14,10,17,13,0,75,10,1022,3.25,17,9,12,113,113,113,0,1,11.6,météo correcte
2009-03-14,13,7,22,8,13,12,0,89,10,1026,41.75,13,11,10,116,116,116,0,1,11.6,météo correcte
2009-03-15,17,11,32,11,16,14,0,83,10,1026,40.125,17,11,12,119,113,113,0,1,11.6,météo correcte
2009-03-16,20,11,13,11,20,16,0,75,10,1024,0.125,21,13,16,113,113,113,0,1,11.6,météo favorable
2009-03-17,20,12,7,12,20,15,0,77,10,1021,2.75,21,12,16,113,113,113,0,1,11.6,météo favorable
2009-03-18,19,12,13,12,19,15,0,71,10,1021,2.375,25,12,15,113,113,113,0,1,11.6,météo favorable
2009-03-19,19,11,10,11,19,15,0,72,10,1018,0,24,11,15,113,113,113,0,1,11.6,météo favorable
2009-03-20,17,9,14,9,17,14,0,77,10,1021,1.875,17,11,13,113,113,113,0,1,11.6,météo correcte
2009-03-21,16,8,32,8,15,13,0,60,10,1023,12.75,16,7,10,116,113,113,0,1,11.6,météo correcte
2009-03-22,14,9,37,9,14,12,0,65,10,1027,1,14,5,9,113,113,113,0,1,11.6,météo correcte
2009-03-23,16,8,30,8,16,13,0,67,10,1026,8.375,16,7,11,113,113,113,0,1,11.6,météo correcte
2009-03-24,15,10,35,10,14,12,0,75,10,1021,14.625,15,8,9,113,113,113,0,1,11.6,météo correcte
2009-03-25,14,8,24,8,13,11,0,69,10,1021,10.5,14,6,8,113,113,113,0,1,11.6,météo correcte
2009-03-26,14,7,19,7,14,11,0,73,10,1020,6.375,14,7,9,113,113,113,0,1,11.6,météo correcte
2009-03-27,14,6,22,8,12,12,0.7,86,6,1018,56.625,14,10,10,143,116,122,0,1,8.9,météo correcte
2009-03-28,10,7,31,8,10,8,2.2,84,9.875,1013,64,11,6,3,119,116,119,0,1,8.9,météo défavorable
2009-03-29,9,7,22,7,9,8,0.7,75,10,1018,54,9,5,5,119,116,116,0,1,10.2,météo défavorable
2009-03-30,12,5,28,5,12,10,0,67,10,1019,16.875,12,4,6,113,113,113,0,1,11.6,météo très défavorable
2009-03-31,13,6,30,6,13,10,0,61,10,1020,8,13,4,7,113,113,113,0,1,11.6,météo correcte
2009-04-01,14,5,18,5,14,11,0,56,10,1018,10.75,15,6,12,113,113,113,0,1,11.6,météo correcte
2009-04-02,13,6,16,6,13,10,0,62,10,1020,2.125,13,7,11,113,113,113,0,1,11.6,météo correcte
2009-04-03,14,3,14,3,14,12,0.4,55,9,1022,32,15,9,13,113,116,116,0,1,11.6,météo correcte
2009-04-04,13,9,16,11,13,12,0.5,72,9.375,1025,30.5,13,11,12,116,113,113,0,1,11.6,météo correcte
2009-04-05,15,7,10,8,15,12,0,68,10,1025,34.875,16,10,14,116,113,116,0,1,10.3,météo correcte
2009-04-06,10,8,22,10,10,10,4.4,90,8.625,1016,56.75,10,9,7,122,119,113,0,1,9,météo défavorable
2009-04-07,12,8,21,8,12,11,1.1,70,9.75,1020,33.75,12,7,9,116,113,116,0,1,11.6,météo défavorable
2009-04-08,14,10,25,10,13,13,0.2,78,10,1021,60.875,14,9,11,119,116,116,0,1,10.3,météo correcte
