DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-4,11,-5,-3,-3,2,95,10,1032,94.5,0,0,-8,122,326,326,,,,météo très défavorable
2009-01-02,-1,-2,14,-3,-1,-1,6.5,98,7.25,1032,100,0,0,-7,326,326,332,,,,météo très défavorable
2009-01-03,1,-3,21,1,1,-3,19.7,100,3.75,1021,96.25,1,1,-7,320,326,143,,,,météo très défavorable
2009-01-04,-8,-13,14,-9,-13,-13,0.8,86,9.125,1025,29.75,0,0,-20,116,113,113,,,,météo très défavorable
2009-01-05,-2,-12,18,-13,-11,-4,3.9,97,8.5,1028,64,0,0,-18,113,122,332,,,,météo très défavorable
2009-01-06,1,-2,27,1,0,-2,36.6,100,3.5,1020,100,1,1,-8,227,338,227,,,,météo très défavorable
2009-01-07,-3,-7,18,-4,-3,-7,3.9,94,9,1019,97.375,0,0,-12,326,326,122,,,,météo très défavorable
2009-01-08,1,-1,28,1,-1,-1,41.3,100,5.5,1016,100,1,1,-7,320,302,302,,,,météo très défavorable
2009-01-09,3,0,22,-1,2,2,24.5,100,7.875,1019,100,3,2,-4,302,296,296,,,,météo très défavorable
2009-01-10,3,1,60,-1,2,2,4.3,98,8.75,1018,78.375,3,1,-7,122,326,113,,,,météo très défavorable
2009-01-11,1,0,46,0,1,1,78.7,100,5.625,999,100,1,1,-7,302,302,308,,,,météo très défavorable
2009-01-12,5,3,44,2,4,4,69.2,100,6.125,990,100,5,5,-4,302,302,356,,,,météo très défavorable
2009-01-13,3,2,47,2,3,3,32.4,99,5.75,994,100,3,3,-5,356,317,338,,,,météo très défavorable
2009-01-14,0,-2,12,-3,-1,-1,10.1,89,8.375,1015,67.25,0,0,-7,326,122,113,,,,météo très défavorable
2009-01-15,-4,-7,22,-8,-5,-5,0,75,10,1020,15.375,0,0,-13,113,116,113,,,,météo très défavorable
2009-01-16,-1,-3,41,-4,-1,-1,3.3,87,8,1018,89,0,0,-11,326,326,122,,,,météo très défavorable
2009-01-17,0,-2,33,-3,-1,-1,1,80,10,1012,58,0,0,-9,119,116,326,,,,météo très défavorable
2009-01-18,0,-2,35,-3,-1,-1,1.2,79,10,999,39.625,0,0,-10,113,116,323,,,,météo très défavorable
2009-01-19,-2,-4,26,-5,-2,-2,0.5,83,10,988,40,0,0,-11,116,119,116,,,,météo très défavorable
2009-01-20,-1,-4,22,-5,-2,-2,3.8,90,8.625,986,50.875,0,0,-10,113,326,329,,,,météo très défavorable
2009-01-21,2,1,31,0,1,1,16.7,100,6.625,996,100,2,2,-6,395,326,389,,,,météo très défavorable
2009-01-22,1,-2,27,1,-1,-2,2.7,87,10,998,56.875,1,1,-9,122,113,116,,,,météo très défavorable
2009-01-23,-1,-2,25,-2,-1,-1,2,86,10,984,71.375,0,0,-8,326,116,326,,,,météo très défavorable
2009-01-24,-1,-2,15,-3,-1,-1,3.6,89,9,986,73.125,0,0,-7,116,326,326,,,,météo très défavorable
2009-01-25,-2,-5,18,-6,-3,-3,1.4,89,10,999,49.125,0,0,-11,326,113,113,,,,météo très défavorable
2009-01-26,-3,-5,19,-6,-4,-4,0,84,10,1008,32.875,0,0,-11,113,116,113,,,,météo très défavorable
2009-01-27,0,-6,30,-6,-5,-1,2,93,9,1011,56.375,0,0,-14,113,119,326,,,,météo très défavorable
2009-01-28,1,0,23,-1,1,1,10.6,96,5.25,1016,98.25,1,1,-6,332,332,332,,,,météo très défavorable
2009-01-29,1,0,22,1,1,0,0.5,96,9.875,1022,85.875,1,1,-5,122,122,122,,,,météo très défavorable
2009-01-30,-1,-3,26,-4,-2,-2,0,62,10,1024,5.625,0,0,-10,113,113,113,,,,météo très défavorable
2009-01-31,-1,-3,19,-3,-2,-2,0,51,10,1027,1.625,0,0,-8,113,113,113,,,,météo très défavorable
2009-02-01,-3,-5,11,-6,-3,-3,0,64,10,1030,9.125,0,0,-9,113,113,113,,,,météo très défavorable
2009-02-02,-3,-5,10,-6,-4,-3,0,61,10,1029,12.375,0,0,-9,113,113,113,,,,météo très défavorable
2009-02-03,-5,-7,12,-8,-6,-6,0,57,10,1019,38,0,0,-12,113,116,119,,,,météo très défavorable
2009-02-04,-2,-5,11,-6,-3,-3,3.9,89,8.5,1003,100,0,0,-8,122,122,332,,,,météo très défavorable
2009-02-05,-2,-3,7,-3,-3,-3,3.6,90,9,997,68.875,0,0,-6,326,113,119,,,,météo très défavorable
2009-02-06,-3,-5,11,-7,-3,-3,0.9,82,10,996,95.875,0,0,-10,122,122,119,,,,météo très défavorable
2009-02-07,-3,-4,11,-4,-4,-3,1.3,82,9.375,993,65.125,0,0,-8,122,119,113,,,,météo très défavorable
2009-02-08,-5,-9,9,-9,-8,-5,0.1,84,10,993,12.875,0,0,-14,113,113,113,,,,météo très défavorable
2009-02-09,-2,-4,18,-5,-3,-3,13,94,6.875,998,100,0,0,-10,332,371,371,,,,météo très défavorable
2009-02-10,-3,-5,11,-4,-4,-5,2.7,87,9.375,1003,64.125,0,0,-9,326,116,113,,,,météo très défavorable
2009-02-11,-3,-5,14,-6,-4,-4,3.7,95,7.5,1012,99.125,0,0,-10,326,143,326,,,,météo très défavorable
2009-02-12,-2,-3,16,-3,-2,-2,9.6,99,5.375,1017,100,0,0,-8,326,332,332,,,,météo très défavorable
2009-02-13,-2,-7,9,-3,-7,-2,0.3,92,7.75,1025,62.125,0,0,-10,116,119,116,,,,météo très défavorable
2009-02-14,-2,-5,16,-6,-3,-2,3.3,95,7.5,1026,98,0,0,-10,143,326,122,,,,météo très défavorable
2009-02-15,0,-2,22,-3,-1,-1,34,98,3.75,1020,100,0,0,-8,338,332,332,,,,météo très défavorable
2009-02-16,2,0,12,-2,1,1,8.8,100,7.25,1015,97.75,2,2,-4,266,317,266,,,,météo très défavorable
2009-02-17,1,-1,34,-2,1,1,24.6,98,4.125,1024,100,1,1,-7,326,227,227,,,,météo très défavorable
2009-02-18,0,-1,17,-2,0,0,6.8,98,5.625,1025,100,0,0,-6,326,266,266,,,,météo très défavorable
2009-02-19,1,0,16,-1,1,1,16.5,100,7,1020,100,1,1,-4,296,266,302,,,,météo très défavorable
2009-02-20,2,1,19,1,2,2,12.7,100,8.375,1022,100,2,2,-3,326,317,296,,,,météo très défavorable
2009-02-21,2,1,38,0,2,2,41.5,100,6.625,1021,100,2,2,-7,320,302,302,,,,météo très défavorable
2009-02-22,1,1,20,0,1,1,40.2,100,6.5,1008,100,1,1,-4,302,389,296,,,,météo très défavorable
2009-02-23,2,0,17,-1,2,2,2.6,98,8.875,1020,91.875,2,1,-5,317,122,122,,,,météo très défavorable
2009-02-24,1,0,30,-1,1,1,23.7,100,6.375,1020,92.25,1,1,-6,338,302,266,,,,météo très défavorable
2009-02-25,2,1,25,1,2,2,20.9,100,7.25,1017,100,2,2,-4,317,296,338,,,,météo très défavorable
2009-02-26,2,0,9,-1,1,2,6.8,93,7.125,1004,66.625,2,1,-2,332,113,119,,,,météo très défavorable
2009-02-27,-1,-2,22,-1,-1,-2,4.8,92,9.25,1015,59.875,0,0,-7,116,326,113,,,,météo très défavorable
