DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-0,-5,10,-5,-0,-5,0,91,6.25,1029,23.625,1,0,-5,260,113,113,0,1,8.4,météo très défavorable
2009-01-02,-3,-11,12,-11,-3,-6,0,97,9,1026,14.875,0,0,-8,113,113,116,0,1,8.4,météo très défavorable
2009-01-03,-5,-15,12,-9,-5,-14,0,95,8,1025,6.5,0,0,-11,113,143,113,0,1,8.4,météo très défavorable
2009-01-04,-4,-15,8,-14,-4,-15,0,93,10,1025,16,0,0,-10,113,113,113,0,1,8.4,météo très défavorable
2009-01-05,-6,-10,8,-10,-6,-8,0,93,9,1021,44.125,0,0,-11,116,116,119,0,1,6.9,météo très défavorable
2009-01-06,-5,-9,18,-9,-5,-8,0.1,96,7.75,1018,33.75,0,0,-14,143,116,260,0,1,8.4,météo très défavorable
2009-01-07,-5,-9,24,-7,-5,-7,0,95,9,1020,44.125,0,0,-13,116,116,116,0,1,8.7,météo très défavorable
2009-01-08,-4,-10,16,-8,-4,-10,0,96,8,1028,21.75,0,0,-12,116,116,143,0,1,8.7,météo très défavorable
2009-01-09,-2,-12,8,-12,-2,-7,0,94,8,1030,2.875,0,0,-8,143,113,113,0,1,8.7,météo très défavorable
2009-01-10,-0,-10,6,-8,-0,-9,0,93,10,1030,11.125,1,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,-1,-16,7,-13,-1,-10,0,87,10,1033,0,1,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,1,-11,13,-5,1,-5,0,99,7.75,1033,18.625,2,2,-6,113,248,113,0,1,6.9,météo très défavorable
2009-01-13,1,-10,13,-3,1,-10,0,99,8.75,1025,18.125,2,2,-5,113,248,113,0,1,6.9,météo très défavorable
2009-01-14,0,-12,6,-12,0,-2,0.9,99,5.875,1018,44.375,1,0,-4,113,248,260,0.7,1,5.1,météo très défavorable
2009-01-15,-0,-10,12,-5,-0,-10,0,99,4.5,1023,27,0,0,-6,143,260,260,0,1,8.7,météo très défavorable
2009-01-16,1,-6,10,-4,1,-4,0,99,8.75,1025,33.5,1,1,-4,113,248,116,0,1,6.9,météo très défavorable
2009-01-17,1,-3,16,-3,1,1,0,100,10,1025,36.125,1,1,-4,113,116,119,0,1,5.2,météo très défavorable
2009-01-18,1,-1,37,1,1,1,2.9,97,8.875,1020,53.125,2,1,-6,116,116,119,0,1,6.9,météo très défavorable
2009-01-19,4,-1,30,1,4,4,2,94,8.25,1015,52,4,3,-2,116,119,116,0,1,5.2,météo très défavorable
2009-01-20,2,-4,8,-1,1,-3,4,98,4.5,1003,56.125,2,2,-2,143,248,143,3.4,1,5.2,météo très défavorable
2009-01-21,1,-8,7,-3,1,-6,0.9,93,5.75,1012,39.875,1,0,-4,143,116,143,0.8,1,6.9,météo très défavorable
2009-01-22,2,-7,13,-6,2,0,0,77,10,1013,15.25,3,0,-6,113,113,116,0,1,8.7,météo très défavorable
2009-01-23,5,-1,47,3,5,1,14.1,97,8.75,999,60.75,5,4,-3,119,116,200,1.2,1,6.9,météo très défavorable
2009-01-24,0,-3,22,-1,-0,-1,3.6,96,8,998,59.375,0,0,-6,119,116,119,3.1,1,6.9,météo très défavorable
2009-01-25,2,-4,10,-4,1,-2,0.2,85,8.375,1002,19.5,5,2,-3,113,113,113,0.2,1,8.7,météo très défavorable
2009-01-26,-0,-5,8,-4,0,-5,0,97,6.5,1005,43.875,1,0,-2,113,143,260,0,1,5.2,météo très défavorable
2009-01-27,-1,-9,10,-9,-1,-4,0,95,3.5,1016,31.25,0,0,-5,260,143,143,0,1,8.7,météo très défavorable
2009-01-28,-2,-11,14,-10,-2,-7,0,94,7,1017,10.75,0,0,-9,143,113,113,0,1,8.7,météo très défavorable
2009-01-29,-1,-8,16,-7,-1,-5,0,96,7,1018,13.25,0,0,-8,113,113,143,0,1,8.7,météo très défavorable
2009-01-30,1,-7,17,-7,-0,-7,0,96,9,1020,1.875,3,3,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,0,-6,16,-5,-1,-5,0,72,10,1017,0.125,2,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,-1,-8,9,-7,-4,-4,0.1,90,10,1010,41.875,0,0,-7,116,119,116,0,1,7,météo très défavorable
2009-02-02,3,-4,15,-2,3,0,0,75,10,1004,41.75,3,0,-3,116,113,116,0,1,8.7,météo très défavorable
2009-02-03,6,-1,10,-1,6,-0,0,84,10,1001,22.5,6,3,2,113,113,116,0,1,8.7,météo très défavorable
2009-02-04,2,-8,8,-3,2,-0,0.2,98,3.625,1000,47.375,3,2,-1,116,248,143,0,1,5.4,météo très défavorable
2009-02-05,3,-3,15,-3,3,1,0.3,95,6.375,1001,29,4,2,-3,143,116,143,0,1,8.7,météo très défavorable
2009-02-06,2,0,9,0,1,1,3.2,95,5.125,998,43.875,2,1,-1,143,143,116,0,1,8.7,météo très défavorable
2009-02-07,1,-2,9,-0,-0,-1,11.4,100,3.875,994,89.625,1,0,-3,260,260,122,3.6,1,3.7,météo très défavorable
2009-02-08,-2,-8,12,-2,-2,-6,3.9,98,2.625,1011,85.75,0,0,-7,260,143,260,3.3,1,3.7,météo très défavorable
2009-02-09,2,-8,18,-6,1,1,0.7,97,8.375,1014,41.75,2,2,-7,116,116,122,0,1,8.7,météo très défavorable
2009-02-10,3,-2,42,3,1,-1,10,97,8.625,1012,69.5,3,2,-7,116,116,119,4.4,1,8.7,météo très défavorable
2009-02-11,-2,-9,11,-3,-2,-9,3.3,97,4.75,1019,68.5,0,0,-7,260,143,260,2.8,1,5.4,météo très défavorable
2009-02-12,-3,-8,18,-7,-3,-5,4.7,97,6,1023,66.875,0,0,-10,119,119,260,4,1,3.8,météo très défavorable
2009-02-13,-4,-17,4,-12,-4,-17,0.3,96,4.625,1023,41.5,0,0,-7,260,116,260,0.2,1,8.7,météo très défavorable
2009-02-14,-4,-16,13,-10,-4,-6,1.2,96,4.75,1029,61.375,0,0,-9,143,119,260,1,1,5.4,météo très défavorable
2009-02-15,-4,-13,22,-13,-5,-10,0,94,5.75,1030,23.875,0,0,-12,143,113,143,0,1,8.7,météo très défavorable
2009-02-16,-2,-18,8,-14,-3,-11,0.2,98,7.125,1028,49.25,0,0,-8,116,116,260,0.1,1,7.1,météo très défavorable
2009-02-17,-1,-8,20,-4,-1,-1,11.4,99,5.375,1025,84.5,0,0,-8,119,122,122,9.7,1,3.8,météo très défavorable
2009-02-18,-1,-13,13,-8,-4,-11,0.1,95,6.375,1026,29.25,0,0,-10,116,113,143,0.1,1,10.7,météo très défavorable
