DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-0,-3,17,-3,-1,-2,0.9,91,7,1008,61,0,0,-5,116,338,113,0.8,1,3.7,météo très défavorable
2009-01-02,1,-2,17,-1,0,-0,3.9,93,5.5,1014,69.375,1,0,-4,335,335,335,3.3,1,3.7,météo très défavorable
2009-01-03,-0,-1,21,-1,0,-1,3.1,93,4.75,1020,69.375,0,0,-5,338,329,335,2.6,1,7,météo très défavorable
2009-01-04,1,-2,17,-2,1,-1,1.2,92,7,1021,68.5,1,0,-4,332,338,329,1.1,1,5.3,météo très défavorable
2009-01-05,1,-3,11,-2,1,-2,0.2,92,6.25,1021,57,1,0,-2,323,326,260,0.1,1,7,météo très défavorable
2009-01-06,1,-4,15,-4,1,-2,0.4,92,6.375,1024,62,1,0,-4,329,329,329,0.4,1,3.7,météo très défavorable
2009-01-07,1,-7,11,-3,1,-3,0.1,90,4.875,1027,47.25,1,0,-3,143,116,260,0.1,1,8.7,météo très défavorable
2009-01-08,1,-9,6,-6,1,-9,0,90,4.5,1029,26.5,1,0,-1,143,113,260,0,1,8.7,météo très défavorable
2009-01-09,0,-9,6,-7,0,-1,3.9,97,2.75,1026,87.25,0,0,-3,260,317,314,0,1,5.4,météo très défavorable
2009-01-10,1,-5,33,0,-0,-4,5.2,95,6,1004,68.375,1,0,-8,119,116,230,0,1,7,météo très défavorable
2009-01-11,-1,-8,21,-6,-2,-8,0.7,77,7.125,1017,63.25,0,0,-10,230,329,116,0.1,1,5.4,météo très défavorable
2009-01-12,0,-5,13,-4,0,-3,0.3,99,8.375,1017,51.5,0,0,-6,119,335,116,0.2,1,5.4,météo très défavorable
2009-01-13,-1,-5,15,-4,-2,-1,1,97,4.875,1016,53.625,0,0,-7,143,335,338,0.9,1,5.4,météo très défavorable
2009-01-14,1,-4,18,-3,1,-4,0.2,99,6.125,1021,40.375,1,1,-5,329,248,113,0.2,1,7,météo très défavorable
2009-01-15,-2,-6,23,-6,-5,-5,2.5,95,4.75,1022,63.75,0,0,-12,335,338,338,2.1,1,3.7,météo très défavorable
2009-01-16,-0,-5,13,-4,-0,-2,1.6,96,3.375,1024,73.125,0,0,-5,335,329,332,1.3,1,3.7,météo très défavorable
2009-01-17,-0,-4,17,-1,-1,-3,3.3,97,5.75,1028,69.25,0,0,-6,335,338,329,2.8,1,5.4,météo très défavorable
2009-01-18,1,-11,11,-11,0,0,0,100,3,1030,56,1,1,-5,143,248,122,0,1,5.4,météo très défavorable
2009-01-19,1,-3,22,1,1,-0,2.3,100,6.375,1015,63.75,1,1,-5,293,263,335,0.6,1,7,météo très défavorable
2009-01-20,1,-3,16,-2,1,-2,0.5,93,9.25,1024,58.375,1,0,-4,329,323,122,0.3,1,5.4,météo très défavorable
2009-01-21,3,-6,5,-6,3,-2,0,81,10,1025,47.5,4,0,-1,116,116,119,0,1,8.7,météo très défavorable
2009-01-22,2,-4,5,-4,1,1,1.6,99,3.75,1022,80,2,1,-2,263,266,248,0,1,3.8,météo très défavorable
2009-01-23,4,2,11,3,4,3,4.1,100,3.75,1016,100,4,4,2,296,296,122,0,1,3.8,météo très défavorable
2009-01-24,0,-7,17,-3,-1,-5,1.4,88,7.625,1016,55.125,0,0,-7,338,329,113,1.2,1,5.4,météo très défavorable
2009-01-25,2,-7,14,-6,2,-2,0,71,10,1018,20.375,2,0,-6,113,116,113,0,1,8.7,météo très défavorable
2009-01-26,3,-3,17,-3,3,-2,0,79,4.5,1020,33.375,3,0,-2,260,116,143,0,1,8.7,météo très défavorable
2009-01-27,2,-8,13,-2,2,-2,0.5,84,7,1030,42.75,2,0,-2,371,329,323,0.2,1,8.7,météo très défavorable
2009-01-28,2,-9,9,-8,2,-2,0,82,6.75,1034,47.25,2,0,-3,113,116,143,0,1,8.7,météo très défavorable
2009-01-29,6,-3,9,-3,6,0,0,83,5.25,1030,40,6,4,-0,113,116,248,0,1,8.7,météo très défavorable
2009-01-30,3,1,8,1,3,3,0.2,100,3.5,1026,76.25,3,3,1,119,143,266,0,1,5.4,météo très défavorable
2009-01-31,2,-1,22,1,-0,-1,22.1,99,7.5,1015,98.375,2,2,-6,302,338,338,12.5,1,4,météo très défavorable
2009-02-01,0,-4,28,-4,0,-2,2,95,7.75,1024,58.5,0,0,-7,116,230,329,1.6,1,8.7,météo très défavorable
2009-02-02,1,-3,14,-3,0,-2,0.7,79,7.875,1026,63.375,1,0,-5,332,338,179,0.6,1,4,météo très défavorable
2009-02-03,3,-3,22,-1,3,-1,0,87,7.75,1021,41.75,3,1,-1,116,119,113,0,1,7.1,météo très défavorable
2009-02-04,1,-7,7,-4,1,-4,0,93,6,1024,29.125,1,0,-1,143,116,143,0,1,8.7,météo très défavorable
2009-02-05,3,-10,9,-10,3,-2,0,94,7.75,1022,15.375,3,2,-4,113,113,260,0,1,8.7,météo très défavorable
2009-02-06,-0,-4,21,0,0,-3,0.4,91,5.75,1021,49.625,0,0,-6,116,329,329,0.2,1,7.1,météo très défavorable
2009-02-07,3,-6,10,-6,2,-1,0.1,81,8,1022,39,3,0,-1,143,116,116,0,1,8.7,météo très défavorable
2009-02-08,0,-3,36,-2,-1,-3,1.8,83,8.625,1020,39.875,0,0,-9,335,335,113,0.6,1,8.7,météo très défavorable
2009-02-09,4,-3,8,-3,4,-1,0.1,78,9.625,1021,61.75,4,0,0,329,116,122,0.1,1,7.1,météo très défavorable
2009-02-10,3,-2,13,-2,3,0,0.3,89,8.75,1012,58.5,3,1,0,119,116,116,0,1,8.7,météo très défavorable
2009-02-11,3,-9,10,-9,3,-1,0,79,6.75,1013,46.375,3,0,-2,143,119,119,0,1,7.2,météo très défavorable
2009-02-12,3,-2,20,0,3,-1,0.3,85,8.125,1020,41.75,3,1,-3,116,113,260,0,1,8.7,météo très défavorable
2009-02-13,6,-3,14,-1,6,3,0,85,10,1020,41.5,6,4,1,116,122,113,0,1,7.2,météo très défavorable
2009-02-14,10,2,38,10,5,3,0.7,92,9.375,1010,40.75,10,9,-1,263,113,119,0,1,7.2,météo très défavorable
2009-02-15,7,1,18,1,7,3,0.2,87,7.375,1014,38.125,7,4,-1,143,113,263,0,1,8.7,météo très défavorable
2009-02-16,1,-5,19,-0,-1,-5,2.3,85,8,1013,69.625,1,0,-7,329,335,338,1.9,1,4.1,météo très défavorable
2009-02-17,-0,-6,15,-5,-0,-4,1.8,79,8.5,1022,45,0,0,-6,323,371,179,1.4,1,5.6,météo très défavorable
2009-02-18,-1,-5,22,-4,-1,-5,1.3,80,8,1022,51.875,0,0,-7,335,335,329,1.1,1,5.6,météo très défavorable
2009-02-19,-1,-6,23,-6,-2,-5,0.7,73,9,1026,38.125,0,0,-10,329,116,116,0.6,1,8.7,météo très défavorable
2009-02-20,2,-6,22,0,2,1,4.6,99,6.75,1022,77.625,2,2,-2,266,302,263,0,1,5.7,météo très défavorable
2009-02-21,-2,-6,29,-6,-2,-4,1.9,80,6.875,1021,44,0,0,-11,230,230,323,0.6,1,7.2,météo très défavorable
2009-02-22,5,-8,14,-7,5,1,0,72,10,1023,24.75,5,0,-2,116,113,116,0,1,8.7,météo très défavorable
2009-02-23,1,-3,10,1,-0,-0,5.7,100,4.25,1023,77,1,0,-4,296,320,332,0.1,1,4.2,météo très défavorable
2009-02-24,1,-15,14,-15,1,0,2.9,99,4.875,1026,58,1,1,-7,260,116,302,0,1,7.2,météo très défavorable
2009-02-25,2,-1,12,-0,2,1,2,100,2.375,1017,82.75,2,2,-2,260,296,122,0,1,4.2,météo très défavorable
2009-02-26,1,-6,12,-3,1,-3,0.4,94,5.75,1025,53,1,0,-2,323,119,143,0.2,1,5.7,météo très défavorable
2009-02-27,0,-8,8,-8,0,-2,0.1,98,7.75,1025,49.5,0,0,-5,116,122,260,0,1,4.2,météo très défavorable
2009-02-28,2,-6,12,-6,2,-4,0,97,1.25,1026,28.5,2,2,-3,143,248,260,0,1,7.2,météo très défavorable
2009-03-01,3,-6,5,-3,3,1,0.7,96,3.625,1026,61.875,3,2,1,332,119,263,0.2,1,5.7,météo très défavorable
2009-03-02,-0,-4,26,-3,-0,-4,0.5,83,6.375,1026,52.125,0,0,-7,329,329,329,0.4,1,8.7,météo très défavorable
2009-03-03,1,-4,9,-4,1,-2,0.5,72,9,1027,74.875,1,0,-3,116,122,338,0.4,1,4.2,météo très défavorable
2009-03-04,2,-2,10,-1,2,1,2.1,94,6.875,1021,93.625,2,1,-1,317,122,143,0.9,1,4.2,météo très défavorable
2009-03-05,5,-2,6,-2,5,-1,0,81,7.75,1026,47.5,5,2,3,326,113,143,0,1,8.7,météo très défavorable
2009-03-06,7,0,24,2,5,7,10.7,100,8.25,1024,84.5,7,7,-0,143,302,302,0,1,4.3,météo très défavorable
2009-03-07,4,-1,26,0,1,-1,1.6,84,7.25,1021,41.375,4,3,-5,182,335,329,0.4,1,5.7,météo très défavorable
2009-03-08,6,-1,10,-1,5,1,0.1,83,6.75,1023,56.375,6,2,3,260,116,119,0,1,10.1,météo très défavorable
2009-03-09,10,-1,6,-0,10,5,0,71,8,1022,30.875,10,4,6,113,113,143,0,1,11.6,météo très défavorable
2009-03-10,8,-1,23,3,8,1,0.4,80,7.625,1015,50.875,8,3,3,176,113,116,0,1,11.6,météo très défavorable
2009-03-11,0,-3,30,-3,0,-3,1.5,73,5.875,1020,76.125,0,0,-8,338,230,230,0.4,1,8.8,météo très défavorable
2009-03-12,3,-7,20,-4,2,-3,0.3,67,8.625,1031,44.25,3,0,-4,332,179,113,0.3,1,10.2,météo très défavorable
2009-03-13,7,-8,20,-5,6,4,0,76,10,1030,47.125,7,4,-2,116,116,122,0,1,11.6,météo très défavorable
2009-03-14,9,-2,37,9,3,-2,4.4,96,8,1006,74.625,9,8,-6,296,299,335,0.5,1,7.4,météo très défavorable
2009-03-15,4,-2,21,-2,3,1,1.7,81,6.375,1015,75.625,4,0,-3,338,317,263,0.8,1,7.4,météo très défavorable
2009-03-16,9,-2,9,-2,9,3,2.7,72,7.25,1015,36.875,9,4,6,113,113,389,0,1,11.6,météo très défavorable
2009-03-17,7,0,21,0,7,2,1.5,97,5.625,1018,43.25,7,4,1,293,176,113,0,1,10.2,météo très défavorable
2009-03-18,15,-1,20,-0,14,9,0,64,10,1020,11.625,15,9,4,113,116,113,0,1,11.6,météo très défavorable
2009-03-19,18,6,10,6,18,12,0,71,10,1017,12.625,19,11,14,113,116,113,0,1,11.6,météo favorable
2009-03-20,10,-2,26,10,5,0,0.4,92,9.375,1018,35.5,10,9,-1,116,263,113,0,1,10.2,météo très défavorable
2009-03-21,9,-2,10,-2,7,1,0,60,10,1022,20.5,9,0,1,113,113,116,0,1,11.6,météo très défavorable
2009-03-22,11,1,27,4,8,11,1,95,3.25,1015,85.75,11,11,5,248,266,266,0,1,7.4,météo très défavorable
2009-03-23,10,-2,28,2,3,-1,10.5,79,8.25,1014,44.625,10,9,-3,263,182,329,0.2,1,11.6,météo très défavorable
2009-03-24,8,-3,13,-3,7,3,0.1,48,10,1018,23,8,0,2,113,113,122,0,1,11.6,météo très défavorable
2009-03-25,1,-2,9,-2,0,0,7.2,95,6.5,1016,85.375,1,1,-4,338,338,302,1.6,1,6.1,météo très défavorable
2009-03-26,2,-5,20,-5,2,-2,0.4,73,9,1015,29.25,3,0,-3,113,329,113,0.4,1,10.2,météo très défavorable
2009-03-27,4,-4,20,-4,4,-2,0,50,9.875,1017,16.625,4,0,-1,179,113,113,0,1,11.6,météo très défavorable
2009-03-28,3,-4,24,-3,2,-2,1.4,60,8,1019,42.375,3,0,-5,335,329,323,1.2,1,11.6,météo très défavorable
2009-03-29,4,-4,19,-3,4,-1,0.8,56,9,1026,31.5,4,0,-2,329,116,113,0.6,1,11.6,météo très défavorable
2009-03-30,6,-5,9,-4,6,-1,0,40,10,1027,4.375,6,0,4,113,113,113,0,1,11.6,météo très défavorable
2009-03-31,8,-4,8,-3,8,2,0.1,49,10,1026,21.375,8,0,5,113,113,116,0,1,12.7,météo très défavorable
2009-04-01,3,-1,18,1,3,0,5.8,96,6.625,1020,91,3,2,-3,266,296,302,0,1,8,météo très défavorable
2009-04-02,4,-2,23,0,3,1,10.4,98,7.375,1020,65,5,2,-3,320,263,113,0,1,10.6,météo très défavorable
2009-04-03,9,-1,19,1,8,4,0.1,75,10,1023,28.125,9,2,1,116,116,113,0,1,12.8,météo très défavorable
2009-04-04,12,-1,17,-0,12,7,0.9,78,8.875,1024,55.375,12,7,7,116,119,296,0,1,10.6,météo très défavorable
2009-04-05,11,3,20,4,10,6,0.2,80,7.375,1014,23.875,11,4,4,116,113,113,0,1,12.9,météo très défavorable
2009-04-06,14,1,8,2,14,8,0,57,7.5,1014,26.875,14,4,13,113,113,113,0,1,12.9,météo très défavorable
2009-04-07,14,2,15,2,14,8,0,58,10,1020,7,14,4,10,113,113,113,0,1,12.9,météo correcte
2009-04-08,16,2,8,3,16,8,0,44,10,1021,6.625,16,3,14,113,113,113,0,1,12.9,météo correcte
2009-04-09,18,4,12,4,17,9,0,55,10,1024,0.125,18,6,12,113,113,113,0,1,13,météo favorable
2009-04-10,21,7,15,7,20,13,0,45,10,1023,14.5,21,6,18,113,113,116,0,1,13,météo favorable
2009-04-11,20,6,9,7,20,10,0,47,10,1024,13.5,21,6,16,113,113,113,0,1,13,météo favorable
2009-04-12,18,5,15,6,17,13,0,63,8,1022,37.125,18,10,10,116,122,113,0,1,12,météo correcte
2009-04-13,20,9,10,10,20,13,0,46,10,1011,22.25,21,8,17,116,113,113,0,1,13,météo favorable
