DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,20,12,2,15,20,13,0.6,72,7.875,1015,30.375,21,14,19,116,116,116,0,1,8.7,météo favorable
2009-01-02,21,12,4,14,20,13,0.9,73,8.375,1014,35.375,24,15,18,113,113,248,0,1,8.7,météo favorable
2009-01-03,23,11,6,14,23,11,0.7,71,7.25,1014,27.875,25,13,19,116,113,143,0,1,8.7,météo favorable
2009-01-04,22,10,4,13,22,12,0.4,55,9.75,1015,15.25,25,13,22,113,113,113,0,1,8.7,météo favorable
2009-01-05,22,11,3,14,22,15,1,68,7.5,1015,32.75,25,15,20,113,113,113,0,1,11.6,météo favorable
2009-01-06,22,12,4,14,22,14,0.4,66,8.875,1014,25.5,25,15,21,113,113,116,0,1,11.6,météo favorable
2009-01-07,20,11,4,14,20,15,1.3,74,7.125,1014,48.125,21,15,19,116,116,116,0,1,11.6,météo favorable
2009-01-08,23,12,6,14,23,14,0.5,64,7.625,1014,36.875,25,13,20,113,116,116,0,1,11.6,météo favorable
2009-01-09,21,11,6,12,21,11,1.8,69,9.75,1015,29.5,25,12,18,116,113,113,0,1,11.6,météo favorable
2009-01-10,23,11,4,13,23,13,0,56,10,1016,16.875,25,13,21,113,113,113,0,1,11.6,météo favorable
2009-01-11,23,11,5,12,23,14,0.1,60,9,1015,18.5,25,13,21,113,113,116,0,1,11.6,météo favorable
2009-01-12,22,11,5,14,22,12,0.3,69,9.375,1015,27.75,25,13,18,113,113,113,0,1,11.6,météo favorable
2009-01-13,22,11,5,13,22,12,0.3,66,8.875,1015,24.625,25,13,19,113,113,113,0,1,11.6,météo favorable
2009-01-14,23,10,6,13,23,12,0,52,9,1016,15.75,25,11,22,113,113,113,0,1,11.6,météo favorable
2009-01-15,22,11,11,13,22,13,0.3,58,9.875,1016,17.25,25,12,21,113,113,113,0,1,11.6,météo favorable
2009-01-16,20,11,6,14,20,15,1.3,66,7.75,1016,22.5,24,13,20,113,113,116,0,1,11.6,météo favorable
2009-01-17,16,12,3,13,16,13,6,80,9.5,1018,28.625,17,13,16,116,116,113,0,1,11.6,météo correcte
2009-01-18,20,12,3,14,20,13,2.7,68,8.625,1018,25.875,21,14,20,116,113,113,0,1,11.6,météo favorable
2009-01-19,18,12,4,14,17,14,8.4,78,8,1017,41.25,19,13,17,116,116,116,0,1,11.6,météo correcte
2009-01-20,17,12,4,13,17,14,8.1,80,8.5,1017,36.125,18,14,17,116,116,116,0,1,11.6,météo correcte
2009-01-21,20,11,4,13,20,15,2.9,67,8.625,1017,34.25,24,14,19,116,116,116,0,1,11.6,météo favorable
2009-01-22,19,13,4,13,19,15,7.4,82,7.625,1017,50.625,20,14,17,116,116,116,0,1,11.6,météo favorable
2009-01-23,18,13,1,14,18,14,10.9,86,7.625,1017,56.375,19,14,16,122,116,119,0,1,8.8,météo correcte
2009-01-24,18,13,4,14,18,14,4.5,84,8,1016,51.125,18,14,16,116,116,116,0,1,11.6,météo favorable
2009-01-25,19,12,4,13,18,14,1.5,75,8.625,1014,24.25,20,14,18,116,113,116,0,1,11.6,météo favorable
2009-01-26,21,11,8,14,21,14,1.2,65,8.625,1015,33.5,25,14,20,116,113,113,0,1,11.6,météo favorable
2009-01-27,23,11,3,14,23,12,0.1,53,10,1016,16.625,26,12,23,113,113,113,0,1,11.6,météo favorable
2009-01-28,22,11,6,13,22,15,0.6,56,9.875,1015,17.625,25,13,22,113,113,116,0,1,11.6,météo favorable
2009-01-29,22,12,7,14,22,15,1.3,57,9.75,1015,27.875,25,13,21,113,113,116,0,1,11.6,météo favorable
2009-01-30,20,12,2,13,20,15,4.5,74,9.625,1016,31.375,24,14,19,113,113,116,0,1,11.6,météo favorable
2009-01-31,17,13,2,14,17,14,10.9,82,8.625,1017,57.375,18,14,16,116,116,116,0,1,11.6,météo correcte
2009-02-01,18,12,4,13,17,14,5.4,81,9.5,1015,43,19,15,17,116,116,116,0,1,11.6,météo favorable
2009-02-02,22,12,6,13,22,15,1.8,73,9.625,1014,30,25,14,18,113,116,116,0,1,11.6,météo favorable
2009-02-03,22,11,5,12,22,13,0.4,57,9.875,1015,18.625,25,13,21,113,113,116,0,1,11.6,météo favorable
2009-02-04,24,11,4,14,24,15,0.2,57,9,1016,19.375,26,13,22,113,113,113,0,1,11.6,météo favorable
2009-02-05,23,12,5,15,23,15,0.1,62,9,1016,20.25,25,14,21,113,113,113,0,1,11.6,météo favorable
2009-02-06,21,12,3,14,21,15,0.1,65,10,1016,20.25,25,14,21,113,113,116,0,1,11.6,météo favorable
2009-02-07,22,12,4,14,22,15,0,63,10,1016,28.75,25,14,20,116,113,116,0,1,11.6,météo favorable
2009-02-08,23,12,4,14,23,15,1.5,63,8.75,1015,28.125,25,14,21,113,113,116,0,1,11.6,météo favorable
